t,unit,input,output
500,1,0.101111,0.983268
500,2,-2.04063,0.0198588
500,3,0.741148,0.312017
500,4,0.633079,0.459491
500,5,2.06043,0.0291539
500,6,1.72859,-0.138669
500,7,1.04159,-0.0398186
500,8,-0.137287,0.969284
500,9,1.11294,1.11294
500,10,0.205695,0.205695
500,11,1.56609,-0.198885
500,12,-1.11402,-0.100177
500,13,-1.04009,-0.0384419
500,14,3.32643,-0.0818142
500,15,-0.830652,0.194391
500,16,-1.30035,-0.198194
500,17,0.222374,0.92062
500,18,-0.793105,0.242883
500,19,-0.960637,0.0408717
500,20,-0.385017,-0.385017
500,21,1.46652,-0.215852
500,22,-0.186229,-0.186229
500,23,1.84914,-0.0785621
500,24,0.391581,0.391581
500,25,2.07308,2.07308
500,26,-3.37203,-3.37203
500,27,1.17189,1.17189
500,28,-1.21974,-0.166184
500,29,0.697384,0.371455
500,30,-2.28662,0.109082
500,31,1.25125,-0.18059
500,32,-0.532966,0.594043
500,33,-0.330423,0.829838
500,34,-0.702312,0.364727
500,35,0.809888,0.22103
500,36,0.718185,0.343108
500,37,1.1129,-0.0993346
500,38,0.381887,0.776791
500,39,-1.46594,-1.46594
500,40,0.394849,0.394849
500,41,-0.713532,0.349436
500,42,-1.07495,-0.069079
500,43,2.6688,0.102889
500,44,3.00979,-0.00325161
500,45,0.304921,0.304921
500,46,-0.724189,0.334955
500,47,-1.57444,-0.196669
500,48,0.61003,0.49093
500,49,1.15392,1.15392
500,50,2.23007,0.0944153
500,51,-0.284932,0.871703
500,52,-0.0517347,0.995603
500,53,0.375574,0.783598
500,54,0.175072,0.950339
500,55,1.55714,-0.201135
500,56,0.795669,0.239528
500,57,-2.67768,0.100831
500,58,0.776106,0.265278
500,59,1.8394,-0.0836559
500,60,0.56537,0.551181
500,61,-0.975781,-0.975781
500,62,-2.44714,0.128285
500,63,-0.388293,-0.388293
500,64,-0.10579,0.981692
500,65,-0.16682,0.954848
500,66,-3.00206,-0.000684776
500,67,4.39962,0.0687818
500,68,2.06443,0.0309991
500,69,0.499719,0.636977
500,70,0.292359,0.865214
500,71,-1.61853,-0.183188
500,72,-0.180279,0.94739
500,73,0.523829,0.523829
500,74,1.03306,-0.0319449
500,75,-0.671828,0.406425
500,76,0.200478,0.200478
500,77,-0.0331999,0.998188
500,78,0.968923,0.0320224
500,79,-0.101649,0.98309
500,80,3.18188,3.18188
500,81,0.527757,0.600846
500,82,0.0115704,0.99978
500,83,1.34618,-0.209378
500,84,1.21946,-0.166044
500,85,2.33037,0.117651
500,86,0.940505,0.940505
500,87,-0.67635,-0.67635
500,88,-0.814636,0.214898
500,89,-0.154016,-0.154016
500,90,1.9451,-0.0280866
500,91,-2.06687,0.0321176
500,92,0.717974,0.343394
500,93,-0.2572,-0.2572
500,94,-1.55269,-0.202204
500,95,-1.42081,-0.217137
500,96,1.79863,-0.104637
500,97,1.0745,-0.0687045
500,98,-0.831081,0.193846
500,99,0.693069,0.377351
500,100,-0.112201,0.97942
501,1,0.100531,0.983458
501,2,-2.04174,0.0203855
501,3,0.743487,0.308865
501,4,0.63557,0.456084
501,5,2.06072,0.0292881
501,6,1.72937,-0.138308
501,7,1.04083,-0.0391181
501,8,-0.140196,0.967981
501,9,1.11346,1.11346
501,10,0.208611,0.208611
501,11,1.56576,-0.19897
501,12,-1.11283,-0.0992797
501,13,-1.04495,-0.0428731
501,14,3.32387,-0.0814753
501,15,-0.829635,0.195684
