t,unit,input,output
500,1,-0.411793,0.587097
500,2,0.271796,0.791757
500,3,0.516811,0.432871
500,4,-0.117675,0.955117
500,5,-0.396606,0.61006
500,6,0.496558,0.461544
500,7,0.0978865,0.967935
500,8,-0.432906,0.555272
500,9,-0.132526,0.944091
500,10,0.187163,0.89394
500,11,-0.511475,-0.511475
500,12,0.00693273,0.997206
500,13,-0.301189,-0.301189
500,14,0.0648704,0.984326
500,15,-0.294747,0.76023
500,16,-0.186736,0.894386
500,17,-0.131157,0.945157
500,18,0.302101,0.749873
500,19,0.73545,0.183982
500,20,0.133831,0.943066
500,21,0.347412,0.347412
500,22,0.281124,0.779098
500,23,0.1905,0.890427
500,24,-0.360576,0.664351
500,25,0.123429,0.950985
500,26,-0.219799,0.857597
500,27,0.344746,0.68794
500,28,-0.0271171,-0.0271171
500,29,0.30404,0.30404
500,30,0.326315,0.715051
500,31,0.848011,0.105409
500,32,0.278461,0.278461
500,33,-0.339568,0.695601
500,34,0.350967,0.678699
500,35,0.531727,0.412223
500,36,0.514464,0.436157
500,37,0.183093,0.89816
500,38,0.308629,0.740588
500,39,0.579701,0.348954
500,40,-0.00620057,0.997236
500,41,0.44077,0.543477
500,42,0.108234,0.961505
500,43,-0.408201,0.592526
500,44,-0.114957,0.957007
500,45,0.275664,0.786535
500,46,0.301068,0.751334
500,47,0.0703426,0.0703426
500,48,0.0816422,0.976796
500,49,-0.489557,0.47161
500,50,-0.00806284,0.997153
500,51,-0.461924,0.511995
500,52,0.346642,0.685127
500,53,-0.431321,0.557655
500,54,0.0107893,0.0107893
500,55,0.665558,0.249843
500,56,-0.101268,-0.101268
500,57,-0.579578,-0.579578
500,58,-0.283636,0.775652
500,59,0.483769,0.479985
500,60,0.281135,0.779083
500,61,-0.389255,0.621173
500,62,-0.46886,0.501769
500,63,0.130287,0.945829
500,64,-0.245747,-0.245747
500,65,0.235451,0.235451
500,66,0.165258,0.915768
500,67,-0.40681,0.594629
500,68,0.143231,0.143231
500,69,-0.313279,-0.313279
500,70,0.168323,0.912847
500,71,0.0211512,0.995962
500,72,-0.74009,0.180087
500,73,-0.0921757,-0.0921757
500,74,-0.10339,0.96459
500,75,0.204146,0.875567
500,76,-0.29998,0.752872
500,77,-0.580518,0.347922
500,78,0.497934,0.459574
500,79,-0.019611,0.996158
500,80,-0.376758,-0.376758
500,81,-0.723095,0.19464
500,82,0.0761818,0.97943
500,83,-0.23146,-0.23146
500,84,-0.239649,0.833499
500,85,0.0906816,0.972053
500,86,0.0103018,0.997025
500,87,-0.908819,0.0754904
500,88,0.53979,0.401243
500,89,-0.389713,-0.389713
500,90,0.692391,0.222954
500,91,0.0691453,0.982565
500,92,-0.396075,0.610862
500,93,-0.0136765,-0.0136765
500,94,-0.245918,0.825608
500,95,0.416036,0.416036
500,96,0.083303,0.97596
500,97,0.106136,0.962857
500,98,-0.819447,0.122326
500,99,0.485172,0.47795
500,100,-0.253866,0.815424
501,1,-0.413439,0.58461
501,2,0.274111,0.788637
501,3,0.513443,0.43759
501,4,-0.117817,0.955017
501,5,-0.394283,0.613572
501,6,0.494429,0.464596
501,7,0.1006,0.966307
501,8,-0.436392,0.550039
501,9,-0.131123,0.945183
501,10,0.190411,0.890521
501,11,-0.512859,-0.512859
501,12,0.0112661,0.99696
501,13,-0.301173,-0.301173
501,14,0.0686168,0.982789
501,15,-0.293991,0.761288
501,16,-0.18562,0.895548
501,17,-0.133775,0.94311
501,18,0.304526,0.746434
501,19,0.737273,0.182445
501,20,0.136995,0.940544
501,21,0.350804,0.350804
501,22,0.281578,0.778476
501,23,0.192402,0.888402
501,24,-0.364548,0.658399
501,25,0.118556,0.954497
501,26,-0.219305,0.858178
501,27,0.348796,0.681928
501,28,-0.0237824,-0.0237824
501,29,0.305456,0.305456
501,30,0.324695,0.717411
501,31,0.844285,0.107507
501,32,0.276837,0.276837
501,33,-0.34386,0.689252
501,34,0.350178,0.679873
501,35,0.529894,0.414737
501,36,0.508779,0.444159
501,37,0.186703,0.894421
501,38,0.310875,0.737375
501,39,0.576609,0.352875
501,40,-0.00244716,0.997337
501,41,0.44042,0.544001
501,42,0.105179,0.963466
501,43,-0.405461,0.596668
501,44,-0.114006,0.957658
501,45,0.274837,0.787654
501,46,0.303114,0.748438
501,47,0.0667415,0.0667415
501,48,0.0781448,0.978503
501,49,-0.491555,0.46873
501,50,-0.00426627,0.997299
501,51,-0.461424,0.512734
501,52,0.352158,0.676924
501,53,-0.42709,0.56402
501,54,0.0144701,0.0144701
501,55,0.662289,0.253256
501,56,-0.0984138,-0.0984138
501,57,-0.580973,-0.580973
501,58,-0.277665,0.783818
501,59,0.481775,0.482882
501,60,0.283153,0.776315
501,61,-0.383942,0.629198
501,62,-0.474393,0.493652
501,63,0.131541,0.944859
501,64,-0.240074,-0.240074
501,65,0.236884,0.236884
501,66,0.165502,0.915537
501,67,-0.404404,0.598267
501,68,0.142624,0.142624
501,69,-0.314173,-0.314173
501,70,0.159444,0.921186
501,71,0.0242792,0.99552
501,72,-0.737722,0.182068
501,73,-0.0923626,-0.0923626
501,74,-0.103123,0.964756
501,75,0.203839,0.875909
501,76,-0.290489,0.766173
501,77,-0.584598,0.342792
501,78,0.501145,0.45499
501,79,-0.023964,0.995567
501,80,-0.379501,-0.379501
501,81,-0.720236,0.197166
501,82,0.0793299,0.977933
501,83,-0.229816,-0.229816
501,84,-0.2358,0.838281
501,85,0.0949696,0.969638
501,86,0.0110931,0.996972
501,87,-0.908468,0.0756413
501,88,0.536296,0.405985
501,89,-0.385863,-0.385863
501,90,0.687307,0.227895
501,91,0.0703845,0.982034
501,92,-0.397461,0.608767
501,93,-0.0153512,-0.0153512
501,94,-0.240299,0.832688
501,95,0.418413,0.418413
501,96,0.0877894,0.973622
501,97,0.10264,0.965056
501,98,-0.821799,0.12086
501,99,0.483266,0.480716
501,100,-0.249607,0.820906
502,1,-0.411297,0.587846
502,2,0.271583,0.792043
502,3,0.516163,0.433777
502,4,-0.116497,0.955941
502,5,-0.398259,0.60756
502,6,0.495578,0.462948
502,7,0.0978535,0.967954
502,8,-0.432843,0.555368
502,9,-0.134073,0.942875
502,10,0.187196,0.893905
502,11,-0.51275,-0.51275
502,12,0.00648096,0.997225
502,13,-0.300099,-0.300099
502,14,0.0645799,0.984441
502,15,-0.294172,0.761034
502,16,-0.187227,0.893873
502,17,-0.130333,0.945793
502,18,0.301871,0.750199
502,19,0.734802,0.18453
502,20,0.132976,0.943739
502,21,0.346913,0.346913
502,22,0.280435,0.78004
502,23,0.190493,0.890434
502,24,-0.360531,0.664418
502,25,0.123977,0.950582
502,26,-0.219319,0.858161
502,27,0.343969,0.689091
502,28,-0.0273947,-0.0273947
502,29,0.305018,0.305018
502,30,0.325362,0.716439
502,31,0.848418,0.105182
502,32,0.277743,0.277743
502,33,-0.339344,0.69593
502,34,0.349525,0.680845
502,35,0.532886,0.410637
502,36,0.514289,0.436403
502,37,0.182867,0.898392
502,38,0.308069,0.741388
502,39,0.58007,0.348488
502,40,-0.00640013,0.997228
502,41,0.4411,0.542984
502,42,0.109235,0.960851
502,43,-0.409521,0.590531
502,44,-0.114267,0.957479
502,45,0.276785,0.785014
502,46,0.30153,0.750681
502,47,0.0707813,0.0707813
502,48,0.0822204,0.976507
502,49,-0.489715,0.471382
502,50,-0.0078107,0.997166
502,51,-0.461901,0.512029
502,52,0.346722,0.68501
502,53,-0.431148,0.557915
502,54,0.00994727,0.00994727
502,55,0.66477,0.250663
502,56,-0.100074,-0.100074
502,57,-0.579564,-0.579564
502,58,-0.281965,0.777946
502,59,0.484011,0.479635
502,60,0.281048,0.779202
502,61,-0.389136,0.621352
502,62,-0.469254,0.50119
502,63,0.130806,0.945429
502,64,-0.245537,-0.245537
502,65,0.235601,0.235601
502,66,0.16596,0.915103
502,67,-0.407474,0.593625
502,68,0.143899,0.143899
502,69,-0.31438,-0.31438
502,70,0.167456,0.913678
502,71,0.0226139,0.995763
502,72,-0.742017,0.178487
502,73,-0.0930786,-0.0930786
502,74,-0.10417,0.964102
502,75,0.203335,0.876472
502,76,-0.299419,0.753663
502,77,-0.580691,0.347704
502,78,0.497103,0.460763
502,79,-0.0206091,0.996033
502,80,-0.378235,-0.378235
502,81,-0.722629,0.19505
502,82,0.0764358,0.979312
502,83,-0.232824,-0.232824
502,84,-0.241064,0.83173
502,85,0.0904665,0.972171
502,86,0.0104164,0.997018
502,87,-0.908432,0.0756568
502,88,0.540662,0.400063
502,89,-0.390132,-0.390132
502,90,0.693283,0.222095
502,91,0.0692549,0.982519
502,92,-0.396131,0.610778
502,93,-0.0122767,-0.0122767
502,94,-0.245482,0.826161
502,95,0.415349,0.415349
502,96,0.0849812,0.975099
502,97,0.10636,0.962714
502,98,-0.819204,0.122479
502,99,0.485525,0.477439
502,100,-0.252222,0.817547
503,1,-0.411424,0.587655
503,2,0.271556,0.792079
503,3,0.51455,0.436037
503,4,-0.115513,0.956623
503,5,-0.39621,0.610659
503,6,0.492269,0.467701
503,7,0.0985036,0.967568
503,8,-0.434389,0.553045
503,9,-0.133723,0.943152
503,10,0.188607,0.892425
503,11,-0.515599,-0.515599
503,12,0.0091131,0.997097
503,13,-0.299087,-0.299087
