t,unit,input,output
500,1,-0.658158,0.25761
500,2,0.00187625,0.997345
500,3,-1.25838,0.00707501
500,4,-0.0291667,0.994708
500,5,-0.236765,0.837087
500,6,0.554714,0.381275
500,7,-0.819199,0.122482
500,8,-0.23197,0.842986
500,9,-0.321113,0.722615
500,10,0.356916,0.669825
500,11,0.187651,0.893429
500,12,0.147396,0.93189
500,13,0.745653,0.175495
500,14,0.245154,0.826577
500,15,0.131703,0.944733
500,16,0.131871,0.944602
500,17,-0.416816,0.579511
500,18,-0.0614817,0.985644
500,19,0.193642,0.887074
500,20,0.469428,0.500933
500,21,-1.01581,0.0396673
500,22,-0.521625,-0.521625
500,23,-0.126936,0.94838
500,24,-0.111355,0.959448
500,25,0.307559,0.742116
500,26,0.161003,0.91975
500,27,0.200646,0.879451
500,28,-0.0378255,0.992906
500,29,-0.61708,0.303428
500,30,-0.903722,0.0777016
500,31,-0.669475,0.245794
500,32,-0.458616,0.51689
500,33,0.182098,0.89918
500,34,0.0374627,0.992991
500,35,-0.630502,0.287959
500,36,-0.156508,0.923861
500,37,0.028497,0.994828
500,38,0.0310384,0.994358
500,39,-0.476538,0.490514
500,40,0.117426,0.955292
500,41,0.036376,0.99324
500,42,-0.874733,0.0912853
500,43,-0.66853,0.246766
500,44,0.0140485,0.996741
500,45,0.316675,0.729037
500,46,-0.411999,0.586786
500,47,0.577828,0.351327
500,48,0.78806,0.143217
500,49,0.00431423,0.997298
500,50,0.0627453,0.98516
500,51,0.484756,0.478554
500,52,-0.299928,0.752946
500,53,-0.0363072,0.993256
500,54,-0.790119,0.141771
500,55,-0.420327,0.574212
500,56,-0.0456902,0.99087
500,57,0.50209,0.453644
500,58,0.341354,0.692961
500,59,-0.112422,0.958732
500,60,0.12085,0.95286
500,61,1.18759,0.0121544
500,62,0.29934,0.753775
500,63,0.201545,0.878458
500,64,0.0112729,0.99696
500,65,0.0924474,0.971071
500,66,0.994566,0.0453305
500,67,0.879955,0.0887082
500,68,-0.192889,0.887881
500,69,-0.406842,0.59458
500,70,-0.563229,0.3701
500,71,0.58111,0.347175
500,72,0.545687,0.393296
500,73,0.0306623,0.99443
500,74,0.139893,0.938188
500,75,-0.416503,0.579983
500,76,-0.249605,0.820908
500,77,0.202422,0.877486
500,78,-0.123187,0.951163
500,79,-0.755676,0.167433
500,80,0.0643231,0.984543
500,81,0.0102225,0.99703
500,82,0.0972496,0.968311
500,83,-0.582547,0.345366
500,84,-0.950243,0.0593439
500,85,0.118009,0.954883
500,86,-0.174486,0.90684
500,87,0.763268,0.161507
500,88,-0.144441,0.934405
500,89,-0.018834,0.996251
500,90,0.686081,0.229098
500,91,-1.03237,0.0356777
500,92,0.0309827,0.994368
500,93,0.128867,0.946917
500,94,0.0502217,0.989526
500,95,-0.259435,0.808172
500,96,-0.007227,0.997193
500,97,0.910605,0.0747277
500,98,0.447566,0.53332
500,99,-0.119798,0.953614
500,100,0.780827,0.148387
501,1,-0.660847,0.25477
501,2,-0.000435898,0.997355
501,3,-1.25788,0.00710333
501,4,-0.0273798,0.995022
501,5,-0.233653,0.840925
501,6,0.55699,0.378272
501,7,-0.817534,0.123529
501,8,-0.22958,0.845898
501,9,-0.324154,0.718199
501,10,0.361478,0.662999
501,11,0.18665,0.894476
501,12,0.146718,0.932471
501,13,0.743856,0.176969
501,14,0.24548,0.826165
501,15,0.135592,0.941669
501,16,0.130005,0.946046
501,17,-0.414965,0.582305
501,18,-0.0611142,0.985783
501,19,0.196421,0.884075
501,20,0.468914,0.501689
501,21,-1.01914,0.0388356
501,22,-0.519435,-0.519435
501,23,-0.125729,0.949284
501,24,-0.113301,0.958137
501,25,0.307738,0.74186
501,26,0.160889,0.919855
501,27,0.197221,0.883205
501,28,-0.0388608,0.99266
501,29,-0.61239,0.308946
501,30,-0.908085,0.0758059
501,31,-0.672428,0.242769
501,32,-0.458485,0.517085
501,33,0.179226,0.902101
501,34,0.0380039,0.992864
501,35,-0.629979,0.288553
501,36,-0.152735,0.927235
501,37,0.0252604,0.995369
501,38,0.0338907,0.993782
501,39,-0.476872,0.490027
501,40,0.117778,0.955045
501,41,0.0349094,0.993565
501,42,-0.874635,0.0913342
501,43,-0.671198,0.244026
501,44,0.0181499,0.99633
501,45,0.319753,0.724587
501,46,-0.413667,0.584266
501,47,0.574465,0.355607
501,48,0.788256,0.143079
501,49,0.00801288,0.997156
501,50,0.0621246,0.985399
501,51,0.485889,0.476911
501,52,-0.297842,0.755886
501,53,-0.0378119,0.99291
501,54,-0.791008,0.141149
501,55,-0.419427,0.57557
501,56,-0.0477234,0.990282
501,57,0.500895,0.455346
501,58,0.336655,0.699895
501,59,-0.11194,0.959056
501,60,0.121734,0.952221
501,61,1.18539,0.0123548
501,62,0.299667,0.753314
501,63,0.198619,0.881679
501,64,0.0122699,0.996887
501,65,0.0942463,0.970052
501,66,0.99661,0.0447576
501,67,0.8801,0.0886379
501,68,-0.194778,0.885852
501,69,-0.406273,0.595441
501,70,-0.567278,0.364843
501,71,0.578875,0.349999
501,72,0.544354,0.395087
501,73,0.0296539,0.994619
501,74,0.13742,0.940202
501,75,-0.417955,0.577791
501,76,-0.242965,0.829341
501,77,0.197937,0.882424
501,78,-0.121466,0.952416
501,79,-0.753658,0.169035
501,80,0.064658,0.98441
501,81,0.00895897,0.997106
501,82,0.0956456,0.969247
501,83,-0.579303,0.349458
501,84,-0.946755,0.0605837
501,85,0.11944,0.953869
501,86,-0.177086,0.904253
501,87,0.76324,0.161529
501,88,-0.141966,0.936477
501,89,-0.0193554,0.996189
501,90,0.685904,0.229271
501,91,-1.0319,0.0357855
501,92,0.0292503,0.994693
501,93,0.125881,0.949171
501,94,0.050622,0.989401
501,95,-0.256013,0.812639
501,96,-0.00712731,0.997197
501,97,0.914491,0.0730898
501,98,0.450398,0.529098
501,99,-0.120634,0.953015
501,100,0.78442,0.145802
502,1,-0.658956,0.256765
502,2,0.00218664,0.997341
502,3,-1.25836,0.00707651
502,4,-0.0277247,0.994963
502,5,-0.236807,0.837034
502,6,0.554565,0.381471
502,7,-0.818254,0.123075
502,8,-0.230856,0.844346
502,9,-0.321537,0.722001
502,10,0.357304,0.669245
502,11,0.188559,0.892476
502,12,0.148663,0.930799
502,13,0.746333,0.17494
502,14,0.245542,0.826086
502,15,0.131769,0.944681
502,16,0.132708,0.943949
502,17,-0.417249,0.578856
502,18,-0.0625567,0.985233
502,19,0.193504,0.887223
502,20,0.470497,0.499363
502,21,-1.01637,0.0395261
502,22,-0.521489,-0.521489
502,23,-0.126557,0.948664
502,24,-0.112473,0.958697
502,25,0.308604,0.740625
502,26,0.160372,0.920332
502,27,0.200703,0.879389
502,28,-0.0380972,0.992842
502,29,-0.61717,0.303323
502,30,-0.904237,0.0774759
502,31,-0.669918,0.245338
502,32,-0.457512,0.518526
502,33,0.18156,0.899731
502,34,0.0370542,0.993086
502,35,-0.629815,0.288739
502,36,-0.156438,0.923924
502,37,0.0284166,0.994842
502,38,0.0322071,0.994128
502,39,-0.476015,0.49128
502,40,0.116253,0.956111
502,41,0.0368438,0.993134
502,42,-0.874269,0.0915171
502,43,-0.668572,0.246724
502,44,0.0136495,0.996775
502,45,0.317332,0.728087
502,46,-0.411535,0.587488
502,47,0.577858,0.351288
502,48,0.7893,0.142345
502,49,0.0041957,0.997301
502,50,0.0617846,0.985529
502,51,0.484714,0.478615
502,52,-0.298979,0.754284
502,53,-0.0374354,0.992997
502,54,-0.788817,0.142684
502,55,-0.419232,0.575864
502,56,-0.0460656,0.990764
502,57,0.502801,0.452632
502,58,0.341933,0.692105
502,59,-0.110693,0.959888
502,60,0.120393,0.953188
502,61,1.18785,0.0121311
502,62,0.298831,0.754492
502,63,0.201593,0.878406
502,64,0.0129888,0.99683
502,65,0.0919639,0.971342
502,66,0.994163,0.0454442
502,67,0.879664,0.0888503
502,68,-0.192177,0.888643
502,69,-0.407762,0.59319
502,70,-0.563479,0.369775
502,71,0.581836,0.346261
502,72,0.545629,0.393373
502,73,0.0315061,0.994267
502,74,0.14061,0.937599
502,75,-0.416364,0.580192
502,76,-0.249207,0.821418
502,77,0.202417,0.877492
502,78,-0.123097,0.951229
502,79,-0.75559,0.167501
502,80,0.0647361,0.984379
502,81,0.00891008,0.997108
502,82,0.0976681,0.968064
502,83,-0.581347,0.346877
502,84,-0.949948,0.059448
502,85,0.117679,0.955114
502,86,-0.173852,0.907466
502,87,0.762172,0.162353
502,88,-0.145014,0.933921
502,89,-0.0186093,0.996277
502,90,0.685898,0.229277
502,91,-1.03323,0.0354807
502,92,0.030378,0.994484
502,93,0.128968,0.94684
502,94,0.0508669,0.989324
502,95,-0.259573,0.807991
502,96,-0.00617756,0.997237
502,97,0.910799,0.0746454
502,98,0.44751,0.533404
502,99,-0.119373,0.953917
502,100,0.781082,0.148203
503,1,-0.659763,0.255913
503,2,0.000968277,0.997353
503,3,-1.25702,0.00715129
503,4,-0.02554,0.995325
503,5,-0.235454,0.838708
503,6,0.555872,0.379746
503,7,-0.816434,0.124225
503,8,-0.227886,0.847948
503,9,-0.323635,0.718953
503,10,0.360868,0.663914
503,11,0.188022,0.89304
503,12,0.148811,0.93067
503,13,0.745521,0.175603
503,14,0.246009,0.825493
503,15,0.134466,0.942564
503,16,0.132027,0.944481
503,17,-0.41633,0.580244
503,18,-0.0633384,0.98493
503,19,0.194809,0.885818
503,20,0.470556,0.499278
503,21,-1.01817,0.0390768
503,22,-0.52048,-0.52048
503,23,-0.12408,0.950507
503,24,-0.112424,0.958731
503,25,0.309748,0.738988
503,26,0.159764,0.920893
503,27,0.199056,0.8812
503,28,-0.0381334,0.992834
503,29,-0.613836,0.307239
503,30,-0.907279,0.0761532
503,31,-0.671603,0.243611
503,32,-0.456718,0.519705
503,33,0.179989,0.901329
503,34,0.0365963,0.99319
503,35,-0.628543,0.290186
503,36,-0.153252,0.926777
503,37,0.0260179,0.995248
503,38,0.0354314,0.993451
503,39,-0.475357,0.492242
503,40,0.116228,0.956128
503,41,0.036616,0.993186
503,42,-0.873602,0.0918511
503,43,-0.669841,0.245417
503,44,0.0164663,0.996511
503,45,0.318538,0.726344
503,46,-0.41216,0.586542
503,47,0.57577,0.353943
503,48,0.789764,0.142019
503,49,0.0064768,0.997225
503,50,0.0604376,0.986036
503,51,0.484814,0.47847
503,52,-0.296353,0.757977
503,53,-0.0388806,0.992655
503,54,-0.788811,0.142688
503,55,-0.418112,0.577553
503,56,-0.0467934,0.990555
503,57,0.502475,0.453095
503,58,0.338658,0.696942
503,59,-0.109634,0.960589
503,60,0.120197,0.953329
503,61,1.18679,0.0122268
503,62,0.297937,0.755751
503,63,0.199892,0.880282
503,64,0.0144099,0.996709
503,65,0.0931481,0.970676
503,66,0.995148,0.0451668
503,67,0.878894,0.0892271
503,68,-0.19331,0.88743
503,69,-0.407961,0.592889
503,70,-0.566509,0.365839
503,71,0.580585,0.347838
503,72,0.545039,0.394166
503,73,0.0306992,0.994423
503,74,0.138766,0.93911
503,75,-0.416289,0.580306
503,76,-0.245235,0.826475
503,77,0.199062,0.881194
503,78,-0.122698,0.951521
503,79,-0.7549,0.168048
503,80,0.0657302,0.98398
503,81,0.00756161,0.997178
503,82,0.0971309,0.96838
503,83,-0.577519,0.351719
503,84,-0.948085,0.0601086
503,85,0.117803,0.955027
503,86,-0.175073,0.906259
503,87,0.761853,0.1626
503,88,-0.143878,0.934879
503,89,-0.0181266,0.996332
503,90,0.684681,0.230475
503,91,-1.0338,0.0353492
503,92,0.0281532,0.994888
503,93,0.127547,0.947919
503,94,0.0521358,0.98892
503,95,-0.257067,0.811267
503,96,-0.00530748,0.997268
503,97,0.912996,0.0737164
503,98,0.448835,0.531427
503,99,-0.119444,0.953866
503,100,0.783608,0.146383
504,1,-0.663778,0.251697
504,2,-0.00175013,0.997346
504,3,-1.26213,0.00686937
504,4,-0.0295306,0.994641
504,5,-0.232968,0.841765
504,6,0.558658,0.376078
504,7,-0.821396,0.12111
504,8,-0.232914,0.841831
504,9,-0.326998,0.714054
504,10,0.362931,0.660823
504,11,0.184895,0.896301
504,12,0.146219,0.932898
504,13,0.743194,0.177515
504,14,0.241608,0.831048
504,15,0.136771,0.940724
504,16,0.130313,0.945809
504,17,-0.413345,0.584752
504,18,-0.0608032,0.985899
504,19,0.197402,0.883008
504,20,0.467596,0.503628
504,21,-1.02114,0.0383428
504,22,-0.517129,-0.517129
504,23,-0.12948,0.946448
