t,unit,input,output
500,1,0.588813,0.744187
500,2,-0.765963,-0.912306
500,3,0.971709,0.998684
500,4,0.682136,0.841892
500,5,1.19259,0.940093
500,6,0.544808,0.69237
500,7,2.3938,2.3938
500,8,0.0238498,0.0244097
500,9,0.840271,0.840271
500,10,0.816133,0.816133
500,11,1.20141,1.20141
500,12,-0.740779,-0.740779
500,13,-0.574684,-0.727903
500,14,2.47887,-0.214765
500,15,-1.02309,-0.999123
500,16,-0.760953,-0.908618
500,17,-0.343819,-0.343819
500,18,-1.13307,-0.971125
500,19,-0.758972,-0.907141
500,20,-0.495403,-0.495403
500,21,0.900427,0.983771
500,22,-0.891205,-0.891205
500,23,0.628077,0.787499
500,24,-0.2157,-0.2157
500,25,0.563078,0.563078
500,26,-1.83325,-1.83325
500,27,1.19918,1.19918
500,28,-0.040937,-0.0425668
500,29,0.190766,0.221877
500,30,-1.74522,-0.306537
500,31,1.65357,0.431448
500,32,-0.39038,-0.491487
500,33,-1.66632,-0.413971
500,34,0.209292,0.246026
500,35,0.674589,0.834693
500,36,-0.192134,-0.223648
500,37,0.770432,0.915536
500,38,0.103053,0.112897
500,39,-1.51846,-1.51846
500,40,-0.16403,-0.16403
500,41,-0.434557,-0.551083
500,42,-0.503414,-0.640959
500,43,1.71378,0.349095
500,44,1.0728,0.991305
500,45,0.653537,0.653537
500,46,0.213015,0.250917
500,47,-1.95712,-0.0446636
500,48,0.477845,0.608132
500,49,0.824114,0.824114
500,50,0.595854,0.752169
500,51,-0.704675,-0.862584
500,52,-0.122622,-0.136329
500,53,-0.308506,-0.308506
500,54,0.738112,0.890939
500,55,1.24824,0.901675
500,56,0.282883,0.34456
500,57,-1.19579,-0.938124
500,58,-0.187892,-0.187892
500,59,1.12424,0.974802
500,60,-0.213901,-0.213901
500,61,-0.770557,-0.770557
500,62,-1.51565,-0.61655
500,63,-0.187876,-0.187876
500,64,0.0647452,0.068751
500,65,-0.183448,-0.212431
500,66,-1.46851,-0.676086
500,67,1.81348,0.216393
500,68,1.54918,1.54918
500,69,0.0540733,0.0568898
500,70,-0.151168,-0.171471
500,71,-0.56651,-0.718325
500,72,0.145282,0.164136
500,73,0.586548,0.586548
500,74,0.647773,0.808059
500,75,0.0677546,0.0721314
500,76,-0.162358,-0.162358
500,77,-0.421961,-0.534205
500,78,0.971797,0.998692
500,79,0.720909,0.876709
500,80,0.460872,0.460872
500,81,1.04644,0.996456
500,82,0.171229,0.196785
500,83,0.682886,0.842601
500,84,0.860498,0.968294
500,85,1.25465,0.896697
500,86,0.687903,0.687903
500,87,-0.846361,-0.846361
500,88,-1.47851,-1.47851
500,89,-0.137676,-0.137676
500,90,0.429952,0.544926
500,91,-2.06752,0.0627749
500,92,1.30892,0.850253
500,93,-1.61344,-1.61344
500,94,-1.00193,-0.999994
500,95,-1.75022,-0.299809
500,96,2.20553,-0.158885
500,97,0.607977,0.765697
500,98,-1.70278,-1.70278
500,99,1.31944,0.840403
500,100,0.377784,0.474328
501,1,0.58671,0.741786
501,2,-0.764979,-0.911587
501,3,0.969194,0.99844
501,4,0.68043,0.840277
501,5,1.19648,0.937694
501,6,0.548814,0.697216
501,7,2.38732,2.38732
501,8,0.0214306,0.0218834
501,9,0.837374,0.837374
501,10,0.820168,0.820168
501,11,1.20043,1.20043
501,12,-0.745221,-0.745221
501,13,-0.57921,-0.733157
501,14,2.47606,-0.215038
501,15,-1.01947,-0.999377
501,16,-0.762584,-0.909826
501,17,-0.340185,-0.340185
501,18,-1.13104,-0.971991
501,19,-0.757623,-0.906129
501,20,-0.497434,-0.497434
501,21,0.900167,0.983686
501,22,-0.884342,-0.884342
501,23,0.626377,0.785686
501,24,-0.220198,-0.220198
501,25,0.56198,0.56198
501,26,-1.83391,-1.83391
501,27,1.19638,1.19638
501,28,-0.0427479,-0.0445228
501,29,0.194867,0.227193
501,30,-1.74646,-0.304862
501,31,1.65068,0.435394
501,32,-0.396175,-0.499361
501,33,-1.66664,-0.413536
501,34,0.215909,0.254727
501,35,0.675668,0.835731
501,36,-0.191103,-0.222312
501,37,0.771254,0.916124
