t,unit,input,output
500,1,1.01802,0.769058
500,2,-0.264188,-0.258208
500,3,0.454644,0.454644
500,4,0.0462211,0.0461883
500,5,0.592505,0.592505
500,6,0.492799,0.456435
500,7,1.8635,1.8635
500,8,-0.0201075,-0.0201048
500,9,0.349267,0.349267
500,10,0.449623,0.449623
500,11,0.277573,0.277573
500,12,-1.0372,-1.0372
500,13,-0.13763,-0.136768
500,14,1.91871,0.957811
500,15,-0.0321012,-0.0320902
500,16,-0.720055,-0.616943
500,17,-0.620755,-0.620755
500,18,-0.700039,-0.700039
500,19,-0.193969,-0.191572
500,20,-0.303148,-0.303148
500,21,0.314137,0.304196
500,22,-0.67271,-0.67271
500,23,0.204632,0.204632
500,24,0.0804644,0.0804644
500,25,0.200199,0.200199
500,26,-1.20109,-1.20109
500,27,0.639327,0.639327
500,28,-0.303732,-0.294724
500,29,0.0123154,0.0123147
500,30,-1.28691,-0.858314
500,31,0.622831,0.553096
500,32,-0.112949,-0.112471
500,33,-0.951344,-0.740391
500,34,0.136942,0.136092
500,35,0.445542,0.418227
500,36,0.280283,0.273167
500,37,0.222191,0.218605
500,38,0.487129,0.487129
500,39,-0.811564,-0.811564
500,40,-0.229453,-0.229453
500,41,0.00618806,0.00618798
500,42,0.172203,0.17052
500,43,1.12916,0.810731
500,44,0.348277,0.334846
500,45,0.453943,0.453943
500,46,-0.0262848,-0.0262788
500,47,-1.02094,-0.770249
500,48,0.56093,0.508667
500,49,0.409184,0.409184
500,50,0.0110408,0.0110403
500,51,-0.672447,-0.586587
500,52,-0.133314,-0.13253
500,53,-0.297419,-0.297419
500,54,0.117944,0.1174
500,55,0.466322,0.435223
500,56,0.328371,0.317056
500,57,-0.598757,-0.536165
500,58,0.209591,0.209591
500,59,0.255063,0.249672
500,60,-0.0275864,-0.0275864
500,61,-0.373074,-0.373074
500,62,-0.880857,-0.706848
500,63,-0.454079,-0.454079
500,64,-0.162247,-0.162247
500,65,0.0164551,0.0164536
500,66,-0.615181,-0.547764
500,67,0.562709,0.509985
500,68,0.377724,0.377724
500,69,-0.161502,-0.161502
500,70,-0.0935805,-0.0935805
500,71,-0.237368,-0.233008
500,72,0.298785,0.2902
500,73,-0.293948,-0.293948
500,74,-0.329916,-0.318446
500,75,-0.461074,-0.461074
500,76,0.112111,0.112111
500,77,-0.454453,-0.425553
500,78,0.978181,0.752278
500,79,0.426331,0.402251
500,80,-0.223662,-0.223662
500,81,0.432475,0.407387
500,82,-0.0314074,-0.0314074
500,83,0.655576,0.575412
500,84,0.755275,0.638285
500,85,0.182301,0.180308
500,86,0.198015,0.198015
500,87,-0.0472672,-0.0472672
500,88,-0.84033,-0.84033
500,89,0.00967832,0.00967832
500,90,0.0262093,0.0262033
500,91,-1.14594,-0.816404
500,92,1.12722,0.810065
500,93,-0.954438,-0.954438
500,94,-0.261263,-0.255476
500,95,-0.499377,-0.461627
500,96,1.13168,0.811594
500,97,0.443326,0.416398
500,98,-1.10408,-1.10408
500,99,0.506469,0.467189
500,100,0.31467,0.30468
501,1,1.01677,0.76855
501,2,-0.262472,-0.256606
501,3,0.454664,0.454664
501,4,0.0458281,0.0457961
501,5,0.604584,0.604584
501,6,0.502967,0.464447
501,7,1.85379,1.85379
501,8,-0.0171897,-0.017188
501,9,0.340943,0.340943
501,10,0.457859,0.457859
501,11,0.268314,0.268314
501,12,-1.04379,-1.04379
501,13,-0.143365,-0.14239
501,14,1.91863,0.957804
501,15,-0.0249912,-0.024986
501,16,-0.729498,-0.622758
501,17,-0.609912,-0.609912
501,18,-0.690664,-0.690664
501,19,-0.184553,-0.182486
501,20,-0.303798,-0.303798
501,21,0.310263,0.300676
501,22,-0.663183,-0.663183
501,23,0.199216,0.199216
501,24,0.0636394,0.0636394
501,25,0.198006,0.198006
501,26,-1.20416,-1.20416
501,27,0.634392,0.634392
501,28,-0.304841,-0.295736
501,29,0.0233123,0.0233081
501,30,-1.29007,-0.859146
501,31,0.614674,0.547409
501,32,-0.127342,-0.126658
501,33,-0.953859,-0.741525
501,34,0.147897,0.146828
501,35,0.446935,0.419377
501,36,0.278708,0.271709
501,37,0.224173,0.220492
501,38,0.477593,0.477593
501,39,-0.81241,-0.81241
501,40,-0.220434,-0.220434
501,41,0.0091078,0.00910755
