t,unit,input,output
500,1,-0.0770358,-0.0826532
500,2,-0.0807914,-0.0869517
500,3,-0.080172,-0.0862412
500,4,-0.0835105,-0.0835105
500,5,-0.0790295,-0.0790295
500,6,0.0823808,0.0887778
500,7,0.0796798,0.0796798
500,8,0.0821177,0.0821177
500,9,-0.084786,-0.0915491
500,10,0.0847538,0.0847538
500,11,-0.0835463,-0.0835463
500,12,-0.0802119,-0.086287
500,13,-0.079674,-0.079674
500,14,-0.0822367,-0.0886121
500,15,0.0801894,0.0801894
500,16,-0.0821467,-0.0821467
500,17,0.0822967,0.0886811
500,18,0.0835624,0.090138
500,19,0.0770264,0.0826426
500,20,-0.0822367,-0.0822367
501,1,-0.0246458,-0.0252433
501,2,-0.0101955,-0.0102987
501,3,-0.0173472,-0.0176447
501,4,0.00415299,0.00415299
501,5,-0.0104798,-0.0104798
501,6,-0.00450295,-0.00452316
501,7,0.0105844,0.0105844
501,8,0.0100748,0.0100748
501,9,0.00402708,0.00404326
501,10,-0.00499716,-0.00499716
501,11,0.00425064,0.00425064
501,12,-0.00968961,-0.00978291
501,13,-0.0103112,-0.0103112
501,14,-0.0092574,-0.00934259
501,15,0.0102306,0.0102306
501,16,-0.00922912,-0.00922912
501,17,-0.00436205,-0.00438103
501,18,-0.00370155,-0.00371521
501,19,0.0242683,0.0248478
501,20,-0.0092574,-0.0092574
502,1,-0.0940208,-0.102276
502,2,-0.0933962,-0.101546
502,3,-0.0949784,-0.103396
502,4,-0.0917392,-0.0917392
502,5,-0.0916409,-0.0916409
502,6,0.0905465,0.0982241
502,7,0.0923119,0.0923119
502,8,0.0947683,0.0947683
502,9,-0.0930505,-0.101142
502,10,0.0929226,0.0929226
502,11,-0.0917903,-0.0917903
502,12,-0.0927695,-0.100814
502,13,-0.0922607,-0.0922607
502,14,-0.0947631,-0.103144
502,15,0.0927767,0.0927767
502,16,-0.0946791,-0.0946791
502,17,0.0904653,0.0981297
502,18,0.0918231,0.0997106
502,19,0.0939866,0.102236
502,20,-0.0947631,-0.0947631
503,1,-0.0825774,-0.0890039
503,2,-0.0662367,-0.0704244
503,3,-0.0748487,-0.0801608
503,4,-0.0495865,-0.0495865
503,5,-0.0658841,-0.0658841
503,6,0.0486449,0.0509334
503,7,0.066369,0.066369
503,8,0.0667123,0.0667123
503,9,-0.0502572,-0.052697
503,10,0.0489981,0.0489981
503,11,-0.0494903,-0.0494903
503,12,-0.0653428,-0.069421
503,13,-0.0659872,-0.0659872
503,14,-0.0655736,-0.0696799
503,15,0.0660539,0.0660539
503,16,-0.0655344,-0.0655344
503,17,0.0487804,0.0510815
503,18,0.0502129,0.0526485
503,19,0.0821859,0.0885536
503,20,-0.0655736,-0.0655736
504,1,0.0435171,0.0453554
504,2,0.0536893,0.0564667
504,3,0.0468433,0.0489683
504,4,0.0652258,0.0652258
504,5,0.0559756,0.0559756
504,6,-0.06711,-0.071406
504,7,-0.0548875,-0.0548875
504,8,-0.0517537,-0.0517537
504,9,0.0634135,0.0672601
504,10,-0.0640883,-0.0640883
504,11,0.0651893,0.0651893
504,12,0.054883,0.0577827
504,13,0.0550425,0.0550425
504,14,0.0523355,0.0549772
504,15,-0.0545345,-0.0545345
504,16,0.052456,0.052456
504,17,-0.0671731,-0.071477
504,18,-0.0648052,-0.0688182
504,19,-0.0437329,-0.0455892
504,20,0.0523355,0.0523355
505,1,0.093605,0.10179
505,2,0.0831978,0.0897181
505,3,0.0875293,0.0947212
505,4,0.0739554,0.0739554
505,5,0.0849263,0.0849263
505,6,-0.0748606,-0.0801744
505,7,-0.0849923,-0.0849923
505,8,-0.0828312,-0.0828312
505,9,0.0733885,0.0785012
505,10,-0.0727434,-0.0727434
505,11,0.0740518,0.0740518
505,12,0.0836599,0.0902504
505,13,0.0842813,0.0842813
505,14,0.0819725,0.0883083
505,15,-0.083884,-0.083884
505,16,0.0820584,0.0820584
505,17,-0.0747343,-0.0800306
505,18,-0.0742526,-0.0794828
505,19,-0.0941828,-0.102465
505,20,0.0819725,0.0819725
506,1,-0.0675755,-0.0719298
506,2,-0.0815032,-0.087769
506,3,-0.073311,-0.0784131
506,4,-0.096079,-0.096079
506,5,-0.0827246,-0.0827246
506,6,0.0974787,0.106327
506,7,0.0815009,0.0815009
506,8,0.0797396,0.0797396
506,9,-0.0945865,-0.102937
506,10,0.0957055,0.0957055
506,11,-0.0960534,-0.0960534
506,12,-0.0824301,-0.0888345
506,13,-0.0821908,-0.0821908
506,14,-0.0809395,-0.0871217
506,15,0.0818925,0.0818925
506,16,-0.0809809,-0.0809809
506,17,0.0975983,0.106467
506,18,0.0954627,0.103963
506,19,0.0673391,0.0716637
506,20,-0.0809395,-0.0809395
507,1,-0.073034,-0.0780988
507,2,-0.057369,-0.0605316
507,3,-0.0641,-0.0680282
507,4,-0.0430501,-0.0430501
507,5,-0.0595273,-0.0595273
507,6,0.0439504,0.0458249
507,7,0.0596006,0.0596006
507,8,0.0567837,0.0567837
507,9,-0.0424224,-0.0441707
507,10,0.0411774,0.0411774
507,11,-0.0431383,-0.0431383
507,12,-0.0576608,-0.0608549
507,13,-0.0586501,-0.0586501
507,14,-0.0553398,-0.0582871
507,15,0.0581853,0.0581853
507,16,-0.055478,-0.055478
507,17,0.0438955,0.0457654
507,18,0.0436008,0.0454461
507,19,0.0734879,0.078614
507,20,-0.0553398,-0.0553398
508,1,0.0865442,0.0935807
508,2,0.0954484,0.103946
508,3,0.0894463,0.0969451
508,4,0.105292,0.105292
508,5,0.097243,0.097243
508,6,-0.106791,-0.117329
508,7,-0.096026,-0.096026
508,8,-0.09341,-0.09341
508,9,0.103579,0.113519
508,10,-0.104211,-0.104211
508,11,0.105222,0.105222
508,12,0.0962953,0.104938
508,13,0.0965029,0.0965029
508,14,0.0940498,0.102309
508,15,-0.0960452,-0.0960452
508,16,0.0941484,0.0941484
508,17,-0.106982,-0.117555
508,18,-0.104903,-0.115087
508,19,-0.0862792,-0.0932742
508,20,0.0940498,0.0940498
509,1,0.0352359,0.0364483
509,2,0.0173834,0.0176821
509,3,0.0257704,0.0264232
509,4,0.000574529,0.000574529
509,5,0.0189507,0.0189507
509,6,-0.000922503,-0.000923353
509,7,-0.0195196,-0.0195196
509,8,-0.0175588,-0.0175588
509,9,0.000621246,0.000621632
509,10,0.00104122,0.00104122
509,11,0.000715011,0.000715011
509,12,0.0172987,0.0175945
509,13,0.018329,0.018329
509,14,0.0157367,0.0159818
509,15,-0.0179995,-0.0179995
509,16,0.015838,0.015838
509,17,-0.000783649,-0.000784263
509,18,-0.00136703,-0.0013689
509,19,-0.0357514,-0.036999
509,20,0.0157367,0.0157367
510,1,-0.0409395,-0.0425695
510,2,-0.042729,-0.0445023
510,3,-0.0403035,-0.041884
510,4,-0.0455733,-0.0455733
510,5,-0.0447349,-0.0447349
510,6,0.0469944,0.0491329
510,7,0.0438025,0.0438025
510,8,0.0409428,0.0409428
510,9,-0.0439382,-0.0458117
510,10,0.0441621,0.0441621
