t,unit,input,output
500,1,-5.81221,-5.81221
500,2,11.5959,11.5959
500,3,-0.268725,-0.268725
500,4,-4.25058,-4.25058
500,5,-10.7044,-10.7044
500,6,-19.762,-19.762
500,7,0.926291,0.926291
500,8,11.0771,11.0771
500,9,-1.8488,-0.0787424
500,10,5.35132,5.35132
500,11,-5.51242,-5.51242
500,12,-11.9984,-11.9984
500,13,4.70607,4.70607
500,14,-3.72355,-3.72355
500,15,10.5206,10.5206
500,16,-3.57344,-3.57344
500,17,16.735,16.735
500,18,9.18542,9.18542
500,19,1.90263,1.90263
500,20,-15.3858,-15.3858
500,21,10.874,10.874
500,22,-15.3013,-15.3013
500,23,-2.73404,-2.73404
500,24,-6.13292,-6.13292
500,25,8.52615,8.52615
500,26,-14.6286,-14.6286
500,27,-11.7258,-0.0205991
500,28,5.37236,5.37236
500,29,14.8536,14.8536
500,30,12.7938,12.7938
500,31,3.94933,3.94933
500,32,-8.3221,-8.3221
500,33,-4.01786,-4.01786
500,34,4.53904,4.53904
500,35,-8.32397,-8.32397
500,36,-7.35345,-7.35345
500,37,-4.08871,-4.08871
500,38,-15.1355,-0.00868454
500,39,11.8035,11.8035
500,40,-1.16164,-1.16164
500,41,-6.7638,-6.7638
500,42,-7.61318,-7.61318
500,43,-16.098,0.00598969
500,44,2.63827,2.63827
500,45,8.10648,0.0128915
500,46,-11.9299,-11.9299
500,47,4.00935,4.00935
500,48,-10.9445,-10.9445
500,49,-4.77086,-4.77086
500,50,-4.28513,-4.28513
500,51,14.5176,14.5176
500,52,-1.34693,-1.34693
500,53,-4.13428,-4.13428
500,54,-19.1279,-19.1279
500,55,8.47291,8.47291
500,56,-5.99249,-5.99249
500,57,1.37381,1.37381
500,58,-1.8167,-1.8167
500,59,-2.55155,-2.55155
500,60,-13.6592,-13.6592
500,61,-17.4944,-17.4944
500,62,-9.51055,-9.51055
500,63,13.6174,13.6174
500,64,7.00392,7.00392
500,65,-11.1328,-11.1328
500,66,-0.343214,-0.343214
500,67,-1.39904,-1.39904
500,68,11.7168,11.7168
500,69,-1.14344,-1.14344
500,70,9.59264,-0.0317872
500,71,8.26916,8.26916
500,72,-11.8894,-11.8894
500,73,1.41615,1.41615
500,74,7.43218,-0.0418601
500,75,-2.22638,-2.22638
500,76,2.52869,2.52869
500,77,4.14386,4.14386
500,78,0.755656,0.755656
500,79,7.64001,7.64001
500,80,10.5809,10.5809
500,81,-11.7297,-11.7297
500,82,-11.9248,-11.9248
500,83,-12.9461,-12.9461
500,84,-1.58382,-1.58382
500,85,8.21027,8.21027
500,86,-18.1113,0.00601869
500,87,-6.40245,-6.40245
500,88,9.82848,-0.0166192
500,89,2.71052,2.71052
500,90,12.1345,12.1345
500,91,-11.3043,-11.3043
500,92,4.53043,4.53043
