t,unit,input,output
500,1,3.91955,3.91955
500,2,1.86595,1.87715e-05
500,3,-0.835944,-0.835944
500,4,1.50758,1.50758
500,5,2.20744,2.20744
500,6,-3.89005,-3.89005
500,7,-1.81236,-1.81236
500,8,0.530216,0.530216
500,9,-0.86258,-0.86258
500,10,3.58559,3.58559
500,11,-2.15114,-2.15114
500,12,0.567526,0.567526
500,13,-1.59486,-1.59486
500,14,-3.2817,-3.2817
500,15,-2.78572,-2.78572
500,16,0.952467,0.952467
500,17,-2.64282,-2.64282
500,18,-3.16655,-3.16655
500,19,-3.94879,-3.94879
500,20,-0.00242518,0.997337
501,1,2.8196,2.8196
501,2,0.62815,0.290636
501,3,-2.39653,-2.39653
501,4,3.08599,3.08599
501,5,1.00639,1.00639
501,6,-2.49444,-2.49444
501,7,-2.81024,-2.81024
501,8,1.6698,1.6698
501,9,-2.06156,-2.06156
501,10,2.3888,2.3888
501,11,-0.553432,-0.553432
501,12,2.16743,2.16743
501,13,-0.234902,-0.234902
501,14,-1.68735,-1.68735
501,15,-1.21287,-1.21287
501,16,-0.647439,-0.647439
501,17,-1.48335,-1.48335
501,18,-1.58622,-1.58622
501,19,-3.10413,-3.10413
501,20,1.28985,0.00550709
502,1,4.13314,4.13314
502,2,2.09472,1.10604e-06
502,3,-0.708167,-0.708167
502,4,1.37966,1.37966
502,5,2.42079,2.42079
502,6,-4.06066,-4.06066
502,7,-1.5569,-1.5569
502,8,0.317668,0.317668
502,9,-0.64941,-0.64941
502,10,3.79862,3.79862
502,11,-2.27903,-2.27903
502,12,0.439491,0.439491
502,13,-1.7651,-1.7651
502,14,-3.40982,-3.40982
502,15,-2.91372,-2.91372
502,16,1.0805,1.0805
502,17,-2.85559,-2.85559
502,18,-3.29448,-3.29448
502,19,-4.24734,-4.24734
502,20,-0.231268,0.843843
503,1,3.75251,3.75251
503,2,1.54671,0.000565059
503,3,-1.48217,-1.48217
503,4,2.16744,2.16744
503,5,1.95449,1.95449
503,6,-3.4299,-3.4299
503,7,-1.84946,-1.84946
503,8,0.734302,0.734302
503,9,-1.11348,-1.11348
503,10,3.33691,3.33691
503,11,-1.47621,-1.47621
503,12,1.24468,1.24468
503,13,-1.16192,-1.16192
503,14,-2.61014,-2.61014
503,15,-2.13148,-2.13148
503,16,0.275312,0.275312
503,17,-2.42301,-2.42301
503,18,-2.50476,-2.50476
503,19,-4.08595,-4.08595
503,20,0.358624,0.667271
504,1,1.70976,1.70976
504,2,-0.462645,0.510929
504,3,-3.38226,-3.38226
504,4,4.05209,4.05209
504,5,-0.0685052,-0.0685052
504,6,-1.48125,-1.48125
504,7,-3.95444,-3.95444
504,8,2.81032,2.81032
504,9,-3.1383,-3.1383
504,10,1.31015,1.31015
504,11,0.392149,0.392149
504,12,3.11108,3.11108
504,13,0.817643,0.817643
504,14,-0.739482,-0.739482
504,15,-0.24254,-0.24254
504,16,-1.59109,-1.59109
504,17,-0.36419,-0.36419
504,18,-0.621643,-0.621643
504,19,-1.94199,-1.94199
504,20,2.32151,4.83621e-08
505,1,1.14079,1.14079
505,2,-0.803843,0.132403
505,3,-3.49958,-3.49958
505,4,4.17568,4.17568
505,5,-0.573651,-0.573651
505,6,-1.16644,-1.16644
505,7,-4.64212,-4.64212
505,8,3.28962,3.28962
505,9,-3.64159,-3.64159
505,10,0.808847,0.808847
505,11,0.52311,0.52311
505,12,3.24404,3.24404
505,13,1.11992,1.11992
505,14,-0.611237,-0.611237
505,15,-0.123692,-0.123692
505,16,-1.72405,-1.72405
505,17,0.123222,0.123222
505,18,-0.496399,-0.496399
505,19,-1.04657,-1.04657
505,20,2.68204,1.72287e-10
506,1,3.92734,3.92734
506,2,2.10883,9.18979e-07
506,3,-0.650434,-0.650434
506,4,1.34556,1.34556
506,5,2.2143,2.2143
506,6,-3.96461,-3.96461
506,7,-1.86873,-1.86873
