t,unit,input,output
500,1,32.6915,32.6915
500,2,-32.7285,-32.7285
500,3,-8.04636,-8.04636
500,4,-5.95472,-5.95472
500,5,2.15292,0.0683297
500,6,19.6952,-0.0132172
500,7,-12.296,-12.296
500,8,-2.71073,-2.71073
500,9,18.3127,0.0144587
500,10,32.629,32.629
500,11,-12.2342,0.0174627
500,12,18.7529,0.0118915
500,13,17.4882,-0.0181889
500,14,-28.3763,-28.3763
500,15,-10.709,-10.709
500,16,9.00619,9.00619
500,17,-8.75863,0.0249922
500,18,9.73959,-0.023853
500,19,22.9405,22.9405
500,20,14.703,0.0173937
500,21,23.7862,23.7862
500,22,-24.9541,0.00183324
500,23,31.6395,31.6395
500,24,-32.0863,0.00265653
500,25,3.26617,-0.0723228
500,26,24.8446,24.8446
500,27,11.4639,11.4639
500,28,-27.0814,-0.00297171
500,29,9.52166,-0.0333527
500,30,23.5222,23.5222
500,31,19.5561,-0.0160249
500,32,29.9799,29.9799
500,33,19.3765,19.3765
500,34,-8.24986,0.027271
500,35,-3.14943,-3.14943
500,36,-32.2647,-32.2647
500,37,11.7875,11.7875
500,38,16.728,16.728
500,39,-35.1382,-35.1382
500,40,-17.7097,-17.7097
500,41,32.631,0.00894064
500,42,-4.31432,-4.31432
500,43,-14.4744,-14.4744
500,44,25.8416,25.8416
500,45,0.899443,0.109948
500,46,-27.8764,-0.004324
500,47,-8.34936,-8.34936
500,48,-10.9152,0.00767434
500,49,-15.3659,-15.3659
500,50,-20.9987,-20.9987
501,1,28.5942,28.5942
501,2,-28.1594,-28.1594
501,3,-12.373,-12.373
501,4,-1.54987,-1.54987
501,5,6.55674,0.0477778
501,6,23.9475,-0.00218375
501,7,-16.621,-16.621
501,8,1.53452,1.53452
501,9,22.6364,0.0127909
501,10,28.227,28.227
501,11,-7.90111,-0.0123153
501,12,14.5813,0.021121
501,13,21.6555,-0.0129796
501,14,-23.9778,-23.9778
501,15,-15.1947,-15.1947
501,16,4.60224,4.60224
501,17,-13.2398,-0.0164473
501,18,5.64985,-0.0502114
501,19,27.1921,27.1921
501,20,10.3726,0.0282629
501,21,19.4533,19.4533
501,22,-20.7061,0.01226
501,23,27.2373,27.2373
501,24,-27.7618,-0.00780045
501,25,-1.06214,-0.0581326
501,26,20.5956,20.5956
501,27,7.05486,7.05486
501,28,-22.4484,0.0139936
501,29,14.0779,0.00547725
501,30,19.2752,19.2752
501,31,15.232,-0.0139179
501,32,25.7376,25.7376
501,33,23.6236,23.6236
501,34,-3.92,-0.0201935
501,35,1.02806,1.02806
501,36,-27.9486,-27.9486
501,37,7.45992,7.45992
501,38,12.6284,12.6284
501,39,-30.8768,-30.8768
501,40,-21.9567,-21.9567
501,41,28.2218,0.00723951
501,42,-0.223723,-0.223723
501,43,-18.7357,-18.7357
501,44,21.5818,21.5818
501,45,-3.51524,-0.0904476
501,46,-23.5452,-0.0133832
501,47,-3.8655,-3.8655
501,48,-15.3166,-0.0174257
501,49,-11.0387,-11.0387
501,50,-16.4448,-16.4448
502,1,35.0939,35.0939
502,2,-35.5875,-35.5875
502,3,-5.41574,-5.41574
502,4,-8.66351,-8.66351
502,5,-0.553444,0.567056
502,6,17.1387,-0.00783861
502,7,-9.6669,-9.6669
502,8,-5.25939,-5.25939
502,9,15.685,-0.0169628
502,10,35.3328,35.3328
502,11,-14.8735,0.00828113
502,12,21.2308,-0.00994322
502,13,15.017,-0.0011313
502,14,-31.0786,-31.0786
502,15,-7.91959,-7.91959
502,16,11.7154,11.7154
502,17,-5.97388,-0.00436772
502,18,12.1335,0.0106803
502,19,20.3848,20.3848
502,20,17.3373,-0.0160119
502,21,26.4246,26.4246
502,22,-27.5048,-0.0115715
502,23,34.3441,34.3441
502,24,-34.7146,0.00716339
502,25,5.89492,-0.0175036
502,26,27.3955,27.3955
502,27,14.1762,14.1762
502,28,-30.0195,0.000647977
502,29,6.66204,0.041721
502,30,26.0736,26.0736
502,31,22.1821,0.00776801
502,32,32.5263,32.5263
502,33,16.8261,16.8261
502,34,-10.8819,0.0106095
502,35,-5.62952,-5.62952
502,36,-34.8994,-34.8994
502,37,14.4161,14.4161
502,38,19.1315,19.1315
502,39,-37.687,-37.687
502,40,-15.1587,-15.1587
502,41,35.3459,-0.00797113
502,42,-6.70678,-6.70678
502,43,-11.9241,-11.9241
502,44,28.4049,28.4049
502,45,3.61819,-0.0819797
502,46,-30.513,0.0104233
502,47,-11.1364,-11.1364
502,48,-8.2115,0.0239026
502,49,-17.9959,-17.9959
502,50,-23.8541,-23.8541
503,1,20.8959,20.8959
503,2,-19.9144,-19.9144
503,3,-20.3461,-20.3461
503,4,6.51543,6.51543
503,5,14.624,0.0201342
503,6,31.8312,-0.00505835
503,7,-24.5853,-24.5853
503,8,9.40366,9.40366
503,9,30.6173,0.00969842
503,10,20.1837,20.1837
503,11,0.0832043,0.988651
503,12,6.80017,0.0274931
503,13,29.4285,-0.0105446
503,14,-15.9196,-15.9196
503,15,-23.3599,-23.3599
503,16,-3.46478,-3.46478
503,17,-21.3958,-0.0140873
503,18,-2.02692,0.0132649
503,19,35.0729,35.0729
503,20,2.39523,0.12576
503,21,11.4516,11.4516
503,22,-12.8328,0.0124375
503,23,19.1942,19.1942
503,24,-19.7967,-0.00958412
