t,unit,input,output
500,1,-2.79616,-0.992575
500,2,16.7584,1
500,3,9.47642,1
500,4,-0.999754,-0.761491
500,5,-41.9453,-41.9453
500,6,-67.248,-1
500,7,-13.4971,-1
500,8,43.4876,1
500,9,-17.8516,-1
500,10,5.34761,0.999955
500,11,-23.2903,-23.2903
500,12,-44.2781,-44.2781
500,13,24.115,24.115
500,14,-22.0313,-1
500,15,38.6571,1
500,16,-25.7855,-1
500,17,54.107,1
500,18,16.4705,1
500,19,-3.05842,-0.995599
500,20,-50.6806,-1
500,21,18.6027,18.6027
500,22,-49.4524,-1
500,23,-15.0916,-1
500,24,-4.74452,-0.999849
500,25,33.8145,1
500,26,-26.2202,-26.2202
500,27,-41.6428,-1
500,28,0.0790322,0.0790322
500,29,46.0642,46.0642
500,30,21.1686,21.1686
500,31,24.8985,24.8985
500,32,-7.15817,-7.15817
500,33,-0.417605,-0.394911
500,34,-3.53763,-0.99831
500,35,-8.48195,-1
500,36,-5.69834,-0.999978
500,37,-22.7868,-1
500,38,-50.0791,-1
500,39,45.2259,1
500,40,-14.5856,-1
500,41,-7.55419,-0.999999
500,42,-9.24032,-1
500,43,-52.8025,-1
500,44,19.4944,1
500,45,32.0217,1
500,46,-42.0699,-1
500,47,19.5632,19.5632
500,48,-13.0664,-1
500,49,-2.57036,-0.988361
500,50,-18.2862,-18.2862
500,51,50.4495,1
500,52,-10.8792,-1
500,53,-20.6145,-1
500,54,-53.4982,-53.4982
500,55,31.3174,1
500,56,-1.73734,-1.73734
500,57,6.86507,6.86507
500,58,6.50075,6.50075
500,59,6.82292,0.999998
500,60,-43.9962,-1
500,61,-55.1953,-1
500,62,-18.2385,-1
500,63,46.0407,1
500,64,6.71593,6.71593
500,65,-17.4933,-17.4933
500,66,9.83565,1
500,67,-14.3095,-14.3095
500,68,38.8184,38.8184
500,69,-11.9665,-11.9665
500,70,35.798,1
500,71,35.7685,35.7685
500,72,-38.6315,-1
500,73,-5.22376,-5.22376
500,74,4.6453,0.999815
500,75,-14.5733,-1
500,76,-5.3011,-0.99995
500,77,21.2083,1
500,78,-14.3282,-1
500,79,5.73366,0.999979
500,80,14.2569,14.2569
500,81,-19.226,-1
500,82,-39.6609,-1
500,83,-40.4694,-40.4694
500,84,-17.6787,-1
500,85,4.08689,0.999436
500,86,-58.5947,-1
500,87,-7.05648,-0.999999
500,88,32.577,1
500,89,-8.24331,-8.24331
500,90,42.8438,42.8438
500,91,-41.0951,-1
500,92,20.3697,1
500,93,33.4604,33.4604
500,94,-7.42214,-0.999999
500,95,-59.0501,-59.0501
500,96,-6.02336,-0.999988
500,97,4.42673,0.999714
500,98,47.9163,1
500,99,45.7115,1
500,100,14.8101,1
501,1,-17.8842,-1
501,2,30.4187,1
501,3,-6.64947,-0.999997
501,4,-15.3901,-1
501,5,-30.358,-30.358
501,6,-54.5861,-1
501,7,-0.281551,-0.27434
501,8,28.3706,1
501,9,-3.58625,-0.998466
501,10,19.8452,1
501,11,-9.6682,-9.6682
501,12,-30.9939,-30.9939
501,13,8.58739,8.58739
501,14,-7.69726,-1
501,15,24.7879,1
501,16,-13.2891,-1
501,17,39.5488,1
501,18,31.9668,1
501,19,12.4618,1
501,20,-35.5197,-1
501,21,33.5727,33.5727
501,22,-33.9303,-1
501,23,0.78334,0.65462
501,24,-18.8543,-1
