t,unit,input,output
500,1,1.35125,0.874348
500,2,2.71251,2.71251
500,3,2.36962,2.36962
500,4,-2.11158,-2.11158
500,5,1.86546,1.86546
500,6,-1.71306,-0.937022
500,7,2.22991,2.22991
500,8,-4.9862,-0.999907
500,9,2.38897,0.983314
500,10,-3.15078,-0.99634
500,11,0.391756,0.391756
500,12,-4.35477,-0.99967
500,13,-1.89078,-1.89078
500,14,3.72762,0.998844
500,15,1.69962,1.69962
500,16,-0.559373,-0.507512
500,17,-1.55162,-0.914053
500,18,-1.82556,-1.82556
500,19,-0.742604,-0.742604
500,20,-2.3601,-2.3601
500,21,1.08328,0.794414
500,22,5.18541,0.999937
500,23,1.99068,0.963363
500,24,-1.68788,-0.933877
500,25,1.48518,0.902435
500,26,-0.0997476,-0.0997476
500,27,-3.03683,-0.995405
500,28,-2.74541,-0.991785
500,29,-2.38176,-0.983073
500,30,-3.58455,-3.58455
500,31,4.37738,4.37738
500,32,-2.06328,-2.06328
500,33,1.76399,0.942947
500,34,0.358293,0.358293
500,35,2.71159,0.991213
500,36,-1.5392,-1.5392
500,37,-2.77822,-2.77822
500,38,-0.21688,-0.21688
500,39,-4.94809,-4.94809
500,40,-1.49434,-0.904119
500,41,-1.51952,-0.908614
500,42,-1.32372,-0.867707
500,43,4.14171,4.14171
500,44,0.0804031,0.0804031
500,45,-1.0256,-0.772139
500,46,3.3909,0.997734
500,47,-5.31979,-0.999952
500,48,-4.4646,-0.999735
500,49,-0.646915,-0.569589
500,50,-0.582151,-0.582151
500,51,2.34769,0.981891
500,52,-3.04395,-3.04395
500,53,-3.39222,-3.39222
500,54,-0.642411,-0.566539
500,55,3.67272,0.99871
500,56,5.4414,0.999962
500,57,3.03331,3.03331
500,58,3.75971,3.75971
500,59,-1.72841,-1.72841
500,60,-4.18668,-0.999538
500,61,0.0919044,0.0916465
500,62,0.146417,0.14538
500,63,5.02842,5.02842
500,64,2.69483,2.69483
500,65,-0.284147,-0.276739
500,66,0.162417,0.161004
500,67,-2.91243,-0.994111
500,68,1.91805,1.91805
500,69,-3.46246,-0.998036
500,70,2.1062,2.1062
500,71,-5.85818,-0.999984
500,72,-1.28488,-0.857781
500,73,-0.110254,-0.110254
500,74,-5.19291,-0.999938
500,75,-0.65265,-0.573451
500,76,0.560604,0.508425
500,77,1.23689,0.844566
500,78,0.786426,0.65638
500,79,1.36147,0.876733
500,80,-3.30677,-0.997319
500,81,3.31461,0.997361
500,82,-3.5028,-3.5028
500,83,0.84603,0.68899
500,84,-2.26904,-2.26904
500,85,-2.49125,-2.49125
500,86,0.149618,0.149618
500,87,-4.43038,-0.999716
500,88,2.76414,2.76414
500,89,-1.92736,-0.95852
500,90,-3.65203,-0.998655
500,91,0.69092,0.598572
500,92,3.22113,0.996819
500,93,1.95584,0.960771
500,94,-4.40736,-4.40736
500,95,0.680289,0.591707
500,96,-1.81459,-0.948296
500,97,-0.313053,-0.303212
500,98,4.13539,4.13539
500,99,0.87474,0.703774
500,100,3.26841,3.26841
501,1,0.710439,0.610952
501,2,2.22602,2.22602
501,3,2.29384,2.29384
501,4,-1.93147,-1.93147
501,5,1.56429,1.56429
501,6,-0.687698,-0.596501
501,7,1.12092,1.12092
501,8,-4.923,-0.999894
501,9,1.59427,0.920801
501,10,-2.91797,-0.994176
501,11,-0.202519,-0.202519
