t,unit,input,output
500,1,0.585886,0.52364
500,2,-1.14251,-1.14251
500,3,0.862089,0.862089
500,4,0.147264,0.964706
500,5,1.2431,1.2431
500,6,0.384974,0.773433
500,7,1.70905,1.70905
500,8,-0.109616,0.980352
500,9,1.11441,1.11441
500,10,0.622263,0.622263
500,11,1.431,1.431
500,12,-0.938021,-0.938021
500,13,-0.270898,0.883582
500,14,2.50959,0.12678
500,15,-0.872662,0.142058
500,16,-0.53854,0.586734
500,17,-0.183198,-0.183198
500,18,-0.998822,-0.998822
500,19,-0.774928,0.266838
500,20,-0.175494,-0.175494
500,21,0.766691,0.277781
500,22,-0.229649,-0.229649
500,23,0.46446,0.46446
500,24,0.291554,0.291554
500,25,0.924625,0.924625
500,26,-1.87334,-1.87334
500,27,0.874292,0.874292
500,28,-0.509189,-0.509189
500,29,0.285141,0.871523
500,30,-1.54547,-0.203865
500,31,1.33217,-0.206491
500,32,-0.0891509,0.986977
500,33,-0.978847,0.0215941
500,34,0.0922702,0.986054
500,35,0.867519,0.148341
500,36,-0.443601,0.706325
500,37,1.44391,-0.217036
500,38,0.00374219,0.00374219
500,39,-1.30312,-1.30312
500,40,-0.171955,-0.171955
500,41,-0.38445,0.774005
500,42,-0.701474,0.365871
500,43,1.70535,-0.14914
500,44,1.3231,-0.204373
500,45,0.929424,0.929424
500,46,0.095265,0.095265
500,47,-1.33782,-0.207712
500,48,0.921722,0.0840728
500,49,0.919128,0.919128
500,50,1.26035,-0.184295
500,51,-0.505127,0.630077
500,52,-0.213885,0.92643
500,53,-0.511516,-0.511516
500,54,0.482763,0.658384
500,55,0.817335,0.817335
500,56,0.212636,0.927268
500,57,-0.977236,-0.977236
500,58,0.0895074,0.0895074
500,59,1.44801,-0.2169
500,60,-0.209779,-0.209779
500,61,-0.111588,-0.111588
500,62,-1.33683,-1.33683
500,63,-0.0501326,-0.0501326
500,64,-0.534754,-0.534754
500,65,-0.265191,0.888267
500,66,-1.77876,-0.114604
500,67,1.68208,-0.159111
500,68,1.44353,1.44353
500,69,0.201367,0.201367
500,70,0.298227,0.298227
500,71,-0.850316,0.169616
500,72,0.137736,0.969084
500,73,0.228292,0.228292
500,74,0.570177,0.544752
500,75,0.0524471,0.0524471
500,76,-0.160274,-0.160274
500,77,-0.0266781,0.99883
500,78,0.765028,0.279998
500,79,0.673699,0.403862
500,80,1.1547,1.1547
500,81,0.354856,0.805363
500,82,0.0305679,0.0305679
500,83,1.27596,-0.190185
500,84,0.926078,0.0791068
500,85,1.03463,-0.0334019
500,86,0.90808,0.90808
500,87,-1.0985,-1.0985
500,88,-1.34725,-1.34725
500,89,0.174134,0.174134
500,90,0.631385,0.631385
500,91,-1.67911,-0.160341
500,92,1.0563,-0.0530191
500,93,-1.11123,-1.11123
500,94,-1.10901,-1.10901
500,95,-1.68675,-1.68675
500,96,1.83513,-0.0858777
500,97,0.155456,0.960719
500,98,-1.31915,-1.31915
500,99,1.32765,1.32765
500,100,0.430628,0.72169
501,1,0.580858,0.530414
501,2,-1.15093,-1.15093
501,3,0.829038,0.829038
501,4,0.11379,0.978837
501,5,1.27842,1.27842
501,6,0.433072,0.718818
501,7,1.68007,1.68007
501,8,-0.136711,0.969538
501,9,1.09559,1.09559
501,10,0.65764,0.65764
501,11,1.37844,1.37844
501,12,-0.95565,-0.95565
501,13,-0.301798,0.856768
501,14,2.47524,0.128209
501,15,-0.849135,0.171092
501,16,-0.569006,0.54632
501,17,-0.172999,-0.172999
501,18,-0.95157,-0.95157
501,19,-0.742946,0.309594
501,20,-0.19114,-0.19114
501,21,0.7503,0.299702
501,22,-0.188388,-0.188388
501,23,0.445373,0.445373
501,24,0.269658,0.269658
501,25,0.876067,0.876067
501,26,-1.86739,-1.86739
501,27,0.836663,0.836663
501,28,-0.542408,-0.542408
501,29,0.304504,0.854306
501,30,-1.58456,-0.193834
501,31,1.32257,-0.204244
501,32,-0.117256,0.977537
501,33,-0.983502,0.0167677
501,34,0.135802,0.969939
501,35,0.832115,0.192532
501,36,-0.412669,0.742496
501,37,1.42053,-0.217131
501,38,-0.0179307,-0.0179307
501,39,-1.3272,-1.3272
501,40,-0.145709,-0.145709
501,41,-0.407227,0.748687
501,42,-0.724046,0.335149
501,43,1.67603,-0.16161
501,44,1.33365,-0.206817
501,45,0.950458,0.950458
501,46,0.0684578,0.0684578
501,47,-1.35087,-0.210242
501,48,0.890592,0.120443
501,49,0.958786,0.958786
501,50,1.28211,-0.192341
501,51,-0.4823,0.658963
501,52,-0.225803,0.918215
501,53,-0.484156,-0.484156
501,54,0.46087,0.685459
501,55,0.773378,0.773378
501,56,0.202799,0.933708
501,57,-0.993055,-0.993055
501,58,0.0526872,0.0526872
501,59,1.40328,-0.216442
501,60,-0.182721,-0.182721
501,61,-0.116926,-0.116926
501,62,-1.31685,-1.31685
501,63,-0.0711996,-0.0711996
501,64,-0.571298,-0.571298
501,65,-0.230703,0.914722
501,66,-1.75844,-0.124562
501,67,1.71819,-0.143412
501,68,1.40242,1.40242
501,69,0.241062,0.241062
501,70,0.256556,0.256556
501,71,-0.876006,0.137992
501,72,0.109417,0.980423
501,73,0.194386,0.194386
501,74,0.551672,0.569406
501,75,0.0208208,0.0208208
501,76,-0.124212,-0.124212
501,77,-0.0469414,0.996379
501,78,0.801796,0.231533
501,79,0.703743,0.362775
501,80,1.13205,1.13205
501,81,0.388234,0.769868
501,82,-0.00652607,-0.00652607
501,83,1.25123,-0.180579
501,84,0.946363,0.0564095
501,85,1.04855,-0.0461268
501,86,0.878268,0.878268
501,87,-1.05957,-1.05957
501,88,-1.31258,-1.31258
501,89,0.150201,0.150201
501,90,0.665141,0.665141
501,91,-1.65673,-0.169308
501,92,1.08588,-0.078135
501,93,-1.14884,-1.14884
501,94,-1.14839,-1.14839
501,95,-1.67002,-1.67002
501,96,1.80155,-0.103155
501,97,0.18225,0.946252
501,98,-1.30126,-1.30126
501,99,1.2889,1.2889
501,100,0.448049,0.700994
502,1,0.544593,0.578765
502,2,-1.19291,-1.19291
502,3,0.791427,0.791427
502,4,0.0732426,0.991199
502,5,1.31746,1.31746
502,6,0.445,0.704652
502,7,1.66105,1.66105
502,8,-0.176723,0.949413
502,9,1.0647,1.0647
502,10,0.687308,0.687308
502,11,1.36541,1.36541
502,12,-1.00102,-1.00102
502,13,-0.339351,0.821049
502,14,2.45258,0.128348
502,15,-0.817953,0.210627
502,16,-0.600253,0.504208
502,17,-0.136049,-0.136049
502,18,-0.924684,-0.924684
502,19,-0.732414,0.323812
502,20,-0.237023,-0.237023
502,21,0.720631,0.339784
502,22,-0.158262,-0.158262
502,23,0.415542,0.415542
502,24,0.265325,0.265325
502,25,0.865613,0.865613
502,26,-1.79725,-1.79725
502,27,0.817125,0.817125
502,28,-0.549854,-0.549854
502,29,0.337801,0.822588
502,30,-1.60146,-0.188749
502,31,1.29166,-0.195507
502,32,-0.129167,0.972781
502,33,-1.03632,-0.0349734
502,34,0.154605,0.961143
502,35,0.800723,0.23293
502,36,-0.362545,0.79739
502,37,1.38894,-0.215366
502,38,-0.0428278,-0.0428278
502,39,-1.35079,-1.35079
502,40,-0.114391,-0.114391
502,41,-0.448461,0.7005
502,42,-0.764336,0.28092
502,43,1.65135,-0.171377
502,44,1.35559,-0.21106
502,45,0.986942,0.986942
502,46,0.0512383,0.0512383
502,47,-1.39866,-0.216145
502,48,0.842225,0.179754
502,49,0.995473,0.995473
502,50,1.31696,-0.202829
502,51,-0.442859,0.707211
502,52,-0.270809,0.883656
502,53,-0.450133,-0.450133
502,54,0.425452,0.727744
502,55,0.777874,0.777874
502,56,0.171694,0.95221
502,57,-1.03851,-1.03851
502,58,0.036239,0.036239
502,59,1.37414,-0.21377
502,60,-0.135448,-0.135448
502,61,-0.175271,-0.175271
502,62,-1.27541,-1.27541
502,63,-0.13035,-0.13035
502,64,-0.588778,-0.588778
502,65,-0.206053,0.931609
502,66,-1.72807,-0.138905
502,67,1.75408,-0.12666
502,68,1.3766,1.3766
502,69,0.282667,0.282667
502,70,0.255,0.255
502,71,-0.908736,0.0990588
502,72,0.0679965,0.992412
502,73,0.175536,0.175536
502,74,0.502297,0.633692
502,75,0.0154539,0.0154539
502,76,-0.13883,-0.13883
502,77,-0.081609,0.989081
502,78,0.818606,0.209789
502,79,0.72575,0.332838
502,80,1.1291,1.1291
502,81,0.423507,0.730007
502,82,-0.0256149,-0.0256149
502,83,1.21678,-0.164703
502,84,0.985808,0.0143918
502,85,1.07616,-0.070097
502,86,0.846076,0.846076
502,87,-1.04259,-1.04259
502,88,-1.29518,-1.29518
502,89,0.113402,0.113402
502,90,0.691053,0.691053
502,91,-1.60948,-0.186188
502,92,1.10572,-0.0938664
502,93,-1.14846,-1.14846
502,94,-1.17468,-1.17468
502,95,-1.63295,-1.63295
502,96,1.76166,-0.123
502,97,0.204785,0.93243
502,98,-1.26422,-1.26422
502,99,1.26421,1.26421
502,100,0.485598,0.654831
503,1,0.505962,0.629008
503,2,-1.22756,-1.22756
503,3,0.783452,0.783452
503,4,0.0642555,0.993222
503,5,1.32512,1.32512
503,6,0.434287,0.717385
503,7,1.65498,1.65498
503,8,-0.197152,0.937279
503,9,1.041,1.041
503,10,0.690181,0.690181
503,11,1.38563,1.38563
503,12,-1.02911,-1.02911
503,13,-0.353378,0.80688
503,14,2.45197,0.128343
503,15,-0.800732,0.232918
503,16,-0.611869,0.488427
503,17,-0.103585,-0.103585
503,18,-0.930598,-0.930598
503,19,-0.732859,0.323211
503,20,-0.270573,-0.270573
503,21,0.699278,0.368869
503,22,-0.161412,-0.161412
503,23,0.393627,0.393627
503,24,0.26101,0.26101
503,25,0.885605,0.885605
503,26,-1.74211,-1.74211
503,27,0.820015,0.820015
503,28,-0.543671,-0.543671
503,29,0.361786,0.798182
503,30,-1.59442,-0.19092
503,31,1.25967,-0.184027
503,32,-0.137013,0.969405
503,33,-1.07961,-0.0729714
503,34,0.144942,0.965799
503,35,0.79463,0.240887
503,36,-0.3449,0.815496
503,37,1.37007,-0.213244
503,38,-0.0589399,-0.0589399
503,39,-1.35989,-1.35989
503,40,-0.0954454,-0.0954454
503,41,-0.471651,0.672209
503,42,-0.785184,0.253288
503,43,1.64159,-0.175033
503,44,1.37721,-0.214142
503,45,1.00958,1.00958
503,46,0.043928,0.043928
503,47,-1.43698,-0.217186
503,48,0.823378,0.20367
503,49,1.00007,1.00007
503,50,1.34,-0.208161
503,51,-0.419469,0.734684
503,52,-0.303891,0.854865
503,53,-0.430219,-0.430219
503,54,0.404604,0.751652
503,55,0.801515,0.801515
503,56,0.142368,0.966991
503,57,-1.07067,-1.07067
503,58,0.0393816,0.0393816
503,59,1.37957,-0.214414
503,60,-0.116906,-0.116906
503,61,-0.228574,-0.228574
503,62,-1.24912,-1.24912
503,63,-0.165699,-0.165699
503,64,-0.584221,-0.584221
503,65,-0.205578,0.931917
503,66,-1.70583,-0.148931
503,67,1.76485,-0.121448
503,68,1.38229,1.38229
503,69,0.287036,0.287036
503,70,0.27055,0.27055
503,71,-0.925278,0.0800165
503,72,0.0505799,0.995797
503,73,0.17638,0.17638
503,74,0.470687,0.6734
503,75,0.0172563,0.0172563
503,76,-0.158355,-0.158355
503,77,-0.104119,0.982263
503,78,0.814809,0.214675
503,79,0.734924,0.320419
503,80,1.12478,1.12478
503,81,0.437165,0.713982
503,82,-0.0222998,-0.0222998
503,83,1.2002,-0.156023
503,84,1.00906,-0.00897565
503,85,1.10178,-0.0908153
503,86,0.832552,0.832552
503,87,-1.05107,-1.05107
503,88,-1.29635,-1.29635
503,89,0.0922751,0.0922751
503,90,0.695282,0.695282
503,91,-1.58282,-0.194334
503,92,1.11211,-0.0987369
503,93,-1.14035,-1.14035
503,94,-1.17147,-1.17147
503,95,-1.60447,-1.60447
503,96,1.74748,-0.129817
503,97,0.214422,0.926069
503,98,-1.23927,-1.23927
503,99,1.26686,1.26686
503,100,0.510785,0.62282
504,1,0.487439,0.652517
504,2,-1.24215,-1.24215
504,3,0.791724,0.791724
504,4,0.0733553,0.991172
504,5,1.31516,1.31516
504,6,0.417026,0.7375
504,7,1.65629,1.65629
504,8,-0.19039,0.941431
504,9,1.03439,1.03439
504,10,0.681228,0.681228
504,11,1.40542,1.40542
504,12,-1.03084,-1.03084
504,13,-0.347433,0.812938
504,14,2.45737,0.128373
504,15,-0.797408,0.237254
504,16,-0.608518,0.492985
504,17,-0.0908354,-0.0908354
504,18,-0.948915,-0.948915
504,19,-0.73272,0.323398
504,20,-0.279444,-0.279444
504,21,0.690498,0.380867
504,22,-0.174624,-0.174624
504,23,0.389825,0.389825
504,24,0.25199,0.25199
504,25,0.905983,0.905983
504,26,-1.72766,-1.72766
504,27,0.8317,0.8317
504,28,-0.538108,-0.538108
504,29,0.364748,0.795083
504,30,-1.58558,-0.19354
504,31,1.24586,-0.178298
504,32,-0.13728,0.969287
504,33,-1.09627,-0.0864848
504,34,0.132791,0.971245
504,35,0.800426,0.233317
504,36,-0.353345,0.806914
504,37,1.36779,-0.212931
504,38,-0.0651023,-0.0651023
504,39,-1.36121,-1.36121
504,40,-0.0946755,-0.0946755
504,41,-0.474102,0.669175
504,42,-0.787108,0.250756
504,43,1.64419,-0.174073
504,44,1.39114,-0.215561
504,45,1.01173,1.01173
504,46,0.0445288,0.0445288
504,47,-1.44465,-0.217014
504,48,0.828074,0.197673
504,49,0.987197,0.987197
504,50,1.34155,-0.208475
504,51,-0.418532,0.735765
504,52,-0.314553,0.845009
504,53,-0.433035,-0.433035
504,54,0.402089,0.754484
504,55,0.812231,0.812231
504,56,0.129263,0.972741
504,57,-1.07728,-1.07728
504,58,0.0480907,0.0480907
504,59,1.39624,-0.215971
504,60,-0.120729,-0.120729
504,61,-0.244559,-0.244559
504,62,-1.24493,-1.24493
504,63,-0.166012,-0.166012
504,64,-0.574394,-0.574394
504,65,-0.211129,0.928272
504,66,-1.69997,-0.151493
504,67,1.75552,-0.125972
504,68,1.39457,1.39457
504,69,0.272405,0.272405
504,70,0.282751,0.282751
504,71,-0.924199,0.0812451
504,72,0.0526408,0.995448
504,73,0.178994,0.178994
504,74,0.467262,0.677624
504,75,0.0195827,0.0195827
504,76,-0.164229,-0.164229
504,77,-0.106342,0.981502
504,78,0.805554,0.226646
504,79,0.731801,0.324642
504,80,1.11605,1.11605
504,81,0.427551,0.725294
504,82,-0.0127155,-0.0127155
504,83,1.19796,-0.154801
504,84,1.01169,-0.0115566
504,85,1.11424,-0.10034
504,86,0.837826,0.837826
504,87,-1.05901,-1.05901
504,88,-1.30435,-1.30435
