t,unit,input,output
500,1,-0.859451,-0.967821
500,2,0.0971107,0.0971107
500,3,0.15875,0.15875
500,4,-0.381032,-0.381032
500,5,0.804259,0.804259
500,6,0.89075,0.980482
500,7,1.38443,1.38443
500,8,0.9699,0.99851
500,9,0.804425,0.938259
500,10,0.420966,0.532868
500,11,-0.364671,-0.364671
500,12,0.445904,0.566191
500,13,-2.10709,-2.10709
500,14,-1.39041,-0.767477
500,15,0.0771736,0.0771736
500,16,-0.629772,-0.789299
500,17,0.206743,0.242685
500,18,-0.37289,-0.37289
500,19,0.148604,0.148604
500,20,0.612982,0.612982
500,21,1.5811,0.530091
500,22,0.0978174,0.106725
500,23,-1.00295,-0.999986
500,24,0.180875,0.209121
500,25,1.19037,0.941441
500,26,0.521883,0.521883
500,27,1.25963,0.892747
500,28,-0.241436,-0.288628
500,29,1.36528,0.794529
500,30,1.73113,1.73113
500,31,0.440702,0.440702
500,32,-0.228291,-0.228291
500,33,-0.795216,-0.932431
500,34,0.159186,0.159186
500,35,-0.887696,-0.979382
500,36,0.0929264,0.0929264
500,37,1.12063,1.12063
500,38,0.682226,0.682226
500,39,-1.09944,-1.09944
500,40,0.809953,0.941638
500,41,1.44177,0.708515
500,42,-0.998706,-0.999997
500,43,0.310424,0.310424
500,44,0.654326,0.654326
500,45,1.31248,0.846945
500,46,0.373265,0.468159
500,47,-1.15168,-0.96258
500,48,-0.877161,-0.975363
500,49,-1.81699,-0.211869
500,50,-1.33563,-1.33563
500,51,0.0181475,0.0184729
500,52,0.484451,0.484451
500,53,0.687339,0.687339
500,54,-0.162631,-0.185876
500,55,-0.392999,-0.495047
500,56,-1.62092,-0.4761
500,57,-0.647347,-0.647347
500,58,-0.920906,-0.920906
500,59,-1.29477,-1.29477
500,60,-0.370693,-0.464646
500,61,-0.486126,-0.618843
500,62,-0.238634,-0.284883
500,63,0.584832,0.584832
500,64,-0.499102,-0.499102
500,65,-0.783294,-0.924522
500,66,1.52115,0.609437
500,67,-1.27318,-0.881685
500,68,0.0894201,0.0894201
500,69,-0.0679358,-0.0723354
500,70,-1.90957,-1.90957
500,71,0.12974,0.144988
500,72,0.810412,0.941915
500,73,1.27516,1.27516
500,74,0.857038,0.966718
500,75,2.29642,-0.197002
500,76,-0.038084,-0.0394974
500,77,0.387102,0.487027
500,78,-0.580602,-0.734765
500,79,-0.738203,-0.891012
500,80,-0.377307,-0.473676
500,81,1.35926,0.800809
500,82,1.76658,1.76658
500,83,1.17882,0.948223
500,84,1.70141,1.70141
500,85,-1.16246,-1.16246
500,86,-2.12281,-2.12281
500,87,0.178973,0.206681
500,88,-0.19223,-0.19223
500,89,-0.862091,-0.969007
500,90,-1.07148,-0.991617
500,91,-0.133947,-0.15014
500,92,1.10066,0.983415
500,93,-0.695968,-0.854737
500,94,0.228316,0.228316
500,95,0.669336,0.829604
500,96,-0.690692,-0.849892
500,97,0.733151,0.886915
500,98,-0.297304,-0.297304
500,99,1.01324,0.999712
500,100,-0.267028,-0.267028
501,1,-0.860499,-0.968295
501,2,0.095299,0.095299
501,3,0.15541,0.15541
501,4,-0.378725,-0.378725
501,5,0.803102,0.803102
501,6,0.890686,0.980459
501,7,1.38463,1.38463
501,8,0.967237,0.998235
501,9,0.803881,0.937922
501,10,0.421325,0.53335
501,11,-0.363119,-0.363119
501,12,0.444971,0.564952
501,13,-2.10838,-2.10838
501,14,-1.39122,-0.766582
501,15,0.0765059,0.0765059
501,16,-0.628906,-0.78838
501,17,0.208107,0.244471
501,18,-0.371365,-0.371365
501,19,0.146527,0.146527
501,20,0.615575,0.615575
501,21,1.58014,0.531383
501,22,0.0967274,0.105445
501,23,-1.00456,-0.999966
501,24,0.180555,0.208711
501,25,1.19133,0.94086
501,26,0.523778,0.523778
501,27,1.26204,0.890814
501,28,-0.239703,-0.286311
501,29,1.36659,0.793143
501,30,1.72997,1.72997
