t,unit,input,output
500,1,6.8124,6.8124
500,2,1.25044,1.25044
500,3,1.80817,1.80817
500,4,-1.99654,-1.99654
500,5,1.82902,1.82902
500,6,1.57816,1.57816
500,7,7.59561,7.59561
500,8,-0.972005,-0.972005
500,9,0.8153,0.8153
500,10,1.10301,1.10301
500,11,-1.83022,-1.83022
500,12,-6.42077,-6.42077
500,13,-0.115779,-0.115779
500,14,6.9949,6.9949
500,15,0.292165,0.292165
500,16,-2.35535,-2.35535
500,17,-4.27515,-4.27515
500,18,-1.0432,-1.0432
500,19,-0.419326,-0.419326
500,20,-0.676478,-0.676478
500,21,1.53294,1.53294
500,22,-1.8733,-1.8733
500,23,0.242247,0.242247
500,24,0.504141,0.504141
500,25,-0.0550256,-0.0550256
500,26,-3.62622,-3.62622
500,27,1.20536,1.20536
500,28,-1.17238,-1.17238
500,29,-1.33317,-1.33317
500,30,-3.84711,-3.84711
500,31,0.975943,0.975943
500,32,-0.479647,-0.479647
500,33,-3.31991,-3.31991
500,34,0.0156181,0.0156181
500,35,0.00825104,0.00825104
500,36,2.34201,2.34201
500,37,0.332709,0.332709
500,38,2.12435,2.12435
500,39,-3.29329,-3.29329
500,40,-1.52772,-1.52772
500,41,-0.472899,-0.472899
500,42,3.69768,3.69768
500,43,4.22626,4.22626
500,44,0.178292,0.178292
500,45,1.0651,1.0651
500,46,-1.98763,-1.98763
500,47,-2.20767,-2.20767
500,48,1.72033,1.72033
500,49,1.04154,1.04154
500,50,-0.699841,-0.699841
500,51,-3.73736,-3.73736
500,52,-1.07266,-1.07266
500,53,-1.77165,-1.77165
500,54,-0.967439,-0.967439
500,55,1.13804,1.13804
500,56,1.70155,1.70155
500,57,-0.835282,-0.835282
500,58,1.77525,1.77525
500,59,-1.83106,-1.83106
500,60,0.185258,0.185258
500,61,-1.45187,-1.45187
500,62,-1.82823,-1.82823
500,63,-3.29143,-3.29143
500,64,-2.01937,-2.01937
500,65,0.908162,0.908162
500,66,0.123394,0.123394
500,67,0.717072,0.717072
500,68,-1.90813,-1.90813
500,69,0.155569,0.155569
500,70,0.712714,0.712714
500,71,-0.545317,-0.545317
500,72,1.56246,1.56246
500,73,-4.15404,-4.15404
500,74,-3.3228,-3.3228
500,75,-3.74022,-3.74022
500,76,0.763954,0.763954
500,77,-2.13297,-2.13297
500,78,2.7065,2.7065
500,79,1.78115,1.78115
500,80,-2.92097,-2.92097
500,81,2.30899,2.30899
500,82,-0.101417,-0.101417
500,83,2.5433,2.5433
500,84,3.36923,3.36923
500,85,-2.11623,-2.11623
500,86,-0.766165,-0.766165
500,87,1.74902,1.74902
500,88,-2.26086,-2.26086
500,89,-0.740646,-0.740646
500,90,-0.0464428,-0.0464428
500,91,-3.10481,-3.10481
500,92,3.77803,3.77803
500,93,-3.20828,-3.20828
500,94,0.940301,0.940301
500,95,0.529374,0.529374
500,96,1.46148,1.46148
500,97,0.769103,0.769103
500,98,-2.85365,-2.85365
500,99,-1.37033,-1.37033
500,100,-0.711554,-0.711554
501,1,6.83532,6.83532
501,2,1.26129,1.26129
501,3,1.83894,1.83894
501,4,-1.97858,-1.97858
501,5,1.86317,1.86317
501,6,1.59899,1.59899
501,7,7.55516,7.55516
501,8,-0.938052,-0.938052
501,9,0.799805,0.799805
501,10,1.13781,1.13781
501,11,-1.86401,-1.86401
501,12,-6.4547,-6.4547
501,13,-0.129028,-0.129028
501,14,7.0181,7.0181
501,15,0.325037,0.325037
501,16,-2.39207,-2.39207
501,17,-4.22234,-4.22234
501,18,-0.994692,-0.994692
501,19,-0.384789,-0.384789
501,20,-0.667862,-0.667862
501,21,1.51715,1.51715
501,22,-1.83209,-1.83209
501,23,0.228819,0.228819
501,24,0.441526,0.441526
501,25,-0.0673403,-0.0673403
501,26,-3.63713,-3.63713
501,27,1.17664,1.17664
501,28,-1.17359,-1.17359
501,29,-1.30619,-1.30619
501,30,-3.85713,-3.85713
501,31,0.949507,0.949507
501,32,-0.52904,-0.52904
501,33,-3.31213,-3.31213
501,34,0.0281921,0.0281921
501,35,0.0166994,0.0166994
501,36,2.33368,2.33368
501,37,0.349185,0.349185
501,38,2.10736,2.10736
501,39,-3.30044,-3.30044
501,40,-1.4946,-1.4946
501,41,-0.430747,-0.430747
501,42,3.69856,3.69856
501,43,4.21173,4.21173
501,44,0.177706,0.177706
501,45,1.08959,1.08959
501,46,-1.9974,-1.9974
501,47,-2.22153,-2.22153
501,48,1.73782,1.73782
501,49,1.06387,1.06387
501,50,-0.664957,-0.664957
501,51,-3.70592,-3.70592
501,52,-1.04797,-1.04797
501,53,-1.74253,-1.74253
501,54,-0.974552,-0.974552
501,55,1.11339,1.11339
501,56,1.67813,1.67813
501,57,-0.834402,-0.834402
501,58,1.7577,1.7577
501,59,-1.77177,-1.77177
501,60,0.201315,0.201315
501,61,-1.46065,-1.46065
501,62,-1.83702,-1.83702
501,63,-3.27833,-3.27833
501,64,-2.04074,-2.04074
501,65,0.929901,0.929901
501,66,0.09567,0.09567
501,67,0.709853,0.709853
501,68,-1.92589,-1.92589
501,69,0.15091,0.15091
501,70,0.6659,0.6659
501,71,-0.574882,-0.574882
501,72,1.50255,1.50255
501,73,-4.17269,-4.17269
501,74,-3.29919,-3.29919
501,75,-3.82437,-3.82437
501,76,0.832441,0.832441
501,77,-2.16383,-2.16383
501,78,2.74008,2.74008
501,79,1.80643,1.80643
501,80,-2.9396,-2.9396
501,81,2.34832,2.34832
501,82,-0.131102,-0.131102
501,83,2.50657,2.50657
501,84,3.38363,3.38363
501,85,-2.13656,-2.13656
501,86,-0.750155,-0.750155
501,87,1.77616,1.77616
501,88,-2.22715,-2.22715
501,89,-0.725584,-0.725584
501,90,-0.00678981,-0.00678981
501,91,-3.06263,-3.06263
501,92,3.81298,3.81298
501,93,-3.27242,-3.27242
501,94,0.934826,0.934826
501,95,0.544613,0.544613
501,96,1.40757,1.40757
501,97,0.781522,0.781522
501,98,-2.83118,-2.83118
501,99,-1.39409,-1.39409
501,100,-0.721504,-0.721504
502,1,6.84059,6.84059
502,2,1.27072,1.27072
502,3,1.82179,1.82179
502,4,-1.97733,-1.97733
502,5,1.84258,1.84258
502,6,1.5771,1.5771
502,7,7.58132,7.58132
502,8,-0.961115,-0.961115
502,9,0.822802,0.822802
502,10,1.1088,1.1088
502,11,-1.83397,-1.83397
502,12,-6.4112,-6.4112
502,13,-0.125324,-0.125324
502,14,7.02523,7.02523
502,15,0.291741,0.291741
502,16,-2.36203,-2.36203
502,17,-4.25716,-4.25716
502,18,-1.04196,-1.04196
502,19,-0.442831,-0.442831
502,20,-0.651878,-0.651878
502,21,1.53775,1.53775
502,22,-1.8512,-1.8512
502,23,0.250159,0.250159
502,24,0.50983,0.50983
502,25,-0.0566841,-0.0566841
502,26,-3.64218,-3.64218
502,27,1.21396,1.21396
502,28,-1.16338,-1.16338
502,29,-1.37418,-1.37418
502,30,-3.83662,-3.83662
502,31,0.978732,0.978732
502,32,-0.476647,-0.476647
502,33,-3.29824,-3.29824
502,34,0.00572234,0.00572234
502,35,-0.00505561,-0.00505561
502,36,2.34286,2.34286
502,37,0.320083,0.320083
502,38,2.14056,2.14056
502,39,-3.30871,-3.30871
502,40,-1.53749,-1.53749
502,41,-0.451631,-0.451631
502,42,3.71248,3.71248
502,43,4.24086,4.24086
502,44,0.169161,0.169161
502,45,1.04772,1.04772
502,46,-1.97059,-1.97059
502,47,-2.22007,-2.22007
502,48,1.7462,1.7462
502,49,1.03465,1.03465
502,50,-0.722861,-0.722861
502,51,-3.74064,-3.74064
502,52,-1.03632,-1.03632
502,53,-1.7927,-1.7927
502,54,-0.964525,-0.964525
502,55,1.12534,1.12534
502,56,1.72428,1.72428
502,57,-0.834169,-0.834169
502,58,1.76686,1.76686
502,59,-1.83118,-1.83118
502,60,0.191037,0.191037
502,61,-1.44842,-1.44842
502,62,-1.83313,-1.83313
