t,unit,input,output
500,1,-0.577403,0.351866
500,2,-0.292981,0.7627
500,3,-0.284542,0.774405
500,4,0.274791,0.787716
500,5,0.566313,0.366093
500,6,0.530784,0.413515
500,7,-0.0519885,-0.0519885
500,8,-0.0483403,0.990099
500,9,0.0479631,0.0479631
500,10,0.217651,0.217651
500,11,0.0216006,0.0216006
500,12,-0.58249,-0.58249
500,13,0.199479,0.880736
500,14,1.0361,0.0348284
500,15,-0.364382,0.658648
500,16,0.0583544,0.986799
500,17,-0.0868867,-0.0868867
500,18,-0.0820402,0.976597
500,19,9.29604e-05,0.997356
500,20,0.459323,0.459323
500,21,-0.308938,0.740147
500,22,-0.0776543,-0.0776543
500,23,0.250121,0.820247
500,24,-0.240383,-0.240383
500,25,0.194126,0.194126
500,26,-0.401122,-0.401122
500,27,0.102304,0.102304
500,28,-0.205697,0.873829
500,29,-0.218086,0.859609
500,30,-0.591128,0.334666
500,31,0.0545935,0.98811
500,32,-0.158695,0.921873
500,33,-0.373126,0.645507
500,34,-0.0914774,0.971613
500,35,-0.422805,0.570475
500,36,0.00346534,0.997318
500,37,-0.284447,0.774536
500,38,-0.00876306,0.997116
500,39,-0.786834,-0.786834
500,40,0.00752027,0.00752027
500,41,-0.228079,0.847715
500,42,-0.687514,0.227692
500,43,0.600497,0.323191
500,44,0.454418,0.523118
500,45,0.495894,0.495894
500,46,-0.441159,0.542895
500,47,-0.109012,0.960997
500,48,0.683291,0.231849
500,49,-0.119409,-0.119409
500,50,0.513501,0.437509
500,51,-0.0786861,0.978244
500,52,0.143494,0.935202
500,53,-0.0563616,-0.0563616
500,54,0.164269,0.916701
500,55,0.108191,0.961532
500,56,-0.153143,0.926874
500,57,0.14469,0.934195
500,58,0.0411559,0.0411559
500,59,0.699514,0.216152
500,60,-0.48496,-0.48496
500,61,0.677072,0.677072
500,62,-0.219912,0.857464
500,63,0.048969,0.048969
500,64,0.0917782,0.971445
500,65,0.396263,0.610578
500,66,-0.282864,0.776712
500,67,1.19439,0.0115542
500,68,-0.00537983,-0.00537983
500,69,0.0269286,0.995098
500,70,-0.031485,0.994271
500,71,-0.284213,0.774858
500,72,0.381649,0.63266
500,73,0.337048,0.337048
500,74,0.602664,0.320569
500,75,-0.41627,0.580334
500,76,-0.318707,-0.318707
500,77,0.311299,0.736767
500,78,0.503627,0.451458
500,79,-0.234444,0.839953
500,80,0.629627,0.629627
500,81,-0.219262,0.858229
500,82,0.0590562,0.986545
500,83,-0.265732,0.799863
500,84,0.027765,0.994956
500,85,0.391055,0.618453
500,86,0.30503,0.30503
500,87,-0.0336318,-0.0336318
500,88,-0.519339,-0.519339
500,89,0.295308,0.295308
500,90,0.0972565,0.968306
500,91,-1.23389,0.00856213
500,92,0.291719,0.76446
500,93,-0.265741,-0.265741
500,94,-0.315024,0.731416
500,95,-0.538691,0.402731
500,96,0.654155,0.261874
500,97,0.312882,0.734496
500,98,0.148947,0.148947
500,99,-0.262846,0.803684
500,100,-0.0436844,0.991426
501,1,-0.575661,0.354082
501,2,-0.293845,0.761492
501,3,-0.285583,0.77297
501,4,0.272502,0.790806
501,5,0.568427,0.363359
501,6,0.534888,0.407903
501,7,-0.0556492,-0.0556492
501,8,-0.051435,0.989144
501,9,0.0435276,0.0435276
501,10,0.223094,0.223094
501,11,0.0219773,0.0219773
501,12,-0.582079,-0.582079
501,13,0.196786,0.883678
501,14,1.03239,0.0356732
501,15,-0.361244,0.663351
501,16,0.0564739,0.987465
501,17,-0.0858796,-0.0858796
501,18,-0.0788216,0.978179
501,19,0.0045088,0.997292
501,20,0.456967,0.456967
501,21,-0.309639,0.739144
501,22,-0.0731279,-0.0731279
501,23,0.246402,0.824994
501,24,-0.241839,-0.241839
501,25,0.190142,0.190142
501,26,-0.403454,-0.403454
501,27,0.0987465,0.0987465
501,28,-0.205989,0.873501
501,29,-0.217537,0.860252
501,30,-0.597494,0.326845
501,31,0.0540614,0.988288
501,32,-0.165067,0.915949
501,33,-0.377595,0.638775
501,34,-0.0844104,0.975394
501,35,-0.429417,0.560518
501,36,0.00716285,0.997196
501,37,-0.28314,0.776334
501,38,-0.0165582,0.996502
501,39,-0.790789,-0.790789
501,40,0.00768675,0.00768675
501,41,-0.229267,0.846277
501,42,-0.692071,0.223263
501,43,0.594855,0.330075
501,44,0.454645,0.522781
501,45,0.498451,0.498451
501,46,-0.443587,0.539264
501,47,-0.107336,0.962086
501,48,0.68385,0.231296
501,49,-0.116628,-0.116628
501,50,0.517117,0.432443
501,51,-0.074249,0.980321
501,52,0.145597,0.933426
501,53,-0.0558167,-0.0558167
501,54,0.163283,0.917627
501,55,0.105782,0.963083
501,56,-0.15622,0.92412
501,57,0.143913,0.93485
501,58,0.0377179,0.0377179
501,59,0.692612,0.222741
501,60,-0.483996,-0.483996
501,61,0.672053,0.672053
501,62,-0.213923,0.864454
501,63,0.052341,0.052341
501,64,0.084553,0.975321
501,65,0.400086,0.604797
501,66,-0.278752,0.782337
501,67,1.19626,0.0113941
501,68,-0.00796742,-0.00796742
501,69,0.0251977,0.995379
501,70,-0.0368092,0.993142
501,71,-0.288777,0.768551
501,72,0.380536,0.634339
501,73,0.334937,0.334937
501,74,0.602444,0.320834
501,75,-0.418944,0.576299
501,76,-0.317173,-0.317173
501,77,0.309478,0.739376
501,78,0.503963,0.450981
501,79,-0.23173,0.84328
501,80,0.629683,0.629683
501,81,-0.214883,0.863343
501,82,0.0532202,0.988567
501,83,-0.265459,0.800226
501,84,0.0300221,0.99455
501,85,0.391109,0.61837
501,86,0.305749,0.305749
501,87,-0.032946,-0.032946
501,88,-0.517812,-0.517812
501,89,0.29322,0.29322
501,90,0.0996903,0.966857
501,91,-1.2345,0.00852215
501,92,0.296692,0.757502
501,93,-0.267659,-0.267659
501,94,-0.314385,0.732335
501,95,-0.538099,0.403534
501,96,0.655153,0.260806
501,97,0.318461,0.726456
501,98,0.145776,0.145776
501,99,-0.265518,0.800147
501,100,-0.0372756,0.993034
502,1,-0.576642,0.352833
502,2,-0.29168,0.764515
502,3,-0.283743,0.775504
502,4,0.275972,0.786117
502,5,0.566047,0.366438
502,6,0.531589,0.412413
502,7,-0.0511346,-0.0511346
502,8,-0.0482029,0.99014
502,9,0.0485105,0.0485105
502,10,0.217499,0.217499
502,11,0.0223779,0.0223779
502,12,-0.581999,-0.581999
502,13,0.200243,0.879896
502,14,1.03638,0.0347641
502,15,-0.365227,0.65738
502,16,0.0589246,0.986593
502,17,-0.0881259,-0.0881259
502,18,-0.0820679,0.976583
502,19,0.000511307,0.997355
502,20,0.45995,0.45995
502,21,-0.308325,0.741023
502,22,-0.0779318,-0.0779318
502,23,0.250266,0.820062
502,24,-0.239838,-0.239838
502,25,0.193613,0.193613
502,26,-0.40219,-0.40219
502,27,0.102801,0.102801
502,28,-0.204563,0.875101
502,29,-0.218812,0.858757
502,30,-0.591235,0.334533
502,31,0.0560139,0.987625
502,32,-0.158963,0.921627
