t,unit,input,output
500,1,-0.806277,0.225709
500,2,-0.87738,0.136325
500,3,0.802969,0.230006
500,4,-0.388283,-0.388283
500,5,-0.452721,-0.452721
500,6,-0.385095,0.773302
500,7,-0.148625,0.964058
500,8,-0.594123,0.512511
500,9,0.570662,0.544102
500,10,-0.964842,-0.964842
500,11,0.264753,0.888623
500,12,0.557066,0.562246
500,13,-0.248912,-0.248912
500,14,-0.195552,0.938273
500,15,-0.146527,0.965055
500,16,-0.414922,-0.414922
500,17,0.653792,0.431137
500,18,0.773534,0.268687
500,19,0.0212038,0.999261
500,20,0.205787,0.931781
501,1,-0.806475,0.225452
501,2,-0.877685,0.135957
501,3,0.802819,0.230201
501,4,-0.388446,-0.388446
501,5,-0.452606,-0.452606
501,6,-0.385343,0.773031
501,7,-0.148597,0.964072
501,8,-0.593989,0.512693
501,9,0.570534,0.544274
501,10,-0.96468,-0.96468
501,11,0.264151,0.889111
501,12,0.556881,0.562492
501,13,-0.24853,-0.24853
501,14,-0.19567,0.9382
501,15,-0.146001,0.965303
501,16,-0.414863,-0.414863
501,17,0.653759,0.431183
501,18,0.773388,0.26888
501,19,0.0211679,0.999263
501,20,0.205753,0.931803
502,1,-0.806271,0.225717
502,2,-0.877393,0.13631
502,3,0.803112,0.22982
502,4,-0.388255,-0.388255
502,5,-0.452552,-0.452552
502,6,-0.385243,0.773141
502,7,-0.148487,0.964124
502,8,-0.593945,0.512753
502,9,0.57071,0.544038
502,10,-0.964895,-0.964895
502,11,0.264689,0.888675
502,12,0.557144,0.562143
502,13,-0.248932,-0.248932
502,14,-0.195596,0.938246
502,15,-0.146389,0.96512
502,16,-0.41476,-0.41476
502,17,0.653772,0.431165
502,18,0.773552,0.268662
502,19,0.0210863,0.999269
502,20,0.205667,0.931859
503,1,-0.806392,0.22556
503,2,-0.877561,0.136106
503,3,0.803088,0.229851
503,4,-0.388323,-0.388323
503,5,-0.452365,-0.452365
503,6,-0.385503,0.772856
503,7,-0.148355,0.964187
503,8,-0.593721,0.513056
503,9,0.570625,0.544152
503,10,-0.964874,-0.964874
503,11,0.264332,0.888965
503,12,0.557132,0.562158
503,13,-0.248709,-0.248709
503,14,-0.195698,0.938183
503,15,-0.146013,0.965298
503,16,-0.414604,-0.414604
503,17,0.653621,0.431372
503,18,0.773461,0.268784
503,19,0.0209824,0.999276
503,20,0.205558,0.93193
504,1,-0.806843,0.224974
504,2,-0.877925,0.135666
504,3,0.802818,0.230202
504,4,-0.388748,-0.388748
504,5,-0.4528,-0.4528
504,6,-0.38496,0.773449
504,7,-0.14873,0.964008
504,8,-0.594092,0.512554
504,9,0.570111,0.544841
504,10,-0.964546,-0.964546
504,11,0.264131,0.889128
504,12,0.556827,0.562564
504,13,-0.248391,-0.248391
504,14,-0.196308,0.937804
504,15,-0.145632,0.965477
504,16,-0.415037,-0.415037
504,17,0.654127,0.430678
504,18,0.773005,0.269388
504,19,0.0214283,0.999245
504,20,0.206004,0.93164
505,1,-0.806749,0.225097
505,2,-0.878017,0.135555
505,3,0.802547,0.230555
505,4,-0.388848,-0.388848
505,5,-0.453199,-0.453199
505,6,-0.384355,0.774108
505,7,-0.149403,0.963685
505,8,-0.594774,0.511631
505,9,0.570366,0.5445
505,10,-0.964463,-0.964463
505,11,0.264316,0.888978
505,12,0.556717,0.56271
505,13,-0.248898,-0.248898
505,14,-0.195841,0.938094
505,15,-0.146101,0.965256
505,16,-0.415458,-0.415458
505,17,0.654525,0.430134
505,18,0.773019,0.26937
505,19,0.0214388,0.999244
505,20,0.206059,0.931605
506,1,-0.805971,0.226106
506,2,-0.877506,0.136173
506,3,0.802826,0.230192
506,4,-0.388187,-0.388187
506,5,-0.452762,-0.452762
506,6,-0.385013,0.773391
506,7,-0.149103,0.96383
506,8,-0.594544,0.511942
506,9,0.571275,0.543282
506,10,-0.964796,-0.964796
506,11,0.264584,0.88876
506,12,0.556899,0.562469
506,13,-0.249433,-0.249433
506,14,-0.194665,0.938821
506,15,-0.146804,0.964924
506,16,-0.415023,-0.415023
506,17,0.65416,0.430634
506,18,0.773847,0.268272
506,19,0.0207822,0.99929
506,20,0.205577,0.931917
507,1,-0.806137,0.225891
507,2,-0.877477,0.136208
507,3,0.802926,0.230062
507,4,-0.388112,-0.388112
507,5,-0.452442,-0.452442
507,6,-0.385755,0.772582
507,7,-0.148341,0.964194
507,8,-0.593942,0.512756
507,9,0.570996,0.543656
507,10,-0.964556,-0.964556
507,11,0.264143,0.889118
507,12,0.55678,0.562627
507,13,-0.248574,-0.248574
507,14,-0.195263,0.938452
507,15,-0.146106,0.965254
507,16,-0.414509,-0.414509
507,17,0.653765,0.431174
507,18,0.773734,0.268422
507,19,0.0210206,0.999273
507,20,0.205738,0.931813
508,1,-0.806848,0.224968
508,2,-0.877856,0.135749
508,3,0.802562,0.230536
508,4,-0.388733,-0.388733
508,5,-0.452914,-0.452914
508,6,-0.384883,0.773533
508,7,-0.148722,0.964012
508,8,-0.594355,0.512198
508,9,0.570067,0.5449
508,10,-0.964202,-0.964202
508,11,0.264135,0.889124
508,12,0.556657,0.562789
508,13,-0.248152,-0.248152
508,14,-0.196383,0.937757
508,15,-0.145682,0.965453
508,16,-0.414984,-0.414984
508,17,0.654103,0.430712
508,18,0.772878,0.269557
508,19,0.0218196,0.999217
508,20,0.206296,0.93145
509,1,-0.806475,0.225451
509,2,-0.87774,0.13589
509,3,0.8025,0.230616
509,4,-0.38861,-0.38861
509,5,-0.453054,-0.453054
509,6,-0.384411,0.774048
509,7,-0.149364,0.963704
509,8,-0.594779,0.511624
509,9,0.570522,0.54429
509,10,-0.964617,-0.964617
509,11,0.264607,0.888742
509,12,0.556854,0.562528
509,13,-0.249083,-0.249083
509,14,-0.195424,0.938352
509,15,-0.146552,0.965044
509,16,-0.415392,-0.415392
509,17,0.654216,0.430557
509,18,0.77323,0.26909
509,19,0.0213231,0.999252
509,20,0.205942,0.931681
510,1,-0.806112,0.225922
510,2,-0.877602,0.136057
510,3,0.802661,0.230407
510,4,-0.388247,-0.388247
510,5,-0.452805,-0.452805
510,6,-0.385254,0.773128
510,7,-0.148986,0.963886
510,8,-0.594396,0.512143
510,9,0.571028,0.543613
510,10,-0.96468,-0.96468
510,11,0.264236,0.889043
510,12,0.556667,0.562777
510,13,-0.248916,-0.248916
510,14,-0.194832,0.938718
510,15,-0.146504,0.965066
510,16,-0.415097,-0.415097
510,17,0.654012,0.430836
510,18,0.773803,0.26833
510,19,0.0208926,0.999282
510,20,0.205731,0.931817
511,1,-0.806374,0.225583
511,2,-0.877581,0.136083
511,3,0.802695,0.230363
511,4,-0.388365,-0.388365
511,5,-0.45287,-0.45287
