t,unit,input,output
500,1,-0.774526,0.153001
500,2,-0.380632,0.634194
500,3,0.405746,0.596238
500,4,0.210669,0.868194
500,5,-0.000525062,-0.000525062
500,6,0.495654,0.46284
500,7,0.274364,0.788295
500,8,-0.0616648,0.985574
500,9,0.0179671,0.99635
500,10,-0.147254,0.932012
500,11,0.0546333,0.0546333
500,12,-0.521663,-0.521663
500,13,-0.127442,-0.127442
500,14,0.440109,0.544467
500,15,0.292978,0.762703
500,16,0.00882365,0.997113
500,17,0.457667,0.518296
500,18,0.941913,0.941913
500,19,1.42594,0.00173507
500,20,-0.826266,-0.826266
500,21,0.836644,0.836644
500,22,0.174746,0.906583
500,23,-0.274345,0.78832
500,24,-0.216115,0.861911
500,25,0.136735,0.940753
500,26,-0.519615,-0.519615
500,27,0.493495,0.465938
500,28,-0.518477,-0.518477
500,29,-0.147486,-0.147486
500,30,1.313,1.313
500,31,1.06083,1.06083
500,32,0.0914586,0.0914586
500,33,-0.391543,0.617715
500,34,0.536574,0.405606
500,35,0.156794,0.923602
500,36,0.79693,0.137061
500,37,0.720984,0.196503
500,38,0.737299,0.182423
500,39,0.168059,0.9131
500,40,0.529589,0.415156
500,41,0.511705,0.440034
500,42,0.598625,0.325466
500,43,-0.0389793,0.992631
500,44,0.256494,0.256494
500,45,0.692675,0.22268
500,46,-0.23417,0.840289
500,47,0.316712,0.316712
500,48,-1.02481,-1.02481
500,49,-1.0549,0.0308007
500,50,0.427776,0.427776
500,51,0.399096,0.606294
500,52,0.20787,0.871379
500,53,-0.551319,-0.551319
500,54,0.0105618,0.0105618
500,55,0.717223,0.199853
500,56,0.379827,0.379827
500,57,0.173466,0.173466
500,58,-0.810566,-0.810566
500,59,1.31646,1.31646
500,60,0.587126,0.339634
500,61,0.0287008,0.994792
500,62,-0.546195,0.392614
500,63,1.13363,0.0179768
500,64,0.211485,0.211485
500,65,-0.976124,-0.976124
500,66,-0.0410876,0.992108
500,67,-0.171855,-0.171855
500,68,-0.00801915,-0.00801915
500,69,-0.226032,-0.226032
500,70,-0.138083,0.939665
500,71,0.97676,0.97676
500,72,-1.62216,0.000267666
500,73,0.786803,0.786803
500,74,0.58468,0.342689
500,75,0.914792,0.914792
500,76,-1.05353,0.0310801
500,77,-0.661636,0.253941
500,78,-0.09785,0.967956
500,79,-0.202916,0.876938
500,80,-0.740639,-0.740639
500,81,-0.797736,0.136512
500,82,-0.663365,0.252129
500,83,-0.372345,-0.372345
500,84,-0.20917,-0.20917
500,85,-0.560054,0.374248
500,86,-0.954783,0.0577618
500,87,-0.771666,-0.771666
500,88,1.05406,0.0309733
500,89,-0.523904,-0.523904
500,90,1.95955,1.95955
500,91,-0.0869621,0.974062
500,92,-0.40663,0.594901
500,93,0.524964,0.524964
500,94,0.0840547,0.975577
500,95,0.82245,0.82245
500,96,-0.451119,0.528025
500,97,-0.0430849,0.991587
500,98,-0.252388,0.817333
500,99,1.67448,1.67448
500,100,-0.758432,0.165265
501,1,-0.774658,0.152904
501,2,-0.380328,0.634652
501,3,0.404875,0.597555
501,4,0.210427,0.86847
501,5,-0.00126409,-0.00126409
501,6,0.495429,0.463161
501,7,0.273917,0.788898
501,8,-0.0619765,0.985456
501,9,0.0187921,0.996256
501,10,-0.147261,0.932006
501,11,0.0546402,0.0546402
501,12,-0.521501,-0.521501
501,13,-0.128287,-0.128287
501,14,0.440057,0.544546
501,15,0.292994,0.762681
501,16,0.00922851,0.99709
501,17,0.457098,0.51914
501,18,0.941874,0.941874
501,19,1.42705,0.00171789
