t,unit,input,output
500,1,-3.1023,-3.1023
500,2,4.68955,4.68955
500,3,-4.84242,-4.84242
500,4,-4.37089,-4.37089
500,5,-1.70739,-1.70739
500,6,-6.04485,-6.04485
500,7,-2.30969,-2.30969
500,8,1.31163,1.31163
500,9,-3.11369,-0.0357419
500,10,-0.888936,-0.888936
500,11,3.15633,3.15633
500,12,0.917781,0.917781
500,13,6.09207,6.09207
500,14,-0.0173443,-0.0173443
500,15,1.18128,1.18128
500,16,-2.95579,-2.95579
500,17,2.05084,2.05084
500,18,0.675159,0.675159
500,19,3.46617,3.46617
500,20,-4.84323,-4.84323
500,21,-4.53192,-4.53192
500,22,-0.327965,-0.327965
500,23,-2.14363,-2.14363
500,24,-3.07914,-3.07914
500,25,-1.25758,-1.25758
500,26,-9.13063,-9.13063
500,27,-4.4509,0.0706668
500,28,5.71582,5.71582
500,29,-0.366166,-0.366166
500,30,2.98412,2.98412
500,31,0.513029,0.513029
500,32,5.25353,5.25353
500,33,2.31475,2.31475
500,34,0.72473,0.72473
500,35,0.142681,0.142681
500,36,2.59386,2.59386
500,37,-1.39502,-1.39502
500,38,-0.364203,0.795655
500,39,-1.00486,-1.00486
500,40,1.77841,1.77841
500,41,-0.229336,-0.229336
500,42,7.74637,7.74637
500,43,-0.535106,0.59124
500,44,0.292762,0.292762
500,45,2.64124,0.108845
500,46,-1.37799,-1.37799
500,47,-0.407287,-0.407287
500,48,0.994031,0.994031
500,49,-2.99501,-2.99501
500,50,1.45516,1.45516
500,51,-0.753833,-0.753833
500,52,4.42793,4.42793
500,53,0.52996,0.52996
500,54,-5.17446,-5.17446
500,55,0.0715526,0.0715526
500,56,-3.71006,-3.71006
500,57,0.284312,0.284312
500,58,3.80337,3.80337
500,59,-2.00372,-2.00372
500,60,-2.85886,-2.85886
500,61,-7.26963,-7.26963
500,62,-3.42726,-3.42726
500,63,-1.721,-1.721
500,64,2.21445,2.21445
500,65,-5.44231,-5.44231
500,66,-4.53768,-4.53768
500,67,0.2655,0.2655
500,68,-1.89982,-1.89982
500,69,1.06643,1.06643
500,70,5.16778,-0.0309833
500,71,1.25011,1.25011
500,72,-1.16097,-1.16097
500,73,0.87188,0.87188
500,74,-3.08709,-0.027861
500,75,-4.29543,-4.29543
500,76,-3.8476,-3.8476
500,77,-0.950929,-0.950929
500,78,0.697048,0.697048
500,79,3.76797,3.76797
500,80,0.0874679,0.0874679
500,81,-0.527429,-0.527429
500,82,5.42997,5.42997
500,83,0.306516,0.306516
500,84,-0.425576,-0.425576
500,85,-5.14335,-5.14335
500,86,-0.597847,0.507469
500,87,-1.96007,-1.96007
500,88,1.00853,-0.00845743
500,89,-4.24846,-4.24846
500,90,-2.0223,-2.0223
500,91,-4.44006,-4.44006
500,92,0.925168,0.925168
500,93,-3.77607,-3.77607
500,94,-4.56676,-4.56676
500,95,-2.455,-2.455
500,96,-1.20577,-0.159017
500,97,-2.36966,-2.36966
500,98,-1.1745,-1.1745
500,99,3.54504,3.54504
500,100,0.785115,0.785115
501,1,-3.10408,-3.10408
501,2,4.68838,4.68838
501,3,-4.84635,-4.84635
501,4,-4.37628,-4.37628
501,5,-1.70608,-1.70608
501,6,-6.04163,-6.04163
501,7,-2.30792,-2.30792
501,8,1.3066,1.3066
501,9,-3.11716,-0.0367416
501,10,-0.882455,-0.882455
501,11,3.16234,3.16234
501,12,0.916779,0.916779
501,13,6.08866,6.08866
501,14,-0.0163713,-0.0163713
501,15,1.18041,1.18041
501,16,-2.95461,-2.95461
501,17,2.05023,2.05023
501,18,0.675975,0.675975
501,19,3.467,3.467
501,20,-4.84019,-4.84019
501,21,-4.53418,-4.53418
501,22,-0.328078,-0.328078
501,23,-2.13811,-2.13811
501,24,-3.07774,-3.07774
501,25,-1.25447,-1.25447
501,26,-9.13606,-9.13606
501,27,-4.45145,0.0706769
501,28,5.7152,5.7152
501,29,-0.368814,-0.368814
501,30,2.98839,2.98839
501,31,0.510559,0.510559
501,32,5.25001,5.25001
501,33,2.31558,2.31558
501,34,0.722829,0.722829
501,35,0.141035,0.141035
501,36,2.59381,2.59381
501,37,-1.3962,-1.3962
501,38,-0.361116,0.798881
501,39,-1.00808,-1.00808
501,40,1.77758,1.77758
