t,unit,input,output
500,1,0.600331,0.537285
500,2,-0.166313,-0.166313
500,3,0.233922,0.233922
500,4,-0.00538262,-0.00538257
500,5,0.284339,0.284339
500,6,0.239652,0.235167
500,7,0.88639,0.88639
500,8,0.00740339,0.00740325
500,9,0.186636,0.186636
500,10,0.214635,0.214635
500,11,0.132084,0.132084
500,12,-0.538667,-0.538667
500,13,-0.0492902,-0.0492503
500,14,0.921456,0.726585
500,15,-0.002284,-0.002284
500,16,-0.339474,-0.327008
500,17,-0.326556,-0.326556
500,18,-0.367383,-0.367383
500,19,-0.0995135,-0.0991863
500,20,-0.153655,-0.153655
500,21,0.171543,0.16988
500,22,-0.350404,-0.350404
500,23,0.135551,0.135551
500,24,0.0818014,0.0818014
500,25,0.120494,0.120494
500,26,-0.622209,-0.622209
500,27,0.316415,0.316415
500,28,-0.150969,-0.150969
500,29,0.00241718,0.00241718
500,30,-0.655578,-0.575413
500,31,0.27325,0.266646
500,32,-0.0896774,-0.0894377
500,33,-0.458994,-0.429264
500,34,0.0290391,0.0290309
500,35,0.250237,0.245142
500,36,0.12227,0.121664
500,37,0.0971918,0.096887
500,38,0.261146,0.261146
500,39,-0.383729,-0.383729
500,40,-0.0858708,-0.0858708
500,41,0.00677589,0.00677578
500,42,0.126441,0.125771
500,43,0.571747,0.516641
500,44,0.153945,0.15274
500,45,0.249512,0.249512
500,46,-0.00880897,-0.00880897
500,47,-0.508565,-0.468826
500,48,0.278352,0.271379
500,49,0.230181,0.230181
500,50,-0.0262119,-0.0262059
500,51,-0.349704,-0.336113
500,52,-0.0871559,-0.0869359
500,53,-0.180459,-0.180459
500,54,0.0303901,0.0303807
500,55,0.226299,0.226299
500,56,0.171159,0.169507
500,57,-0.272989,-0.272989
500,58,0.118711,0.118711
500,59,0.0814656,0.0812859
500,60,-0.00753039,-0.00753039
500,61,-0.152547,-0.152547
500,62,-0.452717,-0.452717
500,63,-0.231924,-0.231924
500,64,-0.120911,-0.120911
500,65,0.0168454,0.0168438
500,66,-0.286058,-0.278502
500,67,0.246607,0.241726
500,68,0.168101,0.168101
500,69,-0.102201,-0.102201
500,70,-0.0234491,-0.0234491
500,71,-0.0811286,-0.0809511
500,72,0.175695,0.173909
500,73,-0.19928,-0.19928
500,74,-0.2275,-0.223655
500,75,-0.281773,-0.281773
500,76,0.0609069,0.0609069
500,77,-0.238256,-0.233848
500,78,0.446603,0.419103
500,79,0.210661,0.207599
500,80,-0.10136,-0.10136
500,81,0.207712,0.204776
500,82,0.00912458,0.00912458
500,83,0.338445,0.326089
500,84,0.331085,0.319495
500,85,0.0731229,0.0729928
500,86,0.131209,0.131209
500,87,0.0182996,0.0182996
500,88,-0.411844,-0.411844
500,89,0.00181083,0.00181083
500,90,0.0413186,0.0413186
500,91,-0.581729,-0.523921
500,92,0.548295,0.499241
500,93,-0.43777,-0.43777
500,94,-0.119472,-0.119472
500,95,-0.254944,-0.254944
500,96,0.563996,0.510937
500,97,0.203508,0.200744
500,98,-0.558604,-0.558604
500,99,0.248737,0.248737
500,100,0.131466,0.130714
501,1,0.599254,0.536519
501,2,-0.165196,-0.165196
501,3,0.233086,0.233086
501,4,-0.00726157,-0.00726145
501,5,0.294873,0.294873
501,6,0.249011,0.243989
501,7,0.877962,0.877962
501,8,0.0114908,0.0114903
501,9,0.17733,0.17733
501,10,0.223509,0.223509
501,11,0.122963,0.122963
501,12,-0.543809,-0.543809
501,13,-0.0520183,-0.0519714
501,14,0.921153,0.726443
501,15,0.00259356,0.00259355
501,16,-0.349562,-0.335987
501,17,-0.316801,-0.316801
501,18,-0.358894,-0.358894
501,19,-0.090267,-0.0900226
501,20,-0.154781,-0.154781
501,21,0.166858,0.165326
501,22,-0.342434,-0.342434
501,23,0.131476,0.131476
501,24,0.0676625,0.0676625
501,25,0.118171,0.118171
501,26,-0.623639,-0.623639
501,27,0.311471,0.311471
