t,unit,output
500,1,0.0635757
500,2,0.0509814
500,3,0.0335718
500,4,0.0354054
500,5,0.0199118
500,6,0.0143276
500,7,0.00323982
500,8,-0.00323187
500,9,-0.00913108
500,10,-0.0132337
500,11,-0.0149735
500,12,-0.0171434
500,13,-0.0104719
500,14,-0.0141471
500,15,-0.0204478
500,16,-0.029238
500,17,-0.0244937
500,18,-0.0208425
500,19,-0.00660197
500,20,-0.0103838
500,21,-0.00236016
500,22,-0.0137762
500,23,-0.0214685
500,24,-0.0305501
500,25,-0.0362363
500,26,-0.0404043
500,27,-0.0424816
500,28,-0.0366099
500,29,-0.0443216
500,30,-0.0485106
500,31,-0.050183
500,32,-0.037468
500,33,-0.0293667
500,34,-0.0350481
500,35,-0.0363297
500,36,-0.0128438
500,37,-0.0173135
500,38,-0.00451348
500,39,3.11701e-05
500,40,0.00313767
500,41,-0.00432977
500,42,-0.00902046
500,43,-0.0117364
500,44,-0.000916729
500,45,0.00113154
500,46,-0.00433078
500,47,0.000324367
500,48,-0.00114645
500,49,0.00523099
500,50,0.0070979
500,51,0.0144776
500,52,0.005965
500,53,0.0148321
500,54,0.0166289
500,55,0.0156606
500,56,0.00819733
500,57,0.00952133
500,58,0.0247075
500,59,0.0214758
500,60,0.0318486
500,61,0.0411842
500,62,0.0525467
500,63,0.0559154
500,64,0.0533137
500,65,0.0366363
500,66,0.0341906
500,67,0.031056
500,68,0.035336
500,69,0.0371373
500,70,0.0382881
500,71,0.044892
500,72,0.0337903
500,73,0.0347067
500,74,0.0216194
500,75,0.0299941
500,76,0.039131
500,77,0.0460182
500,78,0.0410006
500,79,0.0295463
500,80,0.0376853
500,81,0.0386841
500,82,0.0356084
500,83,0.0249359
500,84,0.0337074
500,85,0.0283983
500,86,0.0291691
500,87,0.0296502
500,88,0.0287726
500,89,0.0270366
500,90,0.0257183
500,91,0.0302878
500,92,0.0175585
500,93,0.0143408
500,94,0.0119617
500,95,0.00992876
500,96,-0.000297669
500,97,-0.00454415
500,98,0.00246187
500,99,0.0128057
500,100,0.00258872
501,1,-0.0509254
501,2,-0.0528569
501,3,-0.0368204
501,4,-0.0836985
501,5,-0.0677063
501,6,-0.0690923
501,7,-0.0575163
501,8,-0.0349792
501,9,-0.0305282
501,10,-0.0282649
501,11,-0.0306518
501,12,-0.0286635
501,13,-0.0644365
501,14,-0.0411798
501,15,0.0046138
501,16,0.0564119
501,17,0.0521845
501,18,0.0474228
501,19,-0.013397
501,20,-0.00650931
501,21,-0.0585286
501,22,-0.0456734
501,23,-0.0370525
501,24,-0.0304725
501,25,-0.0267541
501,26,-0.0244682
501,27,-0.0236603
501,28,-0.0346779
501,29,0.0241976
501,30,0.0732691
501,31,0.114163
501,32,0.0795599
501,33,0.0513391
501,34,0.095871
501,35,0.132993
501,36,0.0584025
501,37,0.101739
501,38,0.0826697
501,39,0.0683439
501,40,0.0563494
501,41,0.0861304
501,42,0.110327
501,43,0.130088
501,44,0.067786
501,45,0.0535629
501,46,0.0823349
501,47,0.053555
501,48,0.0563573
501,49,0.0437068
501,50,0.0479982
501,51,0.0252098
501,52,0.0740432
501,53,0.0604914
501,54,0.0629433
501,55,0.0910871
501,56,0.128791
501,57,0.146456
501,58,0.12373
501,59,0.143354
501,60,0.122377
501,61,0.105052
