t,unit,output
500,1,0.194541
500,2,0.196163
500,3,0.197166
500,4,0.203928
500,5,0.203004
500,6,0.199177
500,7,0.190448
500,8,0.195927
500,9,0.199685
500,10,0.201878
500,11,0.206446
500,12,0.206531
500,13,0.200428
500,14,0.189736
500,15,0.181647
500,16,0.176014
500,17,0.18132
500,18,0.191195
500,19,0.198203
500,20,0.194958
500,21,0.196189
500,22,0.194624
500,23,0.201095
500,24,0.204801
500,25,0.204103
500,26,0.203691
500,27,0.207255
500,28,0.20592
500,29,0.198314
500,30,0.194979
500,31,0.197633
500,32,0.195955
500,33,0.19513
500,34,0.187016
500,35,0.185254
500,36,0.182286
500,37,0.185819
500,38,0.193435
500,39,0.195074
500,40,0.193635
500,41,0.192352
500,42,0.194358
500,43,0.194838
500,44,0.182733
500,45,0.185013
500,46,0.186217
500,47,0.186379
500,48,0.180416
500,49,0.17107
500,50,0.164478
500,51,0.168005
500,52,0.170464
500,53,0.169298
500,54,0.17866
500,55,0.186231
500,56,0.19279
500,57,0.185814
500,58,0.182956
500,59,0.186246
500,60,0.18569
500,61,0.176567
500,62,0.18423
500,63,0.174835
500,64,0.175225
500,65,0.184047
500,66,0.187051
500,67,0.177139
500,68,0.17052
500,69,0.175832
500,70,0.175231
500,71,0.171831
500,72,0.184066
500,73,0.18187
500,74,0.176467
500,75,0.174836
500,76,0.181717
500,77,0.181939
500,78,0.179775
500,79,0.174723
500,80,0.17412
500,81,0.177961
500,82,0.188759
500,83,0.189008
500,84,0.195227
500,85,0.198619
500,86,0.194502
500,87,0.195385
500,88,0.199779
500,89,0.196758
500,90,0.189262
500,91,0.193478
500,92,0.192582
500,93,0.189762
500,94,0.185624
500,95,0.183232
500,96,0.189477
500,97,0.200015
500,98,0.199584
500,99,0.194028
500,100,0.204998
501,1,0.227882
501,2,0.214562
501,3,0.203562
501,4,0.170385
501,5,0.165258
501,6,0.178572
501,7,0.211614
501,8,0.184269
501,9,0.161862
501,10,0.143973
501,11,0.120707
501,12,0.109699
501,13,0.133397
501,14,0.174289
501,15,0.20841
501,16,0.236741
501,17,0.220831
501,18,0.184769
501,19,0.154969
501,20,0.170237
501,21,0.165466
501,22,0.170454
501,23,0.142748
501,24,0.11973
501,25,0.108814
501,26,0.0996229
501,27,0.083718
501,28,0.0786873
501,29,0.106738
501,30,0.112738
501,31,0.0946902
501,32,0.0878449
501,33,0.0819882
501,34,0.123534
501,35,0.143167
501,36,0.174121
501,37,0.167983
501,38,0.140601
501,39,0.125902
501,40,0.128455
501,41,0.130581
501,42,0.117458
501,43,0.106674
501,44,0.151789
501,45,0.135134
501,46,0.121273
501,47,0.109803
501,48,0.132314
501,49,0.173055
501,50,0.206946
501,51,0.195291
501,52,0.185603
501,53,0.194815
501,54,0.162849
501,55,0.136243
501,56,0.114093
501,57,0.15018
501,58,0.16566
501,59,0.146525
501,60,0.145357
501,61,0.183921
501,62,0.153846
501,63,0.191
501,64,0.199115
501,65,0.166451
501,66,0.147011
501,67,0.185268
501,68,0.21707
501,69,0.20316
501,70,0.22371
501,71,0.249032
501,72,0.207969
501,73,0.227969
501,74,0.252681
501,75,0.265443
501,76,0.229531
501,77,0.231523
501,78,0.247847
501,79,0.269282
501,80,0.279251
501,81,0.272552
501,82,0.227672
501,83,0.229855
501,84,0.199787
501,85,0.174993
501,86,0.186495
501,87,0.178458
501,88,0.156954
501,89,0.17119
501,90,0.205422
501,91,0.194011
501,92,0.202194
501,93,0.223597
501,94,0.249081
501,95,0.270292
501,96,0.248249
501,97,0.207473
501,98,0.213494
501,99,0.240701
501,100,0.201166
502,1,0.203669
502,2,0.201331
502,3,0.199043
502,4,0.191954
502,5,0.19032
502,6,0.191428
502,7,0.197736
502,8,0.193602
502,9,0.189356
502,10,0.185021
502,11,0.178674
502,12,0.175151
502,13,0.177206
502,14,0.184419
502,15,0.191418
502,16,0.198322
502,17,0.19743
502,18,0.191195
502,19,0.184897
502,20,0.186977
502,21,0.187106
502,22,0.188006
502,23,0.182156
502,24,0.175547
502,25,0.171667
502,26,0.168561
502,27,0.164378
502,28,0.162015
502,29,0.164534
502,30,0.164093
502,31,0.158227
502,32,0.15488
502,33,0.152635
502,34,0.159819
502,35,0.16533
502,36,0.173963
502,37,0.176117
502,38,0.1716
502,39,0.168589
502,40,0.168791
502,41,0.168876
502,42,0.166538
502,43,0.163396
502,44,0.170131
502,45,0.166222
502,46,0.162255
502,47,0.158114
502,48,0.159468
502,49,0.167119
502,50,0.174751
502,51,0.173652
502,52,0.172217
502,53,0.173295
502,54,0.168048
502,55,0.163462
502,56,0.15991
502,57,0.166525
502,58,0.169484
502,59,0.166563
502,60,0.166321
502,61,0.173923
502,62,0.168111
502,63,0.174885
502,64,0.177864
502,65,0.172322
502,66,0.1688
502,67,0.175377
502,68,0.182565
502,69,0.182886
502,70,0.189213
502,71,0.197041
502,72,0.19116
502,73,0.195861
502,74,0.201694
502,75,0.203979
502,76,0.197532
502,77,0.197711
502,78,0.20103
502,79,0.20601
502,80,0.208293
502,81,0.209038
502,82,0.20078
502,83,0.201654
502,84,0.197336
502,85,0.191928
502,86,0.191515
502,87,0.18995
502,88,0.186798
502,89,0.188533
502,90,0.196007
502,91,0.196204
502,92,0.197504
502,93,0.202046
502,94,0.209487
502,95,0.216708
502,96,0.214553
502,97,0.20718
502,98,0.208263
502,99,0.214915
502,100,0.208788
503,1,0.233394
503,2,0.217947
503,3,0.20507
503,4,0.170894
503,5,0.163933
