t,unit,output
500,1,-0.0071532
500,2,-0.00538241
500,3,-0.00388001
500,4,-0.0255407
500,5,-0.0224229
500,6,-0.0197105
500,7,-0.0173547
500,8,-0.0150335
500,9,-0.0130666
500,10,-0.0114005
500,11,-0.00998917
500,12,-0.00881573
500,13,-0.00789561
500,14,-0.0071798
500,15,-0.0106858
500,16,-0.00894643
500,17,-0.00753373
500,18,-0.00638688
500,19,-0.00545507
500,20,-0.00473777
500,21,-0.0178389
500,22,-0.0161967
500,23,-0.013734
500,24,-0.0116797
500,25,-0.009961
500,26,-0.00851766
500,27,-0.00729974
500,28,-0.00626605
500,29,-0.00540249
500,30,-0.00472498
500,31,0.0180582
500,32,0.0165014
500,33,0.0150687
500,34,0.0137609
500,35,0.0125755
500,36,0.0115072
500,37,0.0327842
500,38,0.0298569
500,39,0.0272903
500,40,0.0250542
500,41,0.023107
500,42,0.0214109
500,43,0.0199319
500,44,0.0186391
500,45,0.0175184
500,46,0.0166064
500,47,0.0158988
500,48,0.0153514
500,49,0.0149271
500,50,0.0180771
500,51,0.0165231
500,52,0.0152289
500,53,0.0141871
500,54,0.0133468
500,55,0.0126657
500,56,0.0121085
500,57,0.0116464
500,58,0.0101877
500,59,0.00899734
500,60,0.00802574
500,61,0.0072317
500,62,0.00658112
500,63,0.00604593
500,64,0.00560314
500,65,0.00523399
500,66,-0.00876172
500,67,-0.00780398
500,68,-0.0069418
500,69,-0.00616614
500,70,-0.0054682
500,71,-0.00483956
500,72,-0.00427233
500,73,-0.00375916
500,74,-0.00334035
500,75,-0.00302112
500,76,-0.0027737
500,77,-0.00257571
500,78,-0.00650018
500,79,-0.00504659
500,80,-0.00381489
500,81,0.0190692
500,82,0.0179732
500,83,0.0169351
500,84,0.0159652
500,85,0.0150698
500,86,0.0152784
500,87,0.015353
500,88,0.0153265
500,89,0.0152575
500,90,0.0151933
500,91,0.0151346
500,92,0.015081
500,93,0.0150313
500,94,0.0149697
500,95,0.0149
500,96,0.0148238
500,97,0.0147764
500,98,0.0147475
500,99,0.0147284
500,100,0.0180129
501,1,0.0167281
501,2,0.0156463
501,3,0.0147336
501,4,0.0133947
501,5,0.0118393
501,6,0.0105417
501,7,0.00945938
501,8,0.00749674
501,9,0.00589613
