t,unit,output
500,1,0.298173
500,2,0.299543
500,3,0.301439
500,4,0.303529
500,5,0.305591
500,6,0.308205
500,7,0.310572
500,8,0.34223
500,9,0.33833
500,10,0.335349
500,11,0.332772
500,12,0.330941
500,13,0.329545
500,14,0.358783
500,15,0.353725
500,16,0.360834
500,17,0.356964
500,18,0.353046
500,19,0.349139
500,20,0.347538
500,21,0.335
500,22,0.332402
500,23,0.329768
500,24,0.318131
500,25,0.315247
500,26,0.312682
500,27,0.310419
500,28,0.308271
500,29,0.308922
500,30,0.308714
500,31,0.307954
500,32,0.306871
500,33,0.305632
500,34,0.306099
500,35,0.306083
500,36,0.30593
500,37,0.305732
500,38,0.305548
500,39,0.307602
500,40,0.311278
500,41,0.313288
500,42,0.316584
500,43,0.320624
500,44,0.323421
500,45,0.325216
500,46,0.337128
500,47,0.337921
500,48,0.337874
500,49,0.339391
500,50,0.33971
500,51,0.340147
500,52,0.340049
500,53,0.3392
500,54,0.361572
500,55,0.356029
500,56,0.350907
500,57,0.346426
500,58,0.342797
500,59,0.339764
500,60,0.361671
500,61,0.350993
500,62,0.34263
500,63,0.336013
500,64,0.330705
500,65,0.326374
500,66,0.322904
500,67,0.320051
500,68,0.315966
500,69,0.345899
500,70,0.337557
500,71,0.331115
500,72,0.326036
500,73,0.32193
500,74,0.338331
500,75,0.331119
500,76,0.327863
500,77,0.325253
500,78,0.323102
500,79,0.34686
500,80,0.338907
500,81,0.330563
500,82,0.32393
500,83,0.346373
500,84,0.333741
500,85,0.323928
500,86,0.316404
500,87,0.310716
500,88,0.30649
500,89,0.331258
500,90,0.32211
500,91,0.315089
500,92,0.30976
500,93,0.305773
500,94,0.302902
500,95,0.328474
500,96,0.325574
500,97,0.324153
500,98,0.320437
500,99,0.317553
500,100,0.316849
501,1,0.286931
501,2,0.291465
501,3,0.295125
501,4,0.298135
501,5,0.300645
501,6,0.305152
501,7,0.308737
501,8,0.28393
501,9,0.291857
501,10,0.298113
501,11,0.304454
501,12,0.309323
501,13,0.31304
501,14,0.288849
501,15,0.294069
501,16,0.329072
501,17,0.329584
501,18,0.330061
501,19,0.330387
501,20,0.327315
501,21,0.29595
501,22,0.297782
501,23,0.299466
501,24,0.272269
501,25,0.27696
501,26,0.280868
501,27,0.284084
501,28,0.286881
501,29,0.287622
501,30,0.288703
501,31,0.289878
501,32,0.290994
501,33,0.291967
501,34,0.292508
501,35,0.293323
501,36,0.294325
501,37,0.295396
501,38,0.296463
501,39,0.294435
501,40,0.317132
501,41,0.313699
501,42,0.333044
501,43,0.325387
501,44,0.319875
501,45,0.316008
501,46,0.347041
501,47,0.34126
501,48,0.336732
501,49,0.330075
501,50,0.325292
501,51,0.342687
501,52,0.33739
501,53,0.333264
501,54,0.285672
501,55,0.287748
501,56,0.291214
501,57,0.295631
501,58,0.299395
501,59,0.302612
501,60,0.25966
501,61,0.269093
501,62,0.276648
501,63,0.282762
501,64,0.287754
501,65,0.291855
501,66,0.295299
501,67,0.298207
501,68,0.302695
501,69,0.278833
501,70,0.287205
501,71,0.293705
501,72,0.298759
501,73,0.302679
501,74,0.297827
501,75,0.304307
501,76,0.310125
501,77,0.314627
501,78,0.318034
501,79,0.273113
501,80,0.2833
501,81,0.290489
501,82,0.295964
501,83,0.254057
501,84,0.264501
501,85,0.272505
501,86,0.278613
501,87,0.283256
501,88,0.286761
501,89,0.245883
501,90,0.255986
501,91,0.264055
501,92,0.270486
501,93,0.275603
501,94,0.279802
501,95,0.239891
501,96,0.268841
501,97,0.293638
501,98,0.29645
501,99,0.298793
501,100,0.301012
502,1,0.329277
502,2,0.325608
502,3,0.323031
502,4,0.321251
502,5,0.320042
502,6,0.320202
502,7,0.320656
502,8,0.319987
502,9,0.319353
502,10,0.319289
502,11,0.319726
502,12,0.320447
502,13,0.321271
502,14,0.321641
502,15,0.322136
502,16,0.340703
502,17,0.340311
502,18,0.339747
502,19,0.339068
502,20,0.339857
502,21,0.363558
502,22,0.357259
502,23,0.351517
502,24,0.372509
502,25,0.362216
502,26,0.35345
502,27,0.345984
502,28,0.33951
502,29,0.336204
502,30,0.332852
502,31,0.329603
502,32,0.326539
502,33,0.323693
502,34,0.322491
502,35,0.320998
502,36,0.319559
502,37,0.318218
502,38,0.316992
502,39,0.317523
502,40,0.340721
502,41,0.33802
502,42,0.358264
502,43,0.355012
502,44,0.350914
502,45,0.346418
502,46,0.360944
502,47,0.355865
502,48,0.350888
502,49,0.34795
502,50,0.344426
502,51,0.363762
502,52,0.357923
502,53,0.352343
502,54,0.352035
502,55,0.345653
502,56,0.340239
502,57,0.33583
502,58,0.332064
502,59,0.32887
502,60,0.331509
502,61,0.323736
502,62,0.31797
502,63,0.313753
502,64,0.310729
502,65,0.308625
502,66,0.307405
502,67,0.306833
502,68,0.304869
502,69,0.304467
502,70,0.302751
502,71,0.302218
