t,unit,output
500,1,-0.0532555
500,2,0.01506
500,3,-0.00129135
500,4,0.0306069
500,5,-0.00729238
500,6,-0.0338979
500,7,0.00841217
500,8,-0.042641
500,9,-0.0175797
500,10,-0.0604838
500,11,-0.0497981
500,12,-0.0422478
500,13,-0.0586298
500,14,-0.0101948
500,15,0.0408071
500,16,0.0347127
500,17,0.0117211
500,18,0.0572962
500,19,0.00584432
500,20,0.0350044
500,21,-0.010631
500,22,0.0054409
500,23,-0.0258555
500,24,-0.0640196
500,25,-0.0923218
500,26,-0.0125617
500,27,-0.037696
500,28,-0.0382728
500,29,-0.056419
500,30,-0.0112049
501,1,-0.0821237
501,2,0.0192265
501,3,-0.00721244
501,4,0.0411158
501,5,-0.0151293
501,6,-0.0517486
501,7,0.0141907
501,8,-0.0601572
501,9,-0.0218633
501,10,-0.0841438
501,11,-0.0688084
501,12,-0.0580275
501,13,-0.0839388
501,14,-0.0124342
501,15,0.059293
501,16,0.0407996
501,17,0.00809721
501,18,0.0760102
501,19,-0.00134068
501,20,0.044679
501,21,-0.0207113
501,22,0.003404
501,23,-0.0431627
501,24,-0.0977827
501,25,-0.133512
501,26,-0.0122437
501,27,-0.0526862
501,28,-0.0513087
501,29,-0.0789387
501,30,-0.00842587
502,1,-0.0337089
502,2,-0.00148491
502,3,-0.00914764
502,4,0.00861871
502,5,-0.00531377
502,6,-0.0164069
502,7,0.00394256
502,8,-0.0180312
502,9,-0.00780114
502,10,-0.0280387
502,11,-0.0259501
502,12,-0.0229784
502,13,-0.0329421
502,14,-0.0125299
502,15,0.010582
502,16,0.0119968
502,17,0.00126096
502,18,0.0233851
502,19,-0.00179391
502,20,0.0131944
502,21,-0.010793
502,22,-0.000984672
502,23,-0.0159431
502,24,-0.0334055
502,25,-0.0497657
502,26,-0.013741
502,27,-0.0228367
502,28,-0.0248786
502,29,-0.0335067
502,30,-0.0139001
503,1,-0.0862159
503,2,0.0296787
503,3,-0.00903707
503,4,0.056172
503,5,-0.0249345
503,6,-0.0753518
503,7,0.0173002
503,8,-0.0710163
503,9,-0.0223062
503,10,-0.0943034
503,11,-0.0804564
503,12,-0.070415
503,13,-0.10836
503,14,-0.00978039
503,15,0.0756662
503,16,0.0453503
503,17,0.00303107
503,18,0.0828987
503,19,-0.0166246
503,20,0.0521171
503,21,-0.0330878
503,22,0.000877935
503,23,-0.0627321
503,24,-0.117777
503,25,-0.150044
503,26,-0.00891726
503,27,-0.0682551
503,28,-0.0645874
503,29,-0.102931
503,30,-0.00240402
504,1,0.0659872
504,2,-0.0331085
504,3,-0.00729636
504,4,-0.0472895
504,5,0.0163911
504,6,0.0514963
504,7,-0.0136011
504,8,0.0625874
504,9,0.0207547
504,10,0.0815127
504,11,0.0583231
504,12,0.0456796
504,13,0.0651935
504,14,-0.00927029
504,15,-0.0773633
504,16,-0.0400961
504,17,-0.0100698
504,18,-0.0762743
504,19,-0.00326422
504,20,-0.0452138
504,21,0.0109758
504,22,-0.00671426
504,23,0.0370989
504,24,0.092312
504,25,0.119361
504,26,-0.00489171
504,27,0.0395131
504,28,0.0302846
504,29,0.055897
504,30,-0.0181859
505,1,-0.0408227
505,2,-0.00212977
505,3,-0.0144779
505,4,0.00505479
505,5,-0.00846946
505,6,-0.0162775
505,7,0.00695094
505,8,-0.0155081
505,9,-0.00324251
505,10,-0.0223829
505,11,-0.0176127
505,12,-0.0133859
505,13,-0.0252679
505,14,-0.0058978
505,15,0.0108972
505,16,-0.00326432
505,17,-0.0127694
505,18,0.0123129
505,19,-0.0168016
505,20,0.00426547
505,21,-0.00990908
505,22,-0.0026961
505,23,-0.0171043
505,24,-0.0363692
505,25,-0.0421231
505,26,0.00669106
505,27,-0.0117209
505,28,-0.00688675
505,29,-0.0166203
505,30,0.0114742
506,1,-0.0447644
506,2,0.0285468
506,3,0.00977429
506,4,0.0373865
506,5,-0.0148373
506,6,-0.0442932
