t,unit,output
500,1,0.121771
500,2,0.127859
500,3,0.115144
500,4,0.134379
500,5,0.121131
500,6,0.139574
500,7,0.143356
500,8,0.146024
500,9,0.160158
500,10,0.155275
500,11,0.168283
500,12,0.150307
500,13,0.162227
500,14,0.173795
500,15,0.144931
500,16,0.130306
500,17,0.147358
500,18,0.159801
500,19,0.170664
500,20,0.167854
500,21,0.162203
500,22,0.135176
500,23,0.15043
500,24,0.125358
500,25,0.112657
500,26,0.119523
500,27,0.122807
500,28,0.121404
500,29,0.109943
500,30,0.100426
500,31,0.105987
500,32,0.104224
500,33,0.0869308
500,34,0.0941364
500,35,0.0996143
500,36,0.0832022
500,37,0.0968696
500,38,0.0901735
500,39,0.112418
500,40,0.119674
500,41,0.12536
500,42,0.104469
500,43,0.112733
500,44,0.132101
500,45,0.110113
500,46,0.129325
500,47,0.145996
500,48,0.143978
500,49,0.146791
500,50,0.160873
500,51,0.143451
500,52,0.156851
500,53,0.156655
500,54,0.168443
500,55,0.163984
500,56,0.157397
500,57,0.151798
500,58,0.126513
500,59,0.105453
500,60,0.125485
500,61,0.104574
500,62,0.124989
500,63,0.142304
500,64,0.145118
500,65,0.120938
500,66,0.100782
500,67,0.109307
500,68,0.11459
500,69,0.115878
500,70,0.0965807
500,71,0.0805087
500,72,0.0671248
500,73,0.0741415
500,74,0.100328
500,75,0.0836944
500,76,0.106996
500,77,0.115185
500,78,0.0959969
500,79,0.102646
500,80,0.102933
500,81,0.107888
500,82,0.127111
500,83,0.125584
500,84,0.113239
500,85,0.132048
500,86,0.148182
500,87,0.161159
500,88,0.172314
500,89,0.181471
500,90,0.176788
500,91,0.185432
500,92,0.192947
500,93,0.160854
500,94,0.134117
500,95,0.127923
500,96,0.133324
500,97,0.133379
500,98,0.148417
500,99,0.132336
500,100,0.119005
501,1,0.103441
501,2,0.0902999
501,3,0.103034
501,4,0.119928
501,5,0.127492
501,6,0.140468
501,7,0.120761
501,8,0.104263
501,9,0.121735
501,10,0.114988
501,11,0.130903
501,12,0.135456
501,13,0.14956
501,14,0.159875
501,15,0.173187
501,16,0.171508
501,17,0.177384
501,18,0.184559
501,19,0.190279
501,20,0.16165
501,21,0.162213
501,22,0.175103
501,23,0.18289
501,24,0.192291
501,25,0.188118
501,26,0.161078
501,27,0.149173
501,28,0.144662
501,29,0.148549
501,30,0.152172
501,31,0.14245
501,32,0.136226
501,33,0.15315
501,34,0.143761
501,35,0.135688
501,36,0.152669
501,37,0.132205
501,38,0.138973
501,39,0.153601
501,40,0.132315
501,41,0.114417
501,42,0.13511
501,43,0.117092
501,44,0.131576
501,45,0.149446
501,46,0.16198
501,47,0.169411
501,48,0.155202
501,49,0.132949
501,50,0.145659
501,51,0.148023
501,52,0.160166
501,53,0.136829
501,54,0.150564
501,55,0.138691
501,56,0.142358
501,57,0.144398
501,58,0.160219
501,59,0.173285
501,60,0.181928
501,61,0.19137
501,62,0.197012
501,63,0.201339
501,64,0.191734
501,65,0.199639
501,66,0.206103
501,67,0.176343
501,68,0.162252
501,69,0.154415
501,70,0.168385
