t,unit,output
500,1,0.532383
500,2,0.535275
500,3,0.537026
500,4,0.539561
500,5,0.541038
500,6,0.542271
500,7,0.54269
500,8,0.567837
500,9,0.588647
500,10,0.550937
500,11,0.549934
500,12,0.54921
500,13,0.548659
500,14,0.564166
500,15,0.56175
500,16,0.543571
500,17,0.546823
500,18,0.547637
500,19,0.54825
500,20,0.548716
500,21,0.544099
500,22,0.528542
500,23,0.556663
500,24,0.579904
500,25,0.576288
500,26,0.573192
500,27,0.565096
500,28,0.563534
500,29,0.561916
500,30,0.559656
500,31,0.559366
500,32,0.560512
500,33,0.561295
500,34,0.561794
500,35,0.561769
500,36,0.561648
500,37,0.561436
500,38,0.561097
500,39,0.560777
500,40,0.583898
500,41,0.58074
500,42,0.582821
500,43,0.579865
500,44,0.577313
500,45,0.575103
500,46,0.578049
500,47,0.557775
500,48,0.527753
500,49,0.556808
500,50,0.558825
500,51,0.582963
500,52,0.581244
500,53,0.579645
500,54,0.582664
500,55,0.573923
500,56,0.570721
500,57,0.569651
500,58,0.568836
500,59,0.569578
500,60,0.592202
500,61,0.589732
500,62,0.591545
500,63,0.588826
500,64,0.586297
500,65,0.584066
500,66,0.575748
500,67,0.556715
500,68,0.55983
500,69,0.53043
500,70,0.537132
500,71,0.5247
500,72,0.526073
500,73,0.532958
500,74,0.506694
500,75,0.530163
500,76,0.535148
500,77,0.537851
500,78,0.523124
500,79,0.533343
500,80,0.535885
500,81,0.538436
500,82,0.539183
500,83,0.547033
500,84,0.548088
500,85,0.54907
500,86,0.549018
500,87,0.564929
500,88,0.563307
500,89,0.577068
500,90,0.573843
500,91,0.571392
500,92,0.584046
500,93,0.580199
500,94,0.576739
500,95,0.55669
500,96,0.580494
500,97,0.560421
500,98,0.560883
500,99,0.543264
500,100,0.546486
501,1,0.526836
501,2,0.531272
501,3,0.533998
501,4,0.537799
501,5,0.539969
501,6,0.541817
501,7,0.542424
501,8,0.572008
501,9,0.596436
501,10,0.549344
501,11,0.548287
501,12,0.547583
501,13,0.54709
501,14,0.565699
501,15,0.563268
501,16,0.54122
501,17,0.546001
501,18,0.546594
501,19,0.547044
501,20,0.54739
501,21,0.54151
501,22,0.522023
501,23,0.555355
501,24,0.582888
501,25,0.579041
501,26,0.575682
501,27,0.565991
501,28,0.564212
501,29,0.562192
501,30,0.558929
501,31,0.558764
501,32,0.560828
501,33,0.562264
501,34,0.563207
501,35,0.563248
501,36,0.563129
501,37,0.562867
501,38,0.562418
501,39,0.561995
501,40,0.589204
501,41,0.585924
501,42,0.588588
501,43,0.585383
501,44,0.582515
501,45,0.579946
501,46,0.583396
501,47,0.558234
501,48,0.520215
501,49,0.554673
501,50,0.557585
501,51,0.58635
501,52,0.585075
501,53,0.583686
501,54,0.587605
501,55,0.5769
501,56,0.571912
501,57,0.570346
501,58,0.569171
501,59,0.570451
501,60,0.59733
501,61,0.595051
501,62,0.597628
501,63,0.594697
501,64,0.591778
501,65,0.589088
501,66,0.578905
501,67,0.555109
501,68,0.558879
501,69,0.521464
501,70,0.529196
501,71,0.513445
501,72,0.514916
501,73,0.522778
501,74,0.488642
501,75,0.516849
501,76,0.522374
501,77,0.524496
501,78,0.505669
501,79,0.518074
501,80,0.520401
501,81,0.523159
501,82,0.523119
501,83,0.533446
501,84,0.53492
501,85,0.53646
501,86,0.53639
501,87,0.556536
501,88,0.555285
501,89,0.572848
501,90,0.569902
501,91,0.567975
501,92,0.584037
501,93,0.580538
501,94,0.577354
501,95,0.553502
501,96,0.582217
501,97,0.558622
501,98,0.560199
501,99,0.538939
501,100,0.543686
502,1,0.531372
502,2,0.535454
502,3,0.537237
502,4,0.541188
502,5,0.542812
502,6,0.544352
502,7,0.54408
502,8,0.566644
502,9,0.585357
502,10,0.552472
502,11,0.550429
502,12,0.549034
502,13,0.548041
502,14,0.56197
502,15,0.560325
502,16,0.545431
502,17,0.550081
502,18,0.5497
502,19,0.549333
502,20,0.549
502,21,0.544506
502,22,0.530722
502,23,0.5557
502,24,0.576426
502,25,0.573918
502,26,0.571614
502,27,0.564544
502,28,0.562968
502,29,0.560963
502,30,0.557269
502,31,0.557231
502,32,0.559869
502,33,0.561813
502,34,0.563189
502,35,0.563447
502,36,0.563488
502,37,0.563315
502,38,0.562839
502,39,0.562395
502,40,0.58309
502,41,0.581467
502,42,0.583662
502,43,0.581976
502,44,0.580326
502,45,0.578717
502,46,0.581084
502,47,0.562919
502,48,0.536285
502,49,0.561262
502,50,0.563394
502,51,0.58488
502,52,0.584685
502,53,0.584167
502,54,0.586905
502,55,0.578417
502,56,0.572583
502,57,0.570767
502,58,0.569434
502,59,0.571051
502,60,0.59163
502,61,0.591222
502,62,0.593444
502,63,0.592065
502,64,0.590222
502,65,0.588328
502,66,0.580359
502,67,0.562683
502,68,0.565464
502,69,0.538907
502,70,0.543326
502,71,0.531152
502,72,0.530992
502,73,0.535489
502,74,0.51058
502,75,0.52945
502,76,0.531465
502,77,0.529935
502,78,0.515068
502,79,0.522493
502,80,0.521621
502,81,0.521864
502,82,0.518982
502,83,0.526788
502,84,0.527123
502,85,0.527728
502,86,0.52652
502,87,0.542652
502,88,0.541785
502,89,0.556259
502,90,0.554501
502,91,0.553818
502,92,0.567281
502,93,0.565697
502,94,0.564106
502,95,0.548314
502,96,0.570981
502,97,0.555392
502,98,0.557134
502,99,0.542387
502,100,0.546259
503,1,0.540107
503,2,0.543046
503,3,0.543465
503,4,0.546754
503,5,0.547469
503,6,0.548335
503,7,0.547104
503,8,0.561021
503,9,0.572752
503,10,0.554329
503,11,0.552436
503,12,0.551115
503,13,0.550089
503,14,0.558594
503,15,0.557441
503,16,0.549284
503,17,0.552608
503,18,0.552334
503,19,0.551891
503,20,0.551373
503,21,0.548654
503,22,0.540843
503,23,0.556176
503,24,0.569039
503,25,0.567769
503,26,0.566487
503,27,0.562325
503,28,0.561182
503,29,0.559658
503,30,0.556834
503,31,0.556767
503,32,0.558819
503,33,0.560451
503,34,0.561704
503,35,0.562117
503,36,0.562318
503,37,0.562285
503,38,0.561883
