t,unit,output
500,1,1.20473
500,2,1.22621
500,3,1.25492
500,4,1.25566
500,5,1.25687
500,6,1.25287
500,7,1.25382
500,8,1.25478
500,9,1.28629
500,10,1.28211
500,11,1.28015
500,12,1.27831
500,13,1.27665
500,14,1.22673
500,15,1.20982
500,16,1.2155
500,17,1.25329
500,18,1.25701
500,19,1.20943
500,20,1.21867
500,21,1.2264
500,22,1.23037
500,23,1.24864
500,24,1.20742
500,25,1.22863
500,26,1.23424
500,27,1.19646
500,28,1.20422
500,29,1.21119
500,30,1.21726
500,31,1.22348
500,32,1.2266
500,33,1.25636
500,34,1.2566
500,35,1.25471
500,36,1.25338
500,37,1.25247
500,38,1.232
500,39,1.19454
500,40,1.2024
500,41,1.22494
500,42,1.23048
500,43,1.26596
500,44,1.26594
500,45,1.24016
500,46,1.2424
500,47,1.24235
500,48,1.24252
500,49,1.24389
500,50,1.24523
500,51,1.24231
500,52,1.27532
500,53,1.27362
500,54,1.27209
500,55,1.29222
500,56,1.28802
500,57,1.2843
500,58,1.28097
500,59,1.27791
500,60,1.27744
500,61,1.24775
500,62,1.26002
500,63,1.21119
500,64,1.22054
500,65,1.22825
500,66,1.23458
500,67,1.23974
500,68,1.24409
500,69,1.24626
500,70,1.27133
500,71,1.26814
500,72,1.26264
500,73,1.26142
500,74,1.23793
500,75,1.24056
500,76,1.19996
500,77,1.20805
500,78,1.21657
500,79,1.25456
500,80,1.25661
500,81,1.25819
500,82,1.28856
500,83,1.28491
500,84,1.27958
500,85,1.27522
500,86,1.26829
500,87,1.26831
500,88,1.27664
500,89,1.2755
500,90,1.27652
500,91,1.26553
500,92,1.28587
500,93,1.28448
500,94,1.27275
500,95,1.27262
500,96,1.222
500,97,1.23956
500,98,1.21831
500,99,1.22536
500,100,1.23265
501,1,1.18114
501,2,1.20957
501,3,1.24444
501,4,1.24548
501,5,1.24735
501,6,1.245
501,7,1.24589
501,8,1.24707
501,9,1.28174
501,10,1.27676
501,11,1.2751
501,12,1.27364
501,13,1.2724
501,14,1.2144
501,15,1.19693
501,16,1.20593
501,17,1.24759
501,18,1.25155
501,19,1.19609
501,20,1.20554
501,21,1.21383
501,22,1.21649
501,23,1.24117
501,24,1.19571
501,25,1.22266
501,26,1.2268
501,27,1.18598
501,28,1.19057
501,29,1.19566
501,30,1.20074
501,31,1.20711
501,32,1.20889
501,33,1.24553
501,34,1.24551
501,35,1.24192
501,36,1.23955
501,37,1.23816
501,38,1.21795
501,39,1.17726
501,40,1.18398
501,41,1.21309
501,42,1.21858
501,43,1.25816
501,44,1.25843
501,45,1.22985
501,46,1.23118
501,47,1.22888
501,48,1.22772
501,49,1.22893
501,50,1.23054
501,51,1.23005
501,52,1.26734
501,53,1.26546
501,54,1.26398
501,55,1.28875
501,56,1.28452
501,57,1.28083
501,58,1.27764
501,59,1.27448
501,60,1.27482
501,61,1.24009
501,62,1.25566
501,63,1.19775
501,64,1.20794
501,65,1.21666
501,66,1.22407
