t,unit,output
500,1,-0.0429201
500,2,-0.046138
500,3,-0.0428152
500,4,-0.0368333
500,5,-0.0374168
500,6,-0.0324082
500,7,-0.0292463
500,8,-0.0279381
500,9,-0.0253312
500,10,-0.0214501
500,11,-0.0192161
500,12,-0.0153968
500,13,-0.0148279
500,14,-0.0189842
500,15,-0.0187698
500,16,-0.0156239
500,17,-0.0196715
500,18,-0.0220662
500,19,-0.0260098
500,20,-0.0284394
500,21,-0.0280119
500,22,-0.0257739
500,23,-0.0238158
500,24,-0.0236184
500,25,-0.0278653
500,26,-0.0301904
500,27,-0.0309485
500,28,-0.0328006
500,29,-0.0330262
500,30,-0.0331443
500,31,-0.0319905
500,32,-0.0276388
500,33,-0.0280478
500,34,-0.0312917
500,35,-0.033021
500,36,-0.0329702
500,37,-0.0284546
500,38,-0.0273416
500,39,-0.0305177
500,40,-0.0322225
500,41,-0.0352482
500,42,-0.0308204
500,43,-0.034114
500,44,-0.0374966
500,45,-0.03922
500,46,-0.0347178
500,47,-0.0348255
500,48,-0.030549
500,49,-0.0293481
500,50,-0.0281792
500,51,-0.0312108
500,52,-0.0271024
500,53,-0.0292945
500,54,-0.0282601
500,55,-0.0287064
500,56,-0.0246873
500,57,-0.023963
500,58,-0.0276172
500,59,-0.0254626
500,60,-0.0265721
500,61,-0.0260845
500,62,-0.0257515
500,63,-0.0298772
500,64,-0.0337011
500,65,-0.032732
500,66,-0.0286167
500,67,-0.029276
500,68,-0.0297223
500,69,-0.0288883
500,70,-0.0282559
500,71,-0.0248475
500,72,-0.028994
500,73,-0.0330782
500,74,-0.0298512
500,75,-0.0295963
500,76,-0.0293515
500,77,-0.0319449
500,78,-0.0316682
500,79,-0.0341352
500,80,-0.0379485
500,81,-0.0367401
500,82,-0.0388101
500,83,-0.0405713
500,84,-0.0388117
500,85,-0.0344282
500,86,-0.0312203
500,87,-0.0337894
500,88,-0.0304595
500,89,-0.0329414
500,90,-0.0350156
500,91,-0.0368936
500,92,-0.0383808
500,93,-0.0398824
500,94,-0.0418924
500,95,-0.0409091
500,96,-0.0410223
500,97,-0.0402064
500,98,-0.0425386
500,99,-0.0408565
500,100,-0.0422934
501,1,-0.0348229
501,2,-0.0403746
501,3,-0.0376546
501,4,-0.0298774
501,5,-0.0336965
