t,unit,output
500,1,0.0205881
500,2,0.0245955
500,3,0.0281102
500,4,0.0299038
500,5,0.0259342
500,6,0.0263563
500,7,0.0251415
500,8,0.0215296
500,9,0.0249938
500,10,0.0241361
500,11,0.0246463
500,12,0.0281864
500,13,0.0262024
500,14,0.0267676
500,15,0.0274798
500,16,0.0265624
500,17,0.0272835
500,18,0.026644
500,19,0.0261354
500,20,0.0298607
500,21,0.0358576
500,22,0.0333639
500,23,0.0294533
500,24,0.0271522
500,25,0.024764
500,26,0.0266182
500,27,0.0228938
500,28,0.0273232
500,29,0.0274987
500,30,0.0263476
500,31,0.0255368
500,32,0.0303655
500,33,0.0318323
500,34,0.0279589
500,35,0.0308941
500,36,0.0273397
500,37,0.0311182
500,38,0.0317637
500,39,0.0335271
500,40,0.0365256
500,41,0.0325894
500,42,0.0357159
500,43,0.0331224
500,44,0.0337886
500,45,0.0302017
500,46,0.0295657
500,47,0.0290515
500,48,0.0287242
500,49,0.0274822
500,50,0.0275589
500,51,0.03147
500,52,0.0297729
500,53,0.0297676
500,54,0.0320607
500,55,0.0287046
500,56,0.035003
500,57,0.0416765
500,58,0.0371246
500,59,0.0341614
500,60,0.0343848
500,61,0.0334093
500,62,0.0366179
500,63,0.0334064
500,64,0.0408162
500,65,0.0381131
500,66,0.0392724
500,67,0.0405184
500,68,0.0429617
500,69,0.0494074
500,70,0.0481274
500,71,0.0454451
500,72,0.0440476
500,73,0.0478434
500,74,0.0417323
500,75,0.0390222
500,76,0.0378451
500,77,0.0397117
500,78,0.0348058
500,79,0.0342913
500,80,0.0381202
500,81,0.0397934
500,82,0.0418135
500,83,0.0479784
500,84,0.0457242
500,85,0.0431137
500,86,0.0380133
500,87,0.0398418
500,88,0.0385645
500,89,0.0364811
500,90,0.0330674
500,91,0.0299238
500,92,0.0259986
500,93,0.0219913
500,94,0.0196844
500,95,0.023762
500,96,0.0227162
500,97,0.0259846
500,98,0.0263204
500,99,0.0265958
500,100,0.0231685
501,1,0.0224583
501,2,0.0288175
501,3,0.0340821
501,4,0.0361579
501,5,0.0280292
501,6,0.0284748
501,7,0.0260324
501,8,0.019315
501,9,0.0256777
501,10,0.0239259
501,11,0.0247754
501,12,0.0307173
501,13,0.0265431
501,14,0.0272996
501,15,0.0283573
501,16,0.0264729
501,17,0.0276752
501,18,0.0263898
501,19,0.0254507
501,20,0.0320872
501,21,0.0375053
501,22,0.0332955
501,23,0.0268101
501,24,0.0235108
501,25,0.0201133
501,26,0.0243137
501,27,0.0182282
501,28,0.0235076
501,29,0.0247378
501,30,0.0233817
501,31,0.0226192
501,32,0.0279643
501,33,0.031366
501,34,0.0249593
501,35,0.0309452
501,36,0.024606
501,37,0.0314212
501,38,0.0322905
501,39,0.0352257
501,40,0.0402898
501,41,0.0327504
501,42,0.038429
501,43,0.0335587
501,44,0.0345456
501,45,0.0279736
501,46,0.0271577
501,47,0.0266081
501,48,0.0264129
501,49,0.0242069
501,50,0.0245385
501,51,0.0316706
501,52,0.0284438
501,53,0.0281639
501,54,0.0321195
501,55,0.0258636
501,56,0.0323833
501,57,0.039628
501,58,0.0326409
501,59,0.028819
501,60,0.0304335
501,61,0.0297209
501,62,0.0363548
501,63,0.0307343
501,64,0.0389839
501,65,0.0351211
501,66,0.0382845
501,67,0.041328
501,68,0.0462825
501,69,0.0520775
501,70,0.0507883
501,71,0.0469694
501,72,0.0455569
501,73,0.0481275
501,74,0.0388624
501,75,0.0358319
501,76,0.0354759
501,77,0.0403112
501,78,0.0325953
501,79,0.0330231
501,80,0.0367312
501,81,0.0411615
501,82,0.0452781
501,83,0.0497548
501,84,0.0462636
501,85,0.0428767
501,86,0.0350405
501,87,0.0399688
501,88,0.0392711
501,89,0.0364294
501,90,0.0313894
501,91,0.0269084
501,92,0.0207034
501,93,0.0149882
501,94,0.0123505
501,95,0.0180014
501,96,0.0174762
501,97,0.0243085
501,98,0.0254525
501,99,0.026416
501,100,0.0202034
502,1,0.0203461
502,2,0.0252191
502,3,0.0294615
502,4,0.0315762
502,5,0.0266725
502,6,0.0271901
502,7,0.0257236
502,8,0.0212586
502,9,0.0254783
502,10,0.0243465
502,11,0.0249067
502,12,0.0290541
502,13,0.0264006
502,14,0.0269679
502,15,0.027697
502,16,0.0264674
502,17,0.0272413
502,18,0.0263512
502,19,0.025642
502,20,0.030111
502,21,0.0359206
502,22,0.0329448
502,23,0.0283135
502,24,0.0256984
502,25,0.0230107
502,26,0.0255028
502,27,0.0211131
502,28,0.0256346
502,29,0.0261259
502,30,0.0249424
502,31,0.0241305
502,32,0.0290135
502,33,0.0310652
502,34,0.0265155
502,35,0.0303468
502,36,0.0260717
502,37,0.03073
502,38,0.0315249
502,39,0.0336945
502,40,0.037333
502,41,0.0324696
502,42,0.0363068
502,43,0.0331461
502,44,0.0339421
502,45,0.0295667
502,46,0.0288528
502,47,0.0282855
502,48,0.0279385
502,49,0.0264103
502,50,0.0265365
502,51,0.0313505
502,52,0.0292566
502,53,0.0291716
502,54,0.0319406
502,55,0.0277782
502,56,0.0339461
502,57,0.0405418
502,58,0.0352953
502,59,0.0320375
502,60,0.032591
502,61,0.031627
502,62,0.0357595
502,63,0.0319269
502,64,0.0395959
502,65,0.03666
502,66,0.0384809
502,67,0.0403139
502,68,0.0435499
502,69,0.0500896
502,70,0.0489187
502,71,0.0460302
502,72,0.0447293
502,73,0.0484184
502,74,0.0414478
502,75,0.0385836
502,76,0.0375604
502,77,0.0401666
502,78,0.0344192
502,79,0.0340881
502,80,0.0378385
502,81,0.0402521
502,82,0.0429056
502,83,0.0488529
502,84,0.0463049
502,85,0.0434333
502,86,0.037512
502,87,0.0401085
502,88,0.0388878
502,89,0.0365521
502,90,0.0326121
502,91,0.029009
502,92,0.024387
502,93,0.0197709
502,94,0.0172408
502,95,0.0214716
502,96,0.0205163
502,97,0.0247741
502,98,0.0253671
502,99,0.0258753
502,100,0.0217666
503,1,0.021167
503,2,0.0281181
503,3,0.0339356
503,4,0.0363684
503,5,0.027909
503,6,0.0285138
503,7,0.0260426
503,8,0.0189426
503,9,0.0257561
503,10,0.0239302
503,11,0.0248678
503,12,0.0311988
503,13,0.0267355
503,14,0.0275368
503,15,0.0286308
503,16,0.0266024
503,17,0.0278334
503,18,0.0264023
503,19,0.0253193
503,20,0.0323115
503,21,0.0375945
503,22,0.0330845
503,23,0.026138
503,24,0.0225725
503,25,0.0189136
503,26,0.0233873
503,27,0.0168792
503,28,0.0219891
503,29,0.0233821
503,30,0.0220141
503,31,0.0212487
503,32,0.0265098
503,33,0.0302616
503,34,0.0235056
503,35,0.0299899
503,36,0.023261
503,37,0.03055
503,38,0.0315383
503,39,0.0347482
503,40,0.0402292
503,41,0.0322661
503,42,0.0383695
503,43,0.0332638
503,44,0.0343762
503,45,0.0274321
503,46,0.0265907
503,47,0.0260246
503,48,0.0258236
503,49,0.0234758
503,50,0.0238341
503,51,0.0314613
503,52,0.0280618
503,53,0.0277522
503,54,0.0319824
503,55,0.0253135
503,56,0.0317224
503,57,0.038861
503,58,0.0314801
503,59,0.027452
503,60,0.0291968
503,61,0.0284473
503,62,0.0355463
503,63,0.0295569
503,64,0.0377377
503,65,0.0337248
503,66,0.0372395
503,67,0.0406182
503,68,0.0460415
503,69,0.0519228
503,70,0.0507533
503,71,0.0468808
503,72,0.0455718
503,73,0.0481632
503,74,0.0384752
503,75,0.0353678
503,76,0.035105
503,77,0.0403564
503,78,0.0322177
503,79,0.0327439
503,80,0.0364197
503,81,0.0412689
503,82,0.0458216
503,83,0.0505428
503,84,0.047002
503,85,0.0435006
503,86,0.0352316
503,87,0.040538
503,88,0.0398338
503,89,0.0368721
503,90,0.0315313
503,91,0.0267654
503,92,0.0201619
503,93,0.0140145
503,94,0.0111443
503,95,0.0166692
503,96,0.0161156
503,97,0.0234406
503,98,0.0247078
503,99,0.0257786
503,100,0.0192109
504,1,0.0190941
504,2,0.0256989
504,3,0.0314099
504,4,0.0341389
504,5,0.0270938
504,6,0.0278111
504,7,0.0258111
504,8,0.01954
504,9,0.0255644
504,10,0.0240013
504,11,0.0248588
504,12,0.0305787
504,13,0.0266869
504,14,0.0274655
504,15,0.0284311
504,16,0.0266946
504,17,0.0277471
504,18,0.026443
504,19,0.0253967
504,20,0.0315578
504,21,0.0371527
504,22,0.0330535
504,23,0.0267331
504,24,0.023316
504,25,0.0198654
504,26,0.023697
504,27,0.0177737
504,28,0.0224457
504,29,0.0235784
504,30,0.0222831
504,31,0.0214352
504,32,0.0264235
504,33,0.0297242
504,34,0.0236286
504,35,0.0293908
504,36,0.0234627
504,37,0.0299834
504,38,0.0310552
504,39,0.0341073
504,40,0.039175
504,41,0.0322736
504,42,0.0376784
504,43,0.0332338
504,44,0.0342553
504,45,0.028082
504,46,0.0271762
504,47,0.0264806
504,48,0.0260734
504,49,0.023849
504,50,0.0240314
504,51,0.0308142
504,52,0.0278519
504,53,0.0276608
504,54,0.0315835
504,55,0.0257854
504,56,0.0321055
504,57,0.0389233
504,58,0.0321919
504,59,0.0283089
504,60,0.029636
504,61,0.0287288
504,62,0.0348803
504,63,0.0295564
504,64,0.0374732
504,65,0.0338187
504,66,0.036921
504,67,0.0399062
504,68,0.0447763
504,69,0.0511257
504,70,0.0500929
504,71,0.0466531
504,72,0.0454884
504,73,0.0487497
504,74,0.0399079
504,75,0.0367682
504,76,0.0361779
504,77,0.0405254
504,78,0.0330049
504,79,0.0331439
504,80,0.0367825
504,81,0.0408934
504,82,0.0450355
504,83,0.0507665
504,84,0.0476793
504,85,0.044317
504,86,0.0366587
504,87,0.041016
504,88,0.0400004
504,89,0.0372108
504,90,0.0322023
504,91,0.0276695
504,92,0.0215946
504,93,0.0156704
504,94,0.0126726
