t,unit,output
500,1,0.742219
500,2,0.742467
500,3,0.74188
500,4,0.741081
500,5,0.740892
500,6,0.742807
500,7,0.7437
500,8,0.745685
500,9,0.746841
500,10,0.746046
500,11,0.744675
500,12,0.743853
500,13,0.744059
500,14,0.744826
500,15,0.743549
500,16,0.743178
500,17,0.743207
500,18,0.742757
500,19,0.743665
500,20,0.742737
501,1,0.745291
501,2,0.744918
501,3,0.74315
501,4,0.740504
501,5,0.738633
501,6,0.741153
501,7,0.741655
501,8,0.745374
501,9,0.747934
501,10,0.747233
501,11,0.745411
501,12,0.744238
501,13,0.744807
501,14,0.74649
501,15,0.743924
501,16,0.743341
501,17,0.743044
501,18,0.741558
501,19,0.743014
501,20,0.740179
502,1,0.742376
502,2,0.742467
502,3,0.741579
502,4,0.740366
502,5,0.739873
502,6,0.742076
502,7,0.743023
502,8,0.745525
502,9,0.747078
502,10,0.746276
502,11,0.744741
502,12,0.743808
502,13,0.744106
502,14,0.745104
502,15,0.7435
502,16,0.743066
502,17,0.743051
502,18,0.742399
502,19,0.743496
502,20,0.742196
503,1,0.744995
503,2,0.744666
503,3,0.74285
503,4,0.740141
503,5,0.738293
503,6,0.741087
503,7,0.741745
503,8,0.745707
503,9,0.748407
503,10,0.747616
503,11,0.74562
503,12,0.74433
503,13,0.744904
503,14,0.746655
503,15,0.743915
503,16,0.743275
503,17,0.742975
503,18,0.741429
503,19,0.742992
503,20,0.740042
504,1,0.742843
504,2,0.742713
504,3,0.741252
504,4,0.739216
504,5,0.738125
504,6,0.741001
504,7,0.742072
504,8,0.745627
504,9,0.747941
504,10,0.747022
504,11,0.74503
504,12,0.743783
504,13,0.744236
504,14,0.7457
504,15,0.743356
504,16,0.742762
504,17,0.74265
504,18,0.741555
504,19,0.743058
504,20,0.740934
505,1,0.742653
505,2,0.743397
505,3,0.743376
505,4,0.743154
505,5,0.743263
505,6,0.744534
505,7,0.745057
505,8,0.746044
505,9,0.746429
505,10,0.745582
505,11,0.744481
505,12,0.743899
505,13,0.744067
505,14,0.744596
505,15,0.74389
505,16,0.743711
505,17,0.74384
505,18,0.74368
505,19,0.744277
505,20,0.743762
506,1,0.744477
506,2,0.74468
506,3,0.744413
506,4,0.743918
506,5,0.743543
506,6,0.743872
506,7,0.743811
506,8,0.744242
506,9,0.744466
506,10,0.744139
506,11,0.743733
506,12,0.743584
506,13,0.743813
506,14,0.744224
506,15,0.74387
506,16,0.743811
506,17,0.743828
506,18,0.743637
506,19,0.743897
506,20,0.743441
507,1,0.745475
507,2,0.744442
507,3,0.742257
507,4,0.73925
507,5,0.737097
507,6,0.739616
507,7,0.740219
507,8,0.744353
507,9,0.747399
507,10,0.747187
507,11,0.745736
507,12,0.744712
507,13,0.745282
507,14,0.746933
507,15,0.744239
507,16,0.743569
507,17,0.74311
507,18,0.741433
507,19,0.742835
507,20,0.739855
508,1,0.742537
508,2,0.742405
508,3,0.741126
508,4,0.739401
508,5,0.738614
508,6,0.741574
508,7,0.742808
508,8,0.746314
508,9,0.748565
508,10,0.747644
508,11,0.745618
508,12,0.744252
508,13,0.744504
508,14,0.745752
508,15,0.743405
508,16,0.742765
508,17,0.742631
508,18,0.741596
508,19,0.743063
508,20,0.741109
509,1,0.742433
509,2,0.74342
509,3,0.743845
509,4,0.744194
509,5,0.744668
509,6,0.745366
509,7,0.745679
509,8,0.745716
509,9,0.745377
509,10,0.744526
509,11,0.743706
509,12,0.743345
509,13,0.743431
509,14,0.743668
509,15,0.74358
509,16,0.743612
509,17,0.743898
