t,unit,output
500,1,0.238647
500,2,0.239438
500,3,0.240188
500,4,0.241286
500,5,0.242087
500,6,0.242789
500,7,0.243404
500,8,0.243945
500,9,0.244425
500,10,0.245038
500,11,0.245593
500,12,0.245474
500,13,0.245362
500,14,0.245261
500,15,0.242963
500,16,0.243121
500,17,0.243462
500,18,0.243967
500,19,0.244743
500,20,0.245297
500,21,0.248507
500,22,0.248929
500,23,0.249402
500,24,0.249744
500,25,0.249971
500,26,0.250101
500,27,0.250139
500,28,0.250097
500,29,0.252695
500,30,0.252571
500,31,0.24427
500,32,0.244224
500,33,0.244161
500,34,0.244086
500,35,0.244006
500,36,0.24689
500,37,0.249713
500,38,0.249724
500,39,0.249602
500,40,0.249385
500,41,0.2491
500,42,0.2516
500,43,0.251294
500,44,0.250894
500,45,0.25043
500,46,0.249955
500,47,0.249498
500,48,0.248676
500,49,0.247921
500,50,0.245074
500,51,0.244684
500,52,0.244327
500,53,0.243989
500,54,0.243677
500,55,0.243398
500,56,0.243673
500,57,0.243607
500,58,0.243152
500,59,0.242964
500,60,0.242813
500,61,0.242696
500,62,0.242412
500,63,0.242163
500,64,0.241947
500,65,0.24232
500,66,0.242972
500,67,0.238352
500,68,0.238928
500,69,0.239431
500,70,0.239874
500,71,0.240267
500,72,0.240441
500,73,0.240618
500,74,0.240798
500,75,0.24098
500,76,0.241165
500,77,0.236469
500,78,0.240066
500,79,0.240577
500,80,0.241006
500,81,0.238914
500,82,0.239148
500,83,0.239393
500,84,0.239645
500,85,0.243131
500,86,0.243629
500,87,0.244014
500,88,0.244316
500,89,0.244559
500,90,0.244761
500,91,0.24271
500,92,0.243152
500,93,0.243501
500,94,0.243779
500,95,0.244003
500,96,0.244084
500,97,0.244139
500,98,0.244205
500,99,0.244304
500,100,0.239664
501,1,0.240286
501,2,0.241398
501,3,0.242323
501,4,0.246383
501,5,0.246633
501,6,0.246856
501,7,0.247048
501,8,0.247212
501,9,0.247348
501,10,0.248005
501,11,0.248504
501,12,0.248008
501,13,0.247565
501,14,0.247169
501,15,0.245648
501,16,0.245357
501,17,0.245678
501,18,0.246469
501,19,0.250204
501,20,0.250199
501,21,0.257487
501,22,0.256503
501,23,0.256165
501,24,0.255765
501,25,0.25532
501,26,0.254844
501,27,0.254356
501,28,0.253871
501,29,0.260683
501,30,0.259285
501,31,0.246636
501,32,0.246457
501,33,0.246246
501,34,0.246015
501,35,0.245774
501,36,0.253167
501,37,0.259775
501,38,0.258085
501,39,0.256556
501,40,0.255198
501,41,0.253987
501,42,0.260417
501,43,0.258545
501,44,0.256885
501,45,0.255404
501,46,0.254335
501,47,0.253606
501,48,0.252428
501,49,0.251351
501,50,0.249209
501,51,0.248344
501,52,0.247572
501,53,0.246875
501,54,0.246249
501,55,0.245688
501,56,0.248678
501,57,0.247782
501,58,0.246556
501,59,0.246104
501,60,0.245681
501,61,0.245291
501,62,0.244822
501,63,0.244369
501,64,0.243944
501,65,0.247082
501,66,0.250206
501,67,0.243463
501,68,0.243375
501,69,0.243297
501,70,0.243235
501,71,0.24319
501,72,0.243068
501,73,0.242971
501,74,0.242899
501,75,0.242852
501,76,0.242827
501,77,0.236838
501,78,0.245182
501,79,0.24476
501,80,0.24443
501,81,0.24272
501,82,0.242165
501,83,0.241765
501,84,0.241497
501,85,0.249181
501,86,0.248262
501,87,0.247556
501,88,0.247019
501,89,0.246617
501,90,0.246323
501,91,0.244953
501,92,0.244869
501,93,0.244814
501,94,0.244778
501,95,0.244757
501,96,0.244578
501,97,0.24444
501,98,0.244352
501,99,0.24432
501,100,0.238346
502,1,0.238992
502,2,0.239858
502,3,0.240696
502,4,0.242699
502,5,0.243497
502,6,0.244211
502,7,0.244845
502,8,0.245402
502,9,0.245884
502,10,0.246533
502,11,0.247115
502,12,0.246973
502,13,0.246816
502,14,0.246649
502,15,0.244538
502,16,0.244559
502,17,0.244809
502,18,0.245286
502,19,0.246848
502,20,0.247291
502,21,0.25169
502,22,0.251852
502,23,0.252147
502,24,0.252348
502,25,0.252458
502,26,0.252484
502,27,0.252436
502,28,0.252327
502,29,0.256122
502,30,0.255756
502,31,0.246264
502,32,0.246163
502,33,0.246036
502,34,0.245885
502,35,0.245717
502,36,0.249809
502,37,0.253665
502,38,0.253255
502,39,0.252761
502,40,0.252226
502,41,0.25167
502,42,0.255238
502,43,0.254547
502,44,0.253817
502,45,0.25307
502,46,0.252381
502,47,0.251786
502,48,0.250857
502,49,0.250026
502,50,0.247362
502,51,0.246889
502,52,0.246458
502,53,0.246051
502,54,0.24567
502,55,0.245318
502,56,0.246313
502,57,0.246046
502,58,0.245387
502,59,0.245053
502,60,0.244773
502,61,0.244537
502,62,0.244149
502,63,0.243802
502,64,0.243492
502,65,0.244591
502,66,0.245894
502,67,0.240701
502,68,0.241136
502,69,0.241524
502,70,0.241869
502,71,0.242175
502,72,0.242279
502,73,0.242392
502,74,0.24251
502,75,0.242627
502,76,0.242741
502,77,0.237638
502,78,0.242525
502,79,0.24281
502,80,0.243036
502,81,0.241028
502,82,0.241057
502,83,0.241133
502,84,0.241246
502,85,0.245936
502,86,0.246155
502,87,0.246308
502,88,0.246413
502,89,0.246486
502,90,0.246537
502,91,0.244627
502,92,0.244926
502,93,0.245142
502,94,0.245291
502,95,0.245389
502,96,0.245349
502,97,0.245283
502,98,0.245244
502,99,0.245266
502,100,0.240251
503,1,0.240882
503,2,0.242014
503,3,0.242971
503,4,0.247481
503,5,0.247793
503,6,0.24808
503,7,0.248336
503,8,0.24856
503,9,0.248752
503,10,0.249457
503,11,0.250001
503,12,0.249537
503,13,0.249115
503,14,0.248728
503,15,0.24731
503,16,0.246999
