t,unit,output
500,1,0.2591
500,2,0.258859
500,3,0.258625
500,4,0.255292
500,5,0.255086
500,6,0.265294
500,7,0.264786
500,8,0.257942
500,9,0.257509
500,10,0.257873
500,11,0.257939
500,12,0.25845
500,13,0.259477
500,14,0.256635
500,15,0.257638
500,16,0.258243
500,17,0.25868
500,18,0.259313
500,19,0.253481
500,20,0.254055
500,21,0.25466
500,22,0.254565
500,23,0.254016
500,24,0.253524
500,25,0.253081
500,26,0.252643
500,27,0.252243
500,28,0.251455
500,29,0.260854
500,30,0.256538
500,31,0.262067
500,32,0.270469
500,33,0.262496
500,34,0.271315
500,35,0.266975
500,36,0.265971
500,37,0.268944
500,38,0.268422
500,39,0.26785
500,40,0.266789
500,41,0.259466
500,42,0.252484
500,43,0.252091
500,44,0.251728
500,45,0.251056
500,46,0.251017
500,47,0.245033
500,48,0.239727
500,49,0.240466
500,50,0.238444
500,51,0.233441
500,52,0.24125
500,53,0.241454
500,54,0.252244
500,55,0.251953
500,56,0.262083
500,57,0.261409
500,58,0.26029
500,59,0.253042
500,60,0.25161
500,61,0.250411
500,62,0.249215
500,63,0.248251
500,64,0.247528
500,65,0.253659
500,66,0.252949
500,67,0.258921
500,68,0.257803
500,69,0.25686
500,70,0.256024
500,71,0.252364
500,72,0.248917
500,73,0.249236
500,74,0.246662
500,75,0.2471
500,76,0.24758
500,77,0.242483
500,78,0.240863
500,79,0.236212
500,80,0.237642
500,81,0.235864
500,82,0.23721
500,83,0.238894
500,84,0.234213
500,85,0.235511
500,86,0.236316
500,87,0.238538
500,88,0.24056
500,89,0.241492
500,90,0.242438
500,91,0.243728
500,92,0.255034
500,93,0.255555
500,94,0.255989
500,95,0.255874
500,96,0.262657
500,97,0.265657
500,98,0.265175
500,99,0.264757
500,100,0.257325
501,1,0.26124
501,2,0.260042
501,3,0.259074
501,4,0.251636
501,5,0.251662
501,6,0.268888
501,7,0.267142
501,8,0.253693
501,9,0.25361
501,10,0.254749
501,11,0.255085
501,12,0.256086
501,13,0.256606
501,14,0.25052
501,15,0.251724
501,16,0.252221
501,17,0.253808
501,18,0.255531
501,19,0.244724
501,20,0.247265
501,21,0.248099
501,22,0.249092
501,23,0.249038
501,24,0.248963
501,25,0.248868
501,26,0.248819
501,27,0.248842
501,28,0.248027
501,29,0.263939
501,30,0.254786
501,31,0.263776
501,32,0.277481
501,33,0.26186
501,34,0.276993
501,35,0.267855
501,36,0.265329
501,37,0.270085
501,38,0.269635
501,39,0.26902
501,40,0.267408
501,41,0.253926
501,42,0.241981
501,43,0.242033
501,44,0.242019
501,45,0.242889
501,46,0.244372
501,47,0.23373
501,48,0.224875
501,49,0.228602
501,50,0.225237
501,51,0.217027
501,52,0.231736
501,53,0.233314
501,54,0.252099
501,55,0.251232
501,56,0.267867
501,57,0.265667
501,58,0.262994
501,59,0.248919
501,60,0.247224
501,61,0.246016
501,62,0.244663
501,63,0.243715
501,64,0.243026
501,65,0.252912
501,66,0.250157
501,67,0.259772
501,68,0.257621
501,69,0.255955
501,70,0.254646
501,71,0.247203
501,72,0.24069
501,73,0.242682
501,74,0.237757
501,75,0.239983
501,76,0.241891
501,77,0.232352
501,78,0.229349
501,79,0.221381
501,80,0.226043
501,81,0.222716
501,82,0.226412
501,83,0.22871
501,84,0.220082
501,85,0.22288
501,86,0.226196
501,87,0.229933
501,88,0.233237
501,89,0.235631
501,90,0.237715
501,91,0.238605
501,92,0.257655
501,93,0.257561
501,94,0.257586
501,95,0.257392
501,96,0.268136
501,97,0.271651
501,98,0.270238
501,99,0.269046
501,100,0.255519
502,1,0.2593
502,2,0.259017
502,3,0.258698
502,4,0.254226
502,5,0.253988
502,6,0.266048
502,7,0.265153
502,8,0.256351
502,9,0.255796
502,10,0.256088
502,11,0.256048
502,12,0.256488
502,13,0.257193
502,14,0.253377
502,15,0.254284
502,16,0.254821
502,17,0.255558
502,18,0.256528
502,19,0.249392
502,20,0.250579
502,21,0.251388
502,22,0.251808
502,23,0.251656
502,24,0.251492
502,25,0.251319
502,26,0.251118
502,27,0.250945
502,28,0.250304
502,29,0.261683
502,30,0.256162
502,31,0.262764
502,32,0.272814
502,33,0.262737
502,34,0.273291
502,35,0.26756
502,36,0.26605
502,37,0.269376
502,38,0.268816
502,39,0.268212
502,40,0.267051
502,41,0.25795
502,42,0.249425
502,43,0.248953
502,44,0.24849
502,45,0.248013
502,46,0.248159
502,47,0.240733
502,48,0.234225
502,49,0.235529
502,50,0.233036
502,51,0.227044
502,52,0.236708
502,53,0.237348
502,54,0.250456
502,55,0.250237
502,56,0.262375
502,57,0.26154
502,58,0.260261
502,59,0.251252
502,60,0.249867
502,61,0.248699
502,62,0.247473
502,63,0.246455
502,64,0.245656
502,65,0.25281
502,66,0.251507
502,67,0.258389
502,68,0.256891
502,69,0.255636
502,70,0.254537
502,71,0.249724
502,72,0.245304
502,73,0.24582
502,74,0.242489
502,75,0.243288
502,76,0.244101
502,77,0.237736
502,78,0.23568
502,79,0.230061
502,80,0.232289
502,81,0.230147
502,82,0.232134
502,83,0.234023
502,84,0.228229
502,85,0.229822
502,86,0.231145
502,87,0.233799
502,88,0.236181
502,89,0.237413
502,90,0.238612
502,91,0.239839
502,92,0.253341
502,93,0.253847
502,94,0.254319
502,95,0.254266
502,96,0.26229
502,97,0.265633
502,98,0.265108
502,99,0.264698
502,100,0.255638
503,1,0.260041
503,2,0.259099
503,3,0.258343
503,4,0.250502
503,5,0.250644
503,6,0.269041
503,7,0.267289
503,8,0.252959
503,9,0.252807
503,10,0.253854
503,11,0.254081
503,12,0.25496
503,13,0.255195
503,14,0.248499
503,15,0.249463
503,16,0.249759
503,17,0.251311
503,18,0.253054
503,19,0.241531
503,20,0.244185
503,21,0.24501
503,22,0.246152
503,23,0.246249
503,24,0.246323
503,25,0.246373
503,26,0.246465
503,27,0.246638
503,28,0.245967
503,29,0.263118
503,30,0.253534
503,31,0.263267
503,32,0.278126
503,33,0.261655
503,34,0.277886
503,35,0.268147
503,36,0.265398
503,37,0.270353
503,38,0.269901
503,39,0.269276
503,40,0.267636
503,41,0.253254
503,42,0.240447
503,43,0.240285
503,44,0.240061
503,45,0.240854
503,46,0.242261
503,47,0.230812
503,48,0.221191
503,49,0.224879
503,50,0.22109
503,51,0.212237
503,52,0.227701
503,53,0.229346
503,54,0.249357
503,55,0.248578
503,56,0.266421
503,57,0.264284
503,58,0.261672
503,59,0.246866
503,60,0.245233
503,61,0.244091
503,62,0.242783
503,63,0.241861
503,64,0.241181
503,65,0.251717
503,66,0.248764
503,67,0.258965
503,68,0.256705
503,69,0.254922
503,70,0.253493
503,71,0.245458
503,72,0.238392
503,73,0.240331
503,74,0.234925
503,75,0.237179
503,76,0.23915
503,77,0.228944
503,78,0.225608
503,79,0.217075
503,80,0.221956
503,81,0.218404
503,82,0.222372
503,83,0.224801
503,84,0.215682
503,85,0.218542
503,86,0.222033
503,87,0.226086
503,88,0.229657
503,89,0.23216
503,90,0.234346
503,91,0.235209
503,92,0.255473
503,93,0.255428
503,94,0.255476
503,95,0.255236
503,96,0.26661
503,97,0.270307
503,98,0.268858
503,99,0.26766
503,100,0.253267
504,1,0.25788
504,2,0.257497
504,3,0.257145
504,4,0.250478
504,5,0.250564
504,6,0.267248
504,7,0.266079
504,8,0.253512
504,9,0.253228
504,10,0.253888
504,11,0.254067
504,12,0.254764
504,13,0.254997
504,14,0.249168
504,15,0.24989
504,16,0.250173
504,17,0.251409
504,18,0.252834
504,19,0.242543
504,20,0.244527
504,21,0.245267
504,22,0.246253
504,23,0.246483
504,24,0.246651
504,25,0.246764
504,26,0.246833
504,27,0.246915
504,28,0.246397
504,29,0.262132
504,30,0.253987
504,31,0.262984
504,32,0.276837
504,33,0.262406
504,34,0.277022
504,35,0.268423
504,36,0.26591
504,37,0.270102
504,38,0.269465
504,39,0.268783
504,40,0.267426
504,41,0.254621
504,42,0.242921
504,43,0.242417
504,44,0.241912
504,45,0.242107
504,46,0.242896
504,47,0.232534
504,48,0.223531
504,49,0.226053
504,50,0.222446
504,51,0.21423
504,52,0.227771
504,53,0.229159
504,54,0.247253
504,55,0.247003
504,56,0.263484
504,57,0.262134
504,58,0.260328
504,59,0.247445
504,60,0.246021
504,61,0.244884
504,62,0.24366
504,63,0.242692
504,64,0.241953
504,65,0.251629
504,66,0.249309
504,67,0.25858
504,68,0.256644
504,69,0.255032
504,70,0.25364
504,71,0.246443
504,72,0.23996
504,73,0.240959
504,74,0.235873
504,75,0.237308
504,76,0.238674
504,77,0.229403
504,78,0.226138
504,79,0.218204
504,80,0.221854
504,81,0.218705
504,82,0.221975
504,83,0.224282
504,84,0.216183
504,85,0.218442
504,86,0.221042
504,87,0.224895
504,88,0.228321
504,89,0.23039
504,90,0.232306
504,91,0.233424
504,92,0.251867
504,93,0.252351
504,94,0.252784
504,95,0.252651
504,96,0.263143
504,97,0.266924
504,98,0.26593
504,99,0.265121
504,100,0.2522
505,1,0.254724
505,2,0.25422
505,3,0.253846
505,4,0.252121
505,5,0.251587
505,6,0.258742
505,7,0.258383
505,8,0.25441
505,9,0.253711
505,10,0.254407
505,11,0.254319
505,12,0.255001
505,13,0.257194
505,14,0.255839
505,15,0.257575
505,16,0.258469
505,17,0.258459
505,18,0.258915
505,19,0.2556
505,20,0.255789
505,21,0.256606
505,22,0.25561
505,23,0.253845
505,24,0.252338
505,25,0.251041
505,26,0.249995
505,27,0.249209
505,28,0.247669
505,29,0.253445
505,30,0.250702
505,31,0.25419
505,32,0.259387
505,33,0.254671
505,34,0.26091
505,35,0.259441
505,36,0.259825
505,37,0.263419
505,38,0.263921
505,39,0.264111
505,40,0.263099
505,41,0.258423
505,42,0.253664
505,43,0.253081
505,44,0.252496
505,45,0.250919
505,46,0.250394
505,47,0.246464
505,48,0.243176
505,49,0.242915
505,50,0.241612
505,51,0.238161
505,52,0.24279
505,53,0.24148
505,54,0.248428
505,55,0.247344
505,56,0.254279
505,57,0.253751
505,58,0.252427
505,59,0.247717
505,60,0.245367
505,61,0.243631
505,62,0.241801
505,63,0.240454
505,64,0.239426
505,65,0.2435
505,66,0.243338
505,67,0.247678
505,68,0.246761
505,69,0.246119
505,70,0.245651
505,71,0.244156
505,72,0.242541
505,73,0.243366
505,74,0.242835
505,75,0.243352
505,76,0.243876
505,77,0.241764
505,78,0.241777
505,79,0.23944
505,80,0.240212
505,81,0.23898
505,82,0.239117
505,83,0.240439
505,84,0.237487
505,85,0.238263
505,86,0.237906
505,87,0.239092
505,88,0.24027
505,89,0.240515
505,90,0.240842
505,91,0.242251
505,92,0.250267
505,93,0.250745
505,94,0.251202
505,95,0.251159
505,96,0.256419
505,97,0.259276
505,98,0.259188
505,99,0.259158
505,100,0.25475
506,1,0.25631
506,2,0.255356
506,3,0.254585
506,4,0.25409
506,5,0.253367
506,6,0.257598
506,7,0.256873
506,8,0.255205
506,9,0.254457
506,10,0.255011
506,11,0.254886
506,12,0.255483
506,13,0.258083
506,14,0.25829
506,15,0.260518
506,16,0.261938
506,17,0.261973
506,18,0.262342
506,19,0.261333
506,20,0.261471
506,21,0.262573
506,22,0.26149
506,23,0.259585
506,24,0.257812
506,25,0.256165
506,26,0.254695
506,27,0.253439
506,28,0.251501
506,29,0.254202
506,30,0.252431
506,31,0.253945
506,32,0.25608
506,33,0.253384
506,34,0.256635
506,35,0.256339
506,36,0.257114
506,37,0.260067
506,38,0.260497
506,39,0.260747
506,40,0.259952
506,41,0.258026
506,42,0.256022
506,43,0.256217
506,44,0.256289
506,45,0.254857
506,46,0.254299
506,47,0.252667
506,48,0.251636
506,49,0.251366
506,50,0.251219
506,51,0.249794
506,52,0.252478
506,53,0.25077
506,54,0.254357
506,55,0.252505
506,56,0.255979
506,57,0.25456
506,58,0.252577
506,59,0.249875
506,60,0.247247
506,61,0.245139
506,62,0.242976
506,63,0.241267
506,64,0.239899
506,65,0.242185
506,66,0.242251
506,67,0.244754
506,68,0.243457
506,69,0.242551
506,70,0.241892
506,71,0.241892
506,72,0.241862
506,73,0.242698
506,74,0.243721
506,75,0.244352
506,76,0.244921
506,77,0.245207
506,78,0.246695
506,79,0.246752
506,80,0.247612
506,81,0.247675
506,82,0.247566
506,83,0.248862
506,84,0.247751
506,85,0.248757
506,86,0.248174
506,87,0.248282
506,88,0.248434
506,89,0.248293
506,90,0.248145
506,91,0.24948
506,92,0.254217
506,93,0.254022
506,94,0.254047
506,95,0.253968
506,96,0.257604
506,97,0.259908
506,98,0.259751
506,99,0.259647
506,100,0.258126
507,1,0.262347
507,2,0.261422
507,3,0.260503
507,4,0.253086
507,5,0.253052
507,6,0.269745
507,7,0.267375
507,8,0.253719
507,9,0.253333
507,10,0.253463
507,11,0.253366
507,12,0.25358
507,13,0.253125
507,14,0.247071
507,15,0.247805
507,16,0.248429
507,17,0.250241
507,18,0.252078
507,19,0.241772
507,20,0.244826
507,21,0.246147
507,22,0.248154
507,23,0.249385
507,24,0.250265
507,25,0.250856
507,26,0.25114
507,27,0.251253
507,28,0.250923
507,29,0.267162
507,30,0.258056
507,31,0.26709
507,32,0.280768
507,33,0.264725
507,34,0.279009
507,35,0.268721
507,36,0.265273
507,37,0.268599
507,38,0.266931
507,39,0.265428
507,40,0.263744
507,41,0.250561
507,42,0.239093
507,43,0.239558
507,44,0.239879
507,45,0.240934
507,46,0.242092
507,47,0.23166
507,48,0.22292
507,49,0.226719
507,50,0.223603
507,51,0.215827
507,52,0.231068
507,53,0.233333
507,54,0.252151
507,55,0.2515
507,56,0.267788
507,57,0.265089
507,58,0.262486
507,59,0.248859
507,60,0.248058
507,61,0.247276
507,62,0.246361
507,63,0.245464
507,64,0.244695
507,65,0.254628
507,66,0.251781
507,67,0.260881
507,68,0.258032
507,69,0.255617
507,70,0.253523
507,71,0.245681
507,72,0.239057
507,73,0.240136
507,74,0.234906
507,75,0.236776
507,76,0.238413
507,77,0.228816
507,78,0.22589
507,79,0.218344
507,80,0.223435
507,81,0.221088
507,82,0.22557
507,83,0.228377
507,84,0.220276
507,85,0.223768
507,86,0.227692
507,87,0.23136
507,88,0.234454
507,89,0.236967
507,90,0.23905
507,91,0.239915
507,92,0.258547
507,93,0.257996
507,94,0.257715
507,95,0.257485
507,96,0.268092
507,97,0.271488
507,98,0.269944
507,99,0.268644
507,100,0.255616
508,1,0.260607
508,2,0.260809
508,3,0.260836
508,4,0.254582
508,5,0.254705
508,6,0.270506
508,7,0.26913
508,8,0.256829
508,9,0.256188
508,10,0.255845
508,11,0.255417
508,12,0.255177
508,13,0.254314
508,14,0.248296
508,15,0.248142
508,16,0.24803
508,17,0.248851
508,18,0.2499
508,19,0.240124
508,20,0.241964
508,21,0.242831
508,22,0.244322
508,23,0.24554
508,24,0.246659
508,25,0.247663
508,26,0.248438
508,27,0.249069
508,28,0.249465
508,29,0.265546
508,30,0.258418
508,31,0.267835
508,32,0.282043
508,33,0.26842
508,34,0.28249
508,35,0.273699
508,36,0.27067
508,37,0.273522
508,38,0.271666
508,39,0.269826
508,40,0.267935
508,41,0.255295
508,42,0.243755
508,43,0.242933
508,44,0.242146
508,45,0.241895
508,46,0.24193
508,47,0.231778
508,48,0.222768
508,49,0.224558
508,50,0.220899
508,51,0.212942
508,52,0.226002
508,53,0.227687
508,54,0.24532
508,55,0.245653
508,56,0.261839
508,57,0.260846
508,58,0.259829
508,59,0.248244
508,60,0.248122
508,61,0.248024
508,62,0.247878
508,63,0.24768
508,64,0.247549
508,65,0.257498
508,66,0.255769
508,67,0.264962
508,68,0.263246
508,69,0.261616
508,70,0.26006
508,71,0.252824
508,72,0.246336
508,73,0.246458
508,74,0.240916
508,75,0.24157
508,76,0.242241
508,77,0.232716
508,78,0.228992
508,79,0.220943
508,80,0.223936
508,81,0.221111
508,82,0.22443
508,83,0.226854
508,84,0.219261
508,85,0.221656
508,86,0.224375
508,87,0.228179
508,88,0.231482
508,89,0.233496
508,90,0.235341
508,91,0.236396
508,92,0.253912
508,93,0.254185
508,94,0.254364
508,95,0.254061
508,96,0.263952
508,97,0.267482
508,98,0.266409
508,99,0.26553
508,100,0.253217
509,1,0.255219
509,2,0.254966
509,3,0.254898
509,4,0.255179
509,5,0.254787
509,6,0.258973
509,7,0.259142
509,8,0.258373
509,9,0.257673
509,10,0.258229
509,11,0.258012
509,12,0.258466
509,13,0.260867
509,14,0.260841
509,15,0.262397
509,16,0.263076
509,17,0.262202
509,18,0.261773
509,19,0.260559
509,20,0.259561
509,21,0.260018
509,22,0.25819
509,23,0.255884
509,24,0.254028
509,25,0.252537
509,26,0.251397
509,27,0.250551
509,28,0.2491
509,29,0.252034
509,30,0.251575
509,31,0.253638
509,32,0.256503
509,33,0.25559
509,34,0.259307
509,35,0.260306
509,36,0.261628
509,37,0.26467
509,38,0.265209
509,39,0.265346
509,40,0.264336
509,41,0.262522
509,42,0.260218
509,43,0.259509
509,44,0.258799
509,45,0.256546
509,46,0.255345
509,47,0.253629
509,48,0.252168
509,49,0.250588
509,50,0.249813
509,51,0.247868
509,52,0.249243
509,53,0.246937
509,54,0.249997
509,55,0.248585
509,56,0.252232
509,57,0.251854
509,58,0.250759
509,59,0.249139
509,60,0.246828
509,61,0.245215
509,62,0.243656
509,63,0.242634
509,64,0.241956
509,65,0.244566
509,66,0.245532
509,67,0.248549
509,68,0.248368
509,69,0.24832
509,70,0.248348
509,71,0.248836
509,72,0.248909
509,73,0.249432
509,74,0.250195
509,75,0.250115
509,76,0.250078
509,77,0.250179
509,78,0.250931
509,79,0.250302
509,80,0.249719
509,81,0.249083
509,82,0.248129
509,83,0.249076
509,84,0.248061
509,85,0.248317
509,86,0.247041
509,87,0.247376
509,88,0.247802
509,89,0.247418
509,90,0.247178
509,91,0.248545
509,92,0.252874
509,93,0.253137
509,94,0.253311
509,95,0.253001
509,96,0.256153
509,97,0.25836
509,98,0.258254
509,99,0.258176
509,100,0.256644
510,1,0.258726
510,2,0.257298
510,3,0.256181
510,4,0.25289
510,5,0.252575
510,6,0.261777
510,7,0.260616
510,8,0.254352
510,9,0.254238
510,10,0.25535
510,11,0.255766
510,12,0.256839
510,13,0.258869
510,14,0.25691
510,15,0.259054
510,16,0.260378
510,17,0.261258
510,18,0.262186
510,19,0.257153
510,20,0.258248
510,21,0.259138
510,22,0.25879
510,23,0.257487
510,24,0.256178
510,25,0.254894
510,26,0.253696
510,27,0.252613
510,28,0.250844
510,29,0.258223
510,30,0.253175
510,31,0.257242
510,32,0.263346
510,33,0.255188
510,34,0.262728
510,35,0.25878
510,36,0.258311
510,37,0.262005
510,38,0.262153
510,39,0.262217
510,40,0.261356
510,41,0.255171
510,42,0.249745
510,43,0.250595
510,44,0.251267
510,45,0.25138
510,46,0.252113
510,47,0.247198
510,48,0.243451
510,49,0.245408
510,50,0.244325
510,51,0.240456
510,52,0.24813
510,53,0.247913
510,54,0.257126
510,55,0.255328
510,56,0.263291
510,57,0.260931
510,58,0.258142
510,59,0.250542
510,60,0.248122
510,61,0.246154
510,62,0.244153
510,63,0.24261
510,64,0.241418
510,65,0.246515
510,66,0.245384
510,67,0.250481
510,68,0.248707
510,69,0.247427
510,70,0.246482
510,71,0.243615
510,72,0.241232
510,73,0.242749
510,74,0.241628
510,75,0.24317
510,76,0.244463
510,77,0.240938
510,78,0.240926
510,79,0.238065
510,80,0.240907
510,81,0.23993
510,82,0.241636
510,83,0.243459
510,84,0.239427
510,85,0.241537
510,86,0.242899
510,87,0.244392
510,88,0.245712
510,89,0.246755
510,90,0.247579
510,91,0.248707
510,92,0.25875
