t,unit,output
500,1,-0.144051
500,2,-0.146588
500,3,-0.127875
500,4,-0.0193
500,5,-0.0207967
500,6,-0.0211808
500,7,-0.0195992
500,8,-0.0174318
500,9,-0.0152006
500,10,-0.013039
500,11,-0.0320569
500,12,-0.0304287
500,13,-0.0297105
500,14,-0.0300449
500,15,-0.0308589
500,16,-0.031882
500,17,-0.0329622
500,18,-0.141498
500,19,-0.13985
500,20,-0.140206
501,1,-0.142983
501,2,-0.145586
501,3,-0.132493
501,4,-0.00494336
501,5,-0.016393
501,6,-0.0198508
501,7,-0.0196691
501,8,-0.0180533
501,9,-0.015993
501,10,-0.0138596
501,11,-0.0378204
501,12,-0.032482
501,13,-0.0304804
501,14,-0.0301659
501,15,-0.0306664
501,16,-0.0315443
501,17,-0.0325684
501,18,-0.16677
501,19,-0.147328
501,20,-0.142184
502,1,-0.142761
502,2,-0.144802
502,3,-0.129959
502,4,-0.0108975
502,5,-0.0148665
502,6,-0.0184663
502,7,-0.019335
502,8,-0.0184093
502,9,-0.0166642
502,10,-0.0146386
502,11,-0.0364108
502,12,-0.0335733
502,13,-0.0313395
502,14,-0.0304919
502,15,-0.0306179
502,16,-0.031287
502,17,-0.0322124
502,18,-0.156598
502,19,-0.149903
502,20,-0.144328
503,1,-0.143197
503,2,-0.144356
503,3,-0.134319
503,4,0.00237777
503,5,-0.0100764
503,6,-0.0161358
503,7,-0.0184463
503,8,-0.0184196
503,9,-0.0171518
503,10,-0.0153367
503,11,-0.0417824
503,12,-0.0358536
503,13,-0.0325934
503,14,-0.0310756
503,15,-0.030745
503,16,-0.0311364
503,17,-0.0319135
503,18,-0.179926
503,19,-0.158243
503,20,-0.148193
504,1,-0.144585
504,2,-0.144419
504,3,-0.134999
504,4,0.00429856
504,5,-0.00608337
504,6,-0.0133434
504,7,-0.0170289
504,8,-0.0180333
504,9,-0.0173967
504,10,-0.015909
504,11,-0.0432187
504,12,-0.0378995
504,13,-0.0340673
504,14,-0.0319067
504,15,-0.0310677
504,16,-0.0311173
504,17,-0.0316924
504,18,-0.183967
504,19,-0.165388
504,20,-0.15297
505,1,-0.146914
505,2,-0.145112
505,3,-0.126969
505,4,-0.0182702
505,5,-0.00946859
505,6,-0.0122671
505,7,-0.0157061
505,8,-0.0173869
505,9,-0.0173939
505,10,-0.0163214
505,11,-0.03555
505,12,-0.0372468
505,13,-0.0349505
505,14,-0.0327522
505,15,-0.0315356
505,16,-0.0312335
505,17,-0.0315649
505,18,-0.144022
505,19,-0.159453
505,20,-0.154771
506,1,-0.149096
506,2,-0.146219
506,3,-0.120268
506,4,-0.0365483
506,5,-0.0169907
506,6,-0.0135792
506,7,-0.0151153
506,8,-0.0167559
506,9,-0.0172167
506,10,-0.0165701
506,11,-0.0288176
506,12,-0.0349054
506,13,-0.034938
506,14,-0.0333594
506,15,-0.0320422
506,16,-0.0314582
506,17,-0.0315353
506,18,-0.109297
506,19,-0.145521
506,20,-0.152201
507,1,-0.149959
507,2,-0.147258
507,3,-0.128386
507,4,-0.0141664
507,5,-0.0162062
507,6,-0.0143089
507,7,-0.0148913
507,8,-0.0162379
507,9,-0.0169448
507,10,-0.0166742
507,11,-0.0366705
507,12,-0.0353957
507,13,-0.0350651
507,14,-0.0338332
507,15,-0.0325397
507,16,-0.0317586
507,17,-0.0315973
507,18,-0.147482
507,19,-0.146066
507,20,-0.150497
508,1,-0.150108
508,2,-0.14805
508,3,-0.131796
508,4,-0.00671919
508,5,-0.0135709
508,6,-0.0141039
508,7,-0.0146726
508,8,-0.0158031
508,9,-0.0166277
508,10,-0.0166613
508,11,-0.0397029
508,12,-0.0365921
508,13,-0.0354893
508,14,-0.0342932
508,15,-0.0330268
508,16,-0.0321109
508,17,-0.03174
508,18,-0.161802
508,19,-0.150437
508,20,-0.15048
509,1,-0.150212
509,2,-0.14865
509,3,-0.123012
509,4,-0.0328717
509,5,-0.0189323
509,6,-0.0154451
509,7,-0.0148872
509,8,-0.0155487
509,9,-0.016328
509,10,-0.0165687
509,11,-0.0304803
509,12,-0.0348944
509,13,-0.035324
509,14,-0.0345796
509,15,-0.0334581
509,16,-0.0324851
509,17,-0.0319469
509,18,-0.115888
509,19,-0.14084
509,20,-0.147802
510,1,-0.149542
510,2,-0.148898
510,3,-0.123368
510,4,-0.03199
510,5,-0.0225594
510,6,-0.0174213
510,7,-0.0155911
510,8,-0.0155605
510,9,-0.0161148
510,10,-0.0164426
510,11,-0.0304657
510,12,-0.0336642
510,13,-0.034863
510,14,-0.0346583
510,15,-0.0337915
510,16,-0.032848
510,17,-0.0321972
510,18,-0.116179
510,19,-0.13399
510,20,-0.143966
511,1,-0.147993
511,2,-0.148647
511,3,-0.127849
511,4,-0.0196675
511,5,-0.0217561
511,6,-0.0186254
511,7,-0.016434
511,8,-0.0158031
511,9,-0.0160282
511,10,-0.0163275
511,11,-0.0347689
511,12,-0.0339711
511,13,-0.0346152
511,14,-0.0346463
511,15,-0.0340289
511,16,-0.033176
511,17,-0.0324691
511,18,-0.137991
511,19,-0.135101
511,20,-0.141503
512,1,-0.146191
512,2,-0.147964
512,3,-0.126239
512,4,-0.0241714
512,5,-0.022427
512,6,-0.0196814
512,7,-0.017336
512,8,-0.0162289
512,9,-0.016084
512,10,-0.0162599
512,11,-0.0332184
512,12,-0.033762
