t,unit,output
500,1,0.00376982
500,2,0.00298285
500,3,-0.0121058
500,4,0.00450509
500,5,0.00286523
500,6,0.00161615
500,7,0.000678883
500,8,-1.30645e-05
500,9,-0.000515379
500,10,-0.000874379
500,11,0.0136673
500,12,0.0133172
500,13,0.0129779
500,14,0.0126458
500,15,0.0123182
500,16,0.0119929
500,17,0.0116683
500,18,-0.00458337
500,19,-0.00361792
500,20,-0.00285472
501,1,-0.00225249
501,2,-0.00177655
501,3,-0.0167413
501,4,-0.0162801
501,5,-0.0145396
501,6,-0.0130709
501,7,-0.0118209
501,8,-0.0107475
501,9,-0.00981731
501,10,-0.00900431
501,11,0.00654532
501,12,0.00716095
501,13,0.00768977
501,14,0.00814032
501,15,0.00852013
501,16,0.00883583
501,17,0.00909333
501,18,0.00933585
501,19,0.00815824
501,20,0.00715706
502,1,0.00630165
502,2,0.00556726
502,3,0.0210772
502,4,0.00718374
502,5,0.00520889
502,6,0.00354709
502,7,0.00214999
502,8,0.000977494
502,9,-3.85147e-06
502,10,-0.000822075
502,11,-0.0164389
502,12,-0.0142935
502,13,-0.012295
502,14,-0.0104372
502,15,-0.00871383
502,16,-0.0071184
502,17,-0.00564461
502,18,0.00646458
502,19,0.00661855
502,20,0.00666751
503,1,0.00663425
503,2,0.00653725
503,3,0.00107646
503,4,-0.0131273
503,5,-0.0114603
503,6,-0.010096
503,7,-0.00898275
503,8,-0.00807727
503,9,-0.00734333
503,10,-0.00675048
503,11,-0.00101081
503,12,-0.00221833
503,13,-0.00313439
503,14,-0.00379828
503,15,-0.00424515
503,16,-0.00450635
503,17,-0.00460983
503,18,0.010034
503,19,0.00972353
503,20,0.00944571
504,1,0.00919012
504,2,0.00894895
504,3,0.0195665
504,4,0.0324145
504,5,0.0284258
504,6,0.0249239
504,7,0.0218414
504,8,0.0191216
504,9,0.0167157
504,10,0.0145824
504,11,0.00180091
504,12,0.00143553
504,13,0.00102008
504,14,0.000582047
504,15,0.000143211
504,16,-0.000279476
