t,unit,output
500,1,0.00240499
500,2,0.00242049
500,3,0.00398541
500,4,0.0110842
500,5,0.00887526
500,6,0.00706183
500,7,0.00557728
500,8,0.00436616
500,9,0.00338231
500,10,0.00258735
500,11,0.00735611
500,12,0.00547509
500,13,0.00394562
500,14,0.00270947
500,15,0.00171828
500,16,0.000931856
500,17,0.000316776
500,18,-0.00152796
500,19,-0.00117082
500,20,-0.000846456
501,1,-0.00055087
501,2,-0.000280746
501,3,-0.00799302
501,4,-0.0181724
501,5,-0.0157135
501,6,-0.0136431
501,7,-0.0118958
501,8,-0.0104174
501,9,-0.00916288
501,10,-0.00809468
501,11,-0.0181621
501,12,-0.0160132
501,13,-0.0141988
501,14,-0.0126617
501,15,-0.0113544
501,16,-0.0102375
501,17,-0.00927799
501,18,-0.000683444
501,19,-0.00072775
501,20,-0.000738542
502,1,-0.000721481
502,2,-0.000681414
502,3,-0.0019042
502,4,-0.00735151
502,5,-0.00811169
502,6,-0.00861454
502,7,-0.00891284
502,8,-0.00904961
502,9,-0.00905991
502,10,-0.00897216
502,11,-0.0118177
502,12,-0.0121991
502,13,-0.0123809
502,14,-0.0124064
502,15,-0.0123108
502,16,-0.0121223
502,17,-0.0118637
502,18,-0.00959389
502,19,-0.00878788
502,20,-0.00805612
503,1,-0.00738933
503,2,-0.00677952
503,3,-0.0146067
503,4,-0.0241872
503,5,-0.0227258
503,6,-0.0214429
503,7,-0.0203038
503,8,-0.0192807
503,9,-0.0183516
503,10,-0.0174989
503,11,-0.0267727
503,12,-0.0254478
503,13,-0.0242599
503,14,-0.0231823
503,15,-0.022194
503,16,-0.0212784
503,17,-0.0204225
503,18,-0.0101732
503,19,-0.0100472
503,20,-0.00986621
504,1,-0.00964104
504,2,-0.0093809
504,3,-0.0154009
504,4,-0.0248955
504,5,-0.0246982
504,6,-0.0244023
504,7,-0.0240297
504,8,-0.023598
504,9,-0.023121
504,10,-0.0226099
504,11,-0.0312027
504,12,-0.0306795
504,13,-0.0300959
504,14,-0.0294674
504,15,-0.0288062
504,16,-0.0281219
504,17,-0.0274219
504,18,-0.0182217
504,19,-0.0174786
504,20,-0.0167866
505,1,-0.016137
505,2,-0.0155228
505,3,-0.00845199
505,4,0.00316288
505,5,0.000630057
505,6,-0.00164561
505,7,-0.00368053
505,8,-0.0054912
505,9,-0.00709391
505,10,-0.00850446
505,11,0.00252454
505,12,-0.000494015
505,13,-0.0031851
505,14,-0.0055744
505,15,-0.00768638
505,16,-0.00954415
505,17,-0.0111694
505,18,-0.016077
505,19,-0.0162044
505,20,-0.0162574
506,1,-0.0162464
506,2,-0.0161806
506,3,-0.00684977
506,4,0.00467978
506,5,0.00431162
506,6,0.00377005
506,7,0.00309273
506,8,0.00231237
506,9,0.00145725
506,10,0.000551643
506,11,0.0113225
506,12,0.0102482
506,13,0.00902703
506,14,0.00769962
506,15,0.0063009
506,16,0.00486044
506,17,0.00340318
506,18,-0.00489252
506,19,-0.00592087
506,20,-0.00686055
507,1,-0.00771381
507,2,-0.00848352
507,3,-0.0155354
507,4,-0.0250293
507,5,-0.0223619
507,6,-0.0199863
507,7,-0.0178882
507,8,-0.0160518
507,9,-0.0144601
507,10,-0.0130954
507,11,-0.0227105
507,12,-0.0197142
507,13,-0.0171014
507,14,-0.0148468
507,15,-0.0129242
507,16,-0.0113075
507,17,-0.00997012
507,18,-0.00130342
507,19,-0.00172319
507,20,-0.00219022
508,1,-0.00269236
508,2,-0.00321883
508,3,-0.00914382
508,4,-0.0191843
508,5,-0.0194732
508,6,-0.0195199
508,7,-0.0193715
508,8,-0.0190697
508,9,-0.0186507
508,10,-0.0181456
508,11,-0.0269446
508,12,-0.0262873
508,13,-0.0254522
508,14,-0.0244881
508,15,-0.0234368
508,16,-0.0223342
508,17,-0.0212102
508,18,-0.0131896
508,19,-0.0121472
508,20,-0.011242
509,1,-0.0104648
509,2,-0.00980604
509,3,-0.000436029
509,4,0.0105121
509,5,0.00778613
509,6,0.00530377
509,7,0.00306056
509,8,0.00104871
509,9,-0.00074214
509,10,-0.00232428
509,11,0.00875325
509,12,0.00556774
509,13,0.00274774
509,14,0.000271757
509,15,-0.00188357
509,16,-0.00374272
509,17,-0.00533067
509,18,-0.0134194
509,19,-0.0133038
509,20,-0.0131163
510,1,-0.0128753
510,2,-0.0125963
510,3,-0.00937616
510,4,-0.000330075
510,5,0.000407762
510,6,0.000852853
510,7,0.00105355
510,8,0.00105311
510,9,0.000889908
510,10,0.00059771
510,11,0.00630611
510,12,0.00623899
510,13,0.0059216
510,14,0.00540798
510,15,0.00474511
510,16,0.00397349
510,17,0.00312766
510,18,0.000623053
510,19,-0.000643021
510,20,-0.00177696
511,1,-0.0027859
511,2,-0.00367775
511,3,-0.00818858
511,4,-0.0181528
511,5,-0.0164655
511,6,-0.0148911
511,7,-0.0134416
511,8,-0.0121239
511,9,-0.0109408
511,10,-0.00989184
511,11,-0.0186455
511,12,-0.0163833
511,13,-0.0143556
511,14,-0.0125589
511,15,-0.0109858
511,16,-0.00962587
511,17,-0.00846646
511,18,-0.00292855
511,19,-0.00272078
511,20,-0.00263498
512,1,-0.0026487
512,2,-0.00274225
512,3,-0.000825205
512,4,0.00645227
512,5,0.00436884
512,6,0.00261794
512,7,0.00115799
512,8,-4.94562e-05
512,9,-0.00103958
512,10,-0.00184433
512,11,0.00308759
512,12,0.00131751
512,13,-0.00010732
512,14,-0.00123928
512,15,-0.00212533
512,16,-0.0028072
512,17,-0.00332167
512,18,-0.00480569
512,19,-0.00461615
512,20,-0.00443604
513,1,-0.00427356
513,2,-0.00413435
513,3,0.00116006
513,4,0.011799
513,5,0.0111236
513,6,0.0103503
513,7,0.00951465
513,8,0.00864519
513,9,0.00776475
513,10,0.0068912
513,11,0.0160635
513,12,0.0147229
513,13,0.0133747
513,14,0.0120462
513,15,0.0107579
513,16,0.00952469
513,17,0.00835683
513,18,0.00262975
513,19,0.00197103
513,20,0.00138857
514,1,0.000873833
514,2,0.000418544
514,3,-0.0077013
514,4,-0.0179087
514,5,-0.0152694
514,6,-0.0129403
514,7,-0.0108989
514,8,-0.0091222
514,9,-0.00758702
514,10,-0.00627082
514,11,-0.0165363
514,12,-0.0136945
514,13,-0.0112337
514,14,-0.00911732
514,15,-0.00731048
514,16,-0.00578001
514,17,-0.00449485
514,18,0.00401417
514,19,0.00382843
514,20,0.00360662
515,1,0.00335819
515,2,0.00309095
515,3,-0.00317542
515,4,-0.0137481
515,5,-0.0138864
515,6,-0.0138004
515,7,-0.0135366
515,8,-0.0131353
515,9,-0.0126309
515,10,-0.0120527
515,11,-0.0213323
515,12,-0.0206379
515,13,-0.019783
515,14,-0.0188134
515,15,-0.0177677
515,16,-0.0166779
515,17,-0.0155703
515,18,-0.00819766
515,19,-0.00710438
515,20,-0.00613066
516,1,-0.00526803
516,2,-0.00450813
516,3,0.00379896
516,4,0.0143604
516,5,0.0117925
516,6,0.00946588
516,7,0.00737474
516,8,0.00551019
516,9,0.00386099
516,10,0.00241429
516,11,0.0130125
516,12,0.00995339
516,13,0.00725008
516,14,0.00488067
516,15,0.00282173
516,16,0.00104904
516,17,-0.000461815
516,18,-0.00837565
516,19,-0.00826008
516,20,-0.0080665
517,1,-0.00781209
517,2,-0.00751173
517,3,0.000668082
517,4,0.0115116
517,5,0.0115372
517,6,0.0113489
517,7,0.0109876
517,8,0.0104896
517,9,0.00988702
517,10,0.00920769
517,11,0.019142
517,12,0.0183067
517,13,0.0173016
517,14,0.0161724
517,15,0.0149587
517,16,0.0136942
517,17,0.0124073
517,18,0.00375614
517,19,0.00266375
517,20,0.00168828
518,1,0.000824606
518,2,6.67573e-05
518,3,-0.00542124
518,4,-0.0157496
518,5,-0.013269
518,6,-0.011031
518,7,-0.00902931
518,8,-0.00725486
518,9,-0.00569651
518,10,-0.00434158
518,11,-0.0140661
518,12,-0.0111231
518,13,-0.00853902
518,14,-0.00629253
518,15,-0.0043606
518,16,-0.00271925
518,17,-0.00134412
518,18,0.004296
518,19,0.00414762
518,20,0.00392404
519,1,0.00364227
519,2,0.00331723
519,3,-0.00162519
519,4,-0.0121515
519,5,-0.0122531
519,6,-0.012142
519,7,-0.011859
519,8,-0.0114405
519,9,-0.0109183
519,10,-0.0103204
519,11,-0.0189445
519,12,-0.0182334
519,13,-0.0173521
519,14,-0.0163467
519,15,-0.0152571
519,16,-0.0141173
519,17,-0.0129561
519,18,-0.00714745
519,19,-0.00612063
519,20,-0.00520748
520,1,-0.00440295
520,2,-0.00370112
520,3,-0.00161308
520,4,0.00581277
520,5,0.00417042
520,6,0.00268747
520,7,0.00136506
520,8,0.00020092
520,9,-0.000809918
520,10,-0.00167451
520,11,0.0032741
520,12,0.00131887
520,13,-0.000378493
520,14,-0.00183015
520,15,-0.00305078
520,16,-0.00405682
520,17,-0.00486584
520,18,-0.00626817
520,19,-0.00625476
520,20,-0.00615955
521,1,-0.00599986
521,2,-0.00579089
521,3,-0.00519758
521,4,-0.00423971
521,5,-0.00347515
521,6,-0.00291491
521,7,-0.00252583
521,8,-0.00227794
521,9,-0.00214448
521,10,-0.00210176
521,11,-0.00162167
521,12,-0.00135435
521,13,-0.00126564
521,14,-0.00131696
521,15,-0.00147458
521,16,-0.00170933
521,17,-0.00199628
521,18,-0.00196763
521,19,-0.00235737
521,20,-0.00270302
522,1,-0.00300273
522,2,-0.0032562
522,3,-0.011936
522,4,-0.0217598
522,5,-0.0200975
522,6,-0.0185355
522,7,-0.0170801
522,8,-0.0157344
522,9,-0.014499
522,10,-0.0133719
522,11,-0.0230448
522,12,-0.0210729
522,13,-0.0192723
522,14,-0.01764
522,15,-0.0161704
522,16,-0.0148558
522,17,-0.0136867
522,18,-0.00349207
522,19,-0.00338892
522,20,-0.00332656
523,1,-0.00329712
523,2,-0.0032934
523,3,-0.0123283
523,4,-0.0221165
523,5,-0.021933
523,6,-0.0216241
523,7,-0.021211
523,8,-0.0207132
523,9,-0.0201482
523,10,-0.0195322
523,11,-0.0286551
523,12,-0.0279658
523,13,-0.0271755
523,14,-0.0263086
523,15,-0.025387
523,16,-0.0244296
523,17,-0.023453
523,18,-0.0120323
523,19,-0.0112465
523,20,-0.0105265
524,1,-0.00986933
524,2,-0.00927152
524,3,-0.0128851
524,4,-0.0223187
524,5,-0.0222837
524,6,-0.0222237
524,7,-0.0221316
524,8,-0.0220027
524,9,-0.0218341
524,10,-0.0216248
524,11,-0.0290401
524,12,-0.0289425
524,13,-0.0287818
524,14,-0.028557
524,15,-0.0282688
524,16,-0.0279198
524,17,-0.0275137
524,18,-0.0207796
524,19,-0.019913
524,20,-0.0190597
525,1,-0.0182242
525,2,-0.0174103
525,3,-0.0132551
525,4,-0.00281528
525,5,-0.00458513
525,6,-0.00618864
525,7,-0.007638
525,8,-0.00894388
525,9,-0.0101157
525,10,-0.011162
525,11,-0.00334616
525,12,-0.0056731
525,13,-0.0077739
525,14,-0.00966327
525,15,-0.0113547
525,16,-0.0128606
525,17,-0.0141927
525,18,-0.0158189
525,19,-0.0161911
