t,unit,output
500,1,0.0468577
500,2,0.048491
500,3,0.0497535
500,4,0.0505617
500,5,0.0440781
500,6,0.0220437
500,7,0.0229762
500,8,0.0234402
500,9,0.0398601
500,10,0.0358313
500,11,-0.03188
500,12,-0.0289768
500,13,-0.0505502
500,14,-0.0398599
500,15,-0.0350405
500,16,-0.0340965
500,17,-0.0894516
500,18,-0.0507204
500,19,-0.0463847
500,20,-0.0431556
500,21,-0.041452
500,22,-0.0400345
500,23,-0.0386879
500,24,0.0111606
500,25,0.0428738
500,26,0.0325342
500,27,0.0267518
500,28,0.00880919
500,29,0.0299137
500,30,0.0264691
500,31,0.0413838
500,32,0.0367054
500,33,0.0346213
500,34,0.0471107
500,35,0.0430716
500,36,0.0413506
500,37,0.0410945
500,38,0.041604
500,39,0.0423806
500,40,0.043122
500,41,0.0653909
500,42,0.0598231
500,43,0.0567699
500,44,0.0555417
500,45,0.0613116
500,46,0.0502556
500,47,0.0466738
500,48,0.0549943
500,49,0.0502398
500,50,0.0480451
501,1,0.0475324
501,2,0.0479463
501,3,0.0487267
501,4,0.0495191
501,5,0.0452818
501,6,0.0206184
501,7,0.0216365
501,8,0.0224154
501,9,0.0440812
501,10,0.0405187
501,11,-0.050714
501,12,-0.0456402
501,13,-0.074192
501,14,-0.0593668
501,15,-0.0488623
501,16,-0.0424861
501,17,-0.121666
501,18,-0.0700899
501,19,-0.0598536
501,20,-0.0543219
501,21,-0.0487645
501,22,-0.047244
501,23,-0.0435493
501,24,0.0155993
501,25,0.0533638
501,26,0.0443692
501,27,0.0367617
501,28,0.0128578
501,29,0.0371528
501,30,0.0325394
501,31,0.0500607
501,32,0.0442936
501,33,0.0401169
501,34,0.0552149
501,35,0.0499712
501,36,0.0462487
501,37,0.044023
501,38,0.0429784
501,39,0.0427203
501,40,0.0428938
501,41,0.0717002
501,42,0.0665715
501,43,0.062339
501,44,0.0594038
501,45,0.0682432
501,46,0.0569918
501,47,0.0525363
501,48,0.0634265
501,49,0.0577323
501,50,0.0535492
502,1,0.050951
502,2,0.0496535
502,3,0.0492533
502,4,0.0493681
502,5,0.0430739
502,6,0.0219037
502,7,0.0217884
502,8,0.0220591
502,9,0.0384144
502,10,0.0393231
502,11,-0.0344409
502,12,-0.0372272
502,13,-0.0644474
502,14,-0.0622535
502,15,-0.0564709
502,16,-0.050432
502,17,-0.111678
502,18,-0.0714672
502,19,-0.0664522
502,20,-0.0575547
502,21,-0.0537589
502,22,-0.0485955
502,23,-0.0464164
502,24,0.00523428
502,25,0.0400292
502,26,0.0419033
502,27,0.039683
502,28,0.0183154
502,29,0.0351807
502,30,0.0340401
502,31,0.046166
502,32,0.0453575
502,33,0.0430945
502,34,0.0521167
502,35,0.0511902
502,36,0.0490564
502,37,0.0468829
502,38,0.0451969
502,39,0.0441274
502,40,0.0435947
502,41,0.0643501
502,42,0.0653093
502,43,0.0640267
502,44,0.0620304
502,45,0.0648815
502,46,0.0539539
502,47,0.0533418
502,48,0.0592084
502,49,0.058571
502,50,0.0564025
503,1,0.0540484
503,2,0.0521506
503,3,0.0508995
503,4,0.0502382
503,5,0.0406902
503,6,0.0236842
503,7,0.0228655
503,8,0.0225173
503,9,0.0309371
503,10,0.0345583
503,11,-0.0114185
503,12,-0.0188765
503,13,-0.0395162
503,14,-0.0493346
503,15,-0.0524162
503,16,-0.0515594
503,17,-0.0835774
503,18,-0.0589247
503,19,-0.0621752
503,20,-0.0525518
503,21,-0.053073
503,22,-0.0452225
503,23,-0.0457381
503,24,-0.0069575
503,25,0.0208432
503,26,0.0299373
503,27,0.0341457
503,28,0.0192233
503,29,0.0285058
503,30,0.0308956
503,31,0.0370258
503,32,0.0406236
503,33,0.0416906
503,34,0.0441664
503,35,0.0471994
503,36,0.0480013
503,37,0.0475183
503,38,0.0465159
503,39,0.0454845
503,40,0.0446685
503,41,0.0540013
503,42,0.0588843
503,43,0.0611049
503,44,0.0615045
503,45,0.0575487
503,46,0.0468223
503,47,0.0496375
503,48,0.049868
503,49,0.0536261
503,50,0.054825
504,1,0.0544897
504,2,0.0534796
504,3,0.0523655
504,4,0.0514469
504,5,0.0399222
504,6,0.0247332
504,7,0.0239267
504,8,0.0233181
504,9,0.0271737
504,10,0.0303625
504,11,-0.000745131
504,12,-0.00740165
504,13,-0.0223759
504,14,-0.0340171
504,15,-0.0419622
504,16,-0.0461064
504,17,-0.0633633
504,18,-0.0458211
504,19,-0.0528831
504,20,-0.0447523
504,21,-0.0483454
504,22,-0.0404453
504,23,-0.0427308
504,24,-0.0122677
504,25,0.0100242
504,26,0.018623
504,27,0.025326
504,28,0.0155295
504,29,0.0223089
504,30,0.0260168
504,31,0.029799
504,32,0.0344733
504,33,0.0375898
504,34,0.0376396
504,35,0.0417677
504,36,0.0444595
504,37,0.0457804
504,38,0.046098
504,39,0.0458331
504,40,0.0453302
504,41,0.0483711
504,42,0.0529109
504,43,0.0564492
504,44,0.0586322
504,45,0.0519219
504,46,0.0413287
504,47,0.0449166
504,48,0.0428007
504,49,0.0474753
504,50,0.050649
505,1,0.0523075
505,2,0.0528136
505,3,0.0526201
505,4,0.0521135
505,5,0.0403279
505,6,0.0249914
505,7,0.0245317
505,8,0.0240076
505,9,0.0273805
505,10,0.0286682
505,11,-0.000222088
505,12,-0.00479065
505,13,-0.0174155
505,14,-0.0245844
505,15,-0.0320884
505,16,-0.0381417
505,17,-0.0544084
505,18,-0.0375921
505,19,-0.0441951
505,20,-0.0381908
505,21,-0.0425757
505,22,-0.0362664
505,23,-0.0390579
505,24,-0.0103181
505,25,0.0100331
505,26,0.0137424
505,27,0.0187444
505,28,0.0108413
505,29,0.0190166
505,30,0.0220394
505,31,0.0267355
505,32,0.0300768
505,33,0.0333211
505,34,0.0345452
505,35,0.037664
505,36,0.0405984
505,37,0.0428361
505,38,0.0442446
505,39,0.0449305
505,40,0.0451031
505,41,0.0480667
505,42,0.0501585
505,43,0.0528749
505,44,0.055361
505,45,0.0495661
505,46,0.0391423
505,47,0.0416358
505,48,0.0401798
505,49,0.0433301
505,50,0.0464906
506,1,0.0490024
506,2,0.0506482
