t,unit,output
500,1,-0.0463945
500,2,-0.0251886
500,3,-0.0375746
500,4,0.00464171
500,5,0.00560782
500,6,0.0150934
500,7,0.0268965
500,8,0.00764553
500,9,0.0234993
500,10,-0.0141144
500,11,-0.0114788
500,12,-0.0111375
500,13,-0.0196507
500,14,-0.019756
500,15,-0.0236318
500,16,-0.015434
500,17,-0.0115567
500,18,-0.0113689
500,19,-0.0310652
500,20,-0.0411421
501,1,-0.056064
501,2,-0.029803
501,3,-0.0489328
501,4,0.00948065
501,5,0.00668361
501,6,0.0201174
501,7,0.0355598
501,8,0.00803491
501,9,0.0311688
501,10,-0.0217763
501,11,-0.0150052
501,12,-0.0122119
501,13,-0.0255526
501,14,-0.0213662
501,15,-0.0297219
501,16,-0.0187184
501,17,-0.0141853
501,18,-0.0121512
501,19,-0.0411407
501,20,-0.0536831
502,1,-0.0538087
502,2,-0.0292261
502,3,-0.0438801
502,4,0.0052218
502,5,0.00627755
502,6,0.0172355
502,7,0.030523
502,8,0.00840626
502,9,0.0266971
502,10,-0.0168441
502,11,-0.013271
502,12,-0.0125061
502,13,-0.0225831
502,14,-0.0217042
502,15,-0.0268146
502,16,-0.0174514
502,17,-0.0131296
502,18,-0.012423
502,19,-0.0358427
502,20,-0.0478009
503,1,-0.0631795
503,2,-0.0336754
503,3,-0.0546629
503,4,0.00932836
503,5,0.007125
503,6,0.0217099
503,7,0.0382984
503,8,0.00878215
503,9,0.0335576
503,10,-0.0239857
503,11,-0.0166037
503,12,-0.0136443
503,13,-0.0281292
503,14,-0.0234889
503,15,-0.0326126
503,16,-0.0206008
503,17,-0.0156096
503,18,-0.0133082
503,19,-0.0453619
503,20,-0.0597106
504,1,-0.0668119
504,2,-0.0357569
504,3,-0.056206
504,4,0.00745915
504,5,0.00721782
504,6,0.021499
504,7,0.0379691
504,8,0.00945944
504,9,0.0331966
504,10,-0.0234249
504,11,-0.0170578
504,12,-0.0145925
504,13,-0.028532
504,14,-0.0248898
504,15,-0.0332473
504,16,-0.0213216
504,17,-0.0160937
504,18,-0.0140819
504,19,-0.0459549
504,20,-0.0613719
505,1,-0.0518155
505,2,-0.0294236
505,3,-0.038391
505,4,-0.000667405
505,5,0.00502748
505,6,0.0133065
505,7,0.0238089
505,8,0.008502
505,9,0.0209305
505,10,-0.010979
505,11,-0.0108938
505,12,-0.0135651
505,13,-0.0192614
505,14,-0.0233263
505,15,-0.023834
505,16,-0.016079
505,17,-0.0119474
505,18,-0.013489
505,19,-0.0296652
505,20,-0.0406612
506,1,-0.0357446
506,2,-0.0217677
506,3,-0.0250481
