t,unit,output
500,1,-0.0034098
500,2,-0.00904746
500,3,-0.0114687
500,4,-0.0104945
500,5,-0.0119541
500,6,-0.010371
500,7,-0.00564722
500,8,-0.0122963
500,9,-0.0107388
500,10,-0.00602373
500,11,-0.00974562
500,12,-0.00974704
500,13,-0.00511255
500,14,-0.00313099
500,15,-0.00999504
500,16,-0.0086874
500,17,-0.00423372
500,18,-0.00393187
500,19,-0.00516102
500,20,0.00201602
501,1,-0.00833476
501,2,-0.0137897
501,3,-0.0147989
501,4,-0.0116759
501,5,-0.0133525
501,6,-0.0105746
501,7,-0.00376687
501,8,-0.0148497
501,9,-0.0117726
501,10,-0.00474306
501,11,-0.0113025
501,12,-0.0108993
501,13,-0.00388134
501,14,-0.00182175
501,15,-0.0128274
501,16,-0.00977947
501,17,-0.00284507
501,18,-0.00312683
501,19,-0.00535958
501,20,0.00547337
502,1,-0.00381276
502,2,-0.00969567
502,3,-0.0119445
502,4,-0.0104887
502,5,-0.0121755
502,6,-0.0103925
502,7,-0.00509778
502,8,-0.0132708
502,9,-0.0114946
502,10,-0.00614557
502,11,-0.0108069
502,12,-0.0108308
502,13,-0.00544956
502,14,-0.00330686
502,15,-0.0114368
502,16,-0.00965274
502,17,-0.00433172
502,18,-0.00401934
502,19,-0.00543176
502,20,0.00305725
503,1,-0.00822872
503,2,-0.0142132
503,3,-0.0153436
503,4,-0.0119641
503,5,-0.0137345
503,6,-0.010749
503,7,-0.00342692
503,8,-0.0154149
503,9,-0.0122603
503,10,-0.00479305
503,11,-0.011945
503,12,-0.0116561
503,13,-0.00418165
503,14,-0.00197309
503,15,-0.0138725
503,16,-0.0106726
503,17,-0.00319035
503,18,-0.00340527
503,19,-0.00574483
503,20,0.00598659
504,1,-0.00593165
504,2,-0.0128952
504,3,-0.0149579
504,4,-0.0122836
504,5,-0.0141072
504,6,-0.011359
504,7,-0.0042243
504,8,-0.0153088
504,9,-0.0126153
504,10,-0.00547658
504,11,-0.0119917
504,12,-0.0119047
504,13,-0.0048061
504,14,-0.002364
504,15,-0.0135395
504,16,-0.01092
504,17,-0.0038435
504,18,-0.00372988
504,19,-0.00581487
504,20,0.00538141
505,1,-0.000421934
505,2,-0.00523149
505,3,-0.00809893
505,4,-0.0083644
505,5,-0.0102102
505,6,-0.0097031
505,7,-0.00641126
505,8,-0.0114693
505,9,-0.0109419
505,10,-0.00762824
505,11,-0.010347
505,12,-0.0107508
505,13,-0.00732635
505,14,-0.00539721
505,15,-0.0102786
505,16,-0.00964697
505,17,-0.00627881
505,18,-0.00561797
505,19,-0.00615345
505,20,-0.00033005
506,1,-0.00198383
506,2,-0.00371177
506,3,-0.00502714
506,4,-0.00540527
506,5,-0.00679512
506,6,-0.00703954
506,7,-0.0057644
506,8,-0.00869376
506,9,-0.00874714
506,10,-0.00732245
506,11,-0.00891055
506,12,-0.00938766
506,13,-0.00772412
506,14,-0.0066865
506,15,-0.00908465
506,16,-0.00872186
506,17,-0.0069787
506,18,-0.00662592
506,19,-0.00671446
506,20,-0.0034139
507,1,-0.0120231
507,2,-0.0152168
507,3,-0.0142868
507,4,-0.0100683
507,5,-0.0109029
507,6,-0.0079535
507,7,-0.00184046
507,8,-0.0125344
507,9,-0.00957264
507,10,-0.00340781
507,11,-0.0101186
507,12,-0.0099291
507,13,-0.00376691
507,14,-0.00258283
507,15,-0.0131826
507,16,-0.0100467
507,17,-0.00367771
507,18,-0.00444206
507,19,-0.00671569
507,20,0.00324227
508,1,-0.00852877
508,2,-0.0148355
508,3,-0.0160556
508,4,-0.0127156
508,5,-0.0136523
508,6,-0.0104252
508,7,-0.00339216
508,8,-0.0135721
508,9,-0.0107562
508,10,-0.00400562
508,11,-0.010214
508,12,-0.0101401
508,13,-0.00363378
508,14,-0.00171807
508,15,-0.0124957
508,16,-0.0100734
508,17,-0.0035634
508,18,-0.0037912
508,19,-0.00601866
508,20,0.00422075
509,1,-4.28909e-05
509,2,-0.00429788
509,3,-0.00730019
509,4,-0.0082547
509,5,-0.00964027
509,6,-0.00942959
509,7,-0.0071295
509,8,-0.00968573
509,9,-0.00954383
509,10,-0.00736111
509,11,-0.00858561
509,12,-0.00898863
509,13,-0.00686073
509,14,-0.00527048
509,15,-0.00804401
509,16,-0.00816163
509,17,-0.00623128
509,18,-0.00559867
509,19,-0.00581437
509,20,-0.00220087
510,1,-0.00622246
510,2,-0.00839968
510,3,-0.00889904
510,4,-0.00765309
510,5,-0.0089158
510,6,-0.00794964
510,7,-0.00483241
510,8,-0.0105379
510,9,-0.00917889
510,10,-0.00579838
510,11,-0.00913318
510,12,-0.00909571
510,13,-0.00561709
510,14,-0.00450331
510,15,-0.00988816
510,16,-0.0083633
510,17,-0.0049242
510,18,-0.00509906
510,19,-0.00609372
510,20,-0.000448027
511,1,-0.00913811
511,2,-0.013187
511,3,-0.0133765
511,4,-0.0102829
511,5,-0.0112293
511,6,-0.00876381
511,7,-0.00326724
511,8,-0.0123039
511,9,-0.00985627
511,10,-0.00430508
511,11,-0.0097882
511,12,-0.00960866
511,13,-0.00407873
511,14,-0.00263981
511,15,-0.0116764
511,16,-0.00919462
511,17,-0.00360806
511,18,-0.00399462
511,19,-0.00588402
511,20,0.00280614
512,1,-0.00487016
512,2,-0.00965563
512,3,-0.0113397
512,4,-0.00992664
512,5,-0.0110136
512,6,-0.00931727
512,7,-0.00485016
512,8,-0.0113276
512,9,-0.00981431
512,10,-0.00546481
512,11,-0.00925716
512,12,-0.00934829
512,13,-0.00506581
512,14,-0.00343989
512,15,-0.0101268
512,16,-0.00876456
512,17,-0.00452163
512,18,-0.004385
512,19,-0.00560678
512,20,0.00120755
513,1,-0.00367734
513,2,-0.00710179
513,3,-0.00868142
513,4,-0.00813756
513,5,-0.00936891
513,6,-0.00849907
513,7,-0.00541525
513,8,-0.0101701
513,9,-0.00921305
513,10,-0.00609099
513,11,-0.00879202
513,12,-0.00893624
513,13,-0.00579058
513,14,-0.00443264
513,15,-0.00914561
513,16,-0.00819981
513,17,-0.00511515
513,18,-0.00492585
513,19,-0.00567505
513,20,-0.000532041
514,1,-0.0105486
514,2,-0.0151041
514,3,-0.0151415
514,4,-0.011309
514,5,-0.0124986
514,6,-0.00943829
514,7,-0.00271418
514,8,-0.013794
514,9,-0.0105699
514,10,-0.00371163
514,11,-0.0104585
514,12,-0.0100638
514,13,-0.00326597
514,14,-0.00162436
514,15,-0.0127284
514,16,-0.00953647
514,17,-0.00271625
514,18,-0.00328911
514,19,-0.00565675
514,20,0.00492873
515,1,-0.00681336
515,2,-0.0134793
515,3,-0.0152431
515,4,-0.0124331
515,5,-0.0138161
515,6,-0.0109235
515,7,-0.00402304
515,8,-0.0142624
515,9,-0.0115276
515,10,-0.00470522
515,11,-0.0107595
515,12,-0.0105791
515,13,-0.00389772
515,14,-0.00170439
515,15,-0.0122757
515,16,-0.00980613
515,17,-0.00319584
515,18,-0.00322002
515,19,-0.00531925
515,20,0.00503061
516,1,0.000448772
516,2,-0.00391752
516,3,-0.00692437
516,4,-0.00780159
516,5,-0.00945067
516,6,-0.00930489
516,7,-0.00687381
516,8,-0.0101958
516,9,-0.010004
516,10,-0.00755511
516,11,-0.00917912
516,12,-0.00954209
516,13,-0.0070195
516,14,-0.00528023
516,15,-0.00852561
516,16,-0.00834795
516,17,-0.00596704
516,18,-0.00525485
516,19,-0.00549578
516,20,-0.00125499
517,1,-0.00277785
517,2,-0.00417399
517,3,-0.00514883
517,4,-0.00529505
517,5,-0.00659271
517,6,-0.00672872
517,7,-0.00545331
517,8,-0.00847221
517,9,-0.00829065
517,10,-0.00677435
517,11,-0.008412
517,12,-0.00870499
517,13,-0.00695227
517,14,-0.00602263
517,15,-0.00848482
517,16,-0.00789837
517,17,-0.00610171
517,18,-0.00588216
517,19,-0.00606859
517,20,-0.0028364
518,1,-0.0104013
518,2,-0.0132928
518,3,-0.012612
518,4,-0.00908054
518,5,-0.00984246
518,6,-0.00737293
518,7,-0.00217459
518,8,-0.0113272
518,9,-0.00884854
518,10,-0.0035805
518,11,-0.00928313
518,12,-0.00913324
518,13,-0.00383359
518,14,-0.00275242
518,15,-0.0117584
518,16,-0.00907344
518,17,-0.00358769
518,18,-0.00418255
518,19,-0.00608692
518,20,0.00244967
519,1,-0.00795635
519,2,-0.013478
519,3,-0.0144864
519,4,-0.0114649
519,5,-0.0123157
519,6,-0.00944538
519,7,-0.00319221
519,8,-0.0123678
519,9,-0.00983951
519,10,-0.0038153
519,11,-0.00941536
519,12,-0.00934222
519,13,-0.00350666
519,14,-0.00181356
519,15,-0.0114548
519,16,-0.00921754
519,17,-0.00335628
519,18,-0.0035705
519,19,-0.00555255
519,20,0.00364247
520,1,-0.00395305
520,2,-0.00904514
520,3,-0.0111596
520,4,-0.0100813
520,5,-0.0113933
520,6,-0.00976455
520,7,-0.0051669
520,8,-0.0115727
520,9,-0.00999289
520,10,-0.00548393
520,11,-0.0091764
520,12,-0.00921939
520,13,-0.00483769
520,14,-0.0030748
520,15,-0.00979582
520,16,-0.00852605
520,17,-0.00428841
520,18,-0.00410229
520,19,-0.00531601
520,20,0.00161183
521,1,-0.00510826
521,2,-0.00919068
521,3,-0.0105784
521,4,-0.00918694
521,5,-0.0106329
521,6,-0.00915059
521,7,-0.00479933
521,8,-0.0117432
521,9,-0.0100283
521,10,-0.00552492
521,11,-0.00953161
521,12,-0.00945067
521,13,-0.00494335
521,14,-0.00332708
521,15,-0.0102104
521,16,-0.00853808
521,17,-0.00413693
521,18,-0.00412795
521,19,-0.00540515
521,20,0.00170607
522,1,-0.0100918
522,2,-0.0157921
522,3,-0.0162857
522,4,-0.0122397
522,5,-0.0136676
522,6,-0.0102916
522,7,-0.00269477
522,8,-0.0150265
522,9,-0.0115097
522,10,-0.00376752
522,11,-0.0111923
522,12,-0.0107408
522,13,-0.00306132
522,14,-0.00104044
522,15,-0.0134122
522,16,-0.00995495
522,17,-0.00229005
522,18,-0.00276654
522,19,-0.00537303
522,20,0.00648916
523,1,-0.00823425
523,2,-0.016329
523,3,-0.0181795
523,4,-0.0142939
523,5,-0.0160233
523,6,-0.0122256
523,7,-0.00337842
523,8,-0.016801
523,9,-0.0130961
523,10,-0.00427387
523,11,-0.0122399
523,12,-0.0118512
523,13,-0.00318669
523,14,-0.0005049
523,15,-0.0142598
523,16,-0.0108381
523,17,-0.00225624
523,18,-0.00238854
523,19,-0.00517084
523,20,0.00814376
524,1,-0.0030845
524,2,-0.0105602
524,3,-0.0136796
524,4,-0.012155
524,5,-0.0143258
524,6,-0.0121301
524,7,-0.00553136
524,8,-0.0153688
524,9,-0.0131143
524,10,-0.00647181
524,11,-0.0120487
524,12,-0.0119975
524,13,-0.00538795
524,14,-0.00269479
524,15,-0.0126248
524,16,-0.0105335
524,17,-0.00408432
524,18,-0.00364467
524,19,-0.00536284
524,20,0.00497495
525,1,-0.00140303
525,2,-0.00621437
525,3,-0.00879018
525,4,-0.00856782
525,5,-0.0106925
525,6,-0.0099709
525,7,-0.00609576
525,8,-0.0126407
525,9,-0.0116539
525,10,-0.00756697
525,11,-0.0111472
525,12,-0.0113677
525,13,-0.0070962
525,14,-0.00503116
525,15,-0.0111674
525,16,-0.00993454
525,17,-0.00572415
525,18,-0.00518502
525,19,-0.00599884
525,20,0.00105231
526,1,-0.00744127
526,2,-0.011758
526,3,-0.0124138
526,4,-0.00966776
526,5,-0.011331
526,6,-0.00920442
526,7,-0.00352642
526,8,-0.0136381
526,9,-0.0113208
526,10,-0.00544284
526,11,-0.0114979
526,12,-0.0114641
526,13,-0.00543726
526,14,-0.0036505
526,15,-0.0133588
526,16,-0.0106977
526,17,-0.00454461
526,18,-0.00471065
526,19,-0.00651345
526,20,0.0032923
527,1,-0.00464117
527,2,-0.00946437
527,3,-0.0110722
527,4,-0.00946903
527,5,-0.0108101
527,6,-0.00916277
527,7,-0.00446809
527,8,-0.0119312
527,9,-0.0105062
527,10,-0.00591835
527,11,-0.0103461
527,12,-0.010636
527,13,-0.00601315
527,14,-0.00427352
527,15,-0.0117172
527,16,-0.0101964
527,17,-0.00547533
527,18,-0.00527708
527,19,-0.0065302
527,20,0.00118115
528,1,-0.00834187
528,2,-0.0133447
528,3,-0.0141869
528,4,-0.0111596
528,5,-0.012504
528,6,-0.0098391
528,7,-0.00349556
528,8,-0.0136316
528,9,-0.010999
528,10,-0.00469716
528,11,-0.0108636
528,12,-0.0108046
528,13,-0.00457558
528,14,-0.00279221
528,15,-0.0130567
528,16,-0.0104982
528,17,-0.00422147
528,18,-0.00449515
528,19,-0.00652188
528,20,0.00350853
529,1,-0.00110375
529,2,-0.00506606
529,3,-0.00752594
529,4,-0.00792613
529,5,-0.00923177
529,6,-0.00886853
529,7,-0.00639301
529,8,-0.00973668
529,9,-0.0095246
529,10,-0.00716673
529,11,-0.00894846
529,12,-0.00942968
529,13,-0.00706727
529,14,-0.00556546
529,15,-0.00898189
529,16,-0.00884364
529,17,-0.00654832
529,18,-0.00601601
529,19,-0.00636073
529,20,-0.00220131
530,1,-0.00491613
530,2,-0.00667642
530,3,-0.0073624
530,4,-0.00675065
530,5,-0.00783213
530,6,-0.0073266
530,7,-0.00513888
530,8,-0.0091995
530,9,-0.00849844
530,10,-0.00619256
530,11,-0.00856799
530,12,-0.00879139
530,13,-0.00638568
530,14,-0.00545789
530,15,-0.00925013
530,16,-0.00837093
530,17,-0.0059497
530,18,-0.0059669
530,19,-0.00655433
530,20,-0.00235592
531,1,-0.00536882
531,2,-0.0070498
531,3,-0.00748138
531,4,-0.00667283
531,5,-0.00731611
531,6,-0.00668944
531,7,-0.00471957
531,8,-0.00816618
531,9,-0.0076025
531,10,-0.00564854
531,11,-0.00771783
531,12,-0.00799616
531,13,-0.00598651
531,14,-0.00525403
531,15,-0.00857449
531,16,-0.00787408
531,17,-0.00579144
531,18,-0.00583693
531,19,-0.00638713
531,20,-0.00285527
532,1,-0.0139297
532,2,-0.01834
532,3,-0.0174937
532,4,-0.0124514
532,5,-0.0130914
532,6,-0.00919445
532,7,-0.00162706
532,8,-0.0137248
532,9,-0.00988258
532,10,-0.00235475
532,11,-0.00993183
532,12,-0.00942999
532,13,-0.0020989
532,14,-0.000708371
532,15,-0.0131475
532,16,-0.00952017
532,17,-0.00211986
532,18,-0.00308354
532,19,-0.00592572
532,20,0.00543037
533,1,-0.00641648
533,2,-0.0134691
533,3,-0.0156425
533,4,-0.0131816
533,5,-0.014341
533,6,-0.0114283
533,7,-0.00466231
533,8,-0.0138409
533,9,-0.0112242
533,10,-0.0046823
533,11,-0.0100871
533,12,-0.0099167
533,13,-0.00365356
533,14,-0.00147938
533,15,-0.0113378
533,16,-0.00928242
533,17,-0.00318866
533,18,-0.0031614
533,19,-0.00516686
533,20,0.00439679
534,1,-0.000675717
534,2,-0.00520208
534,3,-0.00812594
534,4,-0.00872319
534,5,-0.0104137
534,6,-0.00999015
534,7,-0.00708439
534,8,-0.0110048
534,9,-0.0103783
534,10,-0.00737665
534,11,-0.00933512
534,12,-0.0094859
534,13,-0.0064697
534,14,-0.00466962
534,15,-0.00859797
534,16,-0.00812366
534,17,-0.00534965
534,18,-0.00478233
534,19,-0.00525912
534,20,-0.000484907
535,1,-0.00310384
535,2,-0.00510343
535,3,-0.00625482
535,4,-0.0062112
535,5,-0.00763243
535,6,-0.00753887
535,7,-0.0057261
535,8,-0.00950527
535,9,-0.00902043
535,10,-0.00689381
535,11,-0.00891739
535,12,-0.00906478
535,13,-0.00670875
535,14,-0.00556969
535,15,-0.00879787
535,16,-0.00794983
535,17,-0.00561428
535,18,-0.00539859
535,19,-0.00577901
535,20,-0.00181357
536,1,-0.00859787
536,2,-0.0115075
536,3,-0.011332
536,4,-0.00857811
536,5,-0.009497
536,6,-0.0075382
536,7,-0.00303948
536,8,-0.0110931
536,9,-0.00907783
536,10,-0.00445741
536,11,-0.00937772
536,12,-0.00929659
536,13,-0.00457543
536,14,-0.0034193
536,15,-0.0111981
536,16,-0.00889728
536,17,-0.00401967
536,18,-0.00437717
536,19,-0.00593476
536,20,0.00167444
537,1,-0.0102644
537,2,-0.0160589
537,3,-0.0165222
537,4,-0.0124142
537,5,-0.0133722
537,6,-0.00983078
537,7,-0.00237661
537,8,-0.013895
537,9,-0.0105885
537,10,-0.00327057
537,11,-0.0103478
537,12,-0.0100753
537,13,-0.00291815
537,14,-0.00110158
537,15,-0.0129771
537,16,-0.00986508
537,17,-0.00263189
537,18,-0.00308437
537,19,-0.00559169
537,20,0.00559814
538,1,0.000461457
538,2,-0.00428165
538,3,-0.00742178
538,4,-0.00825265
538,5,-0.00958855
538,6,-0.0092283
538,7,-0.00668253
538,8,-0.00952669
538,9,-0.00936674
538,10,-0.00699887
538,11,-0.00840531
538,12,-0.00883827
538,13,-0.00652308
538,14,-0.00485477
538,15,-0.00794684
538,16,-0.00802055
538,17,-0.00584892
538,18,-0.00513218
538,19,-0.00538407
538,20,-0.00146755
539,1,-0.0106267
539,2,-0.0147152
539,3,-0.0146292
539,4,-0.0108738
539,5,-0.0123135
539,6,-0.00939337
539,7,-0.00273001
539,8,-0.0140604
539,9,-0.0107207
539,10,-0.00378788
539,11,-0.0106691
539,12,-0.0101944
539,13,-0.00328579
539,14,-0.00165677
539,15,-0.012867
539,16,-0.00951268
539,17,-0.00262194
539,18,-0.00327275
539,19,-0.00565705
539,20,0.00512753
540,1,-0.00317474
540,2,-0.00857098
540,3,-0.0107753
540,4,-0.00972103
540,5,-0.0110579
540,6,-0.00957133
540,7,-0.00511638
540,8,-0.011617
540,9,-0.0103073
540,10,-0.00591274
540,11,-0.00959886
540,12,-0.00975327
540,13,-0.00538305
540,14,-0.00350872
540,15,-0.0101286
540,16,-0.00891187
540,17,-0.00460226
540,18,-0.00425757
540,19,-0.00538874
540,20,0.00156775
541,1,-0.00138302
541,2,-0.00416293
541,3,-0.0060412
541,4,-0.00645695
541,5,-0.00780946
541,6,-0.00773042
541,7,-0.00587994
541,8,-0.00895832
541,9,-0.00876023
541,10,-0.00683395
541,11,-0.00845139
541,12,-0.00878892
541,13,-0.006728
541,14,-0.00546648
541,15,-0.00828665
541,16,-0.00792392
541,17,-0.0059
541,18,-0.00547418
541,19,-0.00570493
541,20,-0.00207628
542,1,-0.00568129
542,2,-0.00749961
542,3,-0.0077711
542,4,-0.00653994
542,5,-0.0074892
542,6,-0.00663822
542,7,-0.00402972
542,8,-0.00898249
542,9,-0.00799327
542,10,-0.00526173
542,11,-0.0082344
542,12,-0.00837816
542,13,-0.00552146
542,14,-0.00463522
542,15,-0.00926549
542,16,-0.00800072
542,17,-0.00504378
542,18,-0.00515537
542,19,-0.00595322
542,20,-0.00109033
543,1,-0.00351255
543,2,-0.00521084
543,3,-0.00599686
543,4,-0.00574358
543,5,-0.00632313
543,6,-0.006009
543,7,-0.0046122
543,8,-0.00692472
543,9,-0.0067822
543,10,-0.00548055
543,11,-0.00684724
543,12,-0.00724415
543,13,-0.00588514
543,14,-0.00520194
543,15,-0.00743067
543,16,-0.00715879
543,17,-0.00570716
543,18,-0.0055641
543,19,-0.00581847
543,20,-0.00323434
544,1,-0.00614299
544,2,-0.00754657
544,3,-0.00761175
544,4,-0.00643356
544,5,-0.00686628
544,6,-0.00594526
544,7,-0.00376321
544,8,-0.00736694
544,9,-0.00650246
544,10,-0.00438366
544,11,-0.00664122
544,12,-0.00679754
544,13,-0.00469913
544,14,-0.00414577
544,15,-0.00777419
544,16,-0.00689499
544,17,-0.00472868
544,18,-0.00494527
544,19,-0.00564171
544,20,-0.00204726
545,1,-0.0101034
545,2,-0.0135716
545,3,-0.0133074
545,4,-0.00997842
545,5,-0.0104643
545,6,-0.00775522
545,7,-0.00238716
545,8,-0.0106596
545,9,-0.00803364
545,10,-0.00273994
545,11,-0.00789442
545,12,-0.00761004
545,13,-0.00250075
545,14,-0.0014253
545,15,-0.0100485
545,16,-0.00767535
545,17,-0.00255611
545,18,-0.00317552
545,19,-0.00512762
545,20,0.002797
546,1,-0.00571615
546,2,-0.0107389
546,3,-0.0122455
546,4,-0.0104038
546,5,-0.0113
546,6,-0.00916601
546,7,-0.00417209
546,8,-0.0110168
546,9,-0.00902342
546,10,-0.00414992
546,11,-0.00817746
546,12,-0.00803036
546,13,-0.00335773
546,14,-0.0017659
546,15,-0.00908245
546,16,-0.00750414
546,17,-0.00298104
546,18,-0.00303146
546,19,-0.00454051
546,20,0.00258773
547,1,-0.00683266
547,2,-0.0120997
547,3,-0.013405
547,4,-0.0109541
547,5,-0.0123241
547,6,-0.00985423
547,7,-0.00387753
547,8,-0.0129456
547,9,-0.0102801
547,10,-0.00418778
547,11,-0.00950684
547,12,-0.00912405
547,13,-0.00314457
547,14,-0.00128103
547,15,-0.0105376
547,16,-0.00813028
547,17,-0.0023197
547,18,-0.00250423
547,19,-0.00441717
547,20,0.00466136
548,1,0.000689775
548,2,-0.00308698
548,3,-0.00575296
548,4,-0.00667756
548,5,-0.00814792
548,6,-0.00818403
548,7,-0.00631933
548,8,-0.0089379
548,9,-0.00887275
548,10,-0.00690388
548,11,-0.00807829
548,12,-0.00834941
548,13,-0.00626627
548,14,-0.00472442
548,15,-0.00716588
548,16,-0.00703836
548,17,-0.00509785
548,18,-0.00442543
548,19,-0.00456024
548,20,-0.00116191
549,1,-0.0105436
549,2,-0.0144801
549,3,-0.0140887
549,4,-0.0100549
549,5,-0.0113947
549,6,-0.00842107
549,7,-0.00180336
