t,unit,output
500,1,0.484393
500,2,0.47656
500,3,0.481432
500,4,0.474415
500,5,0.467481
500,6,0.468507
500,7,0.475052
500,8,0.481713
500,9,0.47563
500,10,0.479062
500,11,0.485058
500,12,0.485484
500,13,0.480941
500,14,0.481306
500,15,0.479403
500,16,0.482559
500,17,0.480875
500,18,0.476612
500,19,0.479882
500,20,0.478404
500,21,0.484286
500,22,0.484733
500,23,0.48528
500,24,0.485252
500,25,0.485586
500,26,0.490893
500,27,0.491158
500,28,0.491032
500,29,0.49338
500,30,0.493332
500,31,0.490745
500,32,0.493118
500,33,0.488194
500,34,0.483252
500,35,0.481071
500,36,0.481739
500,37,0.482637
500,38,0.486034
500,39,0.484385
500,40,0.484496
500,41,0.480059
500,42,0.475662
500,43,0.471515
500,44,0.467696
500,45,0.461718
500,46,0.46106
500,47,0.465768
500,48,0.465595
500,49,0.472628
500,50,0.479457
501,1,0.484806
501,2,0.474893
501,3,0.48365
501,4,0.473469
501,5,0.464787
501,6,0.467724
501,7,0.477069
501,8,0.485117
501,9,0.47479
501,10,0.480142
501,11,0.488132
501,12,0.48716
501,13,0.480497
501,14,0.481786
501,15,0.479296
501,16,0.484116
501,17,0.481245
501,18,0.475357
501,19,0.480764
501,20,0.478328
501,21,0.486737
501,22,0.486002
501,23,0.486547
501,24,0.486071
501,25,0.486689
501,26,0.494141
501,27,0.493046
501,28,0.492307
501,29,0.495816
501,30,0.495342
501,31,0.491525
501,32,0.495238
501,33,0.487946
501,34,0.481739
501,35,0.479804
501,36,0.481486
501,37,0.48284
501,38,0.487473
501,39,0.484499
501,40,0.484498
501,41,0.478528
501,42,0.473331
501,43,0.468704
501,44,0.464543
501,45,0.457276
501,46,0.45787
501,47,0.465159
501,48,0.464323
501,49,0.474138
501,50,0.48254
502,1,0.485469
502,2,0.477157
502,3,0.483429
502,4,0.475406
502,5,0.467527
502,6,0.46873
502,7,0.475984
502,8,0.483157
502,9,0.47566
502,10,0.479617
502,11,0.486422
502,12,0.486693
502,13,0.481485
502,14,0.482091
502,15,0.47993
502,16,0.483596
502,17,0.48151
502,18,0.476548
502,19,0.480379
502,20,0.478535
502,21,0.485291
502,22,0.485552
502,23,0.486194
502,24,0.486149
502,25,0.486619
502,26,0.492776
502,27,0.492875
502,28,0.492666
502,29,0.495406
502,30,0.495254
502,31,0.492194
502,32,0.494922
502,33,0.489092
502,34,0.483403
502,35,0.480924
502,36,0.48164
502,37,0.482528
502,38,0.486317
502,39,0.484279
502,40,0.48436
502,41,0.479374
502,42,0.474543
502,43,0.469993
502,44,0.46577
502,45,0.459002
502,46,0.458409
502,47,0.463879
502,48,0.463578
502,49,0.471782
502,50,0.479671
503,1,0.485538
503,2,0.475126
503,3,0.484856
503,4,0.47413
503,5,0.464796
503,6,0.467886
503,7,0.477891
503,8,0.486519
503,9,0.475264
503,10,0.480872
503,11,0.48945
503,12,0.488438
503,13,0.481227
503,14,0.482585
503,15,0.479887
503,16,0.485075
503,17,0.481972
503,18,0.475543
503,19,0.481293
503,20,0.478621
503,21,0.487664
503,22,0.486888
503,23,0.487486
503,24,0.486995
503,25,0.487689
503,26,0.495793
503,27,0.494722
503,28,0.493967
503,29,0.497767
503,30,0.497276
503,31,0.49313
503,32,0.497082
503,33,0.489149
503,34,0.482295
503,35,0.480024
