### task_name: laser
### 3 0
### input_signal_factor [0.1, 4.1]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,300,0.0000,0.5000,2.0000,0.9000,2.0000,0.23500529,0.21704715,0.25653767
RND_sinc,0,300,0.1000,1.3000,1.5000,0.9000,4.0000,0.02146888,0.02876128,0.09071084
RND_sinc,0,300,0.2000,0.5000,1.0000,1.0000,7.0000,0.02758643,0.02726064,0.08377989
RND_sinc,0,300,0.3000,0.9000,1.5000,0.9000,8.0000,0.02042524,0.02894572,0.07894735
RND_sinc,0,300,0.4000,0.5000,1.5000,1.0000,9.0000,0.02073192,0.02262576,0.07856918
RND_sinc,0,300,0.5000,0.5000,2.0000,1.0000,8.0000,0.01990910,0.02537912,0.10229996
RND_sinc,0,300,0.6000,0.9000,0.5000,0.9000,8.0000,0.02100791,0.02801425,0.11144547
RND_sinc,0,300,0.7000,0.5000,2.0000,1.0000,8.0000,0.01878170,0.02673977,0.08362562
RND_sinc,0,300,0.8000,0.1000,2.0000,1.1000,6.0000,0.02222052,0.02681018,0.07004279
RND_sinc,0,300,0.9000,0.1000,1.5000,1.0000,7.0000,0.02625205,0.02583935,0.07461251
RND_sinc,0,300,1.0000,0.5000,0.0000,0.9000,9.0000,0.02235372,0.02912348,0.07465479
RND_sinc,1,300,0.0000,4.1000,1.5000,1.0000,9.0000,0.23317934,0.21690505,0.25967525
RND_sinc,1,300,0.1000,1.7000,2.0000,0.9000,6.0000,0.02170233,0.02712981,0.07091822
RND_sinc,1,300,0.2000,0.9000,0.0000,0.9000,7.0000,0.02189113,0.02854105,0.08824025
RND_sinc,1,300,0.3000,0.9000,0.0000,0.9000,8.0000,0.02286103,0.02694517,0.08864471
RND_sinc,1,300,0.4000,0.5000,2.0000,1.1000,9.0000,0.02817974,0.02730742,0.06587502
RND_sinc,1,300,0.5000,0.5000,2.0000,1.1000,8.0000,0.02039544,0.02731713,0.07218593
RND_sinc,1,300,0.6000,0.5000,0.5000,0.9000,9.0000,0.02446853,0.02713210,0.07404223
RND_sinc,1,300,0.7000,0.5000,0.0000,0.9000,8.0000,0.02323324,0.02916373,0.09639636
RND_sinc,1,300,0.8000,0.1000,1.5000,1.0000,5.0000,0.02512498,0.02684918,0.07659987
RND_sinc,1,300,0.9000,0.5000,0.5000,0.9000,8.0000,0.01897198,0.02491319,0.09377465
RND_sinc,1,300,1.0000,0.5000,0.5000,0.9000,9.0000,0.02185822,0.02692607,0.09049109
RND_sinc,2,300,0.0000,0.9000,2.5000,0.9000,3.0000,0.23496876,0.21714215,0.25662152
RND_sinc,2,300,0.1000,2.9000,2.5000,0.9000,9.0000,0.02265311,0.02668986,0.06940077
RND_sinc,2,300,0.2000,0.9000,0.0000,0.9000,7.0000,0.02325106,0.02869816,0.08462794
RND_sinc,2,300,0.3000,0.5000,2.5000,1.0000,6.0000,0.02225318,0.02970294,0.09743239
RND_sinc,2,300,0.4000,1.3000,2.0000,1.0000,9.0000,0.02096994,0.02986612,0.10302694
RND_sinc,2,300,0.5000,0.1000,2.5000,1.1000,4.0000,0.02331144,0.02792847,0.08466678
RND_sinc,2,300,0.6000,0.5000,1.0000,1.0000,9.0000,0.01749031,0.02522895,0.08093012
RND_sinc,2,300,0.7000,0.1000,2.5000,1.1000,5.0000,0.02534977,0.02863987,0.07752438
RND_sinc,2,300,0.8000,0.5000,2.0000,1.1000,9.0000,0.02196219,0.02525083,0.08766210
RND_sinc,2,300,0.9000,0.9000,2.0000,1.0000,9.0000,0.02238382,0.03098167,0.07535309
RND_sinc,2,300,1.0000,0.1000,0.5000,1.0000,7.0000,0.02581862,0.02654166,0.07642934
