t,unit,input,output
500,1,2.62293,2.62293
500,2,-2.76353,-2.76353
500,3,2.88025,2.88025
500,4,-2.56556,-2.56556
500,5,-2.60675,-2.60675
500,6,-2.6052,-2.6052
500,7,2.574,2.574
500,8,-2.87274,-2.87274
500,9,-2.92194,-2.92194
500,10,2.82457,2.82457
500,11,2.7138,2.7138
500,12,2.60125,2.60125
500,13,3.03781,3.03781
500,14,-2.76905,-2.76905
500,15,-2.75838,-2.75838
500,16,-2.71009,-2.71009
500,17,-3.02672,-3.02672
500,18,-2.76273,-2.76273
500,19,-2.87412,-2.87412
500,20,2.77596,2.77596
501,1,0.378216,0.378216
501,2,-0.347326,-0.347326
501,3,-0.24596,-0.24596
501,4,-0.940313,-0.940313
501,5,-0.889974,-0.889974
501,6,-0.893309,-0.893309
501,7,0.91485,0.91485
501,8,-0.0548118,-0.0548118
501,9,0.22153,0.22153
501,10,0.848153,0.848153
501,11,0.334287,0.334287
501,12,0.373567,0.373567
501,13,-0.796193,-0.796193
501,14,-0.332537,-0.332537
501,15,0.178489,0.178489
501,16,-0.352453,-0.352453
501,17,0.757725,0.757725
501,18,-0.347878,-0.347878
501,19,0.226547,0.226547
501,20,0.846232,0.846232
502,1,3.05023,3.05023
502,2,-3.19612,-3.19612
502,3,3.13431,3.13431
502,4,-3.16918,-3.16918
502,5,-3.20878,-3.20878
502,6,-3.20831,-3.20831
502,7,3.17698,3.17698
502,8,-3.21662,-3.21662
502,9,-3.17438,-3.17438
502,10,3.42747,3.42747
502,11,3.14228,3.14228
502,12,3.03276,3.03276
502,13,3.11922,3.11922
502,14,-3.20215,-3.20215
502,15,-3.01467,-3.01467
502,16,-3.14167,-3.14167
502,17,-3.11032,-3.11032
502,18,-3.19464,-3.19464
502,19,-3.12842,-3.12842
502,20,3.3812,3.3812
503,1,2.24908,2.24908
503,2,-2.26253,-2.26253
503,3,1.58294,1.58294
503,4,-2.91511,-2.91511
503,5,-2.87333,-2.87333
503,6,-2.87753,-2.87753
503,7,2.88953,2.88953
503,8,-1.94362,-1.94362
503,9,-1.62424,-1.62424
503,10,2.90109,2.90109
503,11,2.23193,2.23193
503,12,2.23682,2.23682
503,13,0.963826,0.963826
503,14,-2.24775,-2.24775
503,15,-1.61532,-1.61532
503,16,-2.25026,-2.25026
503,17,-1.0022,-1.0022
503,18,-2.26314,-2.26314
503,19,-1.60202,-1.60202
503,20,2.88229,2.88229
504,1,-1.99548,-1.99548
504,2,1.82898,1.82898
504,3,-2.28682,-2.28682
504,4,1.47893,1.47893
504,5,1.44881,1.44881
504,6,1.44835,1.44835
504,7,-1.47902,-1.47902
504,8,1.99315,1.99315
504,9,2.22767,2.22767
504,10,-1.19564,-1.19564
504,11,-1.89914,-1.89914
504,12,-2.01992,-2.01992
504,13,-2.67194,-2.67194
504,14,1.82728,1.82728
504,15,2.40903,2.40903
504,16,1.89371,1.89371
504,17,2.66869,2.66869
504,18,1.83046,1.83046
504,19,2.28657,2.28657
504,20,-1.25411,-1.25411
505,1,-2.95285,-2.95285
505,2,2.84177,2.84177
505,3,-2.52279,-2.52279
505,4,3.25117,3.25117
505,5,3.27962,3.27962
505,6,3.27481,3.27481
505,7,-3.27968,-3.27968
505,8,2.62114,2.62114
505,9,2.44087,2.44087
505,10,-3.09942,-3.09942
505,11,-2.91556,-2.91556
505,12,-2.98273,-2.98273
505,13,-2.09592,-2.09592
505,14,2.85765,2.85765
505,15,2.5598,2.5598
505,16,2.89328,2.89328
505,17,2.05203,2.05203
505,18,2.8416,2.8416
505,19,2.50147,2.50147
505,20,-3.15602,-3.15602
506,1,2.87312,2.87312
506,2,-2.78766,-2.78766
506,3,3.32231,3.32231
506,4,-2.28142,-2.28142
506,5,-2.23107,-2.23107
506,6,-2.234,-2.234
506,7,2.26452,2.26452
506,8,-3.02907,-3.02907
506,9,-3.30234,-3.30234
506,10,2.08167,2.08167
506,11,2.80046,2.80046
506,12,2.89496,2.89496
506,13,3.86727,3.86727
506,14,-2.7802,-2.7802
506,15,-3.43335,-3.43335
506,16,-2.81962,-2.81962
506,17,-3.89686,-3.89686
506,18,-2.78608,-2.78608
506,19,-3.33535,-3.33535
506,20,2.11732,2.11732
507,1,2.09586,2.09586
507,2,-1.96182,-1.96182
507,3,1.43305,1.43305
507,4,-2.58215,-2.58215
507,5,-2.58542,-2.58542
507,6,-2.58578,-2.58578
507,7,2.60094,2.60094
507,8,-1.62765,-1.62765
507,9,-1.3462,-1.3462
507,10,2.35542,2.35542
507,11,2.03325,2.03325
507,12,2.13849,2.13849
507,13,0.810483,0.810483
507,14,-1.97333,-1.97333
507,15,-1.51442,-1.51442
507,16,-2.02235,-2.02235
507,17,-0.782743,-0.782743
507,18,-1.96107,-1.96107
507,19,-1.41742,-1.41742
507,20,2.42599,2.42599
508,1,-3.39824,-3.39824
508,2,3.26127,3.26127
508,3,-3.60999,-3.60999
508,4,2.96913,2.96913
508,5,2.89784,2.89784
508,6,2.89998,2.89998
508,7,-2.94572,-2.94572
508,8,3.39584,3.39584
508,9,3.58265,3.58265
508,10,-2.67378,-2.67378
508,11,-3.28832,-3.28832
508,12,-3.42308,-3.42308
508,13,-3.96218,-3.96218
508,14,3.24946,3.24946
508,15,3.77047,3.77047
508,16,3.31076,3.31076
508,17,4.00151,4.00151
508,18,3.26012,3.26012
508,19,3.62861,3.62861
508,20,-2.72279,-2.72279
509,1,-0.68454,-0.68454
509,2,0.597436,0.597436
509,3,0.0123996,0.0123996
509,4,1.27644,1.27644
509,5,1.30428,1.30428
509,6,1.30319,1.30319
509,7,-1.30459,-1.30459
509,8,0.235466,0.235466
509,9,-0.0949279,-0.0949279
509,10,-1.14447,-1.14447
