t,unit,input,output
500,1,-0.668203,0.411392
500,2,1.18188,-0.14565
500,3,22.0092,0.000416593
500,4,23.091,23.091
500,5,-20.8432,-20.8432
500,6,-2.62895,0.111279
500,7,22.816,22.816
500,8,-20.7338,-20.7338
500,9,31.999,31.999
500,10,-15.5615,-15.5615
500,11,-12.619,-12.619
500,12,25.6531,25.6531
500,13,-22.3171,-22.3171
500,14,32.5591,0.00960851
500,15,-10.6356,-10.6356
500,16,-20.4989,-20.4989
500,17,23.6611,-0.0117654
500,18,17.4129,-0.0175997
500,19,-13.1627,-0.0118293
500,20,22.6325,22.6325
501,1,-4.46328,0.0708435
501,2,-2.58628,0.118583
501,3,18.5504,0.016945
501,4,19.6906,19.6906
501,5,-24.661,-24.661
501,6,1.01649,-0.0162175
501,7,18.9456,18.9456
501,8,-24.2733,-24.2733
501,9,28.1311,28.1311
501,10,-11.8568,-11.8568
501,11,-15.9672,-15.9672
501,12,22.0959,22.0959
501,13,-18.4312,-18.4312
501,14,28.7687,0.00734963
501,15,-6.96038,-6.96038
501,16,-24.2093,-24.2093
501,17,27.5632,-0.0113217
501,18,13.8625,-0.00961338
501,19,-9.71271,-0.0257237
501,20,26.1961,26.1961
502,1,1.66968,-0.164191
502,2,3.54558,-0.0888579
502,3,24.026,0.00108094
502,4,25.1198,25.1198
502,5,-18.5138,-18.5138
502,6,-4.84135,0.0314292
502,7,25.2673,25.2673
502,8,-18.6134,-18.6134
502,9,34.4371,34.4371
502,10,-17.7712,-17.7712
502,11,-10.7138,-10.7138
502,12,27.7692,27.7692
502,13,-24.7557,-24.7557
502,14,34.8917,0.00304481
502,15,-12.8769,-12.8769
502,16,-18.2739,-18.2739
502,17,21.2339,-0.0100505
502,18,19.5205,-0.0162725
502,19,-15.1428,-0.0091156
502,20,20.5364,20.5364
503,1,-11.3147,-0.0235008
503,2,-9.4716,-0.0334731
503,3,12.0387,0.00320535
503,4,13.1544,13.1544
503,5,-31.5624,-31.5624
503,6,7.79168,-0.0248678
503,7,11.9517,11.9517
503,8,-30.9316,-30.9316
503,9,21.0827,21.0827
503,10,-5.09985,-5.09985
503,11,-22.3369,-22.3369
503,12,15.4757,15.4757
503,13,-11.4168,-11.4168
503,14,21.8569,-0.00632891
503,15,-0.189485,-0.189485
503,16,-30.9836,-30.9836
503,17,34.6135,0.00861816
503,18,7.26391,-0.0323096
503,19,-3.23586,-0.0663999
503,20,32.8126,32.8126
504,1,-3.20647,-0.0599693
504,2,-1.33339,-0.206761
504,3,17.9541,-0.0025469
504,4,19.0349,19.0349
504,5,-23.3857,-23.3857
504,6,0.473465,0.669964
504,7,20.7632,20.7632
504,8,-24.3127,-24.3127
504,9,29.9438,29.9438
504,10,-12.4764,-12.4764
504,11,-17.1971,-17.1971
504,12,22.0745,22.0745
504,13,-20.2686,-20.2686
504,14,30.0282,0.000938006
504,15,-7.60871,-7.60871
504,16,-23.546,-23.546
504,17,25.7307,-0.00926051
504,18,13.8006,-0.0135239
504,19,-9.02302,-0.00254914
504,20,26.2384,26.2384
505,1,-1.92479,-0.0387135
505,2,-0.137193,0.969326
505,3,20.387,0.0146403
505,4,21.5643,21.5643
505,5,-22.2447,-22.2447
505,6,-1.34057,-0.208278
505,7,21.6992,21.6992
505,8,-22.1869,-22.1869
505,9,30.8252,30.8252
505,10,-14.1462,-14.1462
505,11,-14.2829,-14.2829
505,12,24.2344,24.2344
505,13,-21.1528,-21.1528
505,14,31.2201,-0.00650152
505,15,-9.19484,-9.19484
505,16,-22.0082,-22.0082
505,17,24.9012,0.00390276
505,18,16.0954,0.00583616
505,19,-11.7676,-0.0180425
505,20,23.9899,23.9899
506,1,-2.00846,0.00421354
506,2,-0.136404,0.969674
506,3,20.7064,0.0122522
506,4,21.7705,21.7705
506,5,-22.1815,-22.1815
506,6,-1.31211,-0.201544
506,7,21.4863,21.4863
506,8,-22.0472,-22.0472
506,9,30.627,30.627
506,10,-14.2683,-14.2683
506,11,-13.8765,-13.8765
506,12,24.3747,24.3747
506,13,-20.9509,-20.9509
506,14,31.164,-0.00503254
506,15,-9.30283,-9.30283
506,16,-21.8184,-21.8184
506,17,25.0119,-0.000476744
506,18,16.1587,0.00941988
506,19,-11.8822,-0.00968802
506,20,23.9411,23.9411
507,1,-1.59171,-0.191737
507,2,0.279386,0.876458
507,3,21.1667,-0.00752027
507,4,22.2109,22.2109
507,5,-21.7408,-21.7408
507,6,-1.72615,-0.13979
507,7,21.8868,21.8868
507,8,-21.6097,-21.6097
507,9,31.0345,31.0345
507,10,-14.6978,-14.6978
507,11,-13.4281,-13.4281
507,12,24.7869,24.7869
507,13,-21.3607,-21.3607
507,14,31.6001,-0.0095787
507,15,-9.73565,-9.73565
507,16,-21.3694,-21.3694
507,17,24.5932,0.0123925
507,18,16.5507,0.0189887
507,19,-12.3026,0.0210573
507,20,23.5254,23.5254
508,1,-2.35855,0.121852
508,2,-0.50099,0.635359
508,3,20.4706,0.0154834
508,4,21.5057,21.5057
508,5,-22.519,-22.519
508,6,-0.963055,0.0382762
508,7,21.0808,21.0808
508,8,-22.3439,-22.3439
508,9,30.2187,30.2187
508,10,-13.9426,-13.9426
508,11,-14.1021,-14.1021
508,12,24.0612,24.0612
508,13,-20.5579,-20.5579
508,14,30.8286,0.00529562
508,15,-8.9831,-8.9831
508,16,-22.1239,-22.1239
508,17,25.4119,-0.0120497
508,18,15.8213,-0.0107119
508,19,-11.6077,-0.0258671
508,20,24.2483,24.2483
509,1,-0.917766,0.0886091
509,2,0.944702,0.0582412
509,3,21.7944,-0.00878952
509,4,22.8614,22.8614
509,5,-21.0767,-21.0767
509,6,-2.38884,0.125206
509,7,22.5666,22.5666
509,8,-20.9598,-20.9598
509,9,31.7375,31.7375
509,10,-15.3372,-15.3372
509,11,-12.8244,-12.8244
509,12,25.4242,25.4242
509,13,-22.0569,-22.0569
509,14,32.2993,0.0079593
509,15,-10.3977,-10.3977
509,16,-20.7211,-20.7211
509,17,23.908,-0.00379349
509,18,17.1823,-0.0100415
509,19,-12.9336,0.00509722
509,20,22.8736,22.8736
510,1,-3.84775,-0.0380778
510,2,-1.99051,-0.00476499
510,3,19.1092,-0.0056034
510,4,20.2143,20.2143
510,5,-24.048,-24.048
510,6,0.453012,0.69501
510,7,19.5552,19.5552
510,8,-23.7227,-23.7227
510,9,28.7225,28.7225
510,10,-12.4544,-12.4544
510,11,-15.424,-15.424
510,12,22.6654,22.6654
510,13,-19.043,-19.043
510,14,29.3677,-0.0099163
510,15,-7.54428,-7.54428
510,16,-23.6113,-23.6113
510,17,26.9583,0.00154295
510,18,14.4288,0.0215109
510,19,-10.2681,0.0231302
510,20,25.6266,25.6266
511,1,1.11944,-0.104208
511,2,2.94726,0.0178121
511,3,23.5769,-0.0131093
511,4,24.6709,24.6709
511,5,-19.0724,-19.0724
511,6,-4.31811,0.0620036
511,7,24.637,24.637
511,8,-19.105,-19.105
511,9,33.8436,33.8436
511,10,-17.2475,-17.2475
511,11,-11.1283,-11.1283
511,12,27.2873,27.2873
511,13,-24.1705,-24.1705
511,14,34.38,0.00860812
511,15,-12.3551,-12.3551
511,16,-18.8035,-18.8035
511,17,21.8361,-0.00717974
511,18,19.0377,-0.0019731
511,19,-14.741,0.0156931
511,20,20.9776,20.9776
512,1,-9.47288,-0.0334803
512,2,-7.62324,-0.0386645
512,3,13.8016,-0.0134648
512,4,14.9121,14.9121
512,5,-29.7004,-29.7004
512,6,5.97598,-0.00401602
512,7,13.8187,13.8187
512,8,-29.1416,-29.1416
512,9,22.9632,22.9632
512,10,-6.92531,-6.92531
512,11,-20.6105,-20.6105
512,12,17.2619,17.2619
512,13,-13.2928,-13.2928
512,14,23.7179,-0.0103975
512,15,-2.01122,-2.01122
512,16,-29.1529,-29.1529
512,17,32.7252,0.00739324
512,18,9.04022,-0.00443748
512,19,-4.98705,0.00259555
512,20,31.0309,31.0309
513,1,0.142597,0.966886
513,2,2.01697,0.00840987
513,3,21.6299,-0.0135077
513,4,22.7125,22.7125
513,5,-20.0345,-20.0345
513,6,-2.99331,0.00223344
513,7,24.0115,24.0115
513,8,-20.7421,-20.7421
513,9,33.1896,33.1896
513,10,-15.9397,-15.9397
513,11,-13.4124,-13.4124
513,12,25.6468,25.6468
513,13,-23.5158,-23.5158
513,14,33.3786,-0.0088513
513,15,-11.0651,-11.0651
513,16,-20.0899,-20.0899
513,17,22.4861,0.0141424
513,18,17.376,-0.0169462
513,19,-12.7105,0.0197648
513,20,22.6665,22.6665
514,1,-7.4989,-0.0424473
514,2,-5.60204,-0.053926
514,3,15.5254,-0.0204371
514,4,16.7376,16.7376
514,5,-27.7232,-27.7232
514,6,3.91482,-0.0214984
514,7,16.0009,16.0009
514,8,-27.2152,-27.2152
514,9,25.1602,25.1602
514,10,-8.86214,-8.86214
514,11,-18.9431,-18.9431
514,12,19.1398,19.1398
514,13,-15.4268,-15.4268
514,14,25.6881,-0.0102904
514,15,-3.9109,-3.9109
514,16,-27.2744,-27.2744
514,17,30.5458,0.0103132
514,18,10.9799,0.00182632
514,19,-6.82687,0.0241279
514,20,29.1329,29.1329
515,1,1.85768,-0.0740824
515,2,3.73488,-0.0630573
515,3,23.6784,-0.0113869
515,4,24.7726,24.7726
515,5,-18.3346,-18.3346
515,6,-4.84075,0.0315424
515,7,25.63,25.63
515,8,-18.7939,-18.7939
515,9,34.7985,34.7985
515,10,-17.7732,-17.7732
515,11,-11.2369,-11.2369
515,12,27.6099,27.6099
515,13,-25.1239,-25.1239
515,14,35.0767,-0.00216636
515,15,-12.8905,-12.8905
515,16,-18.2755,-18.2755
515,17,20.8839,0.00543893
515,18,19.3536,-0.0147387
515,19,-14.7879,0.0133049
515,20,20.7057,20.7057
516,1,-12.2385,0.0177154
516,2,-10.3986,0.0290702
516,3,11.0804,-0.0071797
516,4,12.2211,12.2211
516,5,-32.5094,-32.5094
516,6,8.68283,0.0307767
516,7,11.0654,11.0654
516,8,-31.8544,-31.8544
516,9,20.1804,20.1804
516,10,-4.17304,-4.17304
516,11,-23.2836,-23.2836
516,12,14.5595,14.5595
516,13,-10.5084,-10.5084
516,14,20.9081,0.00433673
516,15,0.759015,0.759015
516,16,-31.9432,-31.9432
516,17,35.525,-0.00893264
