t,unit,input,output
500,1,1.70664,-0.148571
500,2,-1.24569,-0.178223
500,3,0.466378,0.678711
500,4,-0.944166,0.0588334
500,5,-0.78822,0.249293
500,6,0.0878932,0.0878932
500,7,-0.809117,-0.809117
500,8,1.25907,1.25907
500,9,-0.987773,0.0123753
500,10,0.190742,0.941218
500,11,0.772292,0.270335
500,12,0.285848,0.870911
500,13,-0.791232,0.245338
500,14,0.430467,0.430467
500,15,-0.935075,0.0689527
500,16,0.645766,0.442131
500,17,0.496978,0.640462
500,18,-0.475104,0.667931
500,19,-1.50539,-0.211417
500,20,0.148002,0.964356
501,1,1.70121,-0.150953
501,2,-1.24265,-0.176896
501,3,0.460642,0.685738
501,4,-0.939154,0.0643938
501,5,-0.784573,0.254092
501,6,0.0921714,0.0921714
501,7,-0.813442,-0.813442
501,8,1.26504,1.26504
501,9,-0.98125,0.0190971
501,10,0.186432,0.9438
501,11,0.767713,0.276421
501,12,0.281249,0.87487
501,13,-0.797394,0.237273
501,14,0.434154,0.434154
501,15,-0.930756,0.0738096
501,16,0.651526,0.434242
501,17,0.504384,0.631027
501,18,-0.472458,0.671211
501,19,-1.49976,-0.21224
501,20,0.145425,0.965573
502,1,1.69863,-0.152078
502,2,-1.23575,-0.173805
502,3,0.456944,0.690243
502,4,-0.930307,0.0743164
502,5,-0.779908,0.260247
502,6,0.0943799,0.0943799
502,7,-0.817945,-0.817945
502,8,1.26882,1.26882
502,9,-0.977252,0.0232579
502,10,0.181674,0.946586
502,11,0.765249,0.279703
502,12,0.27886,0.876905
502,13,-0.800082,0.233765
502,14,0.440438,0.440438
502,15,-0.925408,0.0798686
502,16,0.653223,0.431918
502,17,0.507942,0.62647
502,18,-0.465087,0.680296
502,19,-1.49276,-0.21318
502,20,0.139738,0.968188
503,1,1.69847,-0.152146
503,2,-1.23144,-0.171815
503,3,0.456929,0.690261
503,4,-0.927026,0.0780312
503,5,-0.777344,0.263639
503,6,0.0957466,0.0957466
503,7,-0.820142,-0.820142
503,8,1.26901,1.26901
503,9,-0.977717,0.0227719
503,10,0.179737,0.9477
503,11,0.764132,0.281192
503,12,0.278081,0.877565
503,13,-0.799385,0.234675
503,14,0.444032,0.444032
503,15,-0.922967,0.0826501
503,16,0.652771,0.432537
503,17,0.506195,0.628709
503,18,-0.460141,0.686349
503,19,-1.49124,-0.213373
503,20,0.135222,0.970193
504,1,1.69936,-0.151758
504,2,-1.23063,-0.171435
504,3,0.458119,0.688813
504,4,-0.928007,0.0769187
504,5,-0.776589,0.264638
504,6,0.0957042,0.0957042
504,7,-0.820029,-0.820029
504,8,1.26757,1.26757
504,9,-0.979918,0.0204805
504,10,0.179788,0.947671
504,11,0.764488,0.280717
504,12,0.278055,0.877588
504,13,-0.797867,0.236655
504,14,0.444268,0.444268
504,15,-0.923264,0.0823115
504,16,0.651582,0.434166
504,17,0.503694,0.631909
504,18,-0.459009,0.68773
504,19,-1.49239,-0.213228
504,20,0.133963,0.97074
505,1,1.70204,-0.15059
505,2,-1.23347,-0.172758
505,3,0.460844,0.685491
505,4,-0.931949,0.0724646
505,5,-0.778946,0.261519
505,6,0.0932716,0.0932716
505,7,-0.817194,-0.817194
505,8,1.26441,1.26441
505,9,-0.983139,0.0171417
505,10,0.182357,0.94619
505,11,0.767034,0.277325
505,12,0.280329,0.875655
505,13,-0.795082,0.240295
505,14,0.441153,0.441153
505,15,-0.926218,0.0789482
505,16,0.648913,0.437822
505,17,0.50052,0.635958
505,18,-0.461878,0.684228
505,19,-1.49583,-0.21278
505,20,0.136581,0.969596
506,1,1.7065,-0.148636
506,2,-1.24053,-0.17596
506,3,0.465653,0.679602
506,4,-0.939459,0.0640543
506,5,-0.784909,0.25365
506,6,0.0886865,0.0886865
506,7,-0.811498,-0.811498
506,8,1.25953,1.25953
506,9,-0.987763,0.012386
506,10,0.188055,0.942834
506,11,0.771611,0.271238
506,12,0.284972,0.871669
506,13,-0.790831,0.245864
506,14,0.434532,0.434532
506,15,-0.932173,0.0722127
506,16,0.644979,0.443209
506,17,0.49619,0.641462
506,18,-0.469296,0.675117
506,19,-1.50229,-0.211878
506,20,0.143307,0.966559
507,1,1.70682,-0.148494
507,2,-1.24616,-0.178426
507,3,0.466608,0.678428
507,4,-0.944687,0.0582576
507,5,-0.788562,0.248843
507,6,0.0877093,0.0877093
507,7,-0.80881,-0.80881
507,8,1.25884,1.25884
507,9,-0.98799,0.0121528
507,10,0.191068,0.941021
507,11,0.77248,0.270085
507,12,0.286041,0.870743
507,13,-0.79107,0.245551
507,14,0.430048,0.430048
507,15,-0.935427,0.0685583
507,16,0.645647,0.442294
507,17,0.4968,0.640688
507,18,-0.475612,0.6673
507,19,-1.5058,-0.211354
507,20,0.14842,0.964156
508,1,1.70125,-0.150937
508,2,-1.24297,-0.177038
508,3,0.460683,0.685688
508,4,-0.939391,0.06413
508,5,-0.784791,0.253805
508,6,0.0920581,0.0920581
508,7,-0.813272,-0.813272
508,8,1.265,1.265
508,9,-0.981246,0.019101
508,10,0.186603,0.943699
508,11,0.767811,0.276291
508,12,0.28134,0.874792
508,13,-0.797407,0.237255
508,14,0.433889,0.433889
508,15,-0.930948,0.0735934
508,16,0.651535,0.43423
508,17,0.504466,0.630922
508,18,-0.472824,0.670758
