t,unit,input,output
500,1,1.04207,-0.0402537
500,2,-0.173506,0.951211
500,3,-0.34831,-0.34831
500,4,1.16495,1.16495
500,5,0.390516,0.390516
500,6,0.222766,0.920347
500,7,0.207141,0.207141
500,8,0.0696947,0.992029
500,9,-1.00942,-1.00942
500,10,0.457988,0.688974
500,11,-0.32906,-0.32906
500,12,0.913933,0.913933
500,13,-0.00782305,-0.00782305
500,14,-0.431252,-0.431252
500,15,0.550702,0.550702
500,16,0.640956,0.448715
500,17,-0.196766,0.937519
500,18,-0.233896,-0.233896
500,19,0.768559,0.768559
500,20,-0.565541,0.550952
501,1,1.04896,-0.0464899
501,2,-0.171837,0.952131
501,3,-0.348901,-0.348901
501,4,1.16339,1.16339
501,5,0.383449,0.383449
501,6,0.219322,0.922732
501,7,0.211808,0.211808
501,8,0.0665635,0.992728
501,9,-1.0101,-1.0101
501,10,0.459702,0.686885
501,11,-0.323269,-0.323269
501,12,0.909078,0.909078
501,13,-0.000411185,-0.000411185
501,14,-0.43004,-0.43004
501,15,0.545027,0.545027
501,16,0.64135,0.448176
501,17,-0.207331,0.930775
501,18,-0.228491,-0.228491
501,19,0.773736,0.773736
501,20,-0.56931,0.545913
502,1,1.04179,-0.0400024
502,2,-0.173996,0.950939
502,3,-0.349537,-0.349537
502,4,1.16577,1.16577
502,5,0.390267,0.390267
502,6,0.22305,0.920148
502,7,0.206136,0.206136
502,8,0.0703587,0.991877
502,9,-1.01083,-1.01083
502,10,0.456679,0.690565
502,11,-0.329272,-0.329272
502,12,0.914085,0.914085
502,13,-0.00753681,-0.00753681
502,14,-0.431476,-0.431476
502,15,0.551423,0.551423
502,16,0.638861,0.451582
502,17,-0.19737,0.937142
502,18,-0.234915,-0.234915
502,19,0.768385,0.768385
502,20,-0.564501,0.552341
503,1,1.0463,-0.0440908
503,2,-0.174547,0.950632
503,3,-0.352018,-0.352018
503,4,1.16648,1.16648
503,5,0.385845,0.385845
503,6,0.221904,0.920947
503,7,0.208391,0.208391
503,8,0.0694582,0.992083
503,9,-1.01342,-1.01342
503,10,0.456048,0.691332
503,11,-0.326097,-0.326097
503,12,0.911777,0.911777
503,13,-0.00305265,-0.00305265
503,14,-0.432563,-0.432563
503,15,0.548577,0.548577
503,16,0.637324,0.453686
503,17,-0.204566,0.932571
503,18,-0.232457,-0.232457
503,19,0.770671,0.770671
503,20,-0.566281,0.549963
504,1,1.05121,-0.0485097
504,2,-0.166095,0.955234
504,3,-0.343205,-0.343205
504,4,1.15817,1.15817
504,5,0.380366,0.380366
504,6,0.214044,0.926323
504,7,0.213575,0.213575
504,8,0.0622237,0.993643
504,9,-1.00478,-1.00478
504,10,0.462706,0.683216
504,11,-0.320146,-0.320146
504,12,0.90493,0.90493
504,13,0.00257943,0.00257943
504,14,-0.423153,-0.423153
504,15,0.543694,0.543694
504,16,0.643774,0.444859
504,17,-0.208234,0.930184
504,18,-0.22789,-0.22789
504,19,0.77685,0.77685
504,20,-0.571906,0.542437
505,1,1.05023,-0.0476283
505,2,-0.165572,0.955512
505,3,-0.338912,-0.338912
505,4,1.15852,1.15852
505,5,0.381324,0.381324
505,6,0.21537,0.925429
505,7,0.216783,0.216783
505,8,0.0615132,0.993787
505,9,-1.00084,-1.00084
505,10,0.468284,0.676365
505,11,-0.32053,-0.32053
505,12,0.906407,0.906407
505,13,-0.000397864,-0.000397864
505,14,-0.42335,-0.42335
505,15,0.541612,0.541612
505,16,0.651554,0.434204
505,17,-0.203921,0.932987
505,18,-0.224758,-0.224758
505,19,0.776615,0.776615
505,20,-0.577142,0.53541
506,1,1.03981,-0.0381825
506,2,-0.175236,0.950248
506,3,-0.347531,-0.347531
506,4,1.16708,1.16708
506,5,0.392134,0.392134
506,6,0.226276,0.917881
506,7,0.209286,0.209286
506,8,0.0710356,0.99172
506,9,-1.00858,-1.00858
506,10,0.461967,0.684119
506,11,-0.330133,-0.330133
506,12,0.916521,0.916521
506,13,-0.0103579,-0.0103579
506,14,-0.433719,-0.433719
506,15,0.548138,0.548138
506,16,0.645803,0.442081
506,17,-0.194865,0.938698
506,18,-0.229662,-0.229662
506,19,0.768965,0.768965
506,20,-0.567496,0.54834
507,1,1.04618,-0.0439849
507,2,-0.173824,0.951035
507,3,-0.351123,-0.351123
507,4,1.16396,1.16396
507,5,0.387506,0.387506
507,6,0.222763,0.920349
507,7,0.209858,0.209858
507,8,0.069061,0.992173
507,9,-1.01099,-1.01099
507,10,0.458441,0.688421
507,11,-0.326651,-0.326651
507,12,0.911973,0.911973
507,13,-0.00331889,-0.00331889
507,14,-0.433191,-0.433191
507,15,0.546227,0.546227
507,16,0.640388,0.449494
507,17,-0.205177,0.932177
507,18,-0.228691,-0.228691
507,19,0.772715,0.772715
507,20,-0.564627,0.552173
508,1,1.05407,-0.0510484
508,2,-0.163964,0.95636
508,3,-0.341004,-0.341004
508,4,1.15457,1.15457
508,5,0.379376,0.379376
508,6,0.212377,0.927441
508,7,0.216583,0.216583
508,8,0.0597727,0.994133
508,9,-1.0015,-1.0015
508,10,0.46508,0.680305
508,11,-0.318393,-0.318393
508,12,0.903038,0.903038
508,13,0.00406964,0.00406964
508,14,-0.422197,-0.422197
508,15,0.541075,0.541075
508,16,0.647527,0.43972
508,17,-0.210072,0.928973
508,18,-0.224728,-0.224728
508,19,0.778938,0.778938
508,20,-0.573364,0.540482
509,1,1.04566,-0.0435185
509,2,-0.169494,0.953409
509,3,-0.341615,-0.341615
509,4,1.16151,1.16151
509,5,0.386558,0.386558
509,6,0.219462,0.922636
509,7,0.213846,0.213846
509,8,0.0650058,0.993063
509,9,-1.00319,-1.00319
509,10,0.465781,0.679445
509,11,-0.324677,-0.324677
509,12,0.910773,0.910773
509,13,-0.00534531,-0.00534531
509,14,-0.427484,-0.427484
509,15,0.544868,0.544868
509,16,0.650289,0.435936
509,17,-0.198361,0.936522
509,18,-0.227291,-0.227291
509,19,0.772379,0.772379
509,20,-0.573722,0.540002
510,1,1.0439,-0.0419227
510,2,-0.173804,0.951046
510,3,-0.347868,-0.347868
510,4,1.16477,1.16477
510,5,0.388763,0.388763
510,6,0.223463,0.91986
510,7,0.211366,0.211366
510,8,0.0688659,0.992217
510,9,-1.00851,-1.00851
510,10,0.462314,0.683695
510,11,-0.327027,-0.327027
510,12,0.913217,0.913217
510,13,-0.00572383,-0.00572383
510,14,-0.432529,-0.432529
510,15,0.54523,0.54523
510,16,0.645443,0.442573
510,17,-0.201159,0.934754
510,18,-0.226911,-0.226911
510,19,0.772065,0.772065
510,20,-0.568155,0.547459
511,1,1.04906,-0.0465786
511,2,-0.168931,0.953714
