### task_name: approx
### 3 5
### input_signal_factor [1, 51]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,41.0000,8.0000,0.1400,9.0000,1.15878023,1.17775961,1.17094397
RND_sinc,0,20,0.1000,41.0000,4.0000,0.1600,5.0000,0.94846660,0.97848575,0.98056278
RND_sinc,0,20,0.2000,36.0000,4.0000,0.1400,7.0000,1.10446453,1.12787473,1.13217478
RND_sinc,0,20,0.3000,26.0000,4.0000,0.2200,9.0000,1.14202452,1.17326951,1.16357595
RND_sinc,0,20,0.4000,26.0000,4.0000,0.2200,0.0000,1.16536565,1.17960889,1.17284607
RND_sinc,0,20,0.5000,36.0000,0.0000,0.2000,9.0000,1.15806448,1.18909540,1.19059358
RND_sinc,0,20,0.6000,41.0000,0.0000,0.2200,9.0000,1.15724029,1.19638573,1.20390446
RND_sinc,0,20,0.7000,26.0000,16.0000,0.2000,9.0000,1.19183812,1.20625072,1.19461385
RND_sinc,0,20,0.8000,26.0000,12.0000,0.2200,9.0000,1.18919360,1.20623306,1.19384049
RND_sinc,0,20,0.9000,1.0000,4.0000,0.2000,7.0000,1.16083080,1.18856455,1.18291273
RND_sinc,0,20,1.0000,1.0000,4.0000,0.2000,6.0000,1.37755416,1.18948652,1.18782190
RND_sinc,1,20,0.0000,31.0000,0.0000,0.1200,9.0000,1.15887823,1.17765284,1.17081678
RND_sinc,1,20,0.1000,41.0000,8.0000,0.1200,9.0000,1.15789573,1.17611312,1.17210696
RND_sinc,1,20,0.2000,41.0000,8.0000,0.1600,9.0000,1.15169491,1.17470935,1.16452933
RND_sinc,1,20,0.3000,16.0000,0.0000,0.2200,9.0000,1.15413395,1.17889304,1.17409419
RND_sinc,1,20,0.4000,46.0000,20.0000,0.2000,9.0000,1.15763543,1.18281721,1.17450401
RND_sinc,1,20,0.5000,26.0000,12.0000,0.2200,8.0000,1.15454805,1.17517912,1.17339274
RND_sinc,1,20,0.6000,31.0000,20.0000,0.2200,8.0000,1.16989528,1.19095770,1.18615186
RND_sinc,1,20,0.7000,46.0000,16.0000,0.1400,0.0000,1.18937118,1.20517050,1.19491148
RND_sinc,1,20,0.8000,1.0000,4.0000,0.1600,5.0000,1.36856203,1.18462632,1.17989903
RND_sinc,1,20,0.9000,46.0000,20.0000,0.1000,9.0000,1.18897004,1.20524709,1.19464939
RND_sinc,1,20,1.0000,36.0000,12.0000,0.1600,9.0000,1.19018816,1.20444518,1.19983409
RND_sinc,2,20,0.0000,51.0000,0.0000,0.1400,9.0000,1.15890520,1.17789166,1.17102364
RND_sinc,2,20,0.1000,41.0000,0.0000,0.1000,7.0000,1.15672800,1.17723435,1.17341547
RND_sinc,2,20,0.2000,51.0000,12.0000,0.1000,8.0000,1.13976868,1.17165692,1.16091738
RND_sinc,2,20,0.3000,41.0000,12.0000,0.2200,9.0000,1.15377509,1.17737255,1.16916454
RND_sinc,2,20,0.4000,46.0000,8.0000,0.2000,9.0000,1.15892073,1.17882521,1.17647267
RND_sinc,2,20,0.5000,26.0000,20.0000,0.2200,8.0000,1.16812192,1.18669214,1.17193626
RND_sinc,2,20,0.6000,1.0000,4.0000,0.2200,9.0000,1.17642203,1.19044007,1.17742367
RND_sinc,2,20,0.7000,1.0000,4.0000,0.2200,6.0000,1.20427089,1.19784696,1.18701420
RND_sinc,2,20,0.8000,1.0000,4.0000,0.2200,9.0000,1.16912105,1.18886577,1.17928505
RND_sinc,2,20,0.9000,1.0000,0.0000,0.1800,6.0000,1.83141341,1.19474713,1.20157523
RND_sinc,2,20,1.0000,1.0000,4.0000,0.2000,0.0000,1.28948188,1.19372603,1.18649840
