### task_name: approx
### 5 1.5
### input_signal_factor [0.5, 20.5]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,12.5000,4.0000,0.0400,0.0000,0.98003080,0.99024747,0.99592379
RND_sinc,0,20,0.1000,20.5000,2.0000,0.0800,0.0000,0.15226281,0.15495282,0.15762035
RND_sinc,0,20,0.2000,4.5000,5.0000,0.1800,0.0000,0.96196897,0.96974782,0.98750064
RND_sinc,0,20,0.3000,0.5000,2.0000,0.1600,2.0000,0.98065346,0.99313614,1.00334724
RND_sinc,0,20,0.4000,0.5000,1.0000,0.1000,0.0000,0.98134288,0.99566765,1.01556050
RND_sinc,0,20,0.5000,0.5000,1.0000,0.2000,5.0000,0.98055547,0.99853300,1.00484567
RND_sinc,0,20,0.6000,8.5000,5.0000,0.0200,9.0000,0.99879217,1.00055115,1.00422555
RND_sinc,0,20,0.7000,10.5000,5.0000,0.0200,9.0000,0.99876900,1.00052866,1.00435314
RND_sinc,0,20,0.8000,10.5000,4.0000,0.0200,9.0000,0.99872764,1.00053131,1.00441160
RND_sinc,0,20,0.9000,20.5000,5.0000,0.0400,9.0000,0.99707945,1.00053182,1.00718887
RND_sinc,0,20,1.0000,0.5000,1.0000,0.2200,6.0000,0.98747781,0.99948200,1.00625526
RND_sinc,1,20,0.0000,14.5000,0.0000,0.1800,0.0000,0.98014222,0.98920071,0.99716511
RND_sinc,1,20,0.1000,14.5000,5.0000,0.1200,0.0000,0.21739037,0.22321636,0.22328872
RND_sinc,1,20,0.2000,0.5000,5.0000,0.1000,2.0000,0.97854423,0.99259220,1.00048972
RND_sinc,1,20,0.3000,0.5000,0.0000,0.1200,2.0000,0.97943587,0.99280441,1.00145017
RND_sinc,1,20,0.4000,0.5000,5.0000,0.1000,0.0000,0.97608746,0.99342471,1.00993124
RND_sinc,1,20,0.5000,0.5000,1.0000,0.2200,7.0000,0.98323487,0.99690346,1.00774378
RND_sinc,1,20,0.6000,0.5000,4.0000,0.2200,0.0000,0.98289861,0.99607782,1.00766703
RND_sinc,1,20,0.7000,0.5000,1.0000,0.1800,4.0000,0.98346233,0.99742437,1.00595308
RND_sinc,1,20,0.8000,0.5000,1.0000,0.2000,6.0000,0.98589630,0.99695001,1.00514739
RND_sinc,1,20,0.9000,0.5000,1.0000,0.2200,7.0000,0.98644679,0.99567822,1.00659990
RND_sinc,1,20,1.0000,0.5000,1.0000,0.2200,6.0000,0.97983141,0.99026464,1.00681676
RND_sinc,2,20,0.0000,16.5000,3.0000,0.2000,0.0000,0.97907443,0.98978091,0.99946624
RND_sinc,2,20,0.1000,20.5000,1.0000,0.0800,0.0000,0.08453142,0.08465091,0.08816498
RND_sinc,2,20,0.2000,8.5000,4.0000,0.2000,5.0000,0.95739477,0.97775617,0.98053456
RND_sinc,2,20,0.3000,0.5000,4.0000,0.1200,1.0000,0.97684462,0.99505217,1.00811115
RND_sinc,2,20,0.4000,0.5000,4.0000,0.2200,5.0000,0.97939454,0.99434709,1.00592821
RND_sinc,2,20,0.5000,0.5000,4.0000,0.1400,0.0000,0.98680252,0.99654609,1.01003549
RND_sinc,2,20,0.6000,0.5000,2.0000,0.2200,4.0000,0.98024752,0.99581736,1.00853786
RND_sinc,2,20,0.7000,0.5000,2.0000,0.2000,0.0000,0.98830617,0.99907366,1.01028068
RND_sinc,2,20,0.8000,0.5000,3.0000,0.1400,2.0000,0.98817395,0.99932555,1.01236721
RND_sinc,2,20,0.9000,10.5000,5.0000,0.0200,9.0000,0.99861787,1.00054100,1.00439679
RND_sinc,2,20,1.0000,6.5000,5.0000,0.1800,9.0000,0.99338793,1.00021005,1.01068072
