### task_name: henon
### 5 0
### input_signal_factor [2, 102]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,92.0000,0.0000,0.3200,9.0000,1.11507154,1.13965708,1.11510153
RND_sinc,0,20,0.1000,72.0000,20.0000,0.0800,9.0000,0.94167761,0.94500895,0.92844780
RND_sinc,0,20,0.2000,72.0000,20.0000,0.0800,7.0000,0.89883777,0.90513304,0.87803671
RND_sinc,0,20,0.3000,32.0000,20.0000,0.1600,9.0000,0.79665098,0.80909315,0.78024764
RND_sinc,0,20,0.4000,22.0000,10.0000,0.2800,9.0000,0.66990480,0.67298406,0.68394755
RND_sinc,0,20,0.5000,42.0000,10.0000,0.2000,8.0000,0.59277940,0.60032560,0.61815913
RND_sinc,0,20,0.6000,22.0000,10.0000,0.3200,8.0000,0.67600633,0.70406016,0.70998911
RND_sinc,0,20,0.7000,12.0000,30.0000,0.4400,0.0000,0.58624608,0.59914969,0.60327483
RND_sinc,0,20,0.8000,22.0000,30.0000,0.2400,0.0000,0.55013775,0.55418665,0.54663246
RND_sinc,0,20,0.9000,22.0000,30.0000,0.2400,0.0000,0.52774737,0.51736227,0.53564556
RND_sinc,0,20,1.0000,12.0000,20.0000,0.4000,0.0000,0.56772579,0.58918583,0.55646210
RND_sinc,1,20,0.0000,2.0000,0.0000,0.3600,9.0000,1.11504290,1.13903867,1.11448257
RND_sinc,1,20,0.1000,22.0000,0.0000,0.0800,9.0000,0.96000364,0.97978347,0.93790588
RND_sinc,1,20,0.2000,52.0000,10.0000,0.0800,9.0000,0.89415606,0.88124358,0.82289324
RND_sinc,1,20,0.3000,52.0000,10.0000,0.0800,9.0000,0.84557707,0.84255494,0.80242983
RND_sinc,1,20,0.4000,52.0000,10.0000,0.1600,0.0000,0.76634091,0.79526784,0.76734127
RND_sinc,1,20,0.5000,72.0000,20.0000,0.0800,9.0000,0.63857854,0.66986642,0.65535028
RND_sinc,1,20,0.6000,102.0000,50.0000,0.0800,7.0000,0.66857959,0.66356700,0.69756644
RND_sinc,1,20,0.7000,42.0000,20.0000,0.2000,9.0000,0.48578300,0.49693225,0.50871259
RND_sinc,1,20,0.8000,22.0000,50.0000,0.2400,0.0000,0.48240391,0.50619008,0.49864332
RND_sinc,1,20,0.9000,22.0000,30.0000,0.2800,0.0000,0.45937038,0.45640188,0.47164045
RND_sinc,1,20,1.0000,12.0000,20.0000,0.4400,8.0000,0.50451382,0.53727004,0.52204111
RND_sinc,2,20,0.0000,32.0000,0.0000,0.1200,9.0000,1.12181596,1.13987103,1.12796228
RND_sinc,2,20,0.1000,32.0000,10.0000,0.0400,9.0000,0.92093349,0.94053996,0.89443944
RND_sinc,2,20,0.2000,82.0000,10.0000,0.0800,8.0000,0.78869460,0.78775424,0.74063372
RND_sinc,2,20,0.3000,72.0000,10.0000,0.0800,9.0000,0.66975008,0.66570980,0.63174505
RND_sinc,2,20,0.4000,52.0000,10.0000,0.1600,8.0000,0.72494282,0.73570522,0.71339858
RND_sinc,2,20,0.5000,62.0000,40.0000,0.1200,9.0000,0.63367338,0.64279776,0.65429209
RND_sinc,2,20,0.6000,72.0000,10.0000,0.0800,8.0000,0.65027021,0.63196074,0.59272672
RND_sinc,2,20,0.7000,22.0000,20.0000,0.2400,0.0000,0.54759254,0.54606305,0.53932186
RND_sinc,2,20,0.8000,22.0000,30.0000,0.2400,8.0000,0.55305056,0.56022833,0.54752448
RND_sinc,2,20,0.9000,42.0000,30.0000,0.1600,7.0000,0.41213150,0.44699691,0.40793230
RND_sinc,2,20,1.0000,22.0000,30.0000,0.2000,0.0000,0.50689501,0.51076519,0.49009886
