### task_name: laser
### 3 0
### input_signal_factor [0.1, 4.1]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,4.1000,1.5000,1.0000,9.0000,0.30137187,0.30755346,0.36638626
RND_sinc,0,20,0.1000,4.1000,0.5000,0.7000,8.0000,0.18492987,0.18651897,0.23291519
RND_sinc,0,20,0.2000,3.7000,0.5000,0.7000,9.0000,0.18374535,0.16446325,0.28462256
RND_sinc,0,20,0.3000,1.7000,0.5000,0.7000,9.0000,0.18129977,0.15445962,0.34819145
RND_sinc,0,20,0.4000,1.3000,1.5000,0.9000,9.0000,0.17273316,0.16459883,0.24721373
RND_sinc,0,20,0.5000,2.1000,0.5000,0.9000,9.0000,0.19982367,0.18024332,0.30126407
RND_sinc,0,20,0.6000,1.3000,1.0000,0.8000,9.0000,0.18360319,0.16434593,0.24091558
RND_sinc,0,20,0.7000,0.5000,1.0000,0.9000,8.0000,0.16013743,0.14830211,0.20855975
RND_sinc,0,20,0.8000,1.3000,0.0000,0.7000,9.0000,0.18473238,0.17097919,0.28367913
RND_sinc,0,20,0.9000,0.5000,0.5000,0.9000,9.0000,0.15363954,0.14518253,0.20835551
RND_sinc,0,20,1.0000,1.7000,1.5000,0.8000,9.0000,0.15292377,0.14512999,0.23297468
RND_sinc,1,20,0.0000,4.1000,0.0000,0.7000,9.0000,0.34059539,0.34465632,0.41827353
RND_sinc,1,20,0.1000,1.7000,0.5000,0.9000,8.0000,0.22279855,0.21035405,0.26156226
RND_sinc,1,20,0.2000,2.1000,1.0000,0.6000,9.0000,0.19441577,0.18088727,0.31656717
RND_sinc,1,20,0.3000,4.1000,1.0000,0.7000,9.0000,0.18268798,0.17207061,0.27037594
RND_sinc,1,20,0.4000,3.3000,2.0000,0.5000,0.0000,0.19685601,0.18694518,0.31591935
RND_sinc,1,20,0.5000,1.7000,0.5000,0.7000,0.0000,0.16814874,0.15581395,0.24002384
RND_sinc,1,20,0.6000,2.9000,0.5000,0.6000,9.0000,0.17709914,0.16916471,0.31226835
RND_sinc,1,20,0.7000,2.1000,0.5000,0.7000,9.0000,0.18946722,0.17441209,0.33696207
RND_sinc,1,20,0.8000,2.5000,2.5000,0.6000,9.0000,0.19028125,0.17668043,0.29345116
RND_sinc,1,20,0.9000,1.7000,1.5000,1.0000,9.0000,0.15052013,0.14691919,0.26468271
RND_sinc,1,20,1.0000,1.7000,2.0000,1.1000,9.0000,0.17810607,0.16213580,0.30161223
RND_sinc,2,20,0.0000,4.1000,1.0000,0.8000,9.0000,0.28921414,0.29235091,0.34861997
RND_sinc,2,20,0.1000,1.3000,0.0000,0.9000,9.0000,0.19920094,0.18308333,0.37595611
RND_sinc,2,20,0.2000,2.5000,1.5000,0.7000,9.0000,0.17106584,0.15938281,0.27065223
RND_sinc,2,20,0.3000,3.3000,1.5000,0.7000,9.0000,0.15753432,0.15433890,0.22996283
RND_sinc,2,20,0.4000,4.1000,1.5000,0.8000,0.0000,0.17553174,0.14961781,0.28549567
RND_sinc,2,20,0.5000,1.3000,1.0000,0.9000,9.0000,0.15694495,0.15216657,0.26174517
RND_sinc,2,20,0.6000,1.7000,0.0000,0.9000,9.0000,0.15678658,0.13807065,0.24138230
RND_sinc,2,20,0.7000,2.9000,0.0000,0.5000,9.0000,0.17274077,0.16915626,0.30123901
RND_sinc,2,20,0.8000,0.9000,2.5000,1.1000,0.0000,0.17635257,0.15929720,0.27555184
RND_sinc,2,20,0.9000,0.9000,1.5000,0.7000,9.0000,0.17340616,0.17045844,0.30368510
RND_sinc,2,20,1.0000,1.7000,1.0000,0.5000,0.0000,0.16801766,0.15681876,0.27324039
