### task_name: narma
### 20 0
### input_signal_factor [0.002, 0.052]
### weight_factor [0.1, 1.1]
function_name,seed,unit_size,p,input_singal_factor,bias_factor,weight_factor,lm,train_nmse,nmse,test_nmse
RND_sinc,0,20,0.0000,0.0520,0.0000,0.5000,9.0000,0.96207950,1.00717529,0.99939776
RND_sinc,0,20,0.1000,0.0470,0.8000,0.6400,9.0000,0.84110778,0.86831429,0.84334727
RND_sinc,0,20,0.2000,0.0520,0.4000,0.5000,9.0000,0.79625634,0.81854211,0.78099057
RND_sinc,0,20,0.3000,0.0520,0.4000,0.7800,9.0000,0.81350508,0.82970558,0.80548880
RND_sinc,0,20,0.4000,0.0420,0.0000,0.5700,8.0000,0.83697851,0.84669725,0.83575375
RND_sinc,0,20,0.5000,0.0520,0.8000,0.5000,9.0000,0.81175360,0.82779841,0.79344627
RND_sinc,0,20,0.6000,0.0470,0.0000,0.5700,8.0000,0.80441739,0.82127762,0.79019006
RND_sinc,0,20,0.7000,0.0470,0.4000,0.5700,9.0000,0.80096877,0.82038829,0.78583176
RND_sinc,0,20,0.8000,0.0520,0.4000,0.6400,9.0000,0.79812554,0.81868827,0.77936079
RND_sinc,0,20,0.9000,0.0520,1.2000,0.5000,7.0000,0.80290051,0.82749370,0.78510409
RND_sinc,0,20,1.0000,0.0520,0.4000,0.7800,9.0000,0.80951433,0.83022466,0.79525615
RND_sinc,1,20,0.0000,0.0520,0.0000,0.5000,9.0000,0.80874427,0.84071111,0.80259258
RND_sinc,1,20,0.1000,0.0320,1.2000,0.5000,9.0000,0.82796301,0.86510208,0.81960195
RND_sinc,1,20,0.2000,0.0520,0.4000,0.5000,9.0000,0.82238485,0.85529292,0.81131116
RND_sinc,1,20,0.3000,0.0520,0.8000,0.5000,8.0000,0.82439152,0.85121350,0.80779385
RND_sinc,1,20,0.4000,0.0520,0.8000,0.5000,8.0000,0.84617368,0.85109094,0.81655044
RND_sinc,1,20,0.5000,0.0520,1.2000,0.5000,8.0000,0.83005602,0.85734871,0.82882697
RND_sinc,1,20,0.6000,0.0470,0.0000,0.5700,9.0000,0.82684800,0.84249375,0.80955787
RND_sinc,1,20,0.7000,0.0470,0.0000,0.6400,9.0000,0.80027603,0.82100919,0.78303456
RND_sinc,1,20,0.8000,0.0470,1.6000,0.8500,0.0000,0.70741051,0.72665480,0.74694129
RND_sinc,1,20,0.9000,0.0370,1.2000,0.7800,9.0000,0.77057354,0.78867259,0.76211925
RND_sinc,1,20,1.0000,0.0320,2.0000,0.7100,7.0000,0.82090217,0.84247229,0.81261976
RND_sinc,2,20,0.0000,0.0520,0.0000,0.5000,8.0000,0.81814452,0.83036731,0.80191570
RND_sinc,2,20,0.1000,0.0370,0.4000,0.8500,9.0000,0.83528840,0.84429180,0.80743978
RND_sinc,2,20,0.2000,0.0420,2.0000,0.5000,9.0000,0.81576432,0.84540712,0.80163169
RND_sinc,2,20,0.3000,0.0520,1.2000,0.6400,9.0000,0.84389703,0.84908519,0.81596032
RND_sinc,2,20,0.4000,0.0470,0.0000,0.7100,9.0000,0.80635562,0.81983533,0.78372124
RND_sinc,2,20,0.5000,0.0220,0.0000,0.6400,7.0000,0.82424969,0.83249744,0.79612184
RND_sinc,2,20,0.6000,0.0520,0.4000,0.7800,9.0000,0.79642047,0.81548078,0.78979236
RND_sinc,2,20,0.7000,0.0520,0.8000,0.5700,9.0000,0.82013795,0.84297216,0.80705569
RND_sinc,2,20,0.8000,0.0420,2.0000,0.6400,8.0000,0.79407787,0.81236809,0.77838921
RND_sinc,2,20,0.9000,0.0420,0.0000,0.5700,9.0000,0.79376590,0.81175110,0.77655848
RND_sinc,2,20,1.0000,0.0520,0.4000,0.9900,9.0000,0.80379725,0.77307250,0.83575086
