t,predict_test,teacher
0,0.475804,0.673122,0.0389343
1,0.471103,0.470355,0.0389349
2,0.652596,0.892209,0.0963493
3,0.161865,0.0266539,0.114631
4,0.147626,1.26667,1.36689
5,-0.19146,-1.23823,2.46262
6,0.141575,-0.766504,3.28722
7,0.190795,-0.194008,3.4353
8,0.361004,0.717354,3.56228
9,0.346018,0.221362,3.57782
10,0.325182,1.1466,4.25256
11,0.452303,-0.774174,5.75681
12,0.172151,0.504897,5.86752
13,0.16872,0.410858,5.92616
14,-0.146792,0.915143,7.05386
15,0.206681,-0.0492227,7.11935
16,0.214156,1.27115,8.23658
17,0.422856,-1.27692,11.1258
18,0.170435,-0.901392,12.2746
19,0.328941,-0.520586,12.9963
20,0.151546,0.350168,13.0358
21,0.456666,0.672159,13.0822
22,0.254676,0.472533,13.1297
23,0.427742,0.889045,13.3425
24,0.0926235,0.0351991,13.3458
25,0.16613,1.26498,14.5533
26,-0.183748,-1.22968,15.6472
27,0.128405,-0.737466,16.397
28,0.186418,-0.130303,16.4973
29,0.360428,0.75499,16.6529
30,0.345721,0.162896,16.6864
31,0.326173,1.18935,17.4314
32,0.452416,-0.931499,19.3467
33,0.174153,0.142037,19.3477
34,0.171793,0.692306,19.6186
35,-0.136089,0.371608,19.8764
36,0.219775,1.01436,20.5078
37,0.219148,-0.32902,20.8082
38,0.424357,1.15275,21.3388
39,0.1503,-0.959081,22.5695
40,0.285139,0.058054,22.6211
41,0.122267,0.707557,22.9637
42,0.386739,0.316524,22.9686
43,0.35809,1.072,23.4783
44,0.276826,-0.513914,24.1035
45,0.359353,0.95185,24.4546
46,0.12247,-0.422601,24.7517
47,0.293551,1.03553,25.3022
48,0.058491,-0.628023,25.7735
49,0.350952,0.758481,25.9396
50,0.348018,0.0061833,26.0565
51,0.264571,1.22749,26.9837
52,0.33861,-1.10757,29.0751
53,0.131263,-0.349154,29.3059
54,0.429628,0.497057,29.3105
55,0.0867898,0.549362,29.5244
56,0.374858,0.726599,29.6482
57,0.0771128,0.425684,29.7697
58,0.472566,0.96429,30.0114
59,0.108662,-0.174092,30.0914
