t,predict_test,teacher
0,1.46578,0.380392,1.17806
1,0.662082,0.0666667,1.53258
2,-0.32881,0.027451,1.6595
3,0.112193,0.0235294,1.66736
4,-0.119946,0.0156863,1.68576
5,0.0224079,0.0156863,1.6858
6,0.0115399,0.00784314,1.68582
7,0.780472,0.0196078,2.26473
8,0.500091,0.0823529,2.43924
9,0.61914,0.203922,2.61164
10,0.50849,0.137255,2.74946
11,0.371537,0.113725,2.81593
12,0.168625,0.121569,2.81814
13,0.343475,0.152941,2.85444
14,0.381723,0.203922,2.88606
15,0.502609,0.243137,2.95338
16,0.360515,0.266667,2.96219
17,0.288354,0.254902,2.96331
18,0.213104,0.215686,2.96332
19,0.19925,0.188235,2.96344
20,0.180797,0.180392,2.96344
21,0.217297,0.211765,2.96347
22,0.275356,0.247059,2.96427
23,0.315936,0.270588,2.96633
24,0.274076,0.254902,2.96669
25,0.219308,0.215686,2.96671
26,0.183094,0.188235,2.96673
27,0.186703,0.188235,2.96673
28,0.217662,0.219608,2.96674
29,0.275322,0.258824,2.96701
30,0.302608,0.278431,2.9676
31,0.259823,0.254902,2.96762
32,0.202816,0.215686,2.96779
33,0.172701,0.188235,2.96803
34,0.179687,0.192157,2.96818
35,0.214575,0.223529,2.96826
36,0.274133,0.266667,2.96832
37,0.295594,0.282353,2.96849
38,0.253573,0.25098,2.9685
39,0.192555,0.207843,2.96873
40,0.167635,0.188235,2.96916
41,0.17944,0.196078,2.96943
42,0.223922,0.231373,2.96949
43,0.278127,0.270588,2.96955
44,0.290804,0.282353,2.96962
45,0.241603,0.247059,2.96965
46,0.187439,0.203922,2.96992
47,0.164265,0.184314,2.97032
48,0.181562,0.196078,2.97053
49,0.229295,0.239216,2.97063
50,0.288289,0.278431,2.97073
51,0.29379,0.286275,2.97078
52,0.231813,0.243137,2.97091
53,0.178137,0.2,2.97139
54,0.159722,0.184314,2.972
55,0.180944,0.196078,2.97223
56,0.232191,0.247059,2.97245
57,0.291189,0.286275,2.97247
58,0.294131,0.282353,2.97261
59,0.222803,0.235294,2.97276
60,0.168494,0.192157,2.97332
61,0.161034,0.180392,2.9737
62,0.186979,0.2,2.97387
63,0.245635,0.247059,2.97387
64,0.304132,0.294118,2.97397
65,0.292043,0.282353,2.97407
66,0.221495,0.231373,2.97416
67,0.163422,0.188235,2.97478
68,0.157564,0.176471,2.97514
69,0.187816,0.2,2.97528
70,0.25302,0.254902,2.97529
71,0.312806,0.298039,2.97551
72,0.294719,0.282353,2.97566
73,0.211631,0.223529,2.9758
74,0.160256,0.184314,2.97638
75,0.156779,0.176471,2.97677
76,0.193,0.203922,2.97689
77,0.260124,0.266667,2.97693
78,0.318075,0.309804,2.977
79,0.287723,0.282353,2.97703
80,0.198995,0.223529,2.97763
81,0.147306,0.180392,2.97872
82,0.153829,0.176471,2.97924
83,0.1861,0.207843,2.97971
