### task_name: approx
### 5 1.5
### input_signal_factor [0.5, 20.5]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TDE_MG,0,50,0.0000,6.0000,0.2200,0.5500,9.0000,0.99999969,1.00135012,1.00166142,1.00083037
TDE_MG,0,50,0.1000,9.2000,0.3200,0.6000,0.0000,0.05200155,0.05239847,0.05417207,0.23274894
TDE_MG,0,50,0.2000,8.4000,0.2400,0.6500,0.0000,0.08843895,0.08978374,0.09194494,0.30322424
TDE_MG,0,50,0.3000,6.4000,0.2800,0.8500,0.0000,0.09300353,0.10301909,0.09718409,0.31174364
TDE_MG,0,50,0.4000,9.6000,0.2600,0.6500,0.0000,0.14763766,0.15995055,0.16126713,0.40158079
TDE_MG,0,50,0.5000,6.4000,0.3000,0.6500,1.0000,0.39663570,0.41827892,0.41294920,0.64261124
TDE_MG,0,50,0.6000,6.8000,0.2800,0.6500,0.0000,0.43780968,0.46473137,0.46422149,0.68133801
TDE_MG,0,50,0.7000,7.2000,0.2400,0.6500,1.0000,0.52781774,0.56825885,0.58249471,0.76321341
TDE_MG,0,50,0.8000,6.8000,0.2400,0.8000,0.0000,0.55252779,0.57488314,0.55927154,0.74784459
TDE_MG,0,50,0.9000,6.8000,0.2600,0.6500,0.0000,0.66971230,0.71389172,0.71769393,0.84716819
TDE_MG,0,50,1.0000,6.4000,0.2200,1.0000,2.0000,0.63741492,0.69617997,0.70153153,0.83757479
TDE_MG,1,50,0.0000,6.0000,0.2200,0.5500,9.0000,0.99999969,1.00135012,1.00166142,1.00083037
TDE_MG,1,50,0.1000,6.4000,0.3000,0.6000,0.0000,0.10650585,0.10596193,0.10872767,0.32973879
TDE_MG,1,50,0.2000,9.2000,0.2800,0.7000,0.0000,0.08393426,0.09285218,0.09200098,0.30331664
TDE_MG,1,50,0.3000,8.8000,0.3200,0.7000,0.0000,0.09332811,0.10193715,0.10042048,0.31689191
TDE_MG,1,50,0.4000,6.0000,0.3200,0.9000,0.0000,0.22622523,0.24397256,0.23965486,0.48954557
TDE_MG,1,50,0.5000,7.6000,0.2600,0.7000,0.0000,0.35922583,0.39429178,0.38622297,0.62146840
TDE_MG,1,50,0.6000,7.2000,0.2400,0.5500,0.0000,0.53277558,0.56073359,0.57082178,0.75552748
TDE_MG,1,50,0.7000,7.2000,0.2800,0.6500,0.0000,0.58458796,0.62226602,0.62858271,0.79283208
TDE_MG,1,50,0.8000,7.2000,0.3400,0.7000,0.0000,0.55312071,0.60496215,0.60684154,0.77900035
TDE_MG,1,50,0.9000,7.2000,0.2400,0.8500,3.0000,0.68156401,0.71997243,0.73255424,0.85589382
TDE_MG,1,50,1.0000,9.6000,0.2800,0.8000,0.0000,0.67829627,0.74007059,0.73198957,0.85556389
TDE_MG,2,50,0.0000,6.0000,0.2200,0.5500,9.0000,0.99999969,1.00135012,1.00166142,1.00083037
TDE_MG,2,50,0.1000,8.0000,0.2200,0.7500,0.0000,0.06985094,0.07174287,0.07043777,0.26540115
