### task_name: henon
### 7 0
### input_signal_factor [1.03437e-312, 1.13781e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TDE_MG,0,300,0.0000,3.0000,0.5000,0.2200,9.0000,0.99975897,1.00052095,1.00080571,1.00040277
TDE_MG,0,300,0.1000,4.8000,1.0000,0.3800,4.0000,0.75007604,0.84735948,0.78701998,0.88714146
TDE_MG,0,300,0.2000,3.4000,1.4000,0.2800,4.0000,0.67057485,0.79171122,0.74130839,0.86099268
TDE_MG,0,300,0.3000,5.0000,1.0000,0.3800,3.0000,0.60951379,0.74205471,0.69177824,0.83173207
TDE_MG,0,300,0.4000,5.0000,1.0000,0.3200,2.0000,0.53138150,0.70033085,0.62948801,0.79340280
TDE_MG,0,300,0.5000,3.4000,1.1000,0.3000,1.0000,0.49739144,0.65957727,0.61282970,0.78283440
TDE_MG,0,300,0.6000,3.4000,1.1000,0.3800,1.0000,0.45446413,0.60903276,0.55652018,0.74600280
TDE_MG,0,300,0.7000,4.8000,0.8000,0.4000,2.0000,0.42726281,0.58477995,0.51699828,0.71902592
TDE_MG,0,300,0.8000,4.8000,0.8000,0.3800,2.0000,0.39175277,0.54987959,0.48068988,0.69331802
TDE_MG,0,300,0.9000,4.6000,0.8000,0.2800,0.0000,0.36518593,0.50392025,0.43416956,0.65891544
TDE_MG,0,300,1.0000,5.0000,0.7000,0.3600,0.0000,0.35305079,0.48733953,0.43044257,0.65608122
TDE_MG,1,300,0.0000,3.0000,0.5000,0.2200,9.0000,0.99975897,1.00052095,1.00080571,1.00040277
TDE_MG,1,300,0.1000,4.4000,1.0000,0.4000,0.0000,0.72089915,0.85067017,0.79733122,0.89293405
TDE_MG,1,300,0.2000,4.6000,1.1000,0.3400,3.0000,0.66804987,0.79298440,0.72730587,0.85282230
TDE_MG,1,300,0.3000,3.6000,1.4000,0.4000,1.0000,0.56731597,0.74793313,0.65777903,0.81103578
TDE_MG,1,300,0.4000,3.6000,1.3000,0.3000,1.0000,0.52705660,0.69503945,0.62786045,0.79237646
TDE_MG,1,300,0.5000,3.4000,0.9000,0.2600,1.0000,0.52255498,0.67133393,0.62323681,0.78945349
TDE_MG,1,300,0.6000,3.2000,1.2000,0.3400,1.0000,0.44064705,0.62306584,0.57607083,0.75899330
TDE_MG,1,300,0.7000,3.8000,1.0000,0.3400,2.0000,0.43555944,0.57106925,0.52477560,0.72441397
TDE_MG,1,300,0.8000,4.2000,0.9000,0.3800,1.0000,0.37085659,0.54581191,0.48330557,0.69520182
TDE_MG,1,300,0.9000,4.0000,0.9000,0.4000,0.0000,0.36326632,0.51240704,0.44530433,0.66731127
TDE_MG,1,300,1.0000,5.0000,0.7000,0.4000,0.0000,0.34316260,0.47811436,0.42124565,0.64903439
TDE_MG,2,300,0.0000,3.0000,0.5000,0.2200,9.0000,0.99975897,1.00052095,1.00080571,1.00040277
TDE_MG,2,300,0.1000,4.6000,1.2000,0.2200,4.0000,0.78465635,0.84678473,0.81282754,0.90156949
TDE_MG,2,300,0.2000,3.6000,1.4000,0.2800,2.0000,0.64751383,0.78924789,0.72156085,0.84944738
TDE_MG,2,300,0.3000,4.2000,1.2000,0.3400,2.0000,0.59783876,0.73451544,0.67292616,0.82032077
TDE_MG,2,300,0.4000,3.6000,1.4000,0.3600,2.0000,0.54132859,0.69825774,0.63309748,0.79567423
TDE_MG,2,300,0.5000,4.4000,1.1000,0.2200,1.0000,0.49867503,0.66937295,0.58217934,0.76300678
TDE_MG,2,300,0.6000,4.4000,0.9000,0.4000,0.0000,0.41941589,0.61396959,0.52464049,0.72432071
TDE_MG,2,300,0.7000,3.4000,1.1000,0.3600,0.0000,0.41252957,0.56834551,0.52216872,0.72261243
TDE_MG,2,300,0.8000,4.2000,0.9000,0.3200,0.0000,0.40004976,0.53893102,0.48271704,0.69477841
TDE_MG,2,300,0.9000,4.6000,0.8000,0.2800,0.0000,0.38464203,0.50695680,0.45860910,0.67720684
TDE_MG,2,300,1.0000,3.2000,1.1000,0.3200,0.0000,0.34202090,0.47842924,0.41086378,0.64098657
TDE_ikeda,0,300,0.0000,10.0000,0.5000,0.2200,9.0000,0.99975897,1.00052095,1.00080571,1.00040277
TDE_ikeda,0,300,0.1000,20.0000,1.0000,0.2400,3.0000,0.71450704,0.75941524,0.77133949,0.87825935
TDE_ikeda,0,300,0.2000,16.0000,0.7000,0.2600,3.0000,0.52804897,0.65353415,0.57324101,0.75712681
TDE_ikeda,0,300,0.3000,20.0000,1.0000,0.4000,0.0000,0.48264657,0.58318035,0.56383445,0.75088911
TDE_ikeda,0,300,0.4000,18.0000,1.1000,0.3200,0.0000,0.42942048,0.53464729,0.50103623,0.70783913
TDE_ikeda,0,300,0.5000,13.0000,1.3000,0.3600,2.0000,0.29936100,0.48023627,0.40044070,0.63280384
TDE_ikeda,0,300,0.6000,14.0000,1.2000,0.3200,4.0000,0.29089968,0.43523882,0.34981872,0.59145475
TDE_ikeda,0,300,0.7000,20.0000,0.9000,0.3000,4.0000,0.26091240,0.38875132,0.30556920,0.55278314
TDE_ikeda,0,300,0.8000,15.0000,1.2000,0.2800,0.0000,0.23725346,0.34423626,0.27116597,0.52073598
TDE_ikeda,0,300,0.9000,15.0000,1.2000,0.2600,0.0000,0.21473640,0.31606899,0.26384888,0.51366222
TDE_ikeda,0,300,1.0000,14.0000,1.2000,0.3000,1.0000,0.18266675,0.29558335,0.24793875,0.49793449
TDE_ikeda,1,300,0.0000,10.0000,0.5000,0.2200,9.0000,0.99975897,1.00052095,1.00080571,1.00040277
TDE_ikeda,1,300,0.1000,14.0000,0.9000,0.2800,2.0000,0.65645508,0.77227383,0.71543053,0.84583127
TDE_ikeda,1,300,0.2000,20.0000,1.0000,0.2600,0.0000,0.52529521,0.62979320,0.58698988,0.76615264
TDE_ikeda,1,300,0.3000,18.0000,1.1000,0.3800,2.0000,0.48364250,0.57004748,0.54646176,0.73923052
TDE_ikeda,1,300,0.4000,18.0000,1.1000,0.3600,4.0000,0.42000114,0.51073137,0.46433048,0.68141799
TDE_ikeda,1,300,0.5000,18.0000,1.1000,0.3600,1.0000,0.37803146,0.46575407,0.44623786,0.66801038
TDE_ikeda,1,300,0.6000,14.0000,1.3000,0.2800,4.0000,0.30400731,0.43071442,0.35060273,0.59211716
TDE_ikeda,1,300,0.7000,14.0000,1.3000,0.4000,4.0000,0.27362340,0.38122940,0.31979268,0.56550215
TDE_ikeda,1,300,0.8000,14.0000,1.2000,0.2200,0.0000,0.20910305,0.33523434,0.26571472,0.51547523
TDE_ikeda,1,300,0.9000,15.0000,1.2000,0.2600,2.0000,0.21463269,0.30664646,0.25372196,0.50370821
TDE_ikeda,1,300,1.0000,12.0000,1.4000,0.3400,3.0000,0.19175141,0.29730483,0.24932357,0.49932311
