### task_name: laser
### 3 0
### input_signal_factor [6.07015e-314, 6.67716e-313]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TDE_MG,0,100,0.0000,0.2000,0.7300,0.3200,8.0000,0.99942393,0.99938307,0.99930684,0.99965336
TDE_MG,0,100,0.1000,0.8000,0.7900,0.4800,0.0000,0.05860016,0.04759255,0.10962834,0.33110171
TDE_MG,0,100,0.2000,0.8000,0.7600,0.4400,0.0000,0.04392871,0.03712638,0.11592202,0.34047324
TDE_MG,0,100,0.3000,0.6000,0.8800,0.4600,0.0000,0.04369037,0.03503233,0.08594451,0.29316294
TDE_MG,0,100,0.4000,0.6000,1.0000,0.4000,0.0000,0.03899291,0.03327626,0.09783539,0.31278649
TDE_MG,0,100,0.5000,0.8000,0.7600,0.4400,0.0000,0.03836346,0.02870972,0.19257765,0.43883670
TDE_MG,0,100,0.6000,0.7000,0.8500,0.3800,0.0000,0.03478439,0.02706952,0.08310507,0.28827950
TDE_MG,0,100,0.7000,0.6000,0.8500,0.5000,0.0000,0.03376092,0.02744928,0.13546470,0.36805530
TDE_MG,0,100,0.8000,0.6000,0.9100,0.5000,0.0000,0.02939315,0.02605301,0.12570991,0.35455593
TDE_MG,0,100,0.9000,0.5000,0.9400,0.5000,0.0000,0.03213506,0.02681661,0.70528839,0.83981450
TDE_MG,0,100,1.0000,0.6000,0.8200,0.5000,0.0000,0.02825068,0.02833700,2.89076739,1.70022569
TDE_MG,1,100,0.0000,0.2000,0.7300,0.3200,8.0000,0.99942393,0.99938307,0.99930684,0.99965336
TDE_MG,1,100,0.1000,0.8000,0.7600,0.5000,0.0000,0.06546115,0.04923309,0.10631168,0.32605472
TDE_MG,1,100,0.2000,0.6000,0.9100,0.4200,0.0000,0.04852933,0.04025449,0.10251416,0.32017833
TDE_MG,1,100,0.3000,0.9000,0.7300,0.4800,0.0000,0.04014760,0.03205599,0.07944305,0.28185644
TDE_MG,1,100,0.4000,0.6000,1.0000,0.4800,0.0000,0.03980878,0.03144019,0.09756141,0.31234822
TDE_MG,1,100,0.5000,0.6000,0.8800,0.5000,0.0000,0.03630145,0.02968163,0.06936845,0.26337890
