### task_name: narma
### 10 0
### input_signal_factor [0.8, 1.3]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse
mackey,0,100,0.0000,0.8000,1.1000,0.2300,9.0000,0.99476741,1.01239981,0.99507286
mackey,0,100,0.1000,0.8000,1.1000,0.4400,0.0000,0.18341097,0.17549579,0.17790736
mackey,0,100,0.2000,0.8000,1.1000,0.2300,0.0000,0.17582894,0.17207955,0.17825307
mackey,0,100,0.3000,0.8000,1.1000,0.5000,0.0000,0.17040233,0.17718556,0.17876057
mackey,0,100,0.4000,0.8000,1.1000,0.5000,0.0000,0.17544969,0.18336937,0.18049332
mackey,0,100,0.5000,0.8000,1.1000,0.5000,0.0000,0.17277171,0.17924993,0.18189792
mackey,0,100,0.6000,0.8000,1.1000,0.5000,0.0000,0.20357620,0.21648505,0.21042080
mackey,0,100,0.7000,0.8000,1.1000,0.5000,0.0000,0.22585124,0.24815625,0.22930776
mackey,0,100,0.8000,0.8000,1.1000,0.5000,0.0000,0.23379497,0.26137778,0.24188975
mackey,0,100,0.9000,0.8000,1.1000,0.5000,0.0000,0.25664238,0.28910664,0.26161395
mackey,0,100,1.0000,0.8000,1.1000,0.5000,0.0000,0.32732956,0.36972560,0.32862097
mackey,1,100,0.0000,0.8000,1.1000,0.2300,9.0000,0.99476741,1.01239981,0.99507286
mackey,1,100,0.1000,0.8000,1.1000,0.5000,0.0000,0.18040285,0.17227550,0.17489987
mackey,1,100,0.2000,0.8000,1.1000,0.2900,0.0000,0.16807478,0.16447147,0.17264597
mackey,1,100,0.3000,0.8000,1.1000,0.2600,0.0000,0.16534253,0.16637925,0.17105865
mackey,1,100,0.4000,0.8000,1.1000,0.3800,0.0000,0.16622146,0.17150973,0.17464498
mackey,1,100,0.5000,0.8000,1.1000,0.2600,0.0000,0.17536436,0.18162341,0.18215399
mackey,1,100,0.6000,0.8000,1.1000,0.5000,0.0000,0.19568145,0.21492019,0.20090241
mackey,1,100,0.7000,0.8000,1.1000,0.5000,0.0000,0.20967560,0.22237976,0.21429407
mackey,1,100,0.8000,0.8000,1.1000,0.5000,0.0000,0.23435204,0.25029208,0.23378392
mackey,1,100,0.9000,0.8000,1.1000,0.5000,0.0000,0.24672917,0.27030584,0.24459594
mackey,1,100,1.0000,0.8000,1.1000,0.5000,0.0000,0.30348335,0.33380201,0.31325795
mackey,2,100,0.0000,0.8000,1.1000,0.2300,9.0000,0.99476741,1.01239981,0.99507286
mackey,2,100,0.1000,0.8000,1.1000,0.3500,0.0000,0.17173480,0.16018215,0.16768040
mackey,2,100,0.2000,0.8000,1.1000,0.5000,0.0000,0.17491396,0.17201934,0.17846413
mackey,2,100,0.3000,0.8000,1.1000,0.2900,0.0000,0.17742201,0.17297567,0.17960678
mackey,2,100,0.4000,0.8000,1.1000,0.2900,0.0000,0.18172318,0.18498530,0.18707106
mackey,2,100,0.5000,0.8000,1.1000,0.5000,0.0000,0.18375313,0.18911790,0.19100190
mackey,2,100,0.6000,0.8000,1.1000,0.5000,0.0000,0.19023982,0.20257681,0.19937266
mackey,2,100,0.7000,0.8000,1.1000,0.5000,0.0000,0.21347236,0.22897355,0.22097597
mackey,2,100,0.8000,0.8000,1.1000,0.5000,0.0000,0.23189246,0.25242736,0.23704929
mackey,2,100,0.9000,0.8000,1.1000,0.5000,0.0000,0.23828172,0.26161310,0.24686989
mackey,2,100,1.0000,0.8000,1.1000,0.5000,0.0000,0.26632620,0.29766886,0.28359232
