### task_name: narma
### 10 0
### input_signal_factor [0.1, 0.6]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TDE_MG,0,20,0.0000,0.1000,0.3000,0.3000,9.0000,0.99476746,1.01240475,0.99507366,0.99753379
TDE_MG,0,20,0.1000,0.1500,1.2000,1.2000,0.0000,0.24072369,0.22932836,0.22551519,0.47488440
TDE_MG,0,20,0.2000,0.4500,1.1000,0.7000,0.0000,0.22377528,0.20148159,0.21112865,0.45948738
TDE_MG,0,20,0.3000,0.5000,0.5000,0.7000,0.0000,0.20124745,0.18216479,0.19385864,0.44029382
TDE_MG,0,20,0.4000,0.4000,0.8000,0.8000,0.0000,0.20258881,0.18556173,0.19485924,0.44142864
TDE_MG,0,20,0.5000,0.1500,1.1000,0.8000,0.0000,0.20087667,0.18660470,0.19440397,0.44091265
TDE_MG,0,20,0.6000,0.5500,0.5000,0.9000,0.0000,0.21207625,0.19093380,0.20283276,0.45036958
TDE_MG,0,20,0.7000,0.3500,0.6000,0.9000,0.0000,0.20765332,0.18872709,0.19977569,0.44696274
TDE_MG,0,20,0.8000,0.2000,1.0000,0.9000,0.0000,0.20545302,0.18627821,0.19658661,0.44338089
TDE_MG,0,20,0.9000,0.3500,0.6000,0.9000,1.0000,0.20309481,0.18913412,0.19790784,0.44486834
TDE_MG,0,20,1.0000,0.2000,0.7000,0.9000,0.0000,0.20187068,0.19009342,0.19396812,0.44041811
TDE_MG,1,20,0.0000,0.1000,0.3000,0.3000,9.0000,0.99476746,1.01240475,0.99507366,0.99753379
TDE_MG,1,20,0.1000,0.1500,0.7000,1.2000,0.0000,0.23832522,0.22889084,0.22404565,0.47333461
TDE_MG,1,20,0.2000,0.4500,0.7000,0.7000,0.0000,0.22359064,0.20216903,0.21087165,0.45920764
TDE_MG,1,20,0.3000,0.3500,0.7000,0.7000,0.0000,0.20148622,0.18367172,0.19346822,0.43985023
TDE_MG,1,20,0.4000,0.5500,1.0000,0.8000,0.0000,0.20258582,0.18551294,0.19414459,0.44061841
TDE_MG,1,20,0.5000,0.4000,0.8000,0.8000,0.0000,0.19992547,0.18363618,0.18968865,0.43553260
TDE_MG,1,20,0.6000,0.3500,0.7000,0.9000,0.0000,0.20981636,0.19199290,0.20279022,0.45032235
TDE_MG,1,20,0.7000,0.3500,1.1000,0.9000,0.0000,0.20841455,0.18779467,0.19776302,0.44470555
TDE_MG,1,20,0.8000,0.2500,0.6000,0.9000,0.0000,0.20553986,0.18687184,0.19813515,0.44512374
TDE_MG,1,20,0.9000,0.4000,0.4000,0.9000,0.0000,0.19897070,0.18281854,0.19132450,0.43740656
TDE_MG,1,20,1.0000,0.2500,0.7000,0.9000,0.0000,0.19998365,0.18748988,0.19302416,0.43934515
TDE_MG,2,20,0.0000,0.1000,0.3000,0.3000,9.0000,0.99476746,1.01240475,0.99507366,0.99753379
TDE_MG,2,20,0.1000,0.1000,0.4000,1.2000,0.0000,0.24594104,0.22912293,0.22912991,0.47867516
TDE_MG,2,20,0.2000,0.4500,1.2000,0.6000,0.0000,0.22168376,0.20671528,0.21336730,0.46191699
TDE_MG,2,20,0.3000,0.4000,1.0000,0.7000,0.0000,0.20983227,0.18920710,0.19942184,0.44656673
TDE_MG,2,20,0.4000,0.5000,1.0000,0.8000,0.0000,0.20721802,0.18959280,0.19793644,0.44490048
TDE_MG,2,20,0.5000,0.4500,0.8000,0.8000,0.0000,0.20206561,0.18608904,0.19724786,0.44412596
TDE_MG,2,20,0.6000,0.3500,1.1000,0.8000,0.0000,0.19682189,0.18616916,0.19281742,0.43910981
