### task_name: narma
### 20 0
### input_signal_factor [0, 0.5]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TDE_MG,0,50,0.0000,0.0000,0.1500,0.7400,9.0000,0.99799981,1.02235300,1.00027943,1.00013970
TDE_MG,0,50,0.1000,0.4000,0.3000,0.7400,0.0000,0.30218631,0.29244313,0.30589540,0.55307812
TDE_MG,0,50,0.2000,0.2000,0.5000,0.8000,0.0000,0.29347079,0.28109420,0.29465668,0.54282288
TDE_MG,0,50,0.3000,0.3000,0.5000,0.7400,0.0000,0.29190986,0.27686971,0.29293672,0.54123628
TDE_MG,0,50,0.4000,0.2000,0.3500,0.8200,0.0000,0.29246809,0.27722871,0.29467044,0.54283556
TDE_MG,0,50,0.5000,0.2500,0.5000,0.8800,0.0000,0.28966993,0.27585540,0.29446857,0.54264958
TDE_MG,0,50,0.6000,0.2500,0.2500,0.8800,0.0000,0.29416303,0.28011538,0.29674869,0.54474645
TDE_MG,0,50,0.7000,0.2000,0.5500,0.9200,0.0000,0.28893838,0.27729667,0.29212121,0.54048239
TDE_MG,0,50,0.8000,0.3000,0.3000,0.9200,0.0000,0.29328868,0.28016661,0.29519929,0.54332245
TDE_MG,0,50,0.9000,0.2000,0.5000,0.9200,0.0000,0.29590387,0.28778562,0.30398867,0.55135167
TDE_MG,0,50,1.0000,0.5000,0.2000,0.9200,0.0000,0.29697551,0.28811874,0.29659814,0.54460825
TDE_MG,1,50,0.0000,0.0000,0.1500,0.7400,9.0000,0.99799981,1.02235300,1.00027943,1.00013970
TDE_MG,1,50,0.1000,0.5000,0.3500,0.7400,0.0000,0.29573372,0.27766219,0.29184396,0.54022584
TDE_MG,1,50,0.2000,0.3000,0.4500,0.7800,0.0000,0.28709434,0.27770024,0.29460536,0.54277561
TDE_MG,1,50,0.3000,0.3500,0.2500,0.8200,0.0000,0.28562829,0.27630711,0.29622644,0.54426688
TDE_MG,1,50,0.4000,0.4500,0.5000,0.8400,0.0000,0.28826669,0.27896218,0.29578415,0.54386041
TDE_MG,1,50,0.5000,0.5000,0.2500,0.8600,0.0000,0.28889651,0.27552691,0.29045047,0.53893457
TDE_MG,1,50,0.6000,0.4500,0.2500,0.8800,0.0000,0.28978309,0.27784420,0.29352910,0.54178325
TDE_MG,1,50,0.7000,0.3500,0.4000,0.9000,0.0000,0.28369517,0.27694476,0.29040004,0.53888778
TDE_MG,1,50,0.8000,0.4000,0.2000,0.9200,0.0000,0.29008789,0.28414952,0.29632801,0.54436018
TDE_MG,1,50,0.9000,0.2500,0.3000,0.9200,0.0000,0.28976007,0.28235488,0.29395361,0.54217489
TDE_MG,1,50,1.0000,0.2500,0.3500,0.9200,0.0000,0.29475634,0.28374502,0.29536732,0.54347707
TDE_MG,2,50,0.0000,0.0000,0.1500,0.7400,9.0000,0.99799981,1.02235300,1.00027943,1.00013970
TDE_MG,2,50,0.1000,0.2500,0.3500,0.8000,0.0000,0.30553562,0.29260982,0.30550615,0.55272611
TDE_MG,2,50,0.2000,0.3000,0.4000,0.7800,0.0000,0.28822568,0.27751037,0.29541478,0.54352072
TDE_MG,2,50,0.3000,0.2500,0.5500,0.8400,0.0000,0.28802158,0.27863936,0.29566841,0.54375400
TDE_MG,2,50,0.4000,0.3000,0.3500,0.8400,0.0000,0.28811010,0.27551024,0.29045060,0.53893469
TDE_MG,2,50,0.5000,0.1000,0.6000,0.9000,0.0000,0.28968517,0.27625578,0.29289010,0.54119322
TDE_MG,2,50,0.6000,0.1500,0.5000,0.9000,0.0000,0.28637978,0.27483083,0.29237422,0.54071640
TDE_MG,2,50,0.7000,0.2000,0.5000,0.9200,0.0000,0.28737632,0.27861773,0.28997332,0.53849171
TDE_MG,2,50,0.8000,0.5000,0.2000,0.9200,0.0000,0.28732903,0.27644452,0.29197271,0.54034499
TDE_MG,2,50,0.9000,0.3000,0.3500,0.9200,0.0000,0.28979673,0.28061737,0.29555813,0.54365258
TDE_MG,2,50,1.0000,0.3000,0.3000,0.9200,0.0000,0.29547631,0.28655517,0.30014522,0.54785511
TDE_ikeda,0,50,0.0000,0.0000,0.1500,0.7400,9.0000,0.99799981,1.02235300,1.00027943,1.00013970
TDE_ikeda,0,50,0.1000,0.3500,0.4000,0.7400,0.0000,0.30518884,0.29184378,0.31573223,0.56190055
TDE_ikeda,0,50,0.2000,0.3500,0.2500,0.8200,0.0000,0.29657278,0.28130158,0.30340730,0.55082420
TDE_ikeda,0,50,0.3000,0.4000,0.2000,0.8400,0.0000,0.28973073,0.27945307,0.29782218,0.54573086
TDE_ikeda,0,50,0.4000,0.2500,0.1500,0.8800,0.0000,0.29556235,0.27807122,0.30091233,0.54855477
TDE_ikeda,0,50,0.5000,0.2000,0.4000,0.8800,0.0000,0.28879376,0.27733522,0.29473950,0.54289916
TDE_ikeda,0,50,0.6000,0.1000,0.5000,0.8800,0.0000,0.29308281,0.28221656,0.29649188,0.54451068
TDE_ikeda,0,50,0.7000,0.1500,0.5000,0.8800,0.0000,0.29065490,0.28273406,0.29381942,0.54205112
TDE_ikeda,0,50,0.8000,0.1000,0.4000,0.8800,0.0000,0.29905683,0.28846999,0.30225239,0.54977486
TDE_ikeda,0,50,0.9000,0.1500,0.2000,0.8800,0.0000,0.30255450,0.28834739,0.30311771,0.55056127
TDE_ikeda,0,50,1.0000,0.2000,0.2500,0.8800,0.0000,0.30227897,0.29282479,0.30700221,0.55407780
TDE_ikeda,1,50,0.0000,0.0000,0.1500,0.7400,9.0000,0.99799981,1.02235300,1.00027943,1.00013970
TDE_ikeda,1,50,0.1000,0.3000,0.4500,0.8000,0.0000,0.29528954,0.28128324,0.29988652,0.54761896
TDE_ikeda,1,50,0.2000,0.2500,0.3000,0.8200,0.0000,0.29092877,0.27973119,0.29906854,0.54687160
TDE_ikeda,1,50,0.3000,0.2000,0.5500,0.8000,0.0000,0.29139366,0.27626928,0.29354898,0.54180161
TDE_ikeda,1,50,0.4000,0.2500,0.5000,0.8600,0.0000,0.28797543,0.27355611,0.29185830,0.54023911
TDE_ikeda,1,50,0.5000,0.1500,0.4500,0.8800,0.0000,0.29004186,0.27522950,0.29215150,0.54051040
TDE_ikeda,1,50,0.6000,0.1000,0.4000,0.8800,0.0000,0.29458436,0.28155675,0.29638691,0.54441428
TDE_ikeda,1,50,0.7000,0.2000,0.2000,0.8800,0.0000,0.29473402,0.28186145,0.29642966,0.54445354
TDE_ikeda,1,50,0.8000,0.1000,0.5000,0.8800,0.0000,0.30162433,0.28671075,0.29934997,0.54712884
TDE_ikeda,1,50,0.9000,0.1000,0.5000,0.8800,0.0000,0.30434202,0.29072901,0.30546180,0.55268598
TDE_ikeda,1,50,1.0000,0.2500,0.2000,0.8800,0.0000,0.30404363,0.29396373,0.30435204,0.55168110
TDE_ikeda,2,50,0.0000,0.0000,0.1500,0.7400,9.0000,0.99799981,1.02235300,1.00027943,1.00013970
TDE_ikeda,2,50,0.1000,0.4000,0.2500,0.7600,0.0000,0.30859711,0.29215202,0.31443994,0.56074945
TDE_ikeda,2,50,0.2000,0.1500,0.3000,0.8400,0.0000,0.29356557,0.28402328,0.30305866,0.55050763
TDE_ikeda,2,50,0.3000,0.3500,0.6000,0.8600,0.0000,0.29288867,0.28021735,0.29892662,0.54674183
TDE_ikeda,2,50,0.4000,0.4500,0.2500,0.8800,0.0000,0.28546446,0.27759167,0.29183667,0.54021909
TDE_ikeda,2,50,0.5000,0.1000,0.5000,0.8400,0.0000,0.29451131,0.28044007,0.29460653,0.54277669
TDE_ikeda,2,50,0.6000,0.2500,0.3000,0.8800,0.0000,0.29726445,0.28273271,0.29549933,0.54359850
TDE_ikeda,2,50,0.7000,0.2500,0.1500,0.8800,0.0000,0.29616829,0.28540641,0.29864622,0.54648534
TDE_ikeda,2,50,0.8000,0.1000,0.4500,0.8800,0.0000,0.30110150,0.28639322,0.30100405,0.54863836
TDE_ikeda,2,50,0.9000,0.1000,0.5500,0.8800,0.0000,0.30230646,0.28858286,0.30470710,0.55200280
