### task_name: narma
### 10 0
### input_signal_factor [2.63843e-312, 2.90227e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
STD_MG,0,100,0.0000,0.3000,0.3300,0.9200,9.0000,0.99474385,1.00624036,0.99465608,inf
STD_MG,0,100,0.1000,0.5000,0.4500,1.0400,0.0000,0.11835403,0.12070931,0.11686789,0.06400567
STD_MG,0,100,0.2000,0.5000,0.4800,0.9600,0.0000,0.08826192,0.09028136,0.08771009,0.05743939
STD_MG,0,100,0.3000,0.3200,0.5400,1.0000,0.0000,0.08205002,0.08158345,0.08289966,0.05300977
STD_MG,0,100,0.4000,0.3400,0.6000,1.0600,0.0000,0.07646010,0.07612291,0.08002108,0.05411380
STD_MG,0,100,0.5000,0.4800,0.3600,1.0600,0.0000,0.07278469,0.08013654,0.07609456,0.05498691
STD_MG,0,100,0.6000,0.4200,0.5700,1.0400,0.0000,0.07258240,0.07470052,0.07528356,0.05090607
STD_MG,0,100,0.7000,0.4400,0.4500,1.0400,0.0000,0.07189676,0.07570485,0.07527933,0.05405760
STD_MG,0,100,0.8000,0.4200,0.3900,1.0400,0.0000,0.06916230,0.07491029,0.07200801,0.05170432
STD_MG,0,100,0.9000,0.5000,0.5100,1.0200,0.0000,0.06204559,0.07183626,0.07032592,0.04921889
STD_MG,0,100,1.0000,0.3000,0.5700,1.0800,0.0000,0.06860824,0.08660813,0.07112733,0.05027450
STD_MG,1,100,0.0000,0.3000,0.3300,0.9200,9.0000,0.99474385,1.00624036,0.99465608,inf
STD_MG,1,100,0.1000,0.4600,0.4500,1.0600,0.0000,0.11271895,0.12030690,0.11673423,0.06411605
STD_MG,1,100,0.2000,0.4600,0.4500,1.0400,0.0000,0.09273266,0.09322300,0.09571277,0.05848807
STD_MG,1,100,0.3000,0.3200,0.6000,1.0400,0.0000,0.07849425,0.08067390,0.07965822,0.05261723
STD_MG,1,100,0.4000,0.3400,0.3300,1.0400,0.0000,0.07833829,0.08294911,0.07933352,0.05561528
STD_MG,1,100,0.5000,0.4400,0.5700,0.9600,0.0000,0.07048461,0.07543437,0.06912072,0.05024335
STD_MG,1,100,0.6000,0.5000,0.5100,1.0400,0.0000,0.06786395,0.07450640,0.07464201,0.05228231
STD_MG,1,100,0.7000,0.5000,0.4500,1.0600,0.0000,0.07047220,0.07912602,0.07286211,0.05034863
STD_MG,1,100,0.8000,0.3800,0.5400,1.0400,0.0000,0.06778172,0.07988583,0.07247300,0.05171678
STD_MG,1,100,0.9000,0.4600,0.3600,1.0200,0.0000,0.06923490,0.07993828,0.07685808,0.05320964
STD_MG,1,100,1.0000,0.3400,0.4800,0.9400,0.0000,0.07774233,0.08927975,0.07828618,0.05270849
STD_MG,2,100,0.0000,0.3000,0.3300,0.9200,9.0000,0.99474385,1.00624036,0.99465608,inf
STD_MG,2,100,0.1000,0.5000,0.5700,1.0800,0.0000,0.11642172,0.12192932,0.11565996,0.06146716
STD_MG,2,100,0.2000,0.5000,0.5100,1.0600,0.0000,0.08455421,0.08466201,0.08517704,0.05523442
STD_MG,2,100,0.3000,0.4800,0.3300,1.0600,0.0000,0.07904354,0.08313080,0.07865071,0.05337740
STD_MG,2,100,0.4000,0.4800,0.4500,1.0000,0.0000,0.07177090,0.08042710,0.07377585,0.05297668
