### task_name: henon2
### 5 0
### input_signal_factor [8.34888e-313, 9.18377e-312]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,20,0.0000,0.0000,0.7500,0.1200,5.0000,1.12299632,1.12209213,1.12434187,inf
TD_MG,0,20,0.1000,0.4000,0.9000,0.3000,0.0000,0.94723393,0.94916630,0.94418315,0.60963239
TD_MG,0,20,0.2000,2.0000,1.1500,0.2000,0.0000,0.84400402,0.83182965,0.83048074,0.37406915
TD_MG,0,20,0.3000,1.6000,1.2000,0.2600,0.0000,0.83242066,0.81824051,0.82261891,0.37793356
TD_MG,0,20,0.4000,1.6000,1.2000,0.1400,0.0000,0.80041224,0.80148957,0.79280129,0.34527500
TD_MG,0,20,0.5000,1.6000,1.2000,0.2400,1.0000,0.75897748,0.76033929,0.74812902,0.27962178
TD_MG,0,20,0.6000,2.0000,0.8500,0.1600,0.0000,0.78458732,0.77522282,0.76457164,0.30741541
TD_MG,0,20,0.7000,2.0000,1.1500,0.2800,0.0000,0.72928781,0.71562777,0.71178781,0.23114718
TD_MG,0,20,0.8000,2.0000,1.0000,0.1600,0.0000,0.74265009,0.72777932,0.72822796,0.24271228
TD_MG,0,20,0.9000,1.8000,1.0500,0.2200,0.0000,0.71950256,0.72639992,0.71600947,0.24634399
TD_MG,0,20,1.0000,2.0000,0.9500,0.2000,0.0000,0.71579829,0.71113678,0.70693111,0.29014581
TD_MG,1,20,0.0000,0.0000,0.7500,0.1200,5.0000,1.12299632,1.12209213,1.12434187,inf
TD_MG,1,20,0.1000,0.8000,1.2000,0.3000,0.0000,0.94615467,0.94447070,0.93885131,0.57209322
TD_MG,1,20,0.2000,2.0000,1.0000,0.1800,0.0000,0.85750374,0.83797475,0.82978169,0.39000256
TD_MG,1,20,0.3000,1.8000,1.2000,0.2200,0.0000,0.82115521,0.81069493,0.79929350,0.33219196
TD_MG,1,20,0.4000,1.8000,1.1500,0.1400,0.0000,0.77730313,0.76233050,0.76708939,0.29653891
TD_MG,1,20,0.5000,1.8000,0.9500,0.1200,0.0000,0.80702382,0.80617952,0.80248359,0.33198845
TD_MG,1,20,0.6000,2.0000,1.0500,0.2600,0.0000,0.78761245,0.79534085,0.77041134,0.26281845
TD_MG,1,20,0.7000,2.0000,1.1500,0.1200,0.0000,0.76072839,0.73836495,0.73880696,0.26578206
TD_MG,1,20,0.8000,2.0000,1.0000,0.2200,0.0000,0.73193728,0.72701495,0.71793851,0.22388979
TD_MG,1,20,0.9000,1.8000,1.1500,0.1800,0.0000,0.71385134,0.70213528,0.69675758,0.23834570
TD_MG,1,20,1.0000,2.0000,0.9500,0.2800,0.0000,0.70485372,0.68547312,0.68964273,0.25143494
TD_MG,2,20,0.0000,0.0000,0.7500,0.1200,5.0000,1.12299632,1.12209213,1.12434187,inf
TD_MG,2,20,0.1000,0.8000,1.2000,0.3000,0.0000,0.94604330,0.94761083,0.94502080,0.60856321
TD_MG,2,20,0.2000,1.8000,1.1000,0.1400,0.0000,0.89026043,0.86515399,0.86634140,0.42375381
TD_MG,2,20,0.3000,2.0000,1.1000,0.2600,0.0000,0.83057888,0.82463021,0.82409892,0.37367838
TD_MG,2,20,0.4000,1.6000,1.1500,0.2400,0.0000,0.82839420,0.81680580,0.80907906,0.36116998
TD_MG,2,20,0.5000,1.8000,1.1500,0.2200,0.0000,0.76521659,0.75332953,0.74283117,0.24311610
TD_MG,2,20,0.6000,2.0000,1.0500,0.2200,0.0000,0.77462207,0.76530399,0.76434120,0.25609743
TD_MG,2,20,0.7000,2.0000,1.0000,0.1400,0.0000,0.74184459,0.72634438,0.72085238,0.25496149
TD_MG,2,20,0.8000,1.8000,1.2000,0.1800,0.0000,0.71328894,0.71193904,0.70967859,0.26890643
TD_MG,2,20,0.9000,1.6000,1.1500,0.1400,0.0000,0.70913062,0.70572158,0.70678306,0.26883594
TD_MG,2,20,1.0000,1.4000,1.0500,0.2200,0.0000,0.73429296,0.72226901,0.71614593,0.22473634
TD_ikeda,0,20,0.0000,0.0000,0.7500,0.1200,5.0000,1.12299632,1.12209213,1.12434187,inf
TD_ikeda,0,20,0.1000,12.0000,0.8000,0.3000,0.0000,0.79235337,0.76405593,0.78415587,0.42676846
TD_ikeda,0,20,0.2000,10.0000,0.9500,0.2400,0.0000,0.67626552,0.65029789,0.66436158,0.29967959
TD_ikeda,0,20,0.3000,8.0000,1.1500,0.1400,0.0000,0.62689794,0.60389556,0.61514945,0.26871477
TD_ikeda,0,20,0.4000,8.0000,1.2000,0.1800,1.0000,0.58609425,0.55058288,0.56952798,0.24809031
TD_ikeda,0,20,0.5000,8.0000,1.2000,0.2000,1.0000,0.55313500,0.51408252,0.52592939,0.21424410
TD_ikeda,0,20,0.6000,12.0000,0.8000,0.2600,1.0000,0.53985897,0.49213133,0.50666854,0.22016128
TD_ikeda,0,20,0.7000,8.0000,1.2000,0.1200,0.0000,0.54977567,0.49693248,0.51318588,0.23577817
TD_ikeda,0,20,0.8000,12.0000,0.8500,0.2800,0.0000,0.50678834,0.47532158,0.50158673,0.19369378
TD_ikeda,0,20,0.9000,10.0000,0.9000,0.1400,0.0000,0.51757212,0.47589127,0.47943331,0.18599217
TD_ikeda,0,20,1.0000,12.0000,0.8000,0.2200,0.0000,0.49626170,0.45563730,0.48248023,0.19990485
TD_ikeda,1,20,0.0000,0.0000,0.7500,0.1200,5.0000,1.12299632,1.12209213,1.12434187,inf
TD_ikeda,1,20,0.1000,2.0000,1.0000,0.2200,3.0000,0.80680898,0.77736172,0.79541152,0.45529774
TD_ikeda,1,20,0.2000,10.0000,0.8000,0.1800,0.0000,0.66861190,0.64322496,0.63866661,0.24884693
TD_ikeda,1,20,0.3000,10.0000,0.9500,0.1800,4.0000,0.62319961,0.58609319,0.59939282,0.26102967
TD_ikeda,1,20,0.4000,10.0000,0.9500,0.1200,2.0000,0.57201799,0.54568788,0.54279225,0.21330289
TD_ikeda,1,20,0.5000,8.0000,1.2000,0.1200,2.0000,0.52757316,0.49130446,0.51097493,0.22245687
TD_ikeda,1,20,0.6000,8.0000,1.2000,0.1400,0.0000,0.57164633,0.53426702,0.53674919,0.23071421
TD_ikeda,1,20,0.7000,12.0000,0.8000,0.2200,0.0000,0.51905759,0.49586003,0.49912980,0.19064194
TD_ikeda,1,20,0.8000,10.0000,0.9500,0.2400,0.0000,0.52536152,0.47560345,0.49749123,0.18712991
TD_ikeda,1,20,0.9000,8.0000,1.2000,0.1400,3.0000,0.46724524,0.44937052,0.44846669,0.16139826
TD_ikeda,1,20,1.0000,12.0000,0.8000,0.2800,0.0000,0.47729928,0.44550910,0.45835592,0.19093173
TD_ikeda,2,20,0.0000,0.0000,0.7500,0.1200,5.0000,1.12299632,1.12209213,1.12434187,inf
TD_ikeda,2,20,0.1000,8.0000,1.2000,0.2600,0.0000,0.79178593,0.76291674,0.78202273,0.42034289
TD_ikeda,2,20,0.2000,8.0000,1.1500,0.1600,0.0000,0.65837836,0.61675030,0.64166375,0.28088047
TD_ikeda,2,20,0.3000,10.0000,0.9500,0.1600,0.0000,0.62087113,0.59386978,0.60339026,0.27801047
TD_ikeda,2,20,0.4000,12.0000,0.8000,0.1400,3.0000,0.59962525,0.57033516,0.57397236,0.24211635
TD_ikeda,2,20,0.5000,8.0000,1.2000,0.2000,1.0000,0.58119595,0.53618497,0.55048263,0.24011853
TD_ikeda,2,20,0.6000,10.0000,0.9500,0.2800,0.0000,0.51239403,0.48059687,0.49062379,0.20562969
TD_ikeda,2,20,0.7000,8.0000,1.2000,0.2600,0.0000,0.50668637,0.46180703,0.47455383,0.18532247
TD_ikeda,2,20,0.8000,10.0000,0.9500,0.1400,2.0000,0.48189575,0.45147667,0.45485339,0.19484809
TD_ikeda,2,20,0.9000,10.0000,1.0000,0.1200,2.0000,0.46670297,0.44054607,0.44562883,0.18052539
TD_ikeda,2,20,1.0000,10.0000,1.0000,0.1400,0.0000,0.46077323,0.42922555,0.46097027,0.20115157
