t,predict_test,teacher
501,0.165726,0.164706,1.04104e-06
502,0.119279,0.117647,3.7045e-06
503,0.128078,0.12549,1.03988e-05
504,0.197909,0.196078,1.37503e-05
505,0.341643,0.337255,3.30037e-05
506,0.412745,0.403922,0.000110859
507,0.285498,0.286275,0.000111462
508,0.162202,0.164706,0.000117734
509,0.115493,0.113725,0.000120858
510,0.122782,0.117647,0.000147223
511,0.189357,0.192157,0.000155059
512,0.34798,0.341176,0.000201345
513,0.427087,0.411765,0.000436117
514,0.290711,0.286275,0.000455798
515,0.158403,0.160784,0.000461467
516,0.111304,0.109804,0.000463719
517,0.119942,0.117647,0.000468985
518,0.190191,0.192157,0.000472849
519,0.348705,0.345098,0.000485858
520,0.430677,0.427451,0.000496264
521,0.291828,0.290196,0.000498928
522,0.154536,0.156863,0.000504344
523,0.107435,0.109804,0.000509956
524,0.11788,0.113725,0.000527213
525,0.184967,0.180392,0.000548142
526,0.341085,0.345098,0.000564245
527,0.450618,0.443137,0.000620201
528,0.302085,0.298039,0.000636568
529,0.157305,0.160784,0.000648677
530,0.104722,0.109804,0.000674504
531,0.112475,0.113725,0.000676067
532,0.180611,0.180392,0.000676114
533,0.337737,0.345098,0.000730294
534,0.449876,0.45098,0.000731514
535,0.305764,0.309804,0.000747839
536,0.159675,0.164706,0.000773152
537,0.105446,0.105882,0.000773342
538,0.107932,0.109804,0.000776846
539,0.175108,0.172549,0.000783395
540,0.33281,0.341176,0.000853399
541,0.464364,0.466667,0.000858701
542,0.317481,0.32549,0.000922851
543,0.160816,0.164706,0.000937979
544,0.102265,0.105882,0.000951063
545,0.104648,0.105882,0.000952587
546,0.166717,0.164706,0.000956631
547,0.323272,0.333333,0.00105787
548,0.473011,0.482353,0.00114515
549,0.332366,0.34902,0.00142249
550,0.16636,0.176471,0.00152471
551,0.103123,0.109804,0.00156934
552,0.100422,0.101961,0.00157171
553,0.153717,0.152941,0.00157231
554,0.304052,0.313725,0.0016659
555,0.478938,0.490196,0.00179264
556,0.361224,0.368627,0.00184745
557,0.177029,0.184314,0.00190052
558,0.104904,0.109804,0.00192452
559,0.0978129,0.101961,0.00194173
560,0.147942,0.145098,0.00194982
561,0.286527,0.294118,0.00200743
562,0.472394,0.494118,0.00247934
