t,predict_test,teacher
501,0.168797,0.164706,1.67367e-05
502,0.121499,0.117647,3.15765e-05
503,0.12628,0.12549,3.22002e-05
504,0.199561,0.196078,4.43263e-05
505,0.346005,0.337255,0.000120892
506,0.404127,0.403922,0.000120934
507,0.280822,0.286275,0.000150662
508,0.163416,0.164706,0.000152327
509,0.119528,0.113725,0.000186001
510,0.119327,0.117647,0.000188824
511,0.1881,0.192157,0.000205281
512,0.356664,0.341176,0.000445145
513,0.411484,0.411765,0.000445224
514,0.285946,0.286275,0.000445332
515,0.162772,0.160784,0.000449284
516,0.116459,0.109804,0.000493571
517,0.115051,0.117647,0.00050031
518,0.190753,0.192157,0.00050228
519,0.35474,0.345098,0.000595246
520,0.418469,0.427451,0.000675923
521,0.286342,0.290196,0.000690779
522,0.15716,0.156863,0.000690868
523,0.111583,0.109804,0.000694032
524,0.114335,0.113725,0.000694403
525,0.184538,0.180392,0.000711595
526,0.346546,0.345098,0.000713693
527,0.445497,0.443137,0.000719262
528,0.294861,0.298039,0.000729364
529,0.159718,0.160784,0.000730501
530,0.109988,0.109804,0.000730535
531,0.113648,0.113725,0.000730541
532,0.182045,0.180392,0.000733273
533,0.343188,0.345098,0.000736921
534,0.446157,0.45098,0.000760183
535,0.300847,0.309804,0.000840415
536,0.157735,0.164706,0.000889002
537,0.110964,0.105882,0.00091483
538,0.104577,0.109804,0.000942152
539,0.177315,0.172549,0.000964866
540,0.333385,0.341176,0.00102557
541,0.461226,0.466667,0.00105518
542,0.313322,0.32549,0.00120323
543,0.1572,0.164706,0.00125958
544,0.109086,0.105882,0.00126984
545,0.100833,0.105882,0.00129534
546,0.168545,0.164706,0.00131008
547,0.325953,0.333333,0.00136456
548,0.472526,0.482353,0.00146112
549,0.327444,0.34902,0.00192661
550,0.158598,0.176471,0.00224605
551,0.108872,0.109804,0.00224692
552,0.0986916,0.101961,0.00225761
553,0.153633,0.152941,0.00225808
554,0.309755,0.313725,0.00227385
555,0.477213,0.490196,0.00244241
556,0.354275,0.368627,0.00264841
557,0.172155,0.184314,0.00279625
558,0.109359,0.109804,0.00279644
559,0.0961883,0.101961,0.00282977
560,0.149876,0.145098,0.0028526
561,0.287967,0.294118,0.00289043
562,0.476676,0.494118,0.00319465
563,0.378156,0.396078,0.00351588
564,0.17947,0.196078,0.00379171
565,0.110256,0.109804,0.00379192
566,0.091044,0.0980392,0.00384085
567,0.138752,0.137255,0.00384309
568,0.274192,0.27451,0.00384319
569,0.467232,0.490196,0.00437054
570,0.404599,0.431373,0.00508735
571,0.188025,0.211765,0.00565092
572,0.110767,0.113725,0.00565967
573,0.0889134,0.0980392,0.00574295
574,0.127628,0.12549,0.00574753
575,0.247785,0.243137,0.00576912
576,0.455944,0.478431,0.0062748
577,0.445737,0.470588,0.00689237
578,0.21468,0.239216,0.00749439
579,0.111436,0.12549,0.0076919
580,0.0941698,0.0941176,0.00769191
581,0.110501,0.113725,0.0077023
582,0.221292,0.219608,0.00770514
583,0.436304,0.45098,0.00792054
584,0.468695,0.505882,0.00930341
585,0.246317,0.262745,0.00957328
586,0.113923,0.12549,0.00970708
587,0.0934274,0.0901961,0.00971752
588,0.0926108,0.101961,0.00980494
589,0.197019,0.188235,0.0098821
590,0.40599,0.407843,0.00988554
591,0.499084,0.537255,0.0113425
592,0.284856,0.305882,0.0117847
593,0.118393,0.141176,0.0123037
594,0.0949627,0.0901961,0.0123265
595,0.0815873,0.0980392,0.0125971
596,0.177558,0.160784,0.0128785
597,0.345625,0.364706,0.0132426
598,0.530764,0.556863,0.0139237
599,0.338073,0.352941,0.0141448
600,0.134369,0.14902,0.0143594
601,0.0941358,0.0941176,0.0143594
602,0.0805244,0.0862745,0.0143925
603,0.147422,0.137255,0.0144958
604,0.314501,0.305882,0.0145701
605,0.518984,0.556863,0.0160049
606,0.394487,0.407843,0.0161833
607,0.164865,0.176471,0.016318
608,0.0911918,0.0941176,0.0163265
609,0.0772996,0.0784314,0.0163278
610,0.115617,0.109804,0.0163616
611,0.248097,0.247059,0.0163627
612,0.511371,0.521569,0.0164667
613,0.468805,0.486275,0.0167719
614,0.201438,0.211765,0.0168785
615,0.0967771,0.0980392,0.0168801
616,0.0757857,0.0784314,0.0168871
617,0.0956105,0.0941176,0.0168893
618,0.197425,0.196078,0.0168911
619,0.463816,0.466667,0.0168993
620,0.534645,0.54902,0.0171059
621,0.2579,0.262745,0.0171294
622,0.106715,0.117647,0.0172489
623,0.0820207,0.0784314,0.0172618
624,0.0825255,0.0823529,0.0172618
625,0.156841,0.14902,0.017323
626,0.372692,0.384314,0.017458
627,0.584772,0.592157,0.0175126
628,0.341657,0.337255,0.0175319
629,0.127724,0.133333,0.0175634
630,0.0810816,0.0784314,0.0175704
631,0.0725534,0.0745098,0.0175743
632,0.128123,0.121569,0.0176172
633,0.299899,0.298039,0.0176207
634,0.564417,0.592157,0.0183902
635,0.423458,0.435294,0.0185303
636,0.157729,0.168627,0.018649
