t,unit,output
500,1,0.370912
500,2,0.368927
500,3,0.378723
500,4,0.406086
500,5,0.404603
500,6,0.429008
500,7,0.449588
500,8,0.448198
500,9,0.435298
500,10,0.424207
500,11,0.419773
500,12,0.417554
500,13,0.415514
500,14,0.410011
500,15,0.435249
500,16,0.456577
500,17,0.456317
500,18,0.450839
500,19,0.468946
500,20,0.461419
500,21,0.454754
500,22,0.46344
500,23,0.451699
500,24,0.46258
500,25,0.440143
500,26,0.438918
500,27,0.420605
500,28,0.422798
500,29,0.424362
500,30,0.426309
500,31,0.427405
500,32,0.429107
500,33,0.397474
500,34,0.416652
500,35,0.440873
500,36,0.407019
500,37,0.391943
500,38,0.402193
500,39,0.410968
500,40,0.381805
500,41,0.355052
500,42,0.333063
500,43,0.35302
500,44,0.362726
500,45,0.352833
500,46,0.330399
500,47,0.343284
500,48,0.352822
500,49,0.327772
500,50,0.336715
500,51,0.362779
500,52,0.393992
500,53,0.394786
500,54,0.394133
500,55,0.410852
500,56,0.408948
500,57,0.405785
500,58,0.403241
500,59,0.402261
500,60,0.40913
500,61,0.37707
500,62,0.387496
500,63,0.373348
500,64,0.378142
500,65,0.38178
500,66,0.391175
500,67,0.392288
500,68,0.393421
500,69,0.392453
500,70,0.399122
500,71,0.396898
500,72,0.390954
500,73,0.389788
500,74,0.372231
500,75,0.373804
500,76,0.371206
500,77,0.380288
500,78,0.348994
500,79,0.361526
500,80,0.36401
500,81,0.373871
500,82,0.400985
500,83,0.397022
500,84,0.393372
500,85,0.417648
500,86,0.406605
500,87,0.401424
500,88,0.365082
500,89,0.366172
500,90,0.368753
500,91,0.378358
500,92,0.34694
500,93,0.353249
500,94,0.37589
500,95,0.377481
500,96,0.37339
500,97,0.400769
500,98,0.415045
500,99,0.41049
500,100,0.388115
501,1,0.364351
501,2,0.361427
501,3,0.373034
501,4,0.405458
501,5,0.404485
501,6,0.433585
501,7,0.458248
501,8,0.45724
501,9,0.441733
501,10,0.428105
501,11,0.422902
501,12,0.420903
501,13,0.418948
501,14,0.41261
501,15,0.442572
501,16,0.468021
501,17,0.468399
501,18,0.462831
501,19,0.483911
501,20,0.4759
501,21,0.468549
501,22,0.478471
501,23,0.464611
501,24,0.477543
501,25,0.450655
501,26,0.449613
501,27,0.427238
501,28,0.42992
501,29,0.431658
501,30,0.434041
501,31,0.435035
501,32,0.436984
501,33,0.395994
501,34,0.418083
501,35,0.446001
501,36,0.402657
501,37,0.383016
501,38,0.395029
501,39,0.405464
501,40,0.367646
501,41,0.330947
501,42,0.300584
501,43,0.325368
501,44,0.336098
501,45,0.322531
501,46,0.291954
501,47,0.307312
501,48,0.318132
501,49,0.28316
501,50,0.292488
501,51,0.325694
501,52,0.365345
501,53,0.366871
501,54,0.366041
501,55,0.388122
501,56,0.386817
501,57,0.383204
501,58,0.380819
501,59,0.381125
501,60,0.391949
501,61,0.352787
501,62,0.367403
501,63,0.351501
501,64,0.359082
501,65,0.36534
501,66,0.378478
501,67,0.381868
501,68,0.385368
501,69,0.385258
501,70,0.394326
501,71,0.392667
501,72,0.386177
501,73,0.386106
501,74,0.365098
501,75,0.368335
501,76,0.365911
501,77,0.37761
501,78,0.338672
501,79,0.354389
501,80,0.358553
501,81,0.371013
501,82,0.403288
501,83,0.400065
501,84,0.396859
501,85,0.425653
501,86,0.412241
501,87,0.406693
501,88,0.360582
501,89,0.362284
501,90,0.366357
501,91,0.378139
501,92,0.338318
501,93,0.346817
501,94,0.373913
501,95,0.376715
501,96,0.370877
501,97,0.402875
501,98,0.419933
501,99,0.415333
501,100,0.386645
502,1,0.36875
502,2,0.366316
502,3,0.374752
502,4,0.399565
502,5,0.400117
502,6,0.423927
502,7,0.444443
502,8,0.444698
502,9,0.433394
502,10,0.422989
502,11,0.418477
502,12,0.417522
502,13,0.416475
502,14,0.412965
502,15,0.437028
502,16,0.457927
502,17,0.459569
502,18,0.457026
502,19,0.473434
502,20,0.46892
502,21,0.464381
502,22,0.471563
502,23,0.462084
502,24,0.472532
502,25,0.454338
502,26,0.454678
502,27,0.43915
502,28,0.441631
502,29,0.443159
502,30,0.445521
502,31,0.446297
502,32,0.448274
502,33,0.418366
502,34,0.432592
502,35,0.451768
502,36,0.420067
502,37,0.403757
502,38,0.410362
502,39,0.416469
502,40,0.388785
502,41,0.359273
502,42,0.33433
502,43,0.349867
502,44,0.353386
502,45,0.340502
502,46,0.316013
502,47,0.323293
502,48,0.326827
502,49,0.297749
502,50,0.29753
502,51,0.320947
502,52,0.351311
502,53,0.350119
502,54,0.34631
502,55,0.363664
502,56,0.361646
502,57,0.356513
502,58,0.352932
502,59,0.353018
502,60,0.364288
502,61,0.338531
502,62,0.350872
502,63,0.341207
502,64,0.346931
502,65,0.351861
502,66,0.363468
502,67,0.366719
502,68,0.370675
502,69,0.370377
502,70,0.3788
502,71,0.377589
502,72,0.374131
502,73,0.374418
502,74,0.360822
502,75,0.363397
502,76,0.362928
502,77,0.372767
502,78,0.346691
502,79,0.358444
502,80,0.360954
502,81,0.370782
502,82,0.395762
502,83,0.393677
502,84,0.39146
502,85,0.414528
502,86,0.404812
502,87,0.400435
502,88,0.368112
502,89,0.367848
502,90,0.370909
502,91,0.380283
502,92,0.353048
502,93,0.359033
502,94,0.379429
502,95,0.381643
502,96,0.376461
502,97,0.400246
502,98,0.413219
502,99,0.410246
502,100,0.388694
503,1,0.377164
503,2,0.375494
503,3,0.380441
503,4,0.395739
503,5,0.396777
503,6,0.413276
503,7,0.427672
503,8,0.42831
503,9,0.421671
503,10,0.415364
503,11,0.411983
503,12,0.411363
503,13,0.41081
503,14,0.409632
503,15,0.425861
503,16,0.440293
503,17,0.4424
503,18,0.441968
503,19,0.452925
503,20,0.451175
503,21,0.449237
503,22,0.453984
503,23,0.449008
503,24,0.456358
503,25,0.44666
503,26,0.448317
503,27,0.439982
503,28,0.44274
503,29,0.444729
503,30,0.44722
503,31,0.448477
503,32,0.450627
503,33,0.433513
503,34,0.44125
503,35,0.452284
503,36,0.434076
503,37,0.423884
503,38,0.426715
503,39,0.429455
503,40,0.41356
503,41,0.39604
503,42,0.380847
503,43,0.388065
503,44,0.387823
503,45,0.378612
503,46,0.363349
503,47,0.364527
503,48,0.363315
503,49,0.345069
503,50,0.339815
503,51,0.351263
503,52,0.367931
503,53,0.363852
503,54,0.357957
503,55,0.367187
503,56,0.363049
503,57,0.356572
503,58,0.35092
503,59,0.348407
503,60,0.355851
503,61,0.341609
503,62,0.349029
503,63,0.343834
503,64,0.345719
503,65,0.347246
503,66,0.354954
503,67,0.35584
503,68,0.357939
503,69,0.357311
503,70,0.364093
503,71,0.363246
503,72,0.36273
503,73,0.362804
503,74,0.356605
503,75,0.358129
503,76,0.359426
503,77,0.366721
503,78,0.353531
503,79,0.361418
503,80,0.362523
503,81,0.369395
503,82,0.385879
503,83,0.384555
503,84,0.383228
503,85,0.398993
503,86,0.394176
503,87,0.391519
503,88,0.374145
503,89,0.373274
503,90,0.375088
503,91,0.381573
503,92,0.367226
503,93,0.370752
503,94,0.383776
503,95,0.385085
503,96,0.382293
503,97,0.397121
503,98,0.405382
503,99,0.403558
503,100,0.391321
504,1,0.383466
504,2,0.382496
504,3,0.38611
504,4,0.397046
504,5,0.397311
504,6,0.409433
504,7,0.420029
504,8,0.420416
504,9,0.415761
504,10,0.411411
504,11,0.40867
504,12,0.407747
504,13,0.407034
504,14,0.406386
504,15,0.418425
504,16,0.429147
504,17,0.430816
504,18,0.430428
504,19,0.438777
504,20,0.437423
504,21,0.436089
504,22,0.439979
504,23,0.436737
504,24,0.442431
504,25,0.43591
504,26,0.437575
504,27,0.43218
504,28,0.434845
504,29,0.437034
504,30,0.439481
504,31,0.441151
504,32,0.443376
504,33,0.432189
504,34,0.438295
504,35,0.446757
504,36,0.43473
504,37,0.428254
504,38,0.430686
504,39,0.432921
504,40,0.422518
504,41,0.41156
504,42,0.402046
504,43,0.407139
504,44,0.407826
504,45,0.401716
504,46,0.391659
504,47,0.392621
504,48,0.391866
504,49,0.379932
504,50,0.376397
504,51,0.383421
504,52,0.393848
504,53,0.38977
504,54,0.384519
504,55,0.38959
504,56,0.384828
504,57,0.378695
504,58,0.372685
504,59,0.368565
504,60,0.372139
504,61,0.361013
504,62,0.364807
504,63,0.359878
504,64,0.358887
504,65,0.357629
504,66,0.361956
504,67,0.360183
504,68,0.35959
504,69,0.357764
504,70,0.362562
504,71,0.360935
504,72,0.360768
504,73,0.359733
504,74,0.355759
504,75,0.35598
504,76,0.357341
504,77,0.362955
504,78,0.354432
504,79,0.360614
504,80,0.360977
504,81,0.366486
504,82,0.379156
504,83,0.377747
504,84,0.376589
504,85,0.388851
504,86,0.386411
504,87,0.384618
504,88,0.373652
504,89,0.373234
504,90,0.374542
504,91,0.379856
504,92,0.370795
504,93,0.373333
504,94,0.383352
504,95,0.384245
504,96,0.383238
504,97,0.394584
504,98,0.400928
504,99,0.39942
504,100,0.391722
505,1,0.384681
505,2,0.384137
505,3,0.388179
505,4,0.399751
505,5,0.399294
505,6,0.410946
505,7,0.421004
505,8,0.421004
505,9,0.416139
505,10,0.411796
505,11,0.409198
505,12,0.407972
505,13,0.406926
505,14,0.405702
505,15,0.417559
505,16,0.427911
505,17,0.428847
505,18,0.427417
505,19,0.435871
505,20,0.433475
505,21,0.431327
505,22,0.435402
505,23,0.431605
505,24,0.437112
505,25,0.429693
505,26,0.43047
505,27,0.42453
505,28,0.426623
505,29,0.428415
505,30,0.430455
505,31,0.431986
505,32,0.433955
505,33,0.422962
505,34,0.430276
505,35,0.439984
505,36,0.428006
505,37,0.422134
505,38,0.425558
505,39,0.428603
505,40,0.418421
505,41,0.408518
505,42,0.40016
505,43,0.406552
505,44,0.409207
505,45,0.40434
505,46,0.395448
505,47,0.398572
505,48,0.400126
505,49,0.389746
505,50,0.389651
505,51,0.397871
505,52,0.409013
505,53,0.40662
505,54,0.403278
505,55,0.408525
505,56,0.404886
505,57,0.400275
505,58,0.395634
505,59,0.392092
505,60,0.39436
505,61,0.381971
505,62,0.384967
505,63,0.378799
505,64,0.377547
505,65,0.375855
505,66,0.378975
505,67,0.376342
