t,unit,output
500,1,1.31462
500,2,1.35281
500,3,1.35767
500,4,1.35987
500,5,1.35631
500,6,1.30692
500,7,1.33624
500,8,1.33547
500,9,1.36959
500,10,1.31354
500,11,1.3185
500,12,1.32279
500,13,1.32621
500,14,1.35153
500,15,1.35585
500,16,1.38485
500,17,1.36265
500,18,1.3586
500,19,1.34593
500,20,1.34445
500,21,1.34329
500,22,1.34875
500,23,1.33628
500,24,1.36757
500,25,1.31146
500,26,1.31662
500,27,1.35348
500,28,1.35223
500,29,1.35101
500,30,1.3502
500,31,1.34873
500,32,1.34934
500,33,1.38052
500,34,1.37414
500,35,1.3867
500,36,1.38154
500,37,1.37695
500,38,1.33953
500,39,1.29128
500,40,1.25458
500,41,1.24391
500,42,1.2704
500,43,1.23593
500,44,1.25256
500,45,1.26092
500,46,1.2717
500,47,1.27831
500,48,1.28195
500,49,1.2844
500,50,1.28789
500,51,1.29692
500,52,1.26618
500,53,1.27166
500,54,1.27691
500,55,1.31437
500,56,1.31444
500,57,1.31448
500,58,1.31456
500,59,1.31514
500,60,1.29871
500,61,1.30334
500,62,1.30661
500,63,1.30665
500,64,1.30956
500,65,1.31194
500,66,1.27351
500,67,1.28068
500,68,1.28601
500,69,1.2909
500,70,1.31097
500,71,1.31281
500,72,1.31191
500,73,1.31382
500,74,1.31478
500,75,1.31461
500,76,1.27756
500,77,1.28291
500,78,1.28867
500,79,1.30895
500,80,1.31132
500,81,1.33994
500,82,1.31422
500,83,1.31609
500,84,1.31574
500,85,1.31559
500,86,1.34438
500,87,1.34197
500,88,1.29631
500,89,1.30224
500,90,1.30592
500,91,1.306
500,92,1.32206
500,93,1.32296
500,94,1.31733
500,95,1.32042
500,96,1.35827
500,97,1.30897
500,98,1.29083
500,99,1.29568
500,100,1.30075
501,1,1.30009
501,2,1.34545
501,3,1.353
501,4,1.35651
501,5,1.35357
501,6,1.29697
501,7,1.33274
501,8,1.33165
501,9,1.37106
501,10,1.3049
501,11,1.31088
501,12,1.31637
501,13,1.32086
501,14,1.35184
501,15,1.35759
501,16,1.39043
501,17,1.36333
501,18,1.35841
501,19,1.34506
501,20,1.343
501,21,1.34151
501,22,1.34832
501,23,1.33358
501,24,1.36891
501,25,1.30206
501,26,1.30847
501,27,1.35128
501,28,1.35075
501,29,1.3501
501,30,1.34999
501,31,1.34864
501,32,1.35041
501,33,1.38605
501,34,1.37871
501,35,1.39294
501,36,1.38825
501,37,1.38387
501,38,1.33871
501,39,1.28204
501,40,1.24056
501,41,1.22967
501,42,1.26203
501,43,1.22159
501,44,1.2388
501,45,1.25004
501,46,1.26006
501,47,1.26452
501,48,1.2652
501,49,1.26501
501,50,1.26756
501,51,1.2849
501,52,1.25439
501,53,1.25654
501,54,1.25974
501,55,1.30621
501,56,1.30477
501,57,1.30381
501,58,1.30334
501,59,1.30383
501,60,1.28896
501,61,1.29804
501,62,1.30457
501,63,1.30583
501,64,1.30694
501,65,1.30807
501,66,1.26406
501,67,1.27017
501,68,1.27417
501,69,1.27831
501,70,1.30438
501,71,1.30534
501,72,1.30641
501,73,1.30758
501,74,1.31188
501,75,1.30931
501,76,1.2684
501,77,1.27174
501,78,1.2768
501,79,1.30276
501,80,1.30436
501,81,1.33865
501,82,1.30948
501,83,1.31054
501,84,1.30804
501,85,1.30645
501,86,1.34182
501,87,1.33887
501,88,1.28663
501,89,1.29285
501,90,1.29595
501,91,1.29865
501,92,1.31919
501,93,1.31921
501,94,1.31324
501,95,1.31648
501,96,1.36005
501,97,1.30351
501,98,1.28475
501,99,1.28765
501,100,1.29193
502,1,1.29832
502,2,1.33686
502,3,1.34439
502,4,1.34636
502,5,1.34364
502,6,1.3118
502,7,1.34033
502,8,1.33598
502,9,1.36717
502,10,1.32295
502,11,1.32457
502,12,1.32671
502,13,1.32861
502,14,1.35247
502,15,1.35549
502,16,1.3796
502,17,1.35754
502,18,1.35287
502,19,1.34465
502,20,1.34195
502,21,1.34001
502,22,1.34427
502,23,1.33362
502,24,1.35886
502,25,1.31414
502,26,1.31762
502,27,1.3504
502,28,1.34977
502,29,1.34905
502,30,1.34907
502,31,1.34764
502,32,1.3498
502,33,1.37735
502,34,1.37127
502,35,1.37915
502,36,1.37741
502,37,1.37553
502,38,1.3428
502,39,1.30556
502,40,1.28018
502,41,1.27361
502,42,1.29575
502,43,1.2691
502,44,1.27711
502,45,1.28499
502,46,1.28758
502,47,1.28501
502,48,1.27921
502,49,1.27346
502,50,1.2719
502,51,1.29387
502,52,1.28283
502,53,1.2775
502,54,1.27433
502,55,1.31395
502,56,1.30873
502,57,1.30434
502,58,1.30094
502,59,1.29975
502,60,1.29812
502,61,1.31059
502,62,1.31982
502,63,1.32237
502,64,1.31939
502,65,1.31697
502,66,1.29254
502,67,1.29154
502,68,1.28974
502,69,1.28946
502,70,1.31174
502,71,1.31063
502,72,1.3147
502,73,1.31346
502,74,1.32097
502,75,1.31534
502,76,1.29433
502,77,1.29085
502,78,1.2908
502,79,1.31292
