### task_name: laser
### 1 0
### input_signal_factor [1.13901e-312, 1.25291e-311]
function_name,seed,unit_size,p,input_singal_factor,input_gain,feed_gain,lm,train_nmse,nmse,test_nmse,test_nrmse
TD_MG,0,100,0.0000,0.5000,0.5200,1.4200,5.0000,2.40751393,2.57847034,2.87349390,inf
TD_MG,0,100,0.1000,0.9500,0.7000,1.6000,0.0000,0.00747477,0.00704016,0.01992295,0.02203811
TD_MG,0,100,0.2000,0.8500,0.5200,1.5000,0.0000,0.00465436,0.00382657,0.01324131,0.01911893
TD_MG,0,100,0.3000,0.7000,0.5800,1.5600,0.0000,0.00360276,0.00313709,0.00915309,0.01598940
TD_MG,0,100,0.4000,0.7000,0.6800,1.5800,0.0000,0.00293513,0.00267093,0.00828698,0.01507099
TD_MG,0,100,0.5000,0.7000,0.6400,1.5200,0.0000,0.00233893,0.00237273,0.00892911,0.01429755
TD_MG,0,100,0.6000,0.5500,0.6800,1.6000,0.0000,0.00227146,0.00181054,0.00913197,0.01398902
TD_MG,0,100,0.7000,0.6500,0.6000,1.6000,0.0000,0.00196579,0.00183936,0.00807055,0.01377995
TD_MG,0,100,0.8000,0.8500,0.5200,1.5600,0.0000,0.00213950,0.00186418,0.00770505,0.01420667
TD_MG,0,100,0.9000,0.6000,0.5200,1.4400,0.0000,0.00221950,0.00174203,0.00911206,0.01385125
TD_MG,0,100,1.0000,0.5000,0.6800,1.5200,0.0000,0.00207496,0.00174354,0.00680633,0.01314068
TD_MG,1,100,0.0000,0.5000,0.5200,1.4200,5.0000,2.40751393,2.57847034,2.87349390,inf
TD_MG,1,100,0.1000,0.8500,0.7000,1.4600,0.0000,0.00779284,0.00771190,0.01688372,0.02184095
TD_MG,1,100,0.2000,1.0000,0.6400,1.5200,0.0000,0.00404950,0.00354759,0.01191856,0.01862889
TD_MG,1,100,0.3000,0.8500,0.5400,1.5400,0.0000,0.00311075,0.00281136,0.00871105,0.01493741
TD_MG,1,100,0.4000,0.6500,0.6400,1.6000,0.0000,0.00299154,0.00247417,0.01058512,0.01537282
TD_MG,1,100,0.5000,0.7000,0.6200,1.5400,0.0000,0.00229160,0.00219391,0.00923884,0.01445263
TD_MG,1,100,0.6000,0.7000,0.5600,1.5600,0.0000,0.00227895,0.00179359,0.01156877,0.01490661
TD_MG,1,100,0.7000,0.6500,0.6400,1.5200,0.0000,0.00222699,0.00170841,0.00798868,0.01493430
TD_MG,1,100,0.8000,0.6500,0.6400,1.6000,0.0000,0.00187800,0.00182896,0.01037630,0.01457611
TD_MG,1,100,0.9000,0.6500,0.5800,1.6000,0.0000,0.00183152,0.00181238,0.01145585,0.01485309
TD_MG,1,100,1.0000,0.5000,0.5800,1.6000,0.0000,0.00214811,0.00179839,0.00743001,0.01347610
TD_MG,2,100,0.0000,0.5000,0.5200,1.4200,5.0000,2.40751393,2.57847034,2.87349390,inf
TD_MG,2,100,0.1000,1.0000,0.6200,1.6000,0.0000,0.00836702,0.00741945,0.02278279,0.02135544
TD_MG,2,100,0.2000,1.0000,0.5400,1.6000,0.0000,0.00412241,0.00352829,0.01309895,0.02003659
TD_MG,2,100,0.3000,0.8500,0.5200,1.5800,0.0000,0.00330412,0.00263099,0.01566311,0.01715742
TD_MG,2,100,0.4000,0.9000,0.6000,1.6000,0.0000,0.00264470,0.00224571,0.00789618,0.01441298
TD_MG,2,100,0.5000,0.7500,0.6200,1.6000,0.0000,0.00252421,0.00194633,0.00867049,0.01388053
TD_MG,2,100,0.6000,0.5500,0.7000,1.5400,0.0000,0.00219973,0.00188612,0.00763732,0.01317518
TD_MG,2,100,0.7000,0.8000,0.5200,1.5800,0.0000,0.00218356,0.00183864,0.00787203,0.01322713
TD_MG,2,100,0.8000,0.7500,0.5200,1.6000,0.0000,0.00215092,0.00160600,0.01215611,0.01481035
TD_MG,2,100,0.9000,0.5000,0.6000,1.5400,0.0000,0.00202110,0.00175788,0.00896181,0.01364977
TD_MG,2,100,1.0000,0.8500,0.5200,1.4600,0.0000,0.00204542,0.00186377,0.00715075,0.01304182
TD_ikeda,0,100,0.0000,0.8000,0.5200,1.4200,5.0000,2.40751393,2.57847034,2.87349390,inf
TD_ikeda,0,100,0.1000,1.1600,0.6000,1.5200,0.0000,0.00785378,0.00780214,0.01624780,0.02037142
TD_ikeda,0,100,0.2000,0.9600,0.6400,1.6000,0.0000,0.00504361,0.00483241,0.01270674,0.01691687
TD_ikeda,0,100,0.3000,1.1200,0.5200,1.5800,0.0000,0.00419224,0.00356635,0.01830317,0.01820698
TD_ikeda,0,100,0.4000,1.1200,0.5600,1.6000,0.0000,0.00302927,0.00291347,0.02448307,0.02103489
TD_ikeda,0,100,0.5000,1.0400,0.6000,1.4800,0.0000,0.00302554,0.00303924,0.01686447,0.01788962
TD_ikeda,0,100,0.6000,1.1200,0.6800,1.4600,0.0000,0.00262386,0.00274542,0.01483815,0.01785093
TD_ikeda,0,100,0.7000,1.1600,0.6800,1.5200,1.0000,0.00277813,0.00299110,0.01416212,0.01685461
TD_ikeda,0,100,0.8000,1.2000,0.7000,1.4200,0.0000,0.00296738,0.00339367,0.01639695,0.01817561
TD_ikeda,0,100,0.9000,1.2000,0.7000,1.4200,1.0000,0.00401918,0.00425083,0.01430893,0.01834283
TD_ikeda,0,100,1.0000,1.2000,0.6400,1.4200,1.0000,0.00544474,0.00569864,0.01038131,0.01791951
TD_ikeda,1,100,0.0000,0.8000,0.5200,1.4200,5.0000,2.40751393,2.57847034,2.87349390,inf
TD_ikeda,1,100,0.1000,1.0000,0.7000,1.4200,0.0000,0.00843626,0.00838778,0.02186985,0.02089658
TD_ikeda,1,100,0.2000,1.1200,0.5400,1.5600,0.0000,0.00544879,0.00518509,0.01217013,0.01690192
TD_ikeda,1,100,0.3000,1.0400,0.5600,1.6000,0.0000,0.00377404,0.00371078,0.02371999,0.02103522
